,Thal_VL_R,Cingulate_Post_L,Thal_MDl_L,Vermis_7,Vermis_10,Thal_AV_R,Vermis_9,Frontal_Sup_2_L,Temporal_Pole_Mid_L,Cerebellum_9_R
Thal_VL_R,1.0,0.20571338776958098,0.38506131619228895,0.33009814524553927,0.3433820499398922,0.3214270903780274,0.3824620750737826,-0.03554824478615876,-0.07638142751784695,0.3769921104786008
Cingulate_Post_L,0.20571338776958098,1.0,-0.3581264343647386,0.1760338619683516,0.526015876092749,0.4117661312093774,0.3034662394387624,-0.5641025985970451,0.22056368241331642,0.28844309634969134
Thal_MDl_L,0.38506131619228895,-0.3581264343647386,1.0,0.18315153104344523,0.053210130424576396,-0.26326936652800115,0.21654987685024754,0.2924818764726841,-0.3451912819937038,0.14552629293880454
Vermis_7,0.33009814524553927,0.1760338619683516,0.18315153104344523,1.0,0.0552246907918912,0.2751564110455104,0.036166977269497344,0.007923250912097808,-0.16228226960505582,9.950980059745896e-05
Vermis_10,0.3433820499398922,0.526015876092749,0.053210130424576396,0.0552246907918912,1.0,0.30191442710844324,0.8022406177325592,-0.11886231361419655,0.2247226042911438,0.7230942998384594
Thal_AV_R,0.3214270903780274,0.4117661312093774,-0.26326936652800115,0.2751564110455104,0.30191442710844324,1.0,0.02188855143395032,-0.0898569540481169,0.19401863653716264,0.10370986851145686
Vermis_9,0.3824620750737826,0.3034662394387624,0.21654987685024754,0.036166977269497344,0.8022406177325592,0.02188855143395032,1.0,-0.011753594401049172,0.05959168137404136,0.8264241301916396
Frontal_Sup_2_L,-0.03554824478615876,-0.5641025985970451,0.2924818764726841,0.007923250912097808,-0.11886231361419655,-0.0898569540481169,-0.011753594401049172,1.0,0.17340739241688327,0.1219199027357065
Temporal_Pole_Mid_L,-0.07638142751784695,0.22056368241331642,-0.3451912819937038,-0.16228226960505582,0.2247226042911438,0.19401863653716264,0.05959168137404136,0.17340739241688327,1.0,0.2899645757326879
Cerebellum_9_R,0.3769921104786008,0.28844309634969134,0.14552629293880454,9.950980059745896e-05,0.7230942998384594,0.10370986851145686,0.8264241301916396,0.1219199027357065,0.2899645757326879,1.0
