,Raphe_M,Cerebellum_7b_L,Cuneus_R,ACC_sup_R,ACC_pre_L,Occipital_Mid_L,Frontal_Mid_2_R,Thal_LGN_L,Red_N_R,Thal_VL_R,Thal_MGN_L,ACC_sup_L,Rolandic_Oper_R,Temporal_Pole_Sup_L,Frontal_Sup_Medial_R,Thal_VA_R,Temporal_Sup_L,Thal_LP_L,OFCant_R,Temporal_Pole_Sup_R,Amygdala_R,Lingual_R,Occipital_Inf_L,Cerebellum_Crus2_L,Cerebellum_6_L,Frontal_Med_Orb_R,Cingulate_Post_L,Temporal_Mid_L,Vermis_10,N_Acc_R,Pallidum_L,Thal_PuL_L,Frontal_Inf_Orb_2_R,Vermis_8,Cerebellum_8_R,Precentral_L,Cerebellum_3_L,Frontal_Inf_Tri_L,Fusiform_R,Angular_L,Fusiform_L,SupraMarginal_R,Temporal_Mid_R,Temporal_Sup_R,OFCpost_L,Cerebellum_4_5_R,Thal_PuA_R,Thal_MGN_R,Vermis_6,Thal_IL_L,OFCpost_R,Red_N_L,Rectus_L,Putamen_R,ACC_pre_R,Thal_VA_L,Frontal_Sup_2_R,SN_pr_L,OFCant_L,Thal_MDl_R,Cerebellum_Crus1_R,ACC_sub_R,Thal_PuM_R,Temporal_Inf_R,OFCmed_L,Putamen_L,VTA_R,Precentral_R,Raphe_D,Caudate_L,Angular_R,Cerebellum_9_R,ParaHippocampal_L,Thal_MDm_L,Vermis_3,Insula_R,Frontal_Inf_Orb_2_L,SN_pc_L,Cingulate_Mid_L,Frontal_Sup_2_L,Frontal_Med_Orb_L,Occipital_Sup_L,Cerebellum_8_L,Frontal_Mid_2_L,Thal_PuI_R,Temporal_Pole_Mid_L,Temporal_Inf_L,OFClat_R,Postcentral_L,Hippocampus_L,Olfactory_L,Cerebellum_10_L,Frontal_Inf_Tri_R,Thal_LGN_R,Calcarine_R,Postcentral_R,Vermis_7,Frontal_Inf_Oper_L,Precuneus_R,SupraMarginal_L
Raphe_M,1.0,0.09188882997640092,0.04163914154875589,0.0034841662192896376,0.24060398064655664,0.07920711938559262,0.022122120535247165,0.3637652521380136,0.5118234458368083,-0.17308391604380383,0.2717018458732963,0.17807589849299704,-0.2572424757438088,0.31451572203725325,0.1684772376844611,-0.10377821936335986,-0.08514295512790448,0.13667485563860196,-0.029263912105263853,0.07695850969066759,0.3028677421904255,-0.24059918131644428,0.07910039910487299,0.0024173878674258295,0.03161249156536212,-0.09815691612471955,-0.14641297726249192,-0.03860297341649159,0.04003494901667729,0.04065270393043062,0.13011987968390668,0.11328760264272343,0.09904580013759305,-0.01579212865700475,0.28259273519442124,0.10695888838238476,0.17469825696028626,0.13792146633409458,0.06922527092453815,0.20264030089805568,-0.028514876375587705,0.11525512059333166,-0.16994207374716663,-0.237537267799601,0.11899123821796902,0.014123373631639832,0.0867564394926292,0.0023448783666883927,-0.4066642600596266,0.18223066880270977,0.22623721981432462,0.004089724841681327,0.18867273928078968,0.19901158048443554,0.10592771160078651,0.26708618006347645,0.09662099299094132,-0.42430154537626125,-0.09946899404563946,0.17210006586134152,-0.09439484511407661,0.10133487268577243,0.1603578420387118,0.1539982972867895,0.09243856522749061,0.14492861495652118,-0.14493561418568016,-0.009393684260866465,-0.07168029057801344,-0.010734797755862363,0.08285432398986887,0.052852247669547964,0.13604580680953515,0.1513767609545654,-0.058188922259905886,-0.15513846010072707,-0.005333597172460801,0.032481416482638366,-0.12228945343499295,0.19000499285078756,0.02805983004058126,0.051964750895665685,0.10962642716249112,0.22326438443694888,0.25338658016302024,0.191832370776769,0.26244750843446696,0.07400286470373284,0.11948067477050538,-0.05589751372989661,0.21878613501733213,0.34328525434210727,-0.1113802400404102,0.1366867139844477,-0.25137676880557736,0.18524253087859321,-0.46960279577208397,-0.005791437503605739,-0.2804463400446283,0.1641455151114296
Cerebellum_7b_L,0.09188882997640092,1.0,0.5948663315998091,-0.18726583937679844,-0.07658643490789377,0.5736149692352586,0.8262527399490909,0.30552862505273226,0.20784903579688535,0.21765000810354387,0.31406012419222734,0.12605365611683253,0.39433951151012064,-0.12261301836723491,0.6079668699844673,0.07082914985190096,-0.5549899581406357,0.44242370145152543,-0.4395258251878413,0.4420192982814522,-0.08896174444680972,-0.1988998011546748,0.5032345284394644,0.9032160670642326,0.3419996459437034,-0.25921258242678963,-0.33057967685781336,-0.40955077815144086,0.02955375565174541,0.2264827835269302,0.18534271731597282,0.06351740523903539,-0.048213116748883414,0.48209911165638974,0.6915631818079231,0.21580242061324037,0.0704445565910177,-0.09251733221845093,0.267334784639946,-0.15670255999604377,0.08733822653460509,0.21626511137358523,0.2193265419170133,0.23889069165253765,-0.2650453795256534,0.0948173492524453,0.01882877388200567,-0.17483021439892477,-0.3272124528593138,0.06264098031799314,0.39774923920782135,-0.575775818393471,-0.18389037474214093,0.24440905432749332,0.40342533424316174,-0.13873778221546393,0.7294832808058701,-0.07334430781689634,-0.4441589686164251,0.057448260017761245,0.3771070052731228,-0.314491830674433,-0.10499886107597184,0.11985757219167356,-0.22392118436310107,0.05867622076519347,0.1317139658326972,0.3475165387346731,-0.04637633770218669,0.12591213425494363,0.15966529557721368,0.2625628586352708,-0.04599064893502967,0.34448789510482386,-0.22843027744078861,-0.0851860070466657,-0.11402010133596414,-0.023918696825002944,0.32579855760519183,0.4982959919586048,-0.2963274731565652,0.5420013178647749,0.7131493624344492,0.18015728920658733,0.12354222282283508,-0.3880746380879981,0.18119035754872637,-0.5890542982368656,-0.26304893518912986,-0.27315943483100075,-0.017839096103456284,0.7127690201366408,0.7068451890682768,0.21101212698653027,-0.05690998128045328,0.3503486314815506,0.2844138938524879,-0.3040186973763136,-0.0766156598429721,0.4273358646494557
Cuneus_R,0.04163914154875589,0.5948663315998091,1.0,-0.4541866018075412,-0.3104374350267939,0.983345382515262,0.7668359783861981,0.12222710106502355,0.2525659542314219,0.17378243465391066,0.3648281524518567,-0.037051401181977375,0.6503159631915513,-0.1822512927916669,0.3172094420719216,0.1770952965591597,-0.7267836854455267,0.349574058749654,-0.2355409686820758,0.4082999861309898,0.11012497233907151,-0.09252438443981983,0.9389959938749762,0.7022716931872982,0.13089227340074042,-0.12062766822145837,-0.16274863014906304,-0.6739196660306749,-0.08692291604744028,0.1071195027555347,0.21738947994021068,-0.2712656419401622,-0.24705964808382394,0.0945160776815379,0.08302402313352088,0.33289595154477636,-0.11082780161311656,-0.6121481092928802,0.15049434498165173,0.15428425241854601,0.06105452420864139,0.21543441831644936,0.42554679671494483,0.541753104637417,-0.42795971009456,0.02497428985873907,-0.1799878768682852,-0.4497497249236942,-0.3389800557876769,-0.2000810419916443,0.47299949915785505,-0.3755891744312883,-0.012778490436910464,-0.0017128362788356864,-0.017909813185113366,-0.15297939233326174,0.6890589775833921,-0.028047352706594045,-0.34077637645287767,-0.3031370357502648,0.010604192280778288,-0.20746566095704486,-0.4444373706267804,-0.06469601781636895,0.14867344595213453,-0.05645880303833298,-0.0009692255183964982,0.21584961503356737,0.2121611447601567,0.03128877064953798,0.34596629334419354,-0.017532773780911927,-0.0017463322233898545,0.19582718651835362,-0.24433468037138947,-0.011490990603141266,0.06796749941327382,-0.15637372205572042,-0.0034931829845562695,0.05976840252063579,-0.1756719112672981,0.985009838233988,0.4151574636522198,-0.3471274448035047,-0.2370057546161665,-0.6009591491629666,-0.019149205748901648,-0.7918393596187148,-0.3993637789700425,-0.2084561548130091,0.02930153873121547,0.3764624792024394,0.7878451571975822,-0.20497730129949085,0.38563971819427884,0.5723207755710258,0.0698552116438285,-0.7000068154196196,0.28793372463102,0.16180370715997824
ACC_sup_R,0.0034841662192896376,-0.18726583937679844,-0.4541866018075412,1.0,0.7704644059388979,-0.46067228196654936,-0.3794131039367903,0.0965938241490624,-0.11294809181148659,0.2508458875168311,-0.09160968728299825,0.7879097943029711,-0.13406341195342972,0.4638997808617951,-0.25766540971096735,-0.11481714816639578,0.6311144477136055,0.07307008656898138,-0.1202186420233003,0.21747397269991095,-0.03410688002980064,0.46712641449198683,-0.4515097606058648,-0.27132908437421366,0.5826701745263624,-0.05104460471273182,0.4680288117282935,0.760311008084378,0.5472597429475758,0.48115387106147595,0.14762192937965402,0.4222448698309763,0.5885732621276497,0.1141026814823573,0.015694351115591396,-0.12268709622996021,0.6588271156698433,0.5692897853620933,0.5867644819975022,0.04833900501886576,0.5555816793850821,0.014309840337476391,0.08102780739436323,-0.06521444459203796,0.4873297412025089,0.5718795606920967,0.14369256673148467,0.5356646088176068,0.4221184555292853,0.6468983909798962,-0.0045931150926361766,0.10783568187883204,0.30087157422549227,0.45945427295625085,0.5354046051183999,0.18329148944965634,-0.44266264360841034,0.40952362127709646,0.0017455778938648572,0.5057226461429077,0.38857028247158265,0.40761715525761183,0.2876622252173908,0.541672025753901,0.03261302052404249,0.5372779595119676,0.4787493505867158,0.1405680475861429,0.12488730912255766,0.3146497538948177,-0.1132485794997338,0.48120891009587785,0.38725772946940074,0.20025013385687088,0.6042759652092302,0.511481911382979,0.24930740109834315,0.4605489308360659,0.33132979073146185,-0.021037711966799922,0.015364870462178059,-0.43192600226004896,0.1060804004071893,0.3553587447790749,0.28581198963993537,0.3833082039206121,0.6109993390490224,0.6958571787553526,0.39821366303720634,0.4369293298206149,0.38474092637054663,0.005675157474893883,-0.39078712186553716,0.5611702056985993,0.09219597037481786,-0.1488118960391491,0.08833915448588295,0.6086025891123149,0.22799215992826727,-0.08748797440068934
ACC_pre_L,0.24060398064655664,-0.07658643490789377,-0.3104374350267939,0.7704644059388979,1.0,-0.2883997376103404,-0.2694247033328532,0.39693127797507394,0.20761760355225756,0.2699032865712886,0.1970196124629825,0.7130514194159763,-0.3607299671839997,0.5359497732240198,0.03765217804931997,0.13945879180892135,0.3658996115564441,0.129038683684828,-0.039384646386660296,0.18599437465396926,0.20399234124709278,0.08216120716001887,-0.3151043364926824,-0.21666159660359396,0.40095428506641906,-0.03380763067211503,0.08989020874195189,0.51335966320998,0.4001599661492808,0.45021073524734884,0.12962017395897402,0.3850106335592266,0.6936279179270244,-0.027160033628897486,0.1940476634468943,-0.15880358391964558,0.6761934616468536,0.582676141660496,0.467432952610003,0.14166595630987802,0.352799362648569,0.08135888973827107,-0.16804267266814504,-0.281611189369186,0.45745913701380375,0.5150974302508987,0.2925093367097766,0.44510598441284605,0.015098816481078777,0.6449960886585426,0.2537551551461167,0.15465300090736914,0.5026843448519737,0.4566701670047275,0.6587602177208987,0.3593557209155023,-0.17257010463589892,0.17478005571747823,0.07894051127864325,0.5961169905656083,0.11285743331607538,0.39112823798537016,0.5261932021796343,0.3148242580442085,0.33723772257453943,0.6551346439208039,0.1710206197300842,-0.0010779875065058922,0.1461013338591107,0.4269836726563139,-0.027766011418912884,0.41082703550104616,0.6067336546835946,0.2192384285449646,0.43238443597881027,0.2513838601701319,0.28237702002927895,0.48439366683930435,0.04030742600278389,0.25999822992610166,0.16444145180968053,-0.2832605051979083,0.1855975362405268,0.5710606844730948,0.4755304814499336,0.30908251241092194,0.5170658211876908,0.5237030769816594,0.368196703157209,0.41561335826672274,0.6226625628765142,0.2922654381834092,-0.41378848215624237,0.48478905572869196,-0.1904148771788281,-0.04181758606105461,-0.10861114983774382,0.4421368363694887,-0.09499337477352886,-0.01944159177975831
Occipital_Mid_L,0.07920711938559262,0.5736149692352586,0.983345382515262,-0.46067228196654936,-0.2883997376103404,1.0,0.7170327141918102,0.13878239133600617,0.2884822152565573,0.1569017471630946,0.34257891641610533,-0.05108802339652779,0.5984850659095874,-0.167325479999299,0.30855339882457583,0.1892388527647792,-0.6987728194211057,0.3219319854864346,-0.2156263218559221,0.3474174285855892,0.13995741547013268,-0.10374847084050955,0.9498183205084213,0.6790022448412496,0.12326113852565927,-0.11930273095904277,-0.1607984162567755,-0.6504682233956915,-0.1084132501068968,0.06886920524499791,0.2187856099087542,-0.2933527568027843,-0.23906689479633106,0.04298190044411016,0.07403981569525404,0.3298861065404188,-0.0954172234447814,-0.5921129771512901,0.1336473869891654,0.15869317549361525,0.06250414008957438,0.19621871651842251,0.3902694099026631,0.5007619289386136,-0.4263083575506526,0.01115310991850331,-0.19823876342718913,-0.4478959082571908,-0.3577033541705221,-0.22053747194330384,0.4546192072859826,-0.3536718295362365,-0.0035999791461400654,-0.02580541749944701,-0.04115224319134252,-0.12168487121904992,0.663793244108245,-0.06707111102496592,-0.3247568926963078,-0.3084887233342597,-0.009400142115293398,-0.21075836817675603,-0.44316243491796503,-0.07476928458407682,0.15880539099964444,-0.06824516219023054,-0.03292183472378507,0.18841037987127998,0.1950613733520605,-0.0035210592494480048,0.33520807057424207,-0.038114177062481304,0.014745604297756575,0.17957678941240587,-0.2433540805772875,-0.036670373869482804,0.05364726774701892,-0.1695241457658256,-0.045096148708736836,0.05846254840254991,-0.16311941267523128,0.976678709365973,0.3913380461309659,-0.32926322637354943,-0.23906331441818918,-0.5960230677843219,-0.01817124007269381,-0.7700420326469164,-0.35983157122067755,-0.1895595144665459,0.019508181380923455,0.3645424112274227,0.7253644959980122,-0.21504303715249556,0.3667948743692382,0.551728413392658,0.05648500785103127,-0.679010286098223,0.2684783693948187,0.17873628090632893
Frontal_Mid_2_R,0.022122120535247165,0.8262527399490909,0.7668359783861981,-0.3794131039367903,-0.2694247033328532,0.7170327141918102,1.0,0.23675920808953427,0.22590719731779998,0.23541564710398008,0.4042745080100965,-0.007764130992544653,0.5986014848977069,-0.17601169192258798,0.6058395820568384,0.10135075725319974,-0.7566615385589817,0.44709231462384064,-0.31712597321726,0.5790993617368762,0.04958185674259026,-0.2396067195943411,0.6703398362172647,0.8305495693260347,0.1288406992460742,-0.10306925344381507,-0.3517588443109857,-0.6574590502209509,-0.08208592627913774,0.2440793433522075,0.1830484559293335,-0.09605896849779491,-0.12561660102187666,0.35984744901921967,0.45775281656367245,0.3309258627852831,-0.13348125538049294,-0.36409516398336866,0.14973783123363982,-0.07069224915884509,-0.06047467964249838,0.22287000286903688,0.34290372588994356,0.436976531057731,-0.3532926335795497,-0.01702807045726903,0.017526274703628632,-0.38172178259212103,-0.39865056326013215,-0.09569287704661307,0.5532636789335491,-0.5001575726133416,-0.09394465516547831,0.22692516152283398,0.3124762806756194,-0.16903635318781374,0.8831344540474044,-0.10946536406960623,-0.3848957221043443,-0.12846946973533563,0.12133233599405475,-0.21937622393423659,-0.2371066547095995,-0.019269963000798435,-0.09149259222669189,0.001363380148592303,0.004257617384315349,0.2532176137179584,0.12152168309411676,0.15286845290614803,0.31124829483374894,0.1092016762738899,-0.06790780520850032,0.32760004119897607,-0.343386371998678,-0.01937294587714669,0.009182912304987235,-0.1468625212202915,0.2546313063000841,0.3966471266912322,-0.18381755329529598,0.7267246356552953,0.5802084160012918,-0.04877425799157593,-0.04070971405819881,-0.4639534173132826,0.011838460492431006,-0.7740803359632776,-0.3941822658131534,-0.3124155825661469,0.052697468193509435,0.5828073090085859,0.9405903264419603,0.005525197322494565,0.06489464258406266,0.49329946848999295,0.12355496960349545,-0.577200480601868,0.01322674757825044,0.33268785107930016
Thal_LGN_L,0.3637652521380136,0.30552862505273226,0.12222710106502355,0.0965938241490624,0.39693127797507394,0.13878239133600617,0.23675920808953427,1.0,0.4780954879456174,0.20007994766053677,0.5126493353822842,0.43152386768890477,-0.21809683572237182,0.14428110420046483,0.2182525696434503,0.29805392527074626,-0.36122454665294484,0.4545179150968488,-0.31630013443904,0.14106673295672517,0.24047151116383206,-0.3970760269315842,0.06215349973990606,0.21809000210146098,0.15694225364768657,-0.4241635281029651,-0.3979868482617149,-0.16247080095763491,0.0209573558634978,-0.05521749090228912,0.1227178055420327,0.42713788991420387,0.2806474796166887,0.12753053072382345,0.5350523699973053,-0.0003360307850726802,0.43019925873108594,0.08978300348368062,0.22706504604447109,0.01964241267351343,-0.04446750614127778,0.21382143142924726,-0.27255558865606555,-0.2920295172227025,-0.20829876493322694,0.21825401225256266,0.43223992732629374,0.1417702296544231,-0.5648229264516679,0.42983573480416837,0.4873740012001629,-0.21920143030741465,0.0929953206613615,0.44951279228499885,0.320398510673813,0.044508090313217695,0.19277758801955008,-0.3477419188671144,-0.3761682433394539,0.5844709066833322,-0.2909166252413769,-0.19086362927581596,0.5270383133163495,-0.1071906827995899,0.12420323605025226,0.2081852641972066,-0.1906711043457095,0.12173645320216825,-0.12009554644317129,0.03622752213861604,0.14922395161225485,0.21714967847678493,0.4745514972415704,0.3441048282119174,-0.12721766757268443,-0.1793894548005676,-0.015501938410671058,0.20264405979123065,-0.16542055390256585,0.2609128986055852,-0.27610163528417514,0.12343202946597702,0.4270659965959802,0.21409520296544263,0.652630112320072,-0.2310146992172793,0.14303698814876964,-0.1317449860423691,0.25980231456910985,0.025433751192967785,0.23905544345269567,0.6906438457697438,0.04481878654747633,0.5418971247539747,-0.4568330291249676,0.2661484010819677,-0.25922484238976895,-0.16188775468473418,-0.3961049752393977,0.16219580547391732
Red_N_R,0.5118234458368083,0.20784903579688535,0.2525659542314219,-0.11294809181148659,0.20761760355225756,0.2884822152565573,0.22590719731779998,0.4780954879456174,1.0,0.3343806733288666,0.5580319472338054,0.13236774978590599,-0.014873726440484236,0.3629630056694889,0.3465140282225561,0.3610506699835728,-0.34957042333068367,-0.059687262144025914,0.22250064261482003,0.2440245550599935,0.7153827775020134,-0.24867317495357502,0.2650607105112973,0.1373561641498925,0.04482572867386358,0.13758251936152957,-0.20163769611004959,-0.34603261019997544,0.1087525026852066,-0.16048629371513362,0.35643221557815474,-0.2954334396472174,0.020268252068281666,-0.1961023333281426,0.1945828755215773,0.2619922568874697,0.22734521565988688,-0.1983174094494342,0.20604084375528703,0.1369505350139864,-0.06473229077505814,0.18506672106254504,0.10539153400551089,0.06902261289560849,0.1428649619012762,0.21580050687829844,0.2951864059350537,-0.161179158683143,-0.45209107826681955,-0.00821425167034113,0.45888056435995067,0.15734257320225803,0.3320641008832034,0.3767298209226531,0.1145587211705484,0.37037231420714906,0.4067450661868112,-0.36492107177179417,0.12267859151772816,0.006177609108922204,-0.12491870540012197,0.035466085659759165,0.20076822072138878,0.1761141587293366,0.3273468358471917,0.2616023851657685,-0.2647707259706635,-0.2036659651546489,0.34825178714988847,0.22774599333019546,0.3273328788355106,0.14573828659798949,0.47243289012735534,0.43915755776511123,0.058766505591419514,0.04660542001570111,0.2503508413513036,0.053178136424867864,-0.427283194370869,0.1992650539532847,0.268486832167074,0.2735937533152464,0.25602310149643126,0.04531670627056586,0.10033773476107025,-0.02607356858466379,0.12218039040530156,-0.18737281431208816,-0.15058700778093967,0.2313876448634872,0.22178122611499568,0.3358137043595815,0.09385013423615263,-0.02442068498089259,-0.19453150099792277,0.4579979942347069,-0.38365987565376525,-0.4058373517911511,-0.17445976753179326,0.18385752353385548
Thal_VL_R,-0.17308391604380383,0.21765000810354387,0.17378243465391066,0.2508458875168311,0.2699032865712886,0.1569017471630946,0.23541564710398008,0.20007994766053677,0.3343806733288666,1.0,0.35375900314390235,0.38543705672481854,0.3721397831319891,0.33296084127554426,0.00652303240535109,0.4553667621457478,-0.05620289386276134,0.24942099207631097,0.02278263439449994,0.5311305538406311,0.43136987970316837,0.30932845776410794,0.1693337178735475,0.23971605288743655,0.41291778030907456,0.13922645381630197,0.20571338776958098,0.004543324339871679,0.3433820499398922,0.25939943430381146,0.47882713532048193,0.024382205707140888,0.26878145151604493,0.09028882622140677,0.015667959216126334,0.263887385137044,0.3531887427325791,-0.13718705384593904,0.5463355384323534,0.06961366521610454,0.37635151749360995,0.12571590524935758,0.4714049359007413,0.4603479509631223,0.2248963520449843,0.49615025581461114,0.3580206037412727,0.07588289453796711,0.15938354420134793,0.21612955200237094,0.4303208601885097,0.051424211480535886,0.2761674929074946,0.5919568577662171,0.33141541364361976,0.18252192216882634,0.21377693999633612,0.3438519271443704,0.0008230598223103317,0.1420843528735357,0.2871285490453766,0.17554930015718664,0.15330817495286964,0.38383528527729804,0.2644571787148,0.5153830382272956,0.2762614523190202,0.010083661851874242,0.5277574786312742,0.6058926533732333,0.2565876895780623,0.3769921104786008,0.4885928153270006,0.651544530027957,0.36551572990749925,0.5286927143238632,0.4448751291569185,0.2232392292894394,0.06886678317826236,-0.03554824478615876,0.18857109406743647,0.21124101093555073,0.3369082458154685,-0.07727942722075169,0.040236502313906554,-0.07638142751784695,0.2432404950128834,-0.04664291031739924,-0.10647939839271804,0.4525092577978005,0.3272457505562373,0.17217650738647286,0.26886006599432655,0.197705719157931,0.2536420074314113,0.35816740612956915,0.33009814524553927,-0.19754069378486908,0.31357033567236714,0.12517549737040606
