,OFClat_L,Frontal_Inf_Orb_2_L,Postcentral_R,Thal_LP_L,Caudate_R,Thal_PuM_L,ParaHippocampal_R,Thal_Re_L,SN_pc_L,Frontal_Sup_2_R,Thal_VL_L,Occipital_Sup_R,Temporal_Inf_R,Heschl_R,Thal_PuI_L,Vermis_10,Cerebellum_4_5_L,N_Acc_L,Angular_L,Postcentral_L,Frontal_Med_Orb_R,Temporal_Sup_R,SupraMarginal_R,Parietal_Inf_R,Thal_VPL_R
OFClat_L,1.0,0.23937984440260113,-0.299413860292383,-0.2247310867772089,0.23894913045656904,-0.020525174600313525,0.07091021439255187,-0.13329298033217765,0.10290802025601481,-0.18491691869976928,-0.2681953877985733,-0.4194025530368833,0.22117987698004876,-0.09904655516989741,-0.2974981521166454,0.15180499210489148,-0.18269434078072128,0.2614875153844735,0.020095513553779695,-0.009480050024468521,0.37916560329967136,-0.13054303989424335,-0.28104886364524184,-0.03424963207225485,0.058642159047365944
Frontal_Inf_Orb_2_L,0.23937984440260113,1.0,0.18747474031357467,-0.15153325535056075,0.31455277673995724,0.5199682072368095,0.6365338999954155,-0.1497335110345708,0.32834575612910866,0.028462433670779223,0.2833394644363497,0.10530842342881483,0.34903453418639907,0.33031876015872264,-0.15243458289056513,0.4196259203086368,0.2933301708893375,-0.05822771680701137,0.1338238391796039,-0.22398082173869122,0.540426939654125,0.39001100742367445,-0.10666916109084912,-0.03841232395804419,0.3391107042614477
Postcentral_R,-0.299413860292383,0.18747474031357467,1.0,0.2529364255202329,-0.0803062603908922,0.3955447552255477,0.30144203426261,0.05897861618806731,0.04616161232676715,0.4456701362766268,0.41303001772414993,0.5987377926414943,0.24941297788921188,0.4056616002690407,0.17033477972040756,0.148488262986687,0.4736482590201768,0.018792812218340314,0.14265374126656277,-0.1746845480385785,0.017256356515357455,0.5107751168013626,0.3713102569253639,0.07557505823017081,0.13390490031876015
Thal_LP_L,-0.2247310867772089,-0.15153325535056075,0.2529364255202329,1.0,-0.01774564142195176,-0.24593302618295232,-0.2712689399877352,0.41987632915861106,0.04138081357686967,0.2036493751415226,0.480706221589073,0.34441065092453055,0.02588645542275878,0.0733320194340178,0.6230196133858392,-0.03116547087687215,0.28123926452643266,0.4392309394718463,0.04751998807142518,0.14671834394919767,-0.5867224164436121,0.11138987392506915,0.311149630293542,-0.01296352641225008,-0.2083414358759145
Caudate_R,0.23894913045656904,0.31455277673995724,-0.0803062603908922,-0.01774564142195176,1.0,0.042570835884708044,0.4317557115493175,-0.07159787965553482,0.5497032967075683,-0.18467368747457136,0.09937643504913016,-0.3950117488785804,0.49319726612445813,0.001033300221247444,-0.003927975091415889,0.46905881903139857,0.2953542663055443,0.31884274722705114,-0.029912708617890388,0.22526847106200037,0.22400425506740188,0.022937735869818888,0.0353443670450939,-0.21913362271846643,0.3829339912899458
Thal_PuM_L,-0.020525174600313525,0.5199682072368095,0.3955447552255477,-0.24593302618295232,0.042570835884708044,1.0,0.5398531378452288,-0.15945365617034296,0.1570310387550344,0.4136866804348485,0.2910711867951312,0.383089127809643,0.1330498518886789,0.30124348062706413,-0.14850973543906346,0.12774785344654557,0.2650217771473353,-0.24993857898442212,0.15166471311369153,-0.4851395289961495,0.544936999543171,0.4212344488924311,-0.033982180180619916,-0.0034699302322474582,0.5540492309371691
ParaHippocampal_R,0.07091021439255187,0.6365338999954155,0.30144203426261,-0.2712689399877352,0.4317557115493175,0.5398531378452288,1.0,-0.37416828965904364,0.3745597075420284,0.01315173962843116,0.06988325451682359,0.0758572841599292,0.6830699532501042,0.4548017898552112,-0.3855703694843169,0.6105181427191307,0.6234795537503982,0.049280906144499544,0.17653423943221816,-0.12980440350304204,0.5846920569084545,0.49959524554629453,0.012715423080843625,-0.047021172953991226,0.40734503400258865
Thal_Re_L,-0.13329298033217765,-0.1497335110345708,0.05897861618806731,0.41987632915861106,-0.07159787965553482,-0.15945365617034296,-0.37416828965904364,1.0,-0.1409848353747616,0.03539791753354187,0.5864035534541605,-0.058923934806843103,-0.15487531286112433,-0.5564601184699918,0.7544554829743368,-0.18600428668526056,-0.05473302278999672,-0.27185465504848794,-0.014006270126559535,0.234421309376226,-0.4945282194371202,-0.44777911148160165,0.14536538749393393,0.07302492375182752,0.1685379484607289
SN_pc_L,0.10290802025601481,0.32834575612910866,0.04616161232676715,0.04138081357686967,0.5497032967075683,0.1570310387550344,0.3745597075420284,-0.1409848353747616,1.0,-0.1327645900923284,0.25679798119664543,-0.14879780245479185,0.3903083465851439,0.0527440490839061,0.16770696099153062,0.5688275933760712,0.3649378242251188,0.1882612761446795,0.02588240090287585,0.21448162131005652,0.09565044872298169,0.031118467183679447,0.009641418343201568,-0.021495771362333015,0.4172119360317673
Frontal_Sup_2_R,-0.18491691869976928,0.028462433670779223,0.4456701362766268,0.2036493751415226,-0.18467368747457136,0.4136866804348485,0.01315173962843116,0.03539791753354187,-0.1327645900923284,1.0,0.2767977650294256,0.6860738672513813,-0.07603539469332164,0.15884514068665326,0.19998044202253298,-0.1189463927505281,0.03628335666272054,0.13942806569346208,-0.04083518867736662,-0.43193014830120874,0.15125749797880167,0.28874494994045025,0.13461981290262603,-0.029018299128435922,0.12383724919487944
Thal_VL_L,-0.2681953877985733,0.2833394644363497,0.41303001772414993,0.480706221589073,0.09937643504913016,0.2910711867951312,0.06988325451682359,0.5864035534541605,0.25679798119664543,0.2767977650294256,1.0,0.323449201927137,0.027055246903706653,-0.11153430120524203,0.6930079754630558,0.08303007255311526,0.29225992957110725,-0.16921669765691533,0.09107404394807249,-0.011444231531143793,-0.2749157309176278,0.03436443488011442,0.2544847955642071,-0.00034759741694408456,0.4489287031311225
Occipital_Sup_R,-0.4194025530368833,0.10530842342881483,0.5987377926414943,0.34441065092453055,-0.3950117488785804,0.383089127809643,0.0758572841599292,-0.058923934806843103,-0.14879780245479185,0.6860738672513813,0.323449201927137,1.0,-0.031460570466841996,0.5264334623700822,0.15688786319051612,-0.07077375845323014,0.3117931635011689,0.07716988910766519,0.13675826890658394,-0.4166154202544413,-0.08977240956163998,0.5974614979534033,0.2167350101171849,0.08030310281165108,-0.1581003526706033
