,Olfactory_L,Lingual_L,Frontal_Inf_Tri_R,Fusiform_R,Temporal_Pole_Sup_L,Temporal_Pole_Mid_R,Cerebellum_Crus1_L,Amygdala_R,Temporal_Inf_R,Red_N_R,Calcarine_R,VTA_L,Angular_R,Heschl_R,Precuneus_R,Occipital_Inf_R,Precentral_L,Thal_LGN_L,Rolandic_Oper_R,Cerebellum_8_L,Cingulate_Mid_R,Cerebellum_10_L,Putamen_L,Temporal_Sup_R,OFCpost_R,Frontal_Inf_Oper_L,Heschl_L,SN_pr_R,Cingulate_Post_L,SN_pr_L,LC_R,ACC_sup_R,Parietal_Inf_L,Cerebellum_4_5_L,Vermis_7,Cerebellum_3_L,Thal_LP_L,Thal_PuI_L,Thal_PuI_R,Hippocampus_L
Olfactory_L,1.0,0.006090503221525074,-0.008511304780417615,0.3241274304038714,0.7000112533307628,0.6458549123448627,0.09605827296069988,0.4890040040909234,0.2607812117912513,0.22178122611499568,0.05100383265452856,0.22339679248502936,0.1125945310180542,-0.0024787680186101916,0.03715641447324604,-0.17792479637580638,0.04976785923390442,0.23905544345269567,-0.024075796122758,0.21741456289461963,-0.06268763534374823,0.23371719723569154,0.6770189538599951,0.06338388509877112,0.5933141770455461,-0.0038846809350385923,-0.050989232392685914,0.12164219751353793,-0.004296607089141733,0.23746116744171744,0.36909829130732097,0.38474092637054663,0.011619283110636161,0.1909838050056645,-0.15764924160056273,0.3655884089964379,0.1554040427116609,0.15942596895246217,0.23656723878076774,0.4528373822879053
Lingual_L,0.006090503221525074,1.0,-0.07276685675735145,0.6839778940815093,0.19962987791869377,0.20234455683514355,0.69198152192291,-0.10419836120195389,0.7073362975837976,-0.19090401134813442,0.7819789309780907,0.46540656320913193,0.009786699635900868,0.6506491417429817,0.8661936521192082,0.26965947615006286,0.2594551075786234,-0.3371678413373846,0.46832263094010773,0.057022140266992045,-0.013228650726595221,-0.39610722227236395,0.3428429546138984,0.5830002481308895,-0.10741582197143856,0.23162530533043255,0.6100691568820785,0.719336151761178,0.8992282296573968,0.6506886070083325,-0.21116198319094556,0.5010020488169398,-0.22224221657670398,0.7311803238290089,0.3212062203395312,0.4439855755919616,-0.024546976934396232,-0.34897843617708024,-0.3704034891876792,0.5197349819503959
Frontal_Inf_Tri_R,-0.008511304780417615,-0.07276685675735145,1.0,0.19295206649557556,-0.23068639550732267,0.10040334472762567,0.2713162598045775,-0.02029069944230436,0.05033362482762774,0.09385013423615263,0.3254498446915305,-0.10048327795495839,0.35832276347833103,0.5734248992604267,0.25882922933201824,0.367277010516531,0.41805845012287673,0.04481878654747633,0.8000878863664592,0.48643977895874274,0.25371216456133916,0.3935606258219018,-0.02446307722598417,0.656482335785669,0.4576829664714218,-0.6356828058435897,-0.5842790611544605,-0.11718595735194737,-0.14407217894669744,0.04652006944559791,-0.33877733428396645,-0.39078712186553716,0.39511847540807155,0.18770596439326181,0.20765470662583535,-0.19560450008831548,0.4350378472580385,0.1799153489690863,-0.24478887573492214,-0.28852909402549465
Fusiform_R,0.3241274304038714,0.6839778940815093,0.19295206649557556,1.0,0.37770047578020566,0.6254794601284243,0.6502002805124233,0.14883314884831267,0.8100609986475419,0.20604084375528703,0.47325009951848857,0.3732065294738787,0.23105287088529292,0.46874469862977325,0.5811532404757872,0.056442139928888066,0.2818919212986693,0.22706504604447109,0.46498946905574956,0.5383444991378347,0.2389970679498698,0.22341860096212424,0.6158937132577638,0.5121402607588932,0.3677539223180077,0.04950886734452487,0.1053116257564178,0.5707556053624993,0.5353027207504838,0.5020970378396055,0.02758583081055008,0.5867644819975022,0.15958503586651593,0.8756172104470901,0.09067627248437891,0.7579675782189924,0.31755412600455696,0.22046996128061994,0.04799509695690641,0.4997179252427424
Temporal_Pole_Sup_L,0.7000112533307628,0.19962987791869377,-0.23068639550732267,0.37770047578020566,1.0,0.4957451326272895,0.21207012961192134,0.5441997537386687,0.48368777590239775,0.3629630056694889,0.05468907440096286,0.07141957141274595,0.06427630820880809,-0.026651355404918853,0.104868944157067,-0.038491317279768934,0.08475117053978633,0.14428110420046483,-0.11165477426811382,0.1493928940255993,-0.20637347145986323,0.02816832163335052,0.6672832933642341,0.04013894078102203,0.40737611824918324,0.14770424699468543,0.2845124122488966,0.1850971050272282,0.21928152673810972,0.15587858452172748,0.3377108333745003,0.4638997808617951,-0.052120741204447485,0.25101862069529873,-0.1121469409156299,0.48192709986384363,-0.1830599188338616,-0.03944977457053333,0.16972962197884017,0.6569936991260569
Temporal_Pole_Mid_R,0.6458549123448627,0.20234455683514355,0.10040334472762567,0.6254794601284243,0.4957451326272895,1.0,0.3062257638762202,0.3002433220814215,0.5991129822726988,0.18430753746733494,0.05075524813426363,0.22444634051528384,0.13664458587975944,0.0559831805295298,0.1155068062145254,-0.19705563229640802,0.15707283023697022,0.36652472439411626,0.09495175416096882,0.507620522808068,0.2406177341451519,0.4249247322990097,0.558749202248574,0.14433749616929142,0.5286872441395468,0.10529780434392758,-0.04198516469519914,0.3050286478937297,0.12800232797616898,0.21097312592807452,0.1695370690761582,0.5076710562165322,0.14844423132278556,0.39390657196398216,-0.1397700954663457,0.4880785736757347,0.32548842800015965,0.32309477094752725,0.2621008242547293,0.3803595818574112
Cerebellum_Crus1_L,0.09605827296069988,0.69198152192291,0.2713162598045775,0.6502002805124233,0.21207012961192134,0.3062257638762202,1.0,-0.020611480671945005,0.6436683058760158,-0.02642828092845204,0.6381275608189367,0.396248789340462,0.06859069503437738,0.5925756848712194,0.6538732778559355,0.5225953372290657,0.43896192729332845,-0.145239190564202,0.534995036990148,0.3942862555774224,0.22863286680647948,0.0006553204763215926,0.4054097041209469,0.5771325390198478,0.17767731786154006,0.10238418825789505,0.3187868188814532,0.534162096559912,0.5663925744726992,0.574871004969536,-0.21147216551946663,0.24383466108341695,0.08948263912165415,0.6757401411659967,0.4209829004159577,0.4450409721204007,0.17886665718032813,-0.16795701026820614,-0.28135554145053765,0.4058170193692901
Amygdala_R,0.4890040040909234,-0.10419836120195389,-0.02029069944230436,0.14883314884831267,0.5441997537386687,0.3002433220814215,-0.020611480671945005,1.0,0.23572860575620216,0.7153827775020134,-0.07095293387100539,-0.3096889668600606,0.21288648336925717,-0.06018038630419227,-0.09093172851511955,-0.007179439866816157,0.23094376333657649,0.24047151116383206,-0.0659188693255175,0.11378266943684559,-0.49065577888198697,0.09000206397368705,0.27780708068645626,0.11131150478918572,0.45798467637353785,-0.324234010495378,-0.07500652535644411,-0.4715962230622245,-0.0677037924073536,-0.16647970330609016,0.39960394321169296,-0.03410688002980064,0.050439256219885695,0.23880866171380677,-0.3635685774266818,0.12469030314575531,-0.10395578538481827,-0.03465959964743686,0.011993151898601957,0.43323790766819237
Temporal_Inf_R,0.2607812117912513,0.7073362975837976,0.05033362482762774,0.8100609986475419,0.48368777590239775,0.5991129822726988,0.6436683058760158,0.23572860575620216,1.0,0.1761141587293366,0.4810480326383,0.25271867952749805,0.11863519474877676,0.4592101192416957,0.5633802978995506,0.22916588835553497,0.28453167076746905,-0.1071906827995899,0.3687720244973163,0.3516423625509869,0.10496085095672979,0.010680516582149973,0.46565094258786927,0.4978853780111606,0.16454516259387228,0.17126205050504398,0.4021825110726064,0.5486353778625048,0.6482983857727976,0.3910895079947181,-0.0817558476426399,0.541672025753901,-0.03944752592630679,0.6799463952688714,0.0625340027486563,0.5186177814076197,0.02588645542275878,-0.14597460116035274,-0.19361120744402655,0.49926990540842514
Red_N_R,0.22178122611499568,-0.19090401134813442,0.09385013423615263,0.20604084375528703,0.3629630056694889,0.18430753746733494,-0.02642828092845204,0.7153827775020134,0.1761141587293366,1.0,-0.19453150099792277,-0.4752680118462995,0.3273328788355106,-0.10592073621365627,-0.17445976753179326,-0.005141797805830398,0.2619922568874697,0.4780954879456174,-0.014873726440484236,0.25602310149643126,-0.26172029600703794,0.3358137043595815,0.2616023851657685,0.06902261289560849,0.45888056435995067,-0.4058373517911511,-0.3286212149156391,-0.4800805953940035,-0.20163769611004959,-0.36492107177179417,0.34974616851472856,-0.11294809181148659,0.2188277474866477,0.31615570562534623,-0.38365987565376525,0.22734521565988688,-0.059687262144025914,0.23514059039300053,0.10033773476107025,0.2313876448634872
