,LC_R,Thal_PuI_L,OFClat_R,Temporal_Pole_Mid_R,Insula_L,Temporal_Mid_R,Lingual_L,Fusiform_R,Cerebellum_3_R,Red_N_R,Thal_LP_R,Thal_VL_L,Thal_PuM_R,Pallidum_R,Thal_VA_L,Calcarine_R,Temporal_Pole_Mid_L,N_Acc_L,Thal_LGN_R,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Cingulate_Mid_L,Parietal_Inf_L,Thal_LP_L
LC_R,1.0,0.24608279946080153,0.2157593008705107,0.1695370690761582,0.10725215883139443,-0.3547838878540267,-0.21116198319094556,0.02758583081055008,0.0686418009156769,0.34974616851472856,0.39510035154254897,0.2984244692312556,0.485617130711163,-0.4289083891310903,0.34269110590676466,-0.31723090717813485,0.253325243239941,-0.2608623294372038,0.06555193686504965,-0.22667560476904303,0.11727646957658924,0.272397115629462,-0.2686335873643127,0.066351093512637,0.04679982775708391
Thal_PuI_L,0.24608279946080153,1.0,-0.2004704703792834,0.32309477094752725,-0.41028572371493005,-0.2751761619845099,-0.34897843617708024,0.22046996128061994,-0.04182495624457963,0.23514059039300053,0.389296735159021,0.6930079754630558,0.5003216532267363,-0.21294123212971303,-0.10888194046444688,-0.4627652091746161,-0.32149567560100445,-0.03765225253183415,0.6333382872294134,-0.11284174354317414,-0.23535870615475735,0.26593273434356474,0.0838242493672661,0.4459277734531574,0.6230196133858392
OFClat_R,0.2157593008705107,-0.2004704703792834,1.0,0.2521196999302465,0.6625214772944654,-0.1766817209924159,0.3806113154553756,0.19161524945132138,0.35107211364891727,-0.18737281431208816,0.09477714652465821,-0.18983138561830754,0.3644055593028401,0.039443049289869386,0.2756263406001316,-0.04320603445134146,0.6233078278471649,0.01017597019569033,0.26828907779414557,-0.2619981094191016,-0.010130768119580353,0.5161313504073933,0.012019481429776342,-0.4262419438905844,-0.2905297423366885
Temporal_Pole_Mid_R,0.1695370690761582,0.32309477094752725,0.2521196999302465,1.0,0.26502706065747345,0.24265953555512873,0.20234455683514355,0.6254794601284243,0.5250541232483664,0.18430753746733494,0.1428903739827081,0.42717116421255397,0.30166135279991985,0.19712375430961737,0.2600113758930935,0.05075524813426363,0.3445581055274435,0.31621422541183786,0.42851698695076645,0.15707283023697022,0.15186029122857217,0.49786250061601783,0.24884178409262145,0.14844423132278556,0.32548842800015965
Insula_L,0.10725215883139443,-0.41028572371493005,0.6625214772944654,0.26502706065747345,1.0,0.3089843201278916,0.643946206834378,0.4358367906140776,0.6261263032926746,-0.04509283057587474,-0.15858696857079427,-0.17471847162326512,0.0508657923001525,0.4323354171433666,0.4019358787997145,0.40477855473573343,0.5939477851107924,0.3038595286580029,0.11527711478066335,0.11489618556426962,0.3626675412305446,0.3943337038643172,0.1306019237393168,-0.27261103175624335,-0.27381692663051954
Temporal_Mid_R,-0.3547838878540267,-0.2751761619845099,-0.1766817209924159,0.24265953555512873,0.3089843201278916,1.0,0.6798866721253293,0.6382787075348949,0.5290400375977964,0.10539153400551089,-0.5488049150949306,0.03380381022554324,-0.5339652536424145,0.6900945895407777,0.012211410452396492,0.828905353622237,-0.14352113772360148,0.4073479562816747,-0.09695506268769932,0.5167249315589346,0.5259891105868744,-0.1427621629637223,0.23549094375911445,-0.010919601795174339,0.09510427838262674
Lingual_L,-0.21116198319094556,-0.34897843617708024,0.3806113154553756,0.20234455683514355,0.643946206834378,0.6798866721253293,1.0,0.6839778940815093,0.6939176364587232,-0.19090401134813442,-0.5865982652596449,-0.2156479314260364,-0.3283971254868654,0.7062235614401203,0.05388719691348476,0.7819789309780907,0.13101194543920291,0.43546197279531595,0.11259801054826908,0.2594551075786234,0.34709244320728033,0.13020904452165488,0.3202442051097476,-0.22224221657670398,-0.024546976934396232
Fusiform_R,0.02758583081055008,0.22046996128061994,0.19161524945132138,0.6254794601284243,0.4358367906140776,0.6382787075348949,0.6839778940815093,1.0,0.8265622080602746,0.20604084375528703,-0.25501360554632835,0.32619007230327973,-0.013560382785296277,0.6276386392421328,0.16218849238754535,0.47325009951848857,0.008233550609965756,0.4326982087606158,0.4909898569899436,0.2818919212986693,0.40824907374502545,0.3163247526193517,0.3215963819216367,0.15958503586651593,0.31755412600455696
Cerebellum_3_R,0.0686418009156769,-0.04182495624457963,0.35107211364891727,0.5250541232483664,0.6261263032926746,0.5290400375977964,0.6939176364587232,0.8265622080602746,1.0,0.034051761486898216,-0.2749290458562774,0.11682579211906592,0.006274667099915804,0.6677189961258375,0.26838564955811084,0.5011134085636557,0.20743976425911395,0.4621322378705481,0.3315986312376061,0.1139683160997263,0.3917681504103394,0.36979575921919083,0.2844096693554653,0.03692065534547481,0.07562056908713131
Red_N_R,0.34974616851472856,0.23514059039300053,-0.18737281431208816,0.18430753746733494,-0.04509283057587474,0.10539153400551089,-0.19090401134813442,0.20604084375528703,0.034051761486898216,1.0,0.25041599245125257,0.5371362069660791,0.20076822072138878,-0.22047726717974897,0.37037231420714906,-0.19453150099792277,-0.02607356858466379,-0.36493836062883006,-0.02442068498089259,0.2619922568874697,0.34825178714988847,0.020268252068281666,-0.427283194370869,0.2188277474866477,-0.059687262144025914
