,OFClat_L,OFCant_R,SupraMarginal_R,Pallidum_L,Temporal_Mid_L,Occipital_Inf_L,Cerebellum_8_L,Hippocampus_L,Temporal_Sup_L,Frontal_Inf_Tri_L,Thal_PuL_R,Thal_VL_L,Raphe_M,Thal_LP_L,Occipital_Sup_L,Cerebellum_Crus2_R,Vermis_8,Vermis_1_2,OFCmed_R,Occipital_Inf_R,Thal_AV_L,Frontal_Inf_Orb_2_L,Vermis_7,Thal_PuA_L,Thal_VL_R,Lingual_L,Precuneus_R,VTA_L,Cerebellum_8_R,Amygdala_L
OFClat_L,1.0,0.260852716135201,-0.28104886364524184,-0.005314199897916674,0.49323163677794,-0.29881190920598205,-0.13299386545761666,0.20738151669970156,0.5280405204717171,0.3599121969941275,0.01603738096238648,-0.2681953877985733,0.10426540449689656,-0.2247310867772089,-0.4089377622078267,0.34975933574225276,0.33552636594383106,-0.14001736648074994,0.45771177396947044,0.23689640740745607,0.41974196839549505,0.23937984440260113,0.33074985706506344,0.018964130455972793,0.002797725262760394,0.1329599496505734,-0.003298241164663814,0.2326131120585696,0.069877737155264,-0.0636199644576714
OFCant_R,0.260852716135201,1.0,-0.32609473350863183,0.08816959430020888,0.09830917881743015,-0.0927904776068179,-0.2866869168735351,0.49566417089715004,0.2901394390626391,-0.11338006507412873,0.17097507087471292,-0.2633643449058203,-0.029263912105263853,-0.7022276131041588,-0.2171853691339009,-0.25688599530180795,-0.31095228195607816,-0.5085857528917203,0.6637515332314121,0.1638584504486685,0.596928421047315,0.4152009778245299,-0.1821233778866392,-0.504250425285635,0.02278263439449994,0.04635190512514127,0.06412355953409425,-0.22771953262334274,-0.36656908361430185,0.07979868400627199
SupraMarginal_R,-0.28104886364524184,-0.32609473350863183,1.0,0.1846282149781416,-0.14173808390828754,0.14483164280500907,0.21577015752668371,-0.04770628487773803,-0.21591594710056272,-0.108014804646964,-0.029728982772263126,0.2544847955642071,0.11525512059333166,0.311149630293542,0.2199579021986407,-0.0047457880136998086,0.035985385077552515,0.17031513299635573,-0.37430477323188166,-0.10866540121240059,-0.22585290972013514,-0.10666916109084912,-0.02755423672848208,0.10386723750716159,0.12571590524935758,0.09511075736146934,0.12687967209184,0.01437071137509018,0.061702209429738794,0.06448001244445313
Pallidum_L,-0.005314199897916674,0.08816959430020888,0.1846282149781416,1.0,0.08120454464199904,0.2997158904152027,0.3279427846237579,0.5058426297211697,0.04089963884228252,-0.15742379251947597,0.2946060575955616,0.29010372756489333,0.13011987968390668,0.18815061047613718,0.2522332602987497,0.186076706917822,0.11536247773292697,-0.08758142057024432,0.02935485276166206,0.24527326391894663,0.22573928138501353,0.38815695306798986,0.053540954867446956,0.1345660287719982,0.47882713532048193,0.42583201866924475,0.45506826227228026,0.07681674994606899,-0.06292890293323945,0.3209355268876659
Temporal_Mid_L,0.49323163677794,0.09830917881743015,-0.14173808390828754,0.08120454464199904,1.0,-0.5844726298191765,-0.12669477590031733,0.5094436419689788,0.9433113961883521,0.6848104702731748,0.008360140734795879,-0.3032020430749924,-0.03860297341649159,-0.1582320900082922,-0.6545283020696566,0.27988220325208646,0.15546413491212074,-0.0744500549341255,0.403332505058453,-0.10963323981311394,0.3722146980468975,0.08007948282382381,0.20323936884449997,0.3759151898838947,0.004543324339871679,0.5541905287419092,0.203237282841865,0.5086639173067892,-0.09939131042584208,0.3141231602944294
Occipital_Inf_L,-0.29881190920598205,-0.0927904776068179,0.14483164280500907,0.2997158904152027,-0.5844726298191765,1.0,0.36458946686728994,-0.08528395137646251,-0.6194426764271468,-0.6284918010218671,0.1120917359931236,0.2712633308231707,0.07910039910487299,0.26093254994837667,0.9421125041627393,-0.056577912560961806,0.05874525998555776,0.023359707935837103,-0.2709949077794699,0.37352737627636245,-0.0994007805305202,0.16430974029160758,0.06502543119784578,-0.21219378326530677,0.1693337178735475,0.02655763445981601,0.36488904498405256,-0.2810436873933037,0.001143210876469371,-0.18447296440334177
Cerebellum_8_L,-0.13299386545761666,-0.2866869168735351,0.21577015752668371,0.3279427846237579,-0.12669477590031733,0.36458946686728994,1.0,0.1740267294050049,-0.2956746670192361,-0.00235675210920954,0.09836809905923262,0.438340822419325,0.10962642716249112,0.44288530246608454,0.38466477280672234,0.44118712903714474,0.5206042322413205,0.4725920874684855,-0.2252589774726975,0.0864174177299986,-0.1739633453434674,0.14574859049545008,0.05593107891952835,0.2898031452698008,0.3369082458154685,0.057022140266992045,0.06404587994156917,0.09289053288071907,0.6569090335256034,0.2992024741660702
Hippocampus_L,0.20738151669970156,0.49566417089715004,-0.04770628487773803,0.5058426297211697,0.5094436419689788,-0.08528395137646251,0.1740267294050049,1.0,0.5077883655533351,0.07682732289612752,0.31819476487455206,0.11757835981584065,-0.05589751372989661,-0.23128083687544151,-0.16891565597316544,0.008221885928836352,0.12964831185606224,-0.21203722650852588,0.5626908086444432,0.10631082811523217,0.5589516887865734,0.5986860693655898,0.061929866304915926,0.09509221937017982,0.4525092577978005,0.5197349819503959,0.38783633996962513,0.29402619110065387,-0.20585857090701287,0.5897330601308199
Temporal_Sup_L,0.5280405204717171,0.2901394390626391,-0.21591594710056272,0.04089963884228252,0.9433113961883521,-0.6194426764271468,-0.2956746670192361,0.5077883655533351,1.0,0.6124250088524277,0.0012380311240421387,-0.47553212811634854,-0.08514295512790448,-0.32641886719448826,-0.7077200793909515,0.1960666260575421,0.024699137955990255,-0.29970454347780245,0.5130066584160988,-0.0010032728083461432,0.5305352053816452,0.05055429761424386,0.18195471639444616,0.17791661767127556,-0.05620289386276134,0.5571595453433632,0.22755849707568288,0.4551242774031373,-0.2577219385930217,0.15262408303561636
Frontal_Inf_Tri_L,0.3599121969941275,-0.11338006507412873,-0.108014804646964,-0.15742379251947597,0.6848104702731748,-0.6284918010218671,-0.00235675210920954,0.07682732289612752,0.6124250088524277,1.0,-0.2091625410913782,-0.16774588873957766,0.13792146633409458,0.02856871037718318,-0.6333730396912953,0.38994822001048673,0.1205146920248594,0.2550999010392549,0.05867937231596359,-0.2686403505696569,-0.0074187852900365146,-0.28508363506136897,0.05070458166727221,0.3063337612657035,-0.13718705384593904,-0.04529096138144991,-0.4058528119781637,0.2741434665467986,0.414258756675123,0.3101869809727069
Thal_PuL_R,0.01603738096238648,0.17097507087471292,-0.029728982772263126,0.2946060575955616,0.008360140734795879,0.1120917359931236,0.09836809905923262,0.31819476487455206,0.0012380311240421387,-0.2091625410913782,1.0,-0.002829560423665331,-0.19564411234575418,0.015377122685736367,0.0734878432626764,0.12725213744805697,0.1997376109552892,0.007718858727227848,0.048278016398227326,0.2248826316097565,0.3285758534543375,0.22053272223591483,0.10763106138229546,0.020279000577661677,0.24950051131028497,0.2259170752584587,0.3043427124105819,0.11931260878005256,-0.09326525944143436,0.044602989058934686
Thal_VL_L,-0.2681953877985733,-0.2633643449058203,0.2544847955642071,0.29010372756489333,-0.3032020430749924,0.2712633308231707,0.438340822419325,0.11757835981584065,-0.47553212811634854,-0.16774588873957766,-0.002829560423665331,1.0,0.31370464371173756,0.480706221589073,0.3526687098504418,-0.050361648807573246,0.10283622144294803,0.48077859776910464,-0.18015700438525026,-0.3319005854222121,-0.46041966471204915,0.2833394644363497,-0.15682142125096027,0.3502117669410246,0.49529018156110527,-0.2156479314260364,-0.1616206058592737,-0.13435811484142993,0.3416585687457844,0.5255344658304876
Raphe_M,0.10426540449689656,-0.029263912105263853,0.11525512059333166,0.13011987968390668,-0.03860297341649159,0.07910039910487299,0.10962642716249112,-0.05589751372989661,-0.08514295512790448,0.13792146633409458,-0.19564411234575418,0.31370464371173756,1.0,0.13667485563860196,0.051964750895665685,0.04349603361491682,-0.01579212865700475,0.3310061184644631,0.03064774720244152,-0.15049841375017342,-0.37087074836164563,-0.005333597172460801,-0.46960279577208397,0.010868953768314617,-0.17308391604380383,-0.20481399172676443,-0.2804463400446283,-0.3654703996693075,0.28259273519442124,0.1725256966874756
Thal_LP_L,-0.2247310867772089,-0.7022276131041588,0.311149630293542,0.18815061047613718,-0.1582320900082922,0.26093254994837667,0.44288530246608454,-0.23128083687544151,-0.32641886719448826,0.02856871037718318,0.015377122685736367,0.480706221589073,0.13667485563860196,1.0,0.34409896455106265,0.22244527204402578,0.29418380456980503,0.5292731935659102,-0.38748714216362,-0.14667616565857336,-0.5050766485921722,-0.15153325535056075,0.14710196943272658,0.3921603927066861,0.24942099207631097,-0.024546976934396232,0.0028180471922603805,0.19575736431298482,0.41444436586124506,0.05190375461983258
Occipital_Sup_L,-0.4089377622078267,-0.2171853691339009,0.2199579021986407,0.2522332602987497,-0.6545283020696566,0.9421125041627393,0.38466477280672234,-0.16891565597316544,-0.7077200793909515,-0.6333730396912953,0.0734878432626764,0.3526687098504418,0.051964750895665685,0.34409896455106265,1.0,-0.09312316731984864,0.054331186942776055,0.09273143487347309,-0.3857656717816312,0.3021325501800448,-0.20549139925658297,0.11840882659444928,0.06672890691186215,-0.15494063914569692,0.21124101093555073,-0.014356368861250662,0.3245599127206112,-0.2471058569270989,0.021782962010166256,-0.18185531120053833
