,Frontal_Med_Orb_L,Vermis_7,Cerebellum_Crus2_R,Cerebellum_8_L,Thal_PuL_R,Thal_PuM_R,Thal_VPL_R,Frontal_Inf_Orb_2_L,Insula_R,Vermis_3,OFCant_L,Calcarine_L,Red_N_L,Olfactory_R,Angular_L,Thal_PuM_L,ACC_sup_R,Raphe_M,Vermis_1_2,Rectus_L,Parietal_Inf_L,Postcentral_R,Raphe_D,VTA_L,Calcarine_R,Vermis_4_5,Precuneus_R,Putamen_L,LC_R,Cerebellum_4_5_R,Thal_VL_R,SupraMarginal_L,Vermis_9,ParaHippocampal_R,OFClat_R,Frontal_Mid_2_R,VTA_R,Lingual_L,Cerebellum_8_R,Thal_MDl_L,Cerebellum_7b_L,Temporal_Pole_Sup_R,Precentral_R,ACC_sup_L,Cerebellum_4_5_L,Thal_MGN_R,Thal_VL_L,Cerebellum_3_R,Cerebellum_10_R,Occipital_Inf_L,Rolandic_Oper_L,Frontal_Inf_Tri_L,Pallidum_L,Cerebellum_7b_R,Fusiform_R,Thal_LP_R,Vermis_6,OFClat_L,Thal_Re_L,Thal_MDl_R,Cuneus_R,Putamen_R,Red_N_R,Heschl_L,Thal_IL_L
Frontal_Med_Orb_L,1.0,-0.09297750447415624,-0.10775582130617935,-0.13935022798372051,0.247709308598318,0.07221175389861688,0.4573752501762779,0.5756983264988631,0.2812666927436982,0.3876863535724763,0.8332886067407624,0.08803079349048888,0.7723326102683227,0.550720068317735,0.08933931284732206,0.5483151325364263,0.015364870462178059,0.02805983004058126,-0.38866267552551337,0.7282354191079005,-0.23697999844075346,0.024061657568253948,0.48063522157717214,-0.0015441652052681485,0.10336655318983456,-0.04639956339037391,0.10143101284624455,0.3471774977580641,0.21109125306447782,0.1302895687475041,0.18857109406743647,-0.050425049505279027,0.01600311879402975,0.6623235969383006,0.2636669701678225,-0.18381755329529598,-0.13593288518213498,0.09644688812089436,-0.24638957114704516,-0.242071871969033,-0.2963274731565652,0.12767244885959278,-0.4895623959304461,-0.1955157444791619,0.0025492000832038216,-0.07736467243249492,-0.15011513174319852,0.20619927270472055,0.10294016400110323,-0.0441386542740795,0.19466506807575515,-0.020575260845627098,0.20659801758692084,-0.30461915644279075,-0.010750202664352457,0.15687523105584197,0.3007875693437735,0.36145329989134106,-0.40051387232926206,-0.399021141429458,-0.1756719112672981,0.11531585730915667,0.268486832167074,0.44870512832289805,-0.12672813350373133
Vermis_7,-0.09297750447415624,1.0,0.4414107867550038,0.05593107891952835,0.10763106138229546,-0.17682415185163552,-0.2170088188953884,-0.009634444469229288,0.21885052997511728,0.1412049742367734,-0.11146484810000773,0.33415566317498246,-0.14317475340090646,-0.0655241768805409,-0.06560022593601483,-0.10912331802958017,0.08833915448588295,-0.46960279577208397,-0.10951876480111883,-0.22445664752076924,0.18756372199757343,-0.05226428615261446,-0.02965592368398734,0.36456530914519564,0.2984153439763415,0.3101581011274362,0.2975854818261808,0.054128264215775115,-0.41532269127425386,0.004192127673462576,0.33009814524553927,0.028609786218104442,0.036166977269497344,-0.17564416611823405,-0.051175882245982234,0.12355496960349545,0.3548186288529508,0.3212062203395312,0.027479739721950353,0.18315153104344523,0.2844138938524879,0.11667343003496268,0.1556723011296002,-0.027897635726058516,0.08097821192374607,0.053778104471333826,-0.15682142125096027,0.17721987301041223,0.11978690417135712,0.06502543119784578,0.16740526077661172,0.05070458166727221,0.053540954867446956,0.2274261497350404,0.09067627248437891,-0.21698788721633974,0.3925115523167389,0.33074985706506344,-0.17481457525831864,-0.06729212372281315,0.0698552116438285,0.027536734871936083,-0.38365987565376525,0.19992237319328224,-0.050402689034486234
Cerebellum_Crus2_R,-0.10775582130617935,0.4414107867550038,1.0,0.44118712903714474,0.12725213744805697,-0.017357589557453448,-0.08375040343046622,-0.1407497014304725,0.061702910566055,0.1840913898941922,-0.20409045112960755,-0.054366417699400205,-0.3126419704343002,-0.0020493098381710938,-0.21632951091659477,-0.1771105813538007,0.26992338343728844,0.04349603361491682,0.38184426775015096,-0.17504459015495571,0.2927136978876296,-0.05577786785253642,-0.06972797458153582,0.24393328803316328,-0.0207260477547987,0.3517838755881985,0.033671661185118794,0.19944104434080392,-0.21152092647695783,0.2814118499779777,0.14191057047406402,0.40292794836642987,0.36065206199753685,-0.05515284706885987,0.021977059700126873,0.2826208758520194,0.45173372749890983,0.21533337662826188,0.566176491413087,0.06383073517704045,0.6244310040958426,0.23080649053614144,0.2835031969337252,0.23183608609986553,0.19323124517592546,0.1563232641051483,-0.050361648807573246,0.3852024716923469,0.5841982098482107,-0.056577912560961806,0.2204992210599953,0.38994822001048673,0.186076706917822,0.7814125198574244,0.3864590026604829,-0.037988008010825004,0.1957778805902842,0.34975933574225276,0.062073821931760226,0.1400046341107225,-0.030159545179781137,0.28986006839156714,-0.10017756783871842,0.1078571463161564,0.23911334389316838
Cerebellum_8_L,-0.13935022798372051,0.05593107891952835,0.44118712903714474,1.0,0.09836809905923262,0.14826522854521476,0.174669378812184,0.14574859049545008,0.18947350459259701,0.19148213587156537,-0.30843261389231724,-0.005565631182271773,-0.26839180084410574,0.05844557260205305,0.03132360154193709,0.20208731453910772,0.1060804004071893,0.10962642716249112,0.4725920874684855,0.1246329986802875,0.44856818283105554,0.39186936963598296,0.08726179571403396,0.09289053288071907,0.026418212715526596,0.026600418389373624,0.06404587994156917,0.29801465725387505,0.05184074353451891,0.4844058728236458,0.3369082458154685,0.3240693744219318,0.6396257462718328,0.12821863865121,-0.28826557434942157,0.5802084160012918,0.2608595252327997,0.057022140266992045,0.6569090335256034,0.36874321014415623,0.7131493624344492,0.4846355416234021,0.3257934057774443,0.42400144727268935,0.4134402885748462,0.025696899796524054,0.438340822419325,0.4377285612708695,0.5939012046050508,0.36458946686728994,-0.3122336084138214,-0.00235675210920954,0.3279427846237579,0.40113500496828297,0.5383444991378347,0.12663116793334298,-0.06501263710773779,-0.13299386545761666,0.14767662878770899,0.16513895616453955,0.4151574636522198,0.47096734518900935,0.25602310149643126,-0.3805436290838857,0.39412467089644976
Thal_PuL_R,0.247709308598318,0.10763106138229546,0.12725213744805697,0.09836809905923262,1.0,-0.06340243816186357,0.16498702456917202,0.22053272223591483,0.24415362920616854,0.24817236634745926,0.1497850566130467,0.11585559733050893,0.20164749142638255,0.06733610341833497,-0.2910555347239372,0.2656096515803248,-0.006606256419172074,-0.19564411234575418,0.007718858727227848,0.11671575762191055,0.01799388254775015,0.1563360245500454,0.2579743984650875,0.11931260878005256,0.27957718701037343,0.13045469822406863,0.3043427124105819,0.3053714144098185,-0.17157253657771745,0.3352387463198522,0.24950051131028497,0.027621771274859996,0.2619683037978189,0.3284264913381074,-0.031267793391645135,0.13990292831668288,0.21713552106972026,0.2259170752584587,-0.09326525944143436,0.007571279846836961,0.05951217003991032,0.2235465995464444,-0.13174885959882085,-0.0016113400893706135,0.2650171220993175,-0.12234613855800987,-0.002829560423665331,0.28578049211155654,0.16045635014284187,0.1120917359931236,-0.051034293100469225,-0.2091625410913782,0.2946060575955616,-0.11060417093356009,0.279787862279486,-0.05108405631933236,0.24360976470597,0.01603738096238648,-0.23433064382118793,-0.10109386722419685,0.07424842818854692,0.19296345551585004,0.012558259128615908,0.07359733700243021,-0.07243200158247629
Thal_PuM_R,0.07221175389861688,-0.17682415185163552,-0.017357589557453448,0.14826522854521476,-0.06340243816186357,1.0,0.6380673262479282,0.09179172164693367,-0.12464809939708534,0.07849625404171774,0.16154706947036152,-0.5778679353698699,0.20350718268678927,0.22038927580883994,-0.04272187146466053,0.12387183637959998,0.2876622252173908,0.1603578420387118,0.28900351611698993,0.2458900475461619,0.14533197343615534,-0.1307469030502948,-0.1482229185979761,-0.009594928084621661,-0.6525727596613193,0.1131768969983532,-0.5376791387957157,0.2677686749474258,0.485617130711163,0.12014513502038897,0.15330817495286964,-0.06235832787129244,0.1970610152398647,-0.09473065204670095,0.3644055593028401,-0.2371066547095995,-0.26849224114521203,-0.3283971254868654,0.40097054595634557,0.38693784745013965,-0.10499886107597184,-0.12744556305533192,-0.08958628092162045,0.24397419103632637,-0.18396078881897152,0.36804254586720575,0.4587979203380258,0.006274667099915804,0.3070053743810015,-0.45224139179739953,0.14803443790349674,0.42267646875825826,-0.0919526919784304,0.2419355534356866,-0.013560382785296277,0.7486763511934591,-0.1841387516970229,0.13129567214009205,0.47281561349907286,0.6725689738819952,-0.4444373706267804,0.3319700181669819,0.20076822072138878,-0.10543263718520893,0.5211064399764349
Thal_VPL_R,0.4573752501762779,-0.2170088188953884,-0.08375040343046622,0.174669378812184,0.16498702456917202,0.6380673262479282,1.0,0.3391107042614477,0.13849818898814356,0.2636674502562877,0.41500390828751826,-0.2713701135914152,0.43389919355306594,0.29934946619767044,0.0690257324223793,0.5540492309371691,0.1322171688115825,0.215162565827077,-0.010217916918586525,0.4537550187205088,0.04257508082486722,0.13390490031876015,0.2832627682110286,-0.10942253373452535,-0.2899972921687743,-0.1430476724901841,-0.21219852733376057,0.509033787961689,0.4452987957404323,0.3117899832633911,0.4440213147644725,0.07190745555926158,0.19536008240919223,0.40734503400258865,0.20562278777373577,-0.10943690022705325,-0.17063497806649078,-0.09508336366144579,0.14248049898111106,0.25922228875208975,-0.06694764089773159,0.06409167063006961,-0.3261200631624525,0.1263222292550003,0.16143793746743565,0.13984614084685856,0.4489287031311225,0.1817362540398278,0.28153372776442703,-0.1314790520987874,0.0034543288852663966,0.13433967616350914,0.31029367828938076,-0.05666939475283064,0.17104938404970746,0.5276103690533306,-0.07703416586371804,0.058642159047365944,0.1685379484607289,0.22390410735631394,-0.1703803805540282,0.3769686999098597,0.5706064058100527,-0.007511542357677887,0.2585235734588753
Frontal_Inf_Orb_2_L,0.5756983264988631,-0.009634444469229288,-0.1407497014304725,0.14574859049545008,0.22053272223591483,0.09179172164693367,0.3391107042614477,1.0,0.5996068732303534,0.4744061148144202,0.39302307288728294,0.2664668495068964,0.4955986723994613,0.565272983478096,0.1338238391796039,0.5199682072368095,0.24930740109834315,-0.005333597172460801,-0.10917151944823986,0.7939161131860866,-0.12873826496581614,0.18747474031357467,0.5013678031819552,0.1651475328784882,0.3316757009870779,0.08623564391913391,0.3448642459625565,0.5448252443903443,0.1653264126084878,0.3892979255716221,0.4448751291569185,-0.17597142450776515,0.3007309311303032,0.6365338999954155,0.22000221354007174,0.009182912304987235,0.12339009358749135,0.24824615717408172,-0.2579683478527769,0.014641905465413415,-0.11402010133596414,0.5222169302713915,-0.1978702492499757,0.28368796722224526,0.2933301708893375,0.08085959112056229,0.2833394644363497,0.46337073000047024,0.19059251867640725,0.16430974029160758,-0.0972883872925338,-0.28508363506136897,0.38815695306798986,-0.37019820153224564,0.34698365638970585,0.06568599555403763,0.3268628208802249,0.23937984440260113,-0.1497335110345708,-0.07312593001014495,0.06796749941327382,0.3506060037135743,0.2503508413513036,0.1164695858600185,0.1488952305626065
Insula_R,0.2812666927436982,0.21885052997511728,0.061702910566055,0.18947350459259701,0.24415362920616854,-0.12464809939708534,0.13849818898814356,0.5996068732303534,1.0,0.7034161805604074,0.18696845207101098,0.5502561663451252,0.3223881558747158,0.2992729575607297,0.12132914321359393,0.28006989360194284,0.511481911382979,-0.15513846010072707,-0.16389481214513651,0.3663211516465631,-0.16117894723734122,0.26003493544215883,0.4976625958970642,0.3797068584486075,0.6376575981622945,0.4213663241252398,0.7064673730239076,0.6086136034710729,-0.16539160076365295,0.5899293007314353,0.5286927143238632,-0.18267132132375266,0.4327733505307575,0.6537027406675742,0.33350940583419336,-0.01937294587714669,0.5789924906995658,0.694510557091676,-0.3551808529169606,-0.08191655843216467,-0.0851860070466657,0.6396106885797523,-0.06197485883118327,0.41421312130306426,0.6168016631695474,0.24131453998466387,0.07070102116252257,0.6588225075266221,0.26309512645070493,0.05429091802037187,0.20347960806993537,-0.09422424024817155,0.5308309619177962,-0.37746689457278426,0.6776706036390596,-0.30687070591804133,0.651219732844032,0.19505181013736683,-0.3211394866755044,-0.12502883746129548,-0.011490990603141266,0.45774262526356657,0.04660542001570111,0.39836634814067506,0.2433000093284969
Vermis_3,0.3876863535724763,0.1412049742367734,0.1840913898941922,0.19148213587156537,0.24817236634745926,0.07849625404171774,0.2636674502562877,0.4744061148144202,0.7034161805604074,1.0,0.3127394478626528,0.40846495955693835,0.49107174377304375,0.31500913783968704,0.20273734731341694,0.2562595779253534,0.6042759652092302,-0.058188922259905886,-0.07187562891559583,0.4121778638319297,-0.18005633448056452,0.033679509986362585,0.48077580286110677,0.5021020185831694,0.46110816860722037,0.5760220170009184,0.5642844033920741,0.5895132125514657,0.15709375575686504,0.80058127033436,0.36551572990749925,-0.12404177874389809,0.6075239605882482,0.697100259207635,0.5589880883047572,-0.343386371998678,0.520272500496581,0.7520003281086506,-0.23379935040349512,-0.11508061069257293,-0.22843027744078861,0.2790625408329918,-0.04094308776884332,0.4050641587741947,0.6358254010716247,0.3895717933972161,-0.06555136871213561,0.8179635754897073,0.4522410979897157,-0.15761465178225154,0.5138862565105367,0.17087697169205282,0.34422760215819775,-0.26004155210876573,0.6782394603072899,-0.2234868965800412,0.7130650780963308,0.3001403338860279,-0.2877938907871362,-0.05312874507291012,-0.24433468037138947,0.3051938767530639,0.058766505591419514,0.6199766591914755,0.4216226942725414
