,ACC_pre_R,Cerebellum_8_R,Cingulate_Post_R,OFCant_R,Frontal_Sup_2_L,Cerebellum_3_R,Cerebellum_7b_L,OFCmed_R,SN_pr_R,Lingual_R,N_Acc_R,Thal_PuA_L,Thal_AV_R,Frontal_Inf_Orb_2_R,Vermis_8,Pallidum_L,Frontal_Med_Orb_L,Temporal_Pole_Sup_R,Thal_VL_L,Cerebellum_9_R
ACC_pre_R,1.0,0.5781960007518324,0.0508992995999258,-0.2613508421812106,0.5925649906048107,0.3542995908415264,0.40342533424316174,-0.004773313689585494,0.1675811067559302,-0.058098215540379146,0.6183468765601038,0.38916658309751023,-0.1542522972104648,0.573535229284422,0.35188189393814334,0.12181437799867018,0.041822728129211784,0.38031502662095407,0.3259401614232381,0.5002929880928902
Cerebellum_8_R,0.5781960007518324,1.0,-0.3373439495274338,-0.36656908361430185,0.7371203932191741,-0.026539418993170968,0.6915631818079231,-0.27672760326713647,-0.18571084278730957,-0.5003327472773796,0.1076471245338239,0.20709853309506496,-0.43729865608105467,0.18466638976955094,0.48583816884059833,-0.06292890293323945,-0.24638957114704516,0.09323460076657705,0.3416585687457844,0.3706949251305095
Cingulate_Post_R,0.0508992995999258,-0.3373439495274338,1.0,-0.13115899527593752,-0.39968530876531777,0.5082252339532101,-0.36480703830100325,0.23307255729206056,0.8445517099046809,0.748998885655806,0.3272044099083847,0.4509215103968757,0.11942282306049203,0.2189433234212899,0.23590789152469632,0.042697831481343665,-0.09035018367849923,-0.01403230866770909,-0.3929105874705817,0.2533488215990627
OFCant_R,-0.2613508421812106,-0.36656908361430185,-0.13115899527593752,1.0,-0.018212985796687637,0.016030703442942162,-0.4395258251878413,0.6637515332314121,-0.17344279954843733,0.07190926801537778,-0.21331805241417545,-0.504250425285635,0.6012808589903575,0.066953115622094,-0.31095228195607816,0.08816959430020888,0.8681663128956417,-0.08357131398061313,-0.2633643449058203,0.00636506495926372
Frontal_Sup_2_L,0.5925649906048107,0.7371203932191741,-0.39968530876531777,-0.018212985796687637,1.0,-0.1092629652691275,0.4982959919586048,-0.188474867935383,-0.22875702415795743,-0.5593798383675616,0.21459726117426692,-0.03941509894760581,-0.0898569540481169,0.1501774087375223,0.23152583204824723,-0.10719353655040728,0.13335463492449035,0.026542785423500335,0.08999314282067575,0.1219199027357065
Cerebellum_3_R,0.3542995908415264,-0.026539418993170968,0.5082252339532101,0.016030703442942162,-0.1092629652691275,1.0,0.0885473365973942,0.19825340832145877,0.7312642467199456,0.6717144064583778,0.5737626674230055,0.4074829902154459,0.3453443146056087,0.36979575921919083,0.4655343976933399,0.46404237343727317,0.20619927270472055,0.5195361402604414,0.11682579211906592,0.7076883453123344
Cerebellum_7b_L,0.40342533424316174,0.6915631818079231,-0.36480703830100325,-0.4395258251878413,0.4982959919586048,0.0885473365973942,1.0,-0.5442166410666436,-0.0650078668544047,-0.1988998011546748,0.2264827835269302,0.11352639150145626,-0.1176827585023434,-0.048213116748883414,0.48209911165638974,0.18534271731597282,-0.2963274731565652,0.4420192982814522,0.3595934753586445,0.2625628586352708
OFCmed_R,-0.004773313689585494,-0.27672760326713647,0.23307255729206056,0.6637515332314121,-0.188474867935383,0.19825340832145877,-0.5442166410666436,1.0,0.04208216695413503,0.24450803595260784,-0.000584594746440961,-0.173997293401994,0.3492921260594158,0.4329281149506669,-0.08085718410163006,0.02935485276166206,0.7197137327260872,-0.08811489607191068,-0.18015700438525026,0.16281989482274473
SN_pr_R,0.1675811067559302,-0.18571084278730957,0.8445517099046809,-0.17344279954843733,-0.22875702415795743,0.7312642467199456,-0.0650078668544047,0.04208216695413503,1.0,0.731373368515727,0.5069749236717002,0.5113135694612184,0.16053689293913648,0.24555762737765383,0.4071044561000645,0.24846163649559655,-0.07266727921187341,0.2560657277616978,-0.22720985105981079,0.40115910632694135
Lingual_R,-0.058098215540379146,-0.5003327472773796,0.748998885655806,0.07190926801537778,-0.5593798383675616,0.6717144064583778,-0.1988998011546748,0.24450803595260784,0.731373368515727,1.0,0.3260930233241423,0.2526145416696618,0.43042481988137926,0.09970919600170247,0.14202335044533265,0.4311525127537926,0.12669445349493758,0.3227179227077435,-0.2287727765160333,0.3868694202607188
