,LC_R,Thal_PuI_L,OFClat_R,Temporal_Pole_Mid_R,Insula_L,Temporal_Mid_R,Lingual_L,Fusiform_R,Cerebellum_3_R,Thal_LP_R,Thal_VL_L,Thal_PuM_R,Pallidum_R,Thal_VA_L,Calcarine_R
LC_R,1.0,0.24608279946080153,0.2157593008705107,0.1695370690761582,0.10725215883139443,-0.3547838878540267,-0.21116198319094556,0.02758583081055008,0.0686418009156769,0.39510035154254897,0.2984244692312556,0.485617130711163,-0.4289083891310903,0.34269110590676466,-0.31723090717813485
Thal_PuI_L,0.24608279946080153,1.0,-0.2004704703792834,0.32309477094752725,-0.41028572371493005,-0.2751761619845099,-0.34897843617708024,0.22046996128061994,-0.04182495624457963,0.389296735159021,0.6930079754630558,0.5003216532267363,-0.21294123212971303,-0.10888194046444688,-0.4627652091746161
OFClat_R,0.2157593008705107,-0.2004704703792834,1.0,0.2521196999302465,0.6625214772944654,-0.1766817209924159,0.3806113154553756,0.19161524945132138,0.35107211364891727,0.09477714652465821,-0.18983138561830754,0.3644055593028401,0.039443049289869386,0.2756263406001316,-0.04320603445134146
Temporal_Pole_Mid_R,0.1695370690761582,0.32309477094752725,0.2521196999302465,1.0,0.26502706065747345,0.24265953555512873,0.20234455683514355,0.6254794601284243,0.5250541232483664,0.1428903739827081,0.42717116421255397,0.30166135279991985,0.19712375430961737,0.2600113758930935,0.05075524813426363
Insula_L,0.10725215883139443,-0.41028572371493005,0.6625214772944654,0.26502706065747345,1.0,0.3089843201278916,0.643946206834378,0.4358367906140776,0.6261263032926746,-0.15858696857079427,-0.17471847162326512,0.0508657923001525,0.4323354171433666,0.4019358787997145,0.40477855473573343
Temporal_Mid_R,-0.3547838878540267,-0.2751761619845099,-0.1766817209924159,0.24265953555512873,0.3089843201278916,1.0,0.6798866721253293,0.6382787075348949,0.5290400375977964,-0.5488049150949306,0.03380381022554324,-0.5339652536424145,0.6900945895407777,0.012211410452396492,0.828905353622237
Lingual_L,-0.21116198319094556,-0.34897843617708024,0.3806113154553756,0.20234455683514355,0.643946206834378,0.6798866721253293,1.0,0.6839778940815093,0.6939176364587232,-0.5865982652596449,-0.2156479314260364,-0.3283971254868654,0.7062235614401203,0.05388719691348476,0.7819789309780907
Fusiform_R,0.02758583081055008,0.22046996128061994,0.19161524945132138,0.6254794601284243,0.4358367906140776,0.6382787075348949,0.6839778940815093,1.0,0.8265622080602746,-0.25501360554632835,0.32619007230327973,-0.013560382785296277,0.6276386392421328,0.16218849238754535,0.47325009951848857
Cerebellum_3_R,0.0686418009156769,-0.04182495624457963,0.35107211364891727,0.5250541232483664,0.6261263032926746,0.5290400375977964,0.6939176364587232,0.8265622080602746,1.0,-0.2749290458562774,0.11682579211906592,0.006274667099915804,0.6677189961258375,0.26838564955811084,0.5011134085636557
Thal_LP_R,0.39510035154254897,0.389296735159021,0.09477714652465821,0.1428903739827081,-0.15858696857079427,-0.5488049150949306,-0.5865982652596449,-0.25501360554632835,-0.2749290458562774,1.0,0.392845835400758,0.7486763511934591,-0.5894750831921122,0.2864833047923818,-0.7323309197699931
Thal_VL_L,0.2984244692312556,0.6930079754630558,-0.18983138561830754,0.42717116421255397,-0.17471847162326512,0.03380381022554324,-0.2156479314260364,0.32619007230327973,0.11682579211906592,0.392845835400758,1.0,0.4587979203380258,-0.1385069773438891,0.2290353070022665,-0.183601980830097
Thal_PuM_R,0.485617130711163,0.5003216532267363,0.3644055593028401,0.30166135279991985,0.0508657923001525,-0.5339652536424145,-0.3283971254868654,-0.013560382785296277,0.006274667099915804,0.7486763511934591,0.4587979203380258,1.0,-0.39971863404973756,0.3622584676741424,-0.6525727596613193
Pallidum_R,-0.4289083891310903,-0.21294123212971303,0.039443049289869386,0.19712375430961737,0.4323354171433666,0.6900945895407777,0.7062235614401203,0.6276386392421328,0.6677189961258375,-0.5894750831921122,-0.1385069773438891,-0.39971863404973756,1.0,0.04773314438690443,0.6828598231556716
Thal_VA_L,0.34269110590676466,-0.10888194046444688,0.2756263406001316,0.2600113758930935,0.4019358787997145,0.012211410452396492,0.05388719691348476,0.16218849238754535,0.26838564955811084,0.2864833047923818,0.2290353070022665,0.3622584676741424,0.04773314438690443,1.0,-0.04927343932969246
Calcarine_R,-0.31723090717813485,-0.4627652091746161,-0.04320603445134146,0.05075524813426363,0.40477855473573343,0.828905353622237,0.7819789309780907,0.47325009951848857,0.5011134085636557,-0.7323309197699931,-0.183601980830097,-0.6525727596613193,0.6828598231556716,-0.04927343932969246,1.0
