,LC_R,Thal_PuI_L,OFClat_R,Temporal_Pole_Mid_R,Insula_L,Temporal_Mid_R,Lingual_L,Fusiform_R,Cerebellum_3_R,Thal_LP_R
LC_R,1.0,0.24608279946080153,0.2157593008705107,0.1695370690761582,0.10725215883139443,-0.3547838878540267,-0.21116198319094556,0.02758583081055008,0.0686418009156769,0.39510035154254897
Thal_PuI_L,0.24608279946080153,1.0,-0.2004704703792834,0.32309477094752725,-0.41028572371493005,-0.2751761619845099,-0.34897843617708024,0.22046996128061994,-0.04182495624457963,0.389296735159021
OFClat_R,0.2157593008705107,-0.2004704703792834,1.0,0.2521196999302465,0.6625214772944654,-0.1766817209924159,0.3806113154553756,0.19161524945132138,0.35107211364891727,0.09477714652465821
Temporal_Pole_Mid_R,0.1695370690761582,0.32309477094752725,0.2521196999302465,1.0,0.26502706065747345,0.24265953555512873,0.20234455683514355,0.6254794601284243,0.5250541232483664,0.1428903739827081
Insula_L,0.10725215883139443,-0.41028572371493005,0.6625214772944654,0.26502706065747345,1.0,0.3089843201278916,0.643946206834378,0.4358367906140776,0.6261263032926746,-0.15858696857079427
Temporal_Mid_R,-0.3547838878540267,-0.2751761619845099,-0.1766817209924159,0.24265953555512873,0.3089843201278916,1.0,0.6798866721253293,0.6382787075348949,0.5290400375977964,-0.5488049150949306
Lingual_L,-0.21116198319094556,-0.34897843617708024,0.3806113154553756,0.20234455683514355,0.643946206834378,0.6798866721253293,1.0,0.6839778940815093,0.6939176364587232,-0.5865982652596449
Fusiform_R,0.02758583081055008,0.22046996128061994,0.19161524945132138,0.6254794601284243,0.4358367906140776,0.6382787075348949,0.6839778940815093,1.0,0.8265622080602746,-0.25501360554632835
Cerebellum_3_R,0.0686418009156769,-0.04182495624457963,0.35107211364891727,0.5250541232483664,0.6261263032926746,0.5290400375977964,0.6939176364587232,0.8265622080602746,1.0,-0.2749290458562774
Thal_LP_R,0.39510035154254897,0.389296735159021,0.09477714652465821,0.1428903739827081,-0.15858696857079427,-0.5488049150949306,-0.5865982652596449,-0.25501360554632835,-0.2749290458562774,1.0
