,Thal_LP_R,Cerebellum_10_L,Thal_LGN_L,Thal_PuI_L,Thal_IL_R,Frontal_Sup_Medial_L,OFClat_L,Vermis_1_2,Postcentral_L,Cerebellum_3_L,Thal_PuM_L,Insula_L,Supp_Motor_Area_L,Vermis_3,Frontal_Inf_Orb_2_R,LC_R,Occipital_Mid_L,ACC_sup_L,Temporal_Inf_L,Thal_LGN_R,Lingual_R,Cerebellum_Crus2_L,ParaHippocampal_R,Occipital_Inf_R,Temporal_Sup_L
Thal_LP_R,1.0,0.13350758863745485,0.634719150432217,0.07271507215167095,0.41604730802371304,0.5932116652466993,-0.03463691543860172,-0.19038095257464,0.30713111345340494,-0.17474824323677676,-0.03531534408888727,0.307000623476252,0.22198572551098777,0.31298692078575263,0.366353897097663,0.4189184430781998,-0.29677783396822016,0.7477244364950868,0.11850603810025398,0.0312088130057684,-0.045776939925967444,-0.14325117466797854,0.3724572940771783,-0.20894589420527385,0.2857358755307038
Cerebellum_10_L,0.13350758863745485,1.0,0.09200127789978246,0.5461183181962281,0.22717086130814163,0.4364652748334478,0.2009732956237552,0.4361939059146747,0.4536288358437031,0.6542530640598503,0.4505283545921989,0.34478318935260044,0.581481006821171,0.4269482506368561,0.2653206412891287,0.32897496425264483,0.593959093564814,0.17443132648954,0.6424754237209885,0.43764152588191735,0.6970519239734279,0.47898691130034915,0.3270858666051701,0.40882600796187146,0.678349983944154
Thal_LGN_L,0.634719150432217,0.09200127789978246,1.0,0.2028353741181254,0.2837067292002486,0.4408183485057715,0.22810169299831579,-0.4236503554912774,0.16623797902262297,-0.13755554694003386,-0.0897487220391552,0.5444964498591256,0.24639909820762823,0.2701105627661792,0.3758209718663361,0.5229925666431272,-0.35405071005247635,0.6605814302953812,0.2332807057523896,0.23104665423049958,-0.043574747217783635,-0.04439291555840491,0.3491801423442387,-0.07780664712213636,0.4269153049425657
Thal_PuI_L,0.07271507215167095,0.5461183181962281,0.2028353741181254,1.0,0.09768749697954031,0.3217179950794446,-0.11357922973042578,0.48394380830510897,0.26130746818570944,0.6831985622354183,0.6685405490232392,0.28299320016176677,0.5634587454882167,0.41815074387944806,0.19779333984716346,0.14704905545773517,0.6205748127868356,0.16171650066822923,0.4563533282778608,0.34749073161885496,0.6154800239522509,0.6211715684950804,0.2903438239193978,0.5992941533272773,0.5992584113513617
Thal_IL_R,0.41604730802371304,0.22717086130814163,0.2837067292002486,0.09768749697954031,1.0,0.30916155593632483,-0.09367143588363301,-0.004207558940806121,0.3840155544757178,0.03860590903218185,0.06758645345472455,0.12763793160502787,0.11680576320761256,0.13630925538048572,0.1387335646941238,0.42561755305107957,-0.008540365106723052,0.35741996890844413,0.11178978568290585,0.1459869622752932,0.1962135016434919,-0.10832369075573171,0.33827205134641647,-0.013175717353753523,0.1278197858510128
Frontal_Sup_Medial_L,0.5932116652466993,0.4364652748334478,0.4408183485057715,0.3217179950794446,0.30916155593632483,1.0,0.176708560178932,0.07390553656650688,0.591203359640226,0.2206933972724834,0.132110397594354,0.24590078925012554,0.6115295280109195,0.27739636307402926,0.20956348907956585,0.45468104448092617,0.03131979072495014,0.6481841006206589,0.34640420698720664,0.25204410706702157,0.2976974959109664,-0.0007621935512215005,0.5311770585445555,-0.020048640157075182,0.49431633650948126
OFClat_L,-0.03463691543860172,0.2009732956237552,0.22810169299831579,-0.11357922973042578,-0.09367143588363301,0.176708560178932,1.0,-0.24691699093550754,0.24766934028278415,-0.08130977939419931,-0.11288347855219964,0.5171969927078179,0.19306574693632492,-0.027807072234217117,0.2720197478035744,0.15270829370243513,-0.2294859882662831,0.19827328990803866,0.3047059201593956,0.2232618576971957,-0.001903808823456754,-0.12017013237372211,0.1151184747380247,-0.3112359545441667,0.29075506321490224
Vermis_1_2,-0.19038095257464,0.4361939059146747,-0.4236503554912774,0.48394380830510897,-0.004207558940806121,0.07390553656650688,-0.24691699093550754,1.0,0.2512333739860232,0.693343468063541,0.6518499246205874,-0.027911023857000693,0.34262606528751693,0.39045701939752336,0.028508062780370956,-0.22710919564601736,0.7288991266233567,-0.20711530500599945,0.20050551509055295,0.1997018192874699,0.6056026946369546,0.5053938609006142,0.040156032874649805,0.61975498598566,0.29936721402466226
Postcentral_L,0.30713111345340494,0.4536288358437031,0.16623797902262297,0.26130746818570944,0.3840155544757178,0.591203359640226,0.24766934028278415,0.2512333739860232,1.0,0.2933025274831467,0.27984875490764394,0.2609268613925864,0.7018072051978919,0.33698413682952183,0.1310004059625335,0.29379287187764247,0.1446444804121742,0.3993418924001062,0.2665896562536757,0.33066544377283347,0.3838476628916803,-0.14050182343343517,0.5819584951091208,-0.12136108765188171,0.45452173838007076
Cerebellum_3_L,-0.17474824323677676,0.6542530640598503,-0.13755554694003386,0.6831985622354183,0.03860590903218185,0.2206933972724834,-0.08130977939419931,0.693343468063541,0.2933025274831467,1.0,0.5887082575209183,0.12213047712542235,0.5457679259802408,0.44629995414239904,0.08982843263529917,0.10474859091931685,0.8205116449728378,-0.13537611529721172,0.6100959729593558,0.5478077919464622,0.8675522774409868,0.653994753714246,0.24508199964372435,0.7070920676814746,0.6146524270590179
Thal_PuM_L,-0.03531534408888727,0.4505283545921989,-0.0897487220391552,0.6685405490232392,0.06758645345472455,0.132110397594354,-0.11288347855219964,0.6518499246205874,0.27984875490764394,0.5887082575209183,1.0,0.12613040169824036,0.41201860762473647,0.4173552033000953,0.08511139501652118,-0.12376775043414344,0.6852178752118117,0.10756085894758227,0.32251740292965125,0.22127333606615399,0.4811062635101287,0.4787127945370086,0.23432753070872947,0.5368531842413048,0.4559394005620813
Insula_L,0.307000623476252,0.34478318935260044,0.5444964498591256,0.28299320016176677,0.12763793160502787,0.24590078925012554,0.5171969927078179,-0.027911023857000693,0.2609268613925864,0.12213047712542235,0.12613040169824036,1.0,0.32876459848006845,0.4049337095933125,0.6564802645369712,0.2735860943192645,-0.04356252922263385,0.4288643953365815,0.36439580073181504,0.31491826967952496,0.19332975995965268,0.13800133750968527,0.22518858521350738,0.0652223416044262,0.5652880335856575
Supp_Motor_Area_L,0.22198572551098777,0.581481006821171,0.24639909820762823,0.5634587454882167,0.11680576320761256,0.6115295280109195,0.19306574693632492,0.34262606528751693,0.7018072051978919,0.5457679259802408,0.41201860762473647,0.32876459848006845,1.0,0.4890918948284324,0.16817864442416292,0.2979046893796995,0.3874197519013525,0.2746911366379862,0.5255667415661881,0.43244461175752674,0.5543312300735788,0.16885425623862302,0.5014502274833992,0.23781678366315984,0.6760557826578799
Vermis_3,0.31298692078575263,0.4269482506368561,0.2701105627661792,0.41815074387944806,0.13630925538048572,0.27739636307402926,-0.027807072234217117,0.39045701939752336,0.33698413682952183,0.44629995414239904,0.4173552033000953,0.4049337095933125,0.4890918948284324,1.0,0.34356718175119283,0.26253396345862856,0.29708806153359646,0.29465195302265346,0.2665462368355556,0.47234962045187906,0.46303498969073487,0.23613546191197565,0.24945106239727996,0.3348796212730715,0.5539431145730298
