,Caudate_L,Occipital_Sup_L,ParaHippocampal_R,Temporal_Mid_R,Thal_MGN_L,Olfactory_R,OFCpost_L,OFCpost_R,Frontal_Sup_2_R,Frontal_Med_Orb_L,Thal_VL_R,Frontal_Mid_2_L,Cerebellum_Crus1_R,Cingulate_Mid_L,ACC_pre_L,Occipital_Sup_R,Temporal_Inf_R,Parietal_Sup_R,Thal_PuM_R,Supp_Motor_Area_L,Parietal_Inf_R,ACC_pre_R,VTA_R,Thal_AV_L,ACC_sup_R,Hippocampus_L,Occipital_Inf_R,Thal_LP_R,LC_R,Frontal_Inf_Orb_2_L,Rolandic_Oper_L,ParaHippocampal_L,OFCmed_L,Thal_PuI_R,Angular_L,Cerebellum_6_R,Cerebellum_9_L,Temporal_Sup_L,Thal_MDl_R,Red_N_R,Vermis_1_2,OFCmed_R,Thal_PuA_R,Cerebellum_3_L,Occipital_Mid_R,Frontal_Sup_Medial_L,Paracentral_Lobule_L,Vermis_7,OFClat_R,Cerebellum_Crus1_L,Cerebellum_Crus2_R,Cingulate_Post_R,Frontal_Sup_Medial_R,Precentral_R,Frontal_Inf_Oper_L,Precuneus_L,Rectus_L,Cerebellum_7b_L,SN_pr_L,Precentral_L,Raphe_D,Heschl_R,Frontal_Inf_Tri_L,Rectus_R,Caudate_R,Vermis_6,Occipital_Mid_L,Thal_MGN_R,Cerebellum_10_R,SupraMarginal_L,Cerebellum_7b_R,Cerebellum_8_L,Thal_VA_R,Heschl_L,LC_L,Vermis_3,Occipital_Inf_L,Temporal_Pole_Mid_L,Temporal_Inf_L,Cerebellum_Crus2_L
Caudate_L,1.0,-0.21316247930211385,-0.12202198527361985,0.10475212251342442,0.2492543119532796,0.6532537403620974,0.0990272793847028,0.11726056720971663,0.1209600726832331,0.02818930387196965,0.40768241194720095,0.27067258554599755,0.18504165566445774,0.22142550382943285,-0.095822992554118,-0.064397678556298,0.3797353541972938,-0.08505642255554437,0.10316280119004965,0.12028243626387804,0.056682623036054265,-0.050693532776925024,-0.03290626330918767,0.015789481999563766,0.34414642687445157,0.18254529415133197,-0.12086449292259281,0.14587101024546442,0.1668665221672017,0.17475212981809768,0.2534819954158649,-0.10210412983495555,0.4344830440642918,0.1580025820145147,-0.10189653979594727,0.042690213649239826,0.10679461253080395,0.30770067339033114,0.21604515313706926,-0.039371281734249024,-0.18572941903691786,-0.08269395952473611,-0.30301156873703955,-0.11417354618295807,-0.02547834779549719,0.016143492232081405,0.2511110731233233,-0.09859269158341315,0.018941535270629008,0.01894629499110225,0.09179892169472602,0.09065384580093644,-0.1328330415815221,0.10355233644183337,0.5283891358814898,0.043825902269516576,0.3969711836276574,-0.276565885138807,0.08258443408764375,0.1813087993055729,0.06590370878860209,0.19483470046939996,0.7144479732409375,0.2933181885711269,0.9072208794635136,-0.06546274450542226,-0.1321497908244199,0.02604606713800122,0.04438828481132061,-0.025644331447443776,0.07433337381886357,-0.11483523997957223,0.6672944425289041,0.13273467902228397,0.20377891158664202,0.1772394846907928,-0.12138397611632112,0.23194377838780192,0.23988357473923963,0.014967975240170354
Occipital_Sup_L,-0.21316247930211385,1.0,0.13811309845266392,0.7072488343033568,-0.01851813546659691,-0.40844421203278625,-0.048245191561225614,-0.3115650659654642,0.09214254918981453,-0.1636799418306859,-0.10951160398044237,0.04820629541643692,0.3307361365812399,0.48330145731555313,-0.11362697078153823,0.8721688826656842,-0.028902516381840028,0.6461071438315297,0.48354367101334755,0.3723954241886911,0.5933334079889544,-0.015011580929014128,0.0899786304071942,0.1345093196070613,-0.3997846700937201,0.35924320835846546,0.528303260180614,-0.3060612600818501,-0.16123569322703374,0.09443850964103424,0.32872778015578186,0.5314580412359214,-0.42299631025873435,0.09250523794467119,0.9083496747799394,0.560256058174219,0.4131900889195561,0.25665228180063604,0.08946106512595642,0.5754729707650669,0.7442095215435816,-0.030579574859097423,0.60440234168412,0.690158292291878,0.8909698937160767,0.054967905343810936,0.44171582578520985,0.527564543564803,0.17347513867010975,0.4927859119665278,0.21088985602681026,0.537055050582599,0.2092074103916469,0.3816943684387981,0.1567584511286582,0.705292327000232,-0.4296433055866374,0.28591756110576505,0.27854224290298196,0.6066836790630002,0.5778839943656255,0.20184139740299362,-0.06529451034190488,-0.4625886009164964,-0.2795243059838261,0.6364392116614228,0.869000282012324,0.34553283350499586,0.5316975134003535,0.6191938528802244,0.07744896127381459,0.35105287512900074,-0.4906646132089564,0.366453526721094,-0.06646056067340925,0.29126159261345497,0.5767142216574845,-0.3890944523609492,0.24269952771282352,0.38456114056754015
ParaHippocampal_R,-0.12202198527361985,0.13811309845266392,1.0,0.2530112602935438,0.3204725432292249,-0.03066567819518988,0.32482389527971844,0.46555155176877805,0.45429308403615415,0.23841993836005787,0.266648461532288,0.3658169374993102,0.08115466011564762,0.4743186594051363,0.039808511897710924,0.2568197448862685,0.4331129535890568,0.23884368002014483,0.2839148745628559,0.5014502274833992,0.4559107652719313,0.24172572864120642,0.22280214188474515,0.1912650277026398,0.3855382144326533,0.5495452661237695,0.09417291204410964,0.3724572940771783,0.40841785294506183,0.17988421995623605,0.46101571931292984,0.642063423766186,0.11576845072401432,-0.049551675162356666,0.1830118535775469,0.19450543107485557,0.25905108380811903,0.4287870358059646,0.29645603903082207,0.3806412980402008,0.040156032874649805,0.2695204383406196,0.21986713009050995,0.24508199964372435,0.14429202466338384,0.5311770585445555,0.5283177776967976,0.0903740150903641,0.1662561052110315,-0.05699266111846463,-0.15409157090404055,0.24423404825464604,0.4540552223371368,0.6092466487855878,0.20522152612844544,0.32731550011079635,0.13741221417833374,0.15480638719173587,0.36954981811161697,0.48208347877013447,-0.05160854683311582,0.3480100817579241,0.18446553821302267,0.1938191943218368,-0.10266182908011565,0.20795199518534066,0.03593595125099078,0.07674423599040922,0.3173336695539138,0.4391155642341005,0.1375516800586113,0.12073621189508467,0.20557921274194807,0.30707946769289146,0.15663569925148105,0.24945106239727996,-0.014854785591445844,0.08258900766512478,0.1965430034619438,-0.06930793107074366
Temporal_Mid_R,0.10475212251342442,0.7072488343033568,0.2530112602935438,1.0,0.256935397859711,-0.09431680911931047,-0.07272594369412619,-0.2726301641015399,0.36015358787550694,-0.07650585887963868,-0.03967687454686618,0.24129377598509164,0.668990604289972,0.6037750484339492,-0.22996358017345178,0.8215948679343309,0.40276921556085965,0.33164776293867065,0.5682609437852049,0.5151551804528879,0.5302881288421863,-0.09260687661500504,0.16422970647911625,0.20857968014735231,-0.14616036170111404,0.6515775979518895,0.6662475818985014,-0.027986377198236427,-0.0036996402167610424,0.25060913736738893,0.4345104876945156,0.6382971211340525,-0.1758488151147845,0.09983751036688875,0.6922153111503974,0.7323465125710173,0.5387228368247857,0.48342327347832353,0.10468441286549177,0.7195759605219146,0.6461098697597528,-0.01817148241093738,0.5228818331639942,0.7049108111346203,0.8636997082903556,0.21086852899388925,0.5362445335907169,0.6282282627498228,0.11080711913572162,0.6315396378009384,0.36929376344964354,0.6439659322029465,0.2117666478284719,0.6268708835584328,0.44407419109099094,0.503786817962958,-0.16251153376628444,0.2802903906493168,0.4687453474448492,0.6284094936848754,0.4932423785631822,0.2526366179694109,0.2620506441921531,-0.2819080427218139,0.07662013766254712,0.71833670846537,0.7719339923137604,0.2398979275924446,0.5803440077561927,0.5941481522824968,0.14244721189848913,0.5192225888951226,-0.1257458019359119,0.556436049333821,-0.029437554445919688,0.4257805045613231,0.6223732668970581,-0.5038792918604313,0.34777646949598334,0.57344193874892
Thal_MGN_L,0.2492543119532796,-0.01851813546659691,0.3204725432292249,0.256935397859711,1.0,0.04253357218506463,0.2683475362925153,0.1435545359000347,0.32103253285746913,-0.03701838638307159,0.2612111939620356,0.39143083807333007,0.21935663656868915,0.24827417255076015,0.005423026210181049,0.15623726966081666,0.2671744842773197,-0.12286984876203345,0.3006336414597433,0.2973914669790496,0.10240951499173029,0.1892947989887824,0.033697094927260134,0.07967173248307637,0.39570094791735266,0.38399284475074963,0.1535801661095045,0.37466954524808416,0.38654971571134783,0.15359469156418207,0.4379032628194145,0.296043964849674,0.1335109362550843,0.12321643742041632,-0.024918490346064946,0.3276720079768578,0.2125765667194108,0.47390629568392983,0.32632214503808515,0.2942030776092954,0.017011597632712983,0.07346539940679438,0.08931841367290073,0.25897451015846235,0.07461306596465467,0.281469209981367,0.3745298622214346,0.1949285322100337,0.08436190817566804,0.16491456929458378,0.0635276568408231,0.3377123235764125,0.17633177659935773,0.4260509327876631,0.32516165273832937,0.10709948227694088,0.06866097786393065,0.10783023284661818,0.27701142318364197,0.18548596022049027,0.16716875073270307,0.2696958909932361,0.4919291652178038,-0.009013353215663045,0.24438990938154553,0.2920508084615163,0.051154373475057795,0.3506700043160363,0.21642673395984063,0.23384367663810257,-0.34076622546937435,0.19056898256016583,0.28946051910229464,0.3107897588733966,0.1599293935228994,0.46906456703070315,0.12435212146577787,0.01276167289099724,0.28531934132464,0.14650142728703186
Olfactory_R,0.6532537403620974,-0.40844421203278625,-0.03066567819518988,-0.09431680911931047,0.04253357218506463,1.0,0.06536927987897517,0.27447163698474863,-0.07547913459715055,0.0005918756178674782,0.3187486470165105,0.1510417605654657,0.06737407451924173,0.10203098234083244,0.009515167794833967,-0.254628608683127,0.28373656121090757,-0.1334910412395572,-0.17490907725725283,-0.045588206998531756,-0.0834096162403182,-0.06961144553256582,0.0679425976111777,0.19011612704591324,0.2111654261980053,0.08662249657486983,-0.24455623119895356,-0.04087017302234442,0.09529446202918819,0.12059531691953858,-0.06751713858097759,-0.09927402917210304,0.7370089620298597,-0.05410492059623277,-0.3189899762314624,-0.17522760366614473,-0.04287388947859953,0.025155566438148824,0.004129703581234312,-0.2786761424490012,-0.3454439082605619,-0.1034610475311241,-0.5480033540754908,-0.2928392810381164,-0.2607049550640406,-0.10373925691228221,0.007372229494674168,-0.3231032691362215,-0.07302668896265818,-0.23831386213026998,0.05767858083720547,-0.1334416714437172,-0.17199501631666267,-0.06101050977391802,0.19562909571951004,-0.09837421849375096,0.8173817078294813,-0.24883107669582527,-0.2540331670977042,-0.02131000198604618,-0.2881420408410533,0.03632781074720267,0.4562107056307202,0.7193834447987424,0.6841337006035172,-0.3097343367296131,-0.36894433823689116,-0.2848419916237983,-0.16924841511219063,-0.2656182920071736,0.28421880804154065,-0.1297587376042633,0.7847317582616912,-0.06101638435620795,0.16186454758890031,-0.10083768743431261,-0.3496809648223291,0.18115773020638087,-0.02043811756181195,-0.13042503414249706
OFCpost_L,0.0990272793847028,-0.048245191561225614,0.32482389527971844,-0.07272594369412619,0.2683475362925153,0.06536927987897517,1.0,0.35181049810923914,0.13786770894171851,0.12144270730483563,0.16373950984186914,0.2897260243284329,-0.10631178844813649,0.11582525832408404,-0.011402614426734781,-0.026130313751518176,0.07232629835653574,-0.03617955301735689,0.15275216020576665,-0.004910421904314944,0.08326931761758355,0.37000059482486275,-0.24094150932325512,-0.204602080906803,0.2626295938288144,0.09859853852603347,-0.14062163771057648,0.33776967096966565,0.14326152514235116,0.02865724505936099,0.14792601561928856,0.1599225854053273,0.4051240608763007,0.2154826707981091,-0.020699599966337367,-0.021223009788607694,0.11515754131210265,0.269186815681078,0.2951960603732467,0.16807148930516114,-0.07856567572742042,0.27222365520898384,-0.04136869423657822,-0.07674145365470564,-0.09237788769139593,0.19558057652673563,0.10019534894232028,-0.07358257869397095,0.458958415675734,-0.06452643013002547,-0.2592172547365735,0.13437643653660758,0.09116465181260514,0.11707071856340667,0.030903015959363265,0.03799085565286787,0.1523828049403659,-0.20698086544639505,-0.03654847235103377,0.04818914873151489,0.16839782315252713,0.19468654541452773,0.1835267008110232,0.14512868101294213,0.15839326310906474,-0.04259812844881814,-0.08354694890886413,0.06542562088123233,0.16454252537975145,0.16356155472463332,-0.14040209570702844,-0.16068237592165288,0.13297161218038,0.19889489171472,0.02443555562514569,0.04532116754591955,-0.05857496382774923,0.2126862527850411,0.14739431084797666,-0.04508817086010721
OFCpost_R,0.11726056720971663,-0.3115650659654642,0.46555155176877805,-0.2726301641015399,0.1435545359000347,0.27447163698474863,0.35181049810923914,1.0,0.11579837546092614,0.28742409999266955,0.5229859476952539,0.16762427910429709,-0.3935340760177344,0.08856970263703866,0.14405512098504022,-0.3757292084638895,0.24888950493595974,0.03755670555019162,-0.04164791455308437,-0.02523135180342038,-0.016090601990227275,0.43185339349266477,-0.002647199986246766,-0.1018271103746488,0.583794950002411,-0.09689199941786335,-0.46372070239307583,0.45934316751127,0.26511175241550144,0.11365864415018737,0.0651771337183004,-0.09398823618109126,0.4366814882106326,0.16819734730432812,-0.2938108136235525,-0.40626238016611566,-0.27212680735539674,-0.041943371151739024,0.28682508386169986,-0.19019117109942935,-0.31782506345787287,0.08156778072969362,-0.3027275031607551,-0.44724814918581124,-0.40656408194116905,0.35251441036419645,0.15001087003667465,-0.5123415220441466,0.0669158870063709,-0.586410019171621,-0.2513488186784925,-0.09301233029040736,0.3778412066704833,-0.016029829199996497,-0.11157429638511879,0.034582994599631184,0.3823400369813335,-0.17954493009297057,-0.051222949786088955,-0.024726111523016223,-0.21413032934275145,0.019916732756083043,0.09992052232855471,0.48462483075271395,0.1528750861256712,-0.38480959684976873,-0.51817867090884,-0.19493922802902997,-0.22379838761542623,-0.1870246415663191,0.0923309466455856,-0.44618651528402176,0.431850342535558,-0.19143177958416566,0.30179513882729225,-0.007918590635199153,-0.6124419749738865,0.3956647016594448,-0.24847774929759134,-0.46863086330577997
Frontal_Sup_2_R,0.1209600726832331,0.09214254918981453,0.45429308403615415,0.36015358787550694,0.32103253285746913,-0.07547913459715055,0.13786770894171851,0.11579837546092614,1.0,0.2904451757837597,0.21103476674560034,0.284484649746008,0.31793487003967197,0.5890489392953756,0.10884378401299011,0.20238012925664017,0.4470158371043338,0.007089808289394286,0.41620563046697806,0.7165445396966436,0.3453572344956534,0.3731250522352016,0.24102288946597378,0.12040178330636374,0.41870532586541936,0.6596263508704354,0.13294440787866355,0.43549246983631035,0.3239770375206977,0.30807556098507566,0.5101570297828277,0.39734755112446807,-0.10160245841356026,-0.0031071488986499623,0.18155885366501984,0.3918283565085237,0.36471796923463135,0.5575364092762969,0.4407529603328442,0.47586681094335737,0.19422294199867887,0.19679249273029203,0.24999932986085724,0.37771869464799884,0.15063679440467992,0.766039454260948,0.5832665998580215,0.2580799695204322,0.07471529552532753,0.24691499830110122,0.030840146978474942,0.3299042475000529,0.5764201861869992,0.6655981478222667,0.5724032748743523,0.18361897344521563,-0.18673315656809303,0.21825253889499321,0.6510615814482887,0.5562753640331948,0.1445227654843854,0.33504683658546225,0.4159436362833008,-0.16805529318961465,0.1575759879768745,0.37973672826489285,0.15942416581536228,0.27520088677206356,0.5530134626978642,0.48533138825288535,0.1045707484535357,0.24728230866701414,0.17407341287786854,0.4266000933739778,0.3055422729960868,0.3761292050112288,0.18728372637505245,0.014675266845271952,0.35712113849108607,0.2472842107906671
Frontal_Med_Orb_L,0.02818930387196965,-0.1636799418306859,0.23841993836005787,-0.07650585887963868,-0.03701838638307159,0.0005918756178674782,0.12144270730483563,0.28742409999266955,0.2904451757837597,1.0,0.18491377081307264,0.09165105006617162,-0.11523115638559313,0.06430775371804041,-0.028043793646812625,-0.1420471155907033,0.17422752637772426,0.02897380677532686,-0.019523061946486304,0.10633473508395147,0.08803367452854238,0.37131752208830204,0.06296665094836006,-0.06884756522508555,0.42357597198842656,0.05924556570963559,-0.10561498449484852,0.3694198542276603,0.23248937138684342,0.3063930255901425,0.10103434044678944,0.01380870447023755,-0.030078268729529147,-0.03911468338264294,-0.14251966887572076,-0.11461076158147065,0.03990588411388093,0.036708922419067605,0.2407929392956302,0.04053153418012952,-0.12480371163581035,0.056012600513334676,-0.11420778092338688,-0.08172818260142375,-0.15057736670775929,0.3935418807359699,0.10460136623205891,-0.11377891888898617,-0.006811152902935481,-0.14824862034583952,-0.3149841045171093,-0.12073871268643376,0.3492673334102483,0.13219797874684117,0.05606492146486739,-0.042873332421744556,-0.048340884336086375,-0.058551850094120415,0.199818365566212,0.043131979318455804,-0.20169963626900395,-0.04681917317306969,0.10016321184964652,0.051168389745540076,0.10317277381928791,-0.06367874723510328,-0.22763896031143568,0.009031231072377976,-0.017662332658610478,-0.04434355344013979,0.17460128705348754,-0.18030847411844464,0.083124977096474,0.0813911953161472,0.13412190264140905,0.0022737657374155666,-0.1361640692738457,0.16910382193379564,-0.011242192031144406,-0.15581192736625915
