,Thal_AV_L,Vermis_10,Cerebellum_Crus2_R,Temporal_Pole_Sup_L,Frontal_Inf_Oper_R,Vermis_4_5,Vermis_6,Postcentral_R,ACC_sub_R,Frontal_Mid_2_R,VTA_L,ACC_sup_L,Rectus_R,VTA_R,Thal_MGN_L,Angular_L,Raphe_D,SN_pc_R,Precuneus_L,Angular_R,Paracentral_Lobule_R,Rectus_L,OFCpost_L,Temporal_Mid_L,Rolandic_Oper_R,Cerebellum_10_R,Parietal_Sup_R,Occipital_Sup_L,Thal_VA_R,Cerebellum_10_L
VTA_L,0.20157685659467808,0.20947537784890927,0.11729288469261012,-0.2790753489856803,0.19205526699615774,0.3929451080829172,0.5297691607416382,0.2147996467354668,0.012069650167822554,0.1624062753230555,1.0,-0.21791195242922548,-0.28439295302465734,0.19599390574611966,-0.03426718527387229,0.406945995694276,0.19940132656675993,0.2012246300336851,0.2490707442924658,0.3005512562112319,0.22835312759704063,-0.23627597551745874,-0.06645904196130002,0.5845383679307825,0.22910071773357282,0.47569565366798555,0.21019707402965135,0.3872577704532418,-0.1608002713277368,0.3834501846131164
ACC_sup_L,-0.04539063411209422,0.22573206670311657,-0.07563104540888035,0.39310448982258206,0.3487589102147402,0.16890857925059913,-0.09166656354298586,0.268492233310816,-0.10575678811990133,0.6228920840608635,-0.21791195242922548,1.0,0.1349872239398044,0.07993351531514484,0.4225484247601437,-0.20236136083365466,0.011147884902774687,0.34427542133971323,-0.002419236248557098,-0.10621565886548144,0.012533832967379104,0.05818159232001322,0.35666649907953596,-0.08189363696152062,0.3924112187360288,0.12394836187271058,-0.11739633967634308,-0.2804375037145501,0.3999219251432609,0.17443132648954
Rectus_R,0.17767528155040818,-0.0334338356551005,-0.034206436201428866,0.6326742795752756,-0.2532846964555999,-0.17010732115868102,-0.4816258741289776,-7.747065092207118e-05,-0.2855740059987867,0.09693424749636895,-0.28439295302465734,0.1349872239398044,1.0,0.15726011957355596,-0.009013353215663045,-0.3966759948807791,-0.4356911470406795,0.0405399773682715,-0.1886422094641633,-0.26260980707286724,-0.07545178517996019,0.9084488951584317,0.14512868101294213,-0.4107724094130544,-0.22216338026879834,-0.23848870759870514,-0.1795469567026186,-0.4625886009164964,0.6675322933580272,-0.1354099039080464
VTA_R,0.2027739348044477,0.14091237716002236,0.17879304692827774,0.013676954462564726,0.02097896747902149,0.36353105606011316,0.2582276203620794,0.15780390635471245,-0.02881992673709702,0.21369511943783143,0.19599390574611966,0.07993351531514484,0.15726011957355596,1.0,0.033697094927260134,0.1095097751436886,-0.17413203626801776,0.3199519498803896,0.0705119304831268,0.11776996652403621,0.10780585786828678,0.09966977051502787,-0.24094150932325512,0.25094522322769686,0.07784359975317102,0.3021251110261397,0.008600028117785919,0.0899786304071942,0.026177546159518603,0.41084899275010384
Thal_MGN_L,0.07967173248307637,0.3678314682055238,0.0635276568408231,0.0614478274242454,0.40707505662116417,0.5091212775424955,0.2920508084615163,0.20851175984674847,-0.02489416814055124,0.4834210031753213,-0.03426718527387229,0.4225484247601437,-0.009013353215663045,0.033697094927260134,1.0,-0.024918490346064946,0.16716875073270307,0.09357036268302649,0.10709948227694088,-0.01937725085466436,0.10228436017384315,0.06866097786393065,0.2683475362925153,0.21146953031879903,0.42623708589280096,0.21642673395984063,-0.12286984876203345,-0.01851813546659691,0.28946051910229464,0.22627894719482367
Angular_L,0.2112158709696849,0.10521426116518433,0.24197831758149693,-0.36675432411219344,0.4055368017515755,0.44989701334472365,0.5998350554911915,0.5728534538918364,0.1327159829930449,0.13395195083783853,0.406945995694276,-0.20236136083365466,-0.3966759948807791,0.1095097751436886,-0.024918490346064946,1.0,0.6254698452750992,0.14666750344459156,0.7557944724189652,0.8825575692772043,0.6069445902805373,-0.3477893732155598,-0.020699599966337367,0.6298486240756704,0.43671522322510814,0.5464643358166515,0.7053114479045594,0.9083496747799394,-0.3687449790893786,0.5077352950190696
Raphe_D,-0.025931768337399533,0.15945871058851666,0.21788747366284658,-0.35006038050424676,0.3479811739850751,0.21188649908817034,0.4332777264547594,0.3545495279687064,0.15292837362951514,0.11642090013883306,0.19940132656675993,0.011147884902774687,-0.4356911470406795,-0.17413203626801776,0.16716875073270307,0.6254698452750992,1.0,-0.031197914534476266,0.5353529727033288,0.551115793892691,0.37067857776979796,-0.37264081081533323,0.16839782315252713,0.40557074381161207,0.4503625243566227,0.36881028419558903,0.4403999008932059,0.5778839943656255,-0.21078208547082802,0.3024083166991004
SN_pc_R,0.3933195956624338,0.33505140848542725,0.15646361467382117,0.15926864173940036,0.24902842398369626,0.3370421742978274,0.1585215633003269,0.4201648824591847,-0.10959964257887711,0.40984689767708526,0.2012246300336851,0.34427542133971323,0.0405399773682715,0.3199519498803896,0.09357036268302649,0.14666750344459156,-0.031197914534476266,1.0,0.23266511769542392,0.14693471815272996,0.17944980991415194,-0.033166653549418536,-0.1804316225255929,0.2127313363125448,0.3558881628078073,0.3393554353098104,0.11998027831367467,0.011373478568387937,0.3014233111357989,0.3621822365374708
Precuneus_L,0.1720414071075198,0.08892394133686021,0.03899714183805529,-0.05567704693872762,0.4805078941450617,0.48480559167085,0.3585964224294499,0.7901628941937193,0.06660839130989128,0.2927054081103469,0.2490707442924658,-0.002419236248557098,-0.1886422094641633,0.0705119304831268,0.10709948227694088,0.7557944724189652,0.5353529727033288,0.23266511769542392,1.0,0.883067447371626,0.8738857348803306,-0.17296438513344792,0.03799085565286787,0.2800896911637428,0.529770502154607,0.3193614709205322,0.8869930743089981,0.705292327000232,-0.0754079242780301,0.38101605095133867
Angular_R,0.19682132680592368,0.07520388459387302,0.1635800189990252,-0.23366363802295298,0.42576414156315906,0.44140487089879105,0.4410899703197021,0.7037405035732381,0.1022907918114342,0.24455225710377876,0.3005512562112319,-0.10621565886548144,-0.26260980707286724,0.11776996652403621,-0.01937725085466436,0.8825575692772043,0.551115793892691,0.14693471815272996,0.883067447371626,1.0,0.771699039914434,-0.2311279796609665,-0.010800040129578832,0.44895109560593266,0.4504588275827917,0.4132663127846526,0.8693733601773946,0.8550330851972873,-0.23975989455870075,0.4952222586084931
