,Calcarine_L,Frontal_Med_Orb_L,SupraMarginal_R,Supp_Motor_Area_R,Rolandic_Oper_R,SN_pr_L,Thal_IL_R,OFCpost_R,Thal_PuI_L,Cuneus_L,Vermis_6,Calcarine_R,Postcentral_R,Cingulate_Mid_R,Cerebellum_4_5_L,Occipital_Inf_L,Occipital_Mid_L,Vermis_3,Cerebellum_Crus1_R,Putamen_L
Calcarine_L,1.0,-0.09095603306764802,0.5217130039728036,0.6776018577656184,0.5723797114147073,0.5405842824295088,0.1819329516595823,-0.2835257029007678,0.6254201636522579,0.8015439883859319,0.8631846440511904,0.8691365428253661,0.45673477857058875,0.6202236841832622,0.7119102745457079,0.7185967300116689,0.8176658796078978,0.5675131499611643,0.5546266245693335,-0.12021695474657959
Frontal_Med_Orb_L,-0.09095603306764802,1.0,0.1053228498166537,0.1291080281153242,0.11094955546290082,0.199818365566212,0.1056370082499024,0.28742409999266955,-0.05793436242878408,-0.13829653664715344,-0.06367874723510328,-0.1548339325831881,0.17178797748541577,0.12818054786933183,0.01990298575838197,-0.1361640692738457,-0.22763896031143568,0.0022737657374155666,-0.11523115638559313,0.1650507517509055
SupraMarginal_R,0.5217130039728036,0.1053228498166537,1.0,0.794342741691586,0.6836491115686568,0.4373267668397182,0.22639803826717797,0.07842327392879726,0.4857950596518063,0.4830987710247229,0.42042844192162476,0.45141361295885457,0.8054525469483078,0.7432923946479578,0.5777067790111584,0.2567545114385922,0.3369817283759826,0.4483269117249683,0.2151782591885815,0.21987286095943095
Supp_Motor_Area_R,0.6776018577656184,0.1291080281153242,0.794342741691586,1.0,0.728324118079261,0.6565340522396642,0.18313648701237162,-0.01486023276757315,0.5561464758768078,0.5805211864403884,0.6109498545422175,0.6734462992445629,0.7584452692478534,0.8068319547939137,0.7621961710247829,0.4082606004605329,0.4257641008172283,0.5510512778264972,0.41456808987739807,0.23123023800192588
Rolandic_Oper_R,0.5723797114147073,0.11094955546290082,0.6836491115686568,0.728324118079261,1.0,0.5867374499772056,0.24164048499346122,0.11660893504370137,0.4614095531519925,0.4031794296967962,0.5293957191351457,0.5322553526163886,0.6396418417239501,0.6203549141961691,0.6165704473711655,0.2670798000135056,0.3256138331993514,0.5681451671592028,0.37682207844127946,0.1524441191946194
SN_pr_L,0.5405842824295088,0.199818365566212,0.4373267668397182,0.6565340522396642,0.5867374499772056,1.0,0.17070793374622512,-0.051222949786088955,0.5739605009048605,0.34892966164774003,0.5612675441247421,0.5028458002599365,0.3902597893659599,0.6022183157939648,0.5235294692379034,0.44194297455343895,0.37347456146202124,0.4789757295929358,0.455387093816658,0.015042411133662625
Thal_IL_R,0.1819329516595823,0.1056370082499024,0.22639803826717797,0.18313648701237162,0.24164048499346122,0.17070793374622512,1.0,0.2637064275733882,0.09768749697954031,0.053244145058707955,0.06623932131351873,0.13056013926014573,0.3176597546461067,0.16692382447051293,0.33287034154263223,-0.05808479140795258,-0.008540365106723052,0.13630925538048572,-0.05955107195412856,0.12321177207396433
OFCpost_R,-0.2835257029007678,0.28742409999266955,0.07842327392879726,-0.01486023276757315,0.11660893504370137,-0.051222949786088955,0.2637064275733882,1.0,-0.26059603334157294,-0.3720399249560237,-0.38480959684976873,-0.38089210050009586,0.22874403620452732,0.09595160159755428,-0.024591284247566868,-0.6124419749738865,-0.51817867090884,-0.007918590635199153,-0.3935340760177344,0.32908098923211465
Thal_PuI_L,0.6254201636522579,-0.05793436242878408,0.4857950596518063,0.5561464758768078,0.4614095531519925,0.5739605009048605,0.09768749697954031,-0.26059603334157294,1.0,0.4340424805689586,0.6250775071755376,0.6738625737664672,0.3049346023317983,0.540347167894962,0.5652670895684934,0.65407967974517,0.6205748127868356,0.41815074387944806,0.6284936132883479,0.06943366058021105
Cuneus_L,0.8015439883859319,-0.13829653664715344,0.4830987710247229,0.5805211864403884,0.4031794296967962,0.34892966164774003,0.053244145058707955,-0.3720399249560237,0.4340424805689586,1.0,0.7268770094027354,0.7195752672910138,0.5258001790303297,0.5631146049710751,0.515743486520723,0.611170848083813,0.8130173505573817,0.30930072326619784,0.4118454943869037,-0.22717699259148919
Vermis_6,0.8631846440511904,-0.06367874723510328,0.42042844192162476,0.6109498545422175,0.5293957191351457,0.5612675441247421,0.06623932131351873,-0.38480959684976873,0.6250775071755376,0.7268770094027354,1.0,0.8362174360538818,0.3486567316445085,0.5089353904564373,0.675485032822021,0.7857355689230867,0.7759261202211588,0.5708165536459766,0.7072551217626826,-0.13870924360022283
Calcarine_R,0.8691365428253661,-0.1548339325831881,0.45141361295885457,0.6734462992445629,0.5322553526163886,0.5028458002599365,0.13056013926014573,-0.38089210050009586,0.6738625737664672,0.7195752672910138,0.8362174360538818,1.0,0.36387113947101224,0.5404163813147617,0.7693052057657552,0.7598813807322896,0.7939462046857969,0.5023886452827095,0.7273748941216985,0.050781658653705875
Postcentral_R,0.45673477857058875,0.17178797748541577,0.8054525469483078,0.7584452692478534,0.6396418417239501,0.3902597893659599,0.3176597546461067,0.22874403620452732,0.3049346023317983,0.5258001790303297,0.3486567316445085,0.36387113947101224,1.0,0.7275340810376599,0.5694941679867453,0.049666347860192944,0.24658654635485594,0.3793458031098785,0.05293880967530465,0.172275105119544
Cingulate_Mid_R,0.6202236841832622,0.12818054786933183,0.7432923946479578,0.8068319547939137,0.6203549141961691,0.6022183157939648,0.16692382447051293,0.09595160159755428,0.540347167894962,0.5631146049710751,0.5089353904564373,0.5404163813147617,0.7275340810376599,1.0,0.6796364044600848,0.327524899109259,0.447765556203239,0.3957042604483618,0.3271926643169556,0.1646765892909276
Cerebellum_4_5_L,0.7119102745457079,0.01990298575838197,0.5777067790111584,0.7621961710247829,0.6165704473711655,0.5235294692379034,0.33287034154263223,-0.024591284247566868,0.5652670895684934,0.515743486520723,0.675485032822021,0.7693052057657552,0.5694941679867453,0.6796364044600848,1.0,0.45048859581804507,0.45353394083216914,0.5663850630717141,0.5031587749539806,0.1839442498436849
Occipital_Inf_L,0.7185967300116689,-0.1361640692738457,0.2567545114385922,0.4082606004605329,0.2670798000135056,0.44194297455343895,-0.05808479140795258,-0.6124419749738865,0.65407967974517,0.611170848083813,0.7857355689230867,0.7598813807322896,0.049666347860192944,0.327524899109259,0.45048859581804507,1.0,0.8506022979240037,0.2814228049643285,0.7440732071569338,-0.16271445398031859
Occipital_Mid_L,0.8176658796078978,-0.22763896031143568,0.3369817283759826,0.4257641008172283,0.3256138331993514,0.37347456146202124,-0.008540365106723052,-0.51817867090884,0.6205748127868356,0.8130173505573817,0.7759261202211588,0.7939462046857969,0.24658654635485594,0.447765556203239,0.45353394083216914,0.8506022979240037,1.0,0.29708806153359646,0.6209894413862899,-0.2189061654125621
Vermis_3,0.5675131499611643,0.0022737657374155666,0.4483269117249683,0.5510512778264972,0.5681451671592028,0.4789757295929358,0.13630925538048572,-0.007918590635199153,0.41815074387944806,0.30930072326619784,0.5708165536459766,0.5023886452827095,0.3793458031098785,0.3957042604483618,0.5663850630717141,0.2814228049643285,0.29708806153359646,1.0,0.251362086739354,0.1097940161226425
Cerebellum_Crus1_R,0.5546266245693335,-0.11523115638559313,0.2151782591885815,0.41456808987739807,0.37682207844127946,0.455387093816658,-0.05955107195412856,-0.3935340760177344,0.6284936132883479,0.4118454943869037,0.7072551217626826,0.7273748941216985,0.05293880967530465,0.3271926643169556,0.5031587749539806,0.7440732071569338,0.6209894413862899,0.251362086739354,1.0,0.1848616917103487
Putamen_L,-0.12021695474657959,0.1650507517509055,0.21987286095943095,0.23123023800192588,0.1524441191946194,0.015042411133662625,0.12321177207396433,0.32908098923211465,0.06943366058021105,-0.22717699259148919,-0.13870924360022283,0.050781658653705875,0.172275105119544,0.1646765892909276,0.1839442498436849,-0.16271445398031859,-0.2189061654125621,0.1097940161226425,0.1848616917103487,1.0
