,Frontal_Inf_Oper_L,Thal_VPL_R,Postcentral_L,Temporal_Pole_Mid_L,Temporal_Pole_Mid_R,Calcarine_L,SN_pr_L,Pallidum_L,Frontal_Mid_2_R,Supp_Motor_Area_L,Cingulate_Post_L,Thal_MDl_R,VTA_R,Thal_PuA_R,Amygdala_L,OFClat_R,Temporal_Inf_L,Temporal_Sup_L,Vermis_6,Lingual_R,ACC_pre_L,Paracentral_Lobule_R,ACC_sup_L,Parietal_Sup_R,Thal_VL_L,Thal_LGN_R,Raphe_D,Cingulate_Mid_R,Cerebellum_9_R,Occipital_Mid_L,Occipital_Sup_R,Angular_R,OFCpost_L,Cingulate_Post_R,Cerebellum_4_5_R,Frontal_Med_Orb_L,Cerebellum_3_L,Parietal_Inf_L,Temporal_Inf_R,ACC_sub_R,Rolandic_Oper_L,SN_pc_R,Putamen_R,Occipital_Inf_L,SupraMarginal_L,Thal_MGN_L,Parietal_Sup_L,Lingual_L,OFCant_L,Hippocampus_R,Thal_MGN_R,Red_N_L,Frontal_Inf_Tri_R,ACC_sup_R,Cerebellum_Crus2_L,Paracentral_Lobule_L,Rectus_L,Thal_PuM_L,Thal_IL_L,Cerebellum_7b_R
Frontal_Inf_Oper_L,1.0,0.4847284717763049,0.41051889671768943,-0.036149156684569396,0.13126427097756221,0.4443805294094478,0.6519284366381182,0.2732852247004945,0.6190653086963076,0.5974939754957345,0.38870525605811895,0.3839083005912737,0.3051065456696766,0.17817021117470794,0.4631800879338689,0.06006765577079423,0.5936139775071159,0.6883372426327631,0.466466638819089,0.5125365315559892,0.01733019284136734,0.22033060339642155,0.24630185976703095,0.06461144431982639,0.2906082260504404,0.4547789261503402,0.15549879526101684,0.5243740006914454,0.3431398167604349,0.32101930890863517,0.40072119402656464,0.20059040565105749,0.030903015959363265,0.38213351410337176,0.43198756391613913,0.05606492146486739,0.48050216918755717,0.26335638595870275,0.398308856640731,0.10481850783850725,0.6783706785967044,0.4479400563263222,0.2696576539331389,0.39548146207077756,0.5435797848540099,0.32516165273832937,-0.0378697898497697,0.5883462122076687,0.23304318898678078,0.6361382332369774,0.3929188532836938,0.532206520800637,0.4548831392425458,0.18113671374687818,0.4152584751332164,0.5686979012314863,-0.031410367874494034,0.2874768648383334,0.059974335849791734,0.13576695641494593
Thal_VPL_R,0.4847284717763049,1.0,0.4790165250751849,-0.3895399311694332,-0.030282424795418636,0.7620147372856346,0.5115521011131079,0.10762205589580051,0.4238889742952954,0.5400883427678337,0.5807203288866103,0.22147307126263688,0.11528168558777122,0.5533539213253047,0.5717009700213617,0.15322067284045773,0.4896329457346965,0.5807557558994461,0.6586724747979041,0.6686933555068467,-0.14064309522451296,0.4977471657910636,0.1444280320778623,0.44416981603017885,0.468760580370505,0.484198088582822,0.617028513959509,0.6874660565958494,0.3516171983653543,0.678111356571892,0.7641930820912238,0.6527510325878786,0.07530653184241137,0.6216916430759346,0.5794336652554113,-0.09420722058335425,0.7105973491103401,0.5748841078996626,0.32625697431756473,-0.016925891973345902,0.6150746345140723,0.30950544732192653,-0.0185090525820054,0.5599903488050026,0.6553295585172337,0.29297045406249245,0.3034270169877255,0.6614471292949891,0.029875177288699633,0.6668093397143441,0.3116294192061819,0.4374072201278946,0.08049669916753456,-0.011838187472661283,0.448524439854227,0.6622609193000226,-0.23069421091155223,0.7914571629801201,0.27744335258248976,0.007110916512767774
Postcentral_L,0.41051889671768943,0.4790165250751849,1.0,0.22871397637579904,0.200492748220927,0.4015948714190109,0.43977194022440463,0.23951738229606875,0.579486926906166,0.7018072051978919,0.48888755314070065,0.6172908145589204,0.1950949838071711,0.16714849917909985,0.33563015748379676,0.07725585120061615,0.2665896562536757,0.45452173838007076,0.21481114025886755,0.3838476628916803,0.085430697129819,0.7235981193434178,0.3993418924001062,0.6261764367161762,0.3741148447599808,0.33066544377283347,0.25364019696880435,0.71652129014843,0.40672369456882923,0.1446444804121742,0.3635454585774619,0.5884256267684582,0.15706963310168012,0.37652120552225393,0.5838609486427204,0.22864268549265188,0.2933025274831467,0.8013856314621529,0.3879723953544893,0.002119670966451415,0.646102449260636,0.501424143057591,0.22098600118876846,-0.09437755964095067,0.5587243153277814,0.21462958402249604,0.6277761046650994,0.21186402125701242,-0.21713586293144466,0.6442052530374134,0.31063301332290383,0.32013846725501577,0.3657785440150535,0.3418567990790173,-0.14050182343343517,0.8322158104941509,-0.05283427245771975,0.27984875490764394,0.1804641041230115,0.17638917887359382
Temporal_Pole_Mid_L,-0.036149156684569396,-0.3895399311694332,0.22871397637579904,1.0,0.4531198236890229,-0.4213367078765843,-0.16108971893314916,-0.001799246449916951,0.11080461378423948,-0.0055631389910887575,-0.049463200921053045,0.36184589048096366,-0.0993154073742761,-0.462125828223536,-0.3359732150063185,0.06756874169524082,-0.11288145698965213,-0.13868464015493645,-0.5495957933373506,-0.3722089414611278,0.20438130973431262,0.11071906364284226,0.28902787326155904,-0.0019286650012128165,0.017907704485235012,-0.16949013056029277,-0.31964706232655915,-0.053083515652329945,0.009597767151212699,-0.5596652729825881,-0.4789342675016988,-0.18777987161046716,0.2126862527850411,-0.20210690445007873,-0.1077729015383674,0.16910382193379564,-0.5407464240373473,0.0060281884509618055,0.07892681611626515,0.09932764485725358,-0.043246432534262386,0.041034347314324676,0.2367141450845602,-0.6283346879205439,-0.21941403596526118,0.01276167289099724,0.14121820234448054,-0.4990129354270866,-0.27461049916317043,-0.11355404065425168,-0.03236276447527482,-0.23747893736261558,0.3070841380438635,0.32102969807026405,-0.5975582836784105,0.04959183701691015,0.19286702777523615,-0.428061450849419,0.12794334356377177,0.07044453674519634
Temporal_Pole_Mid_R,0.13126427097756221,-0.030282424795418636,0.200492748220927,0.4531198236890229,1.0,-0.17562832106019588,-0.1210931138046843,0.16853848275766725,0.23845036577622294,-0.02274105945775858,0.03500789025276573,0.3057377780897348,-0.1637149726922254,-0.2221970008551443,-0.2067944548056155,0.15623191170691214,-0.04038277053083294,0.08076376608915291,-0.3104929692926942,-0.18038633683683025,-0.03806203125404079,0.1824582963285151,0.26363568989160197,0.021892097404923556,0.21362622470607567,-0.04944259844665719,0.061142787687669335,-0.03515038757762928,0.1348280541283127,-0.2470670949919908,-0.16722681079425947,0.0060985305590237505,0.3312459005034689,-0.0036727263589380133,0.08352939727021509,-0.06484986440588983,-0.273166112052259,0.029579500853845225,0.25575961565114824,0.05368799863495892,0.03338037323025147,0.0306384878313508,0.38801430101052037,-0.3385918093518183,-0.05154378343001128,0.1023310491386432,0.0853036207361394,-0.24424880026706997,-0.10526304271187281,-0.022556555130984476,-0.15815224608415052,-0.16688830092390033,0.37160389779554814,0.27565577128526364,-0.23772784914504008,0.09214513239385574,0.19560417541127723,-0.07323863752766728,0.07183030964558776,0.034703526756357614
Calcarine_L,0.4443805294094478,0.7620147372856346,0.4015948714190109,-0.4213367078765843,-0.17562832106019588,1.0,0.5405842824295088,0.17217998585939998,0.37807916879519887,0.5756769209141132,0.6631386928479359,0.2071136064202379,0.2261992584458627,0.611572941511925,0.7132629639613013,0.13188612698218993,0.572631100003663,0.630389745171172,0.8631846440511904,0.8761051320856739,-0.1459830853137096,0.44024856004881224,0.025290677169269693,0.36504052169971385,0.3239335158256364,0.5552998553011805,0.5203190663558256,0.6202236841832622,0.4082661956075902,0.8176658796078978,0.8295309190211752,0.6320966973572367,0.03269399650559104,0.6236519077191729,0.7003912629997482,-0.09095603306764802,0.8348817984067061,0.46486474348243956,0.1325112390150666,0.07580547749770368,0.6468056475082079,0.21016134083818794,-0.1418276928004683,0.7185967300116689,0.7100633195569748,0.3795721982269597,0.17858196873540916,0.8058034109234669,0.04649159523000416,0.6426968522335268,0.5339904411278542,0.5374645753685755,-0.08812929410944353,-0.0731122458131531,0.5050864409349891,0.557099956757062,-0.3982339391143317,0.6639364892493191,0.2562040918805702,0.04226298358729644
SN_pr_L,0.6519284366381182,0.5115521011131079,0.43977194022440463,-0.16108971893314916,-0.1210931138046843,0.5405842824295088,1.0,0.4351511078278306,0.4758576967784392,0.6807814023781555,0.4844862872312481,0.3955870703070949,0.25819448034932346,0.42715605089737646,0.5990671852224043,0.039977383289229416,0.49146467856401505,0.6079796849665143,0.5612675441247421,0.5202104481944833,-0.009252680852190751,0.1955873577694109,0.298371407896974,0.09463132667519764,0.09794843748755383,0.4812059965187711,0.180809247569111,0.6022183157939648,0.2978915030290732,0.37347456146202124,0.4402070677905414,0.25287074935461296,-0.03654847235103377,0.430551459495042,0.41208510067917764,0.199818365566212,0.5412865341229965,0.31790580382014993,0.39103476337795995,0.06659393714981106,0.6052801297040227,0.5469284633603021,-0.008960877542545313,0.44194297455343895,0.5156431983953431,0.27701142318364197,-0.0008305941604396942,0.5629725264345358,0.1459341832363649,0.6899942126302196,0.40038638292704043,0.6701923362590883,0.26308893241641734,0.2190009202131645,0.3367997384536294,0.5808746326204922,-0.41599574085684415,0.36472889253747875,0.11566478900008695,0.11542434584050039
Pallidum_L,0.2732852247004945,0.10762205589580051,0.23951738229606875,-0.001799246449916951,0.16853848275766725,0.17217998585939998,0.4351511078278306,1.0,0.3949560758808545,0.2525279874893452,0.15563584760579954,0.10728636575198046,0.24011544669346943,0.30283018905430487,0.3783394861768217,-0.09682185951166883,0.18195617742563058,0.278658484773189,0.14018890627687436,0.08009732389511473,-0.2852228384020583,-0.020326149043882337,0.48377785194217254,-0.11383519955182045,0.08844593799566249,0.11185777580552278,-0.099856940510503,0.222645293612705,0.321053356267004,0.008563675322604963,-0.019029382327586216,-0.0003657843228828438,0.02622215387359963,0.08782898383446067,0.1426590156744573,0.3342633792346778,0.08267486850679714,0.02846552804368579,0.2984053494089225,-0.1737496022496037,0.2782259850654191,0.3036099680324161,0.4638770021431681,0.09613643153918111,0.07562927538476147,0.14714860098223242,-0.14399868061423446,0.1408789663373781,0.11834928605400263,0.2607468543476486,-0.09019002912748386,0.2725424534280976,0.34555028438083246,0.5056709992319942,0.07652344175452687,0.19826333348139066,0.014112472433644451,0.13547324092077975,-0.012982980880561332,0.2707302804996218
Frontal_Mid_2_R,0.6190653086963076,0.4238889742952954,0.579486926906166,0.11080461378423948,0.23845036577622294,0.37807916879519887,0.4758576967784392,0.3949560758808545,1.0,0.6063824509321718,0.49584893981882844,0.47812662997372835,0.21369511943783143,0.021235969366056675,0.4385686587403611,0.0795627005427891,0.5533364170538143,0.6922685419085437,0.23351970574374298,0.3923562162925434,-0.09427269240503215,0.3076473492199318,0.6228920840608635,0.12318458452524512,0.5741377461127031,0.4570085282767037,0.11642090013883306,0.566934323967586,0.2717488562932957,0.07362389623042326,0.2707160136993728,0.24455225710377876,0.264124403569285,0.4101249991372445,0.5729033645255172,0.24040159315468332,0.27099654115504457,0.30131142688280577,0.39699049792867636,-0.016270203620908384,0.6811596521512967,0.40984689767708526,0.5798277966451161,0.11021989269341374,0.3999148337268622,0.4834210031753213,-0.0009329793690291556,0.3667022311437203,0.17888300109031985,0.6613540063652933,0.3394396349774389,0.38094151164053125,0.6036544174138042,0.6083259500006266,0.04862532696752631,0.6401454628560311,0.12220486956605645,0.22512531471612027,0.23133167092942614,0.04477402162485086
Supp_Motor_Area_L,0.5974939754957345,0.5400883427678337,0.7018072051978919,-0.0055631389910887575,-0.02274105945775858,0.5756769209141132,0.6807814023781555,0.2525279874893452,0.6063824509321718,1.0,0.49646141944155225,0.404917944641033,0.3003113041015677,0.3307527957638301,0.5021001919966093,0.04223186663190491,0.5255667415661881,0.6760557826578799,0.5033839136057684,0.5543312300735788,-0.003908978050380355,0.39665425222244144,0.2746911366379862,0.31209371387421553,0.34155300618981554,0.43244461175752674,0.25056001120990684,0.7910624720291515,0.27288456157095764,0.3874197519013525,0.4865633661689053,0.43285405770705787,-0.004910421904314944,0.4750692395395978,0.556605839669586,0.10633473508395147,0.5457679259802408,0.5507633657411458,0.35794640538646294,0.04224852007665646,0.733116499229092,0.5940499041423899,0.13009881023605643,0.29366333489974444,0.653780179856887,0.2973914669790496,0.25239151392509485,0.5578527793368665,0.092723598789226,0.7665939000943335,0.36592638084279244,0.5793748101677071,0.19919021250902055,0.19208227747447446,0.16885425623862302,0.786233634603489,-0.16138816142014925,0.41201860762473647,0.09845582458427636,0.21767822796827524
