,Precentral_L,Temporal_Inf_R,ACC_sup_L,Thal_PuM_R,Supp_Motor_Area_R,Occipital_Inf_R,Cerebellum_10_L,Cerebellum_10_R,Cerebellum_Crus2_R,Frontal_Inf_Oper_L,Occipital_Mid_R,Cerebellum_6_L,Hippocampus_R,Frontal_Inf_Oper_R,Thal_MDl_R,OFCmed_L,Cerebellum_3_L,OFCmed_R,Angular_L,Postcentral_L,LC_L,Supp_Motor_Area_L,Temporal_Inf_L,Thal_VPL_R,Precuneus_R,Thal_PuM_L,Thal_PuI_R,Paracentral_Lobule_L,Thal_VPL_L,SN_pr_L,Thal_MGN_R,OFClat_L,Red_N_R,Cerebellum_7b_R,SN_pr_R,Thal_PuA_R,Thal_VL_R,Cingulate_Post_R,Frontal_Med_Orb_R,Occipital_Mid_L,Thal_LGN_L,Thal_VA_R,Parietal_Inf_L,ACC_sub_L,Parietal_Inf_R,Cuneus_L,Thal_LP_R,Thal_PuL_R,Insula_R,Frontal_Mid_2_R,Temporal_Pole_Mid_R,Thal_PuL_L,Cerebellum_4_5_L,Rectus_R,Thal_VA_L
Precentral_L,1.0,0.346957665956867,0.16549180600483648,0.5363020917658078,0.8286469318016274,0.2618352947654815,0.6363300207319057,0.6834178891908517,0.13860834707339975,0.5680212687568195,0.6446018733644859,0.48436968940333847,0.75325494371573,0.5897911779714551,0.397259127000326,-0.16899314100596532,0.6054746115441542,-0.028061598496910634,0.7246804698366011,0.792707600148042,0.20497469598621523,0.8487574037848109,0.5331359849142718,0.6797617260118438,0.7035909011411795,0.5476657456741731,0.07334268395066464,0.8534564542611159,0.19686044401921457,0.5692748285309351,0.33656334207605754,0.2552029074348021,0.6096492997545466,0.28054469577278196,0.41639608694655944,0.33598288223772643,0.28769498384322945,0.5307813811935954,0.06903038778094715,0.5174549655923881,0.07180442453732493,0.1016025914953766,0.7594613454903044,-0.0012308219701700916,0.7973888104066676,0.6849065942825626,0.06965789508649009,0.2555011427296416,0.25964319047038825,0.5639474019641609,0.07570357090911721,0.5106113273759577,0.6747545188646277,-0.1338045855776021,0.020305384310553776
Temporal_Inf_R,0.346957665956867,1.0,0.34437668238286867,0.2593630163134388,0.3790842399273798,0.11368213878487658,0.18126818384674004,0.13812124196351802,-0.05942255063868107,0.398308856640731,0.12556313724505805,0.08503315364568807,0.5103425631320472,0.602229368280591,0.3954200209368557,0.1418294430445656,0.1016799944912222,0.054386361918417,-0.00916162393318978,0.3879723953544893,0.07373139758532156,0.35794640538646294,0.032520389452058346,0.32625697431756473,0.2366565208555548,0.15509917815659466,-0.030315470484570943,0.40181382392393805,0.38292892910453674,0.39103476337795995,-0.04457165843647207,0.19967026507370825,0.24323159252446333,0.11126578440873171,0.36160906373257806,-0.019618048378324773,0.31972073474712837,0.15077572174553128,-0.2531098831472721,-0.07899474609436814,0.5604750647480246,0.3881743827875234,0.278573470930605,-0.03196089321618273,0.2183005380939504,0.02419566300654841,0.29032446331234507,0.3570711073872493,0.5491095831469002,0.39699049792867636,0.25575961565114824,0.3036184125398286,0.36683489741214576,0.056060330904366656,0.324934314039621
ACC_sup_L,0.16549180600483648,0.34437668238286867,1.0,0.11937787182924732,0.2948365504249978,-0.23239422009902155,0.17443132648954,0.12394836187271058,-0.07563104540888035,0.24630185976703095,-0.2412161273077813,-0.1079113811798292,0.2758596445141462,0.3487589102147402,0.38505751964086016,0.22765108674795295,-0.13537611529721172,0.19475805590620593,-0.20236136083365466,0.3993418924001062,0.35306140251143325,0.2746911366379862,0.17358292200143643,0.1444280320778623,0.12595871871886663,0.10756085894758227,0.18185226125949597,0.37815285547515537,0.6712996846270212,0.298371407896974,0.05621566552225641,0.19827328990803866,0.13121889357089297,-0.01199893373912938,0.04752116856002884,-0.04590746747661177,0.4394204707635819,0.08420411316328426,-0.1664633090613837,-0.31544199755521174,0.6605814302953812,0.3999219251432609,0.12346875462136112,0.03678781741370091,0.09077517714568588,-0.32773204161054226,0.7477244364950868,0.4949729098667579,0.596489446223222,0.6228920840608635,0.26363568989160197,0.3905077969731087,0.27553038456339973,0.1349872239398044,0.6383404144512467
Thal_PuM_R,0.5363020917658078,0.2593630163134388,0.11937787182924732,1.0,0.5363026699149887,0.2754178345996398,0.5120623774861236,0.5864995150648479,0.09441401229080056,0.45009422665697957,0.5344991246222376,0.5472285141819443,0.6103378763423969,0.42156204142248743,0.456532546809435,-0.20140637628099636,0.5432218954174166,0.05158379553689548,0.4600684226948652,0.4798922155763738,0.030656972899348878,0.5221849671889652,0.5159599249663867,0.6823843814577025,0.6445472621523636,0.45251555694356116,0.40887392838351483,0.5186661296256004,0.19673833334891797,0.5184246200527761,0.44272767482680664,0.012874797254915055,0.5318691577126586,0.04320234497324004,0.31029852853124823,0.40483209615747384,0.2723645006193118,0.7334595555075258,0.21263209478501574,0.5357540632678577,0.10753618823029593,-0.12321072122602221,0.3861225185975098,-0.15434193240407396,0.42656297317246594,0.5171025907271488,0.18187418344947012,0.3639578563827312,0.06947504075428343,0.39048584188423385,-0.045070715638265896,0.2754054838837366,0.6099927626249391,-0.2434021597106834,0.03716613565312722
Supp_Motor_Area_R,0.8286469318016274,0.3790842399273798,0.2948365504249978,0.5363026699149887,1.0,0.3318096656130091,0.6509683756783369,0.6494011059079773,0.22941038011189835,0.6210993636458276,0.5742126606658222,0.5723166805862984,0.8670708842118425,0.6726107973610547,0.45314061320276366,-0.17660825375500963,0.6443522868495335,-0.04932098124323342,0.5257874358918251,0.6862673128257558,0.15231275114921802,0.835509939104027,0.6463693764911637,0.6751105880795062,0.7029772789333658,0.45319806370438637,-0.029369108312512063,0.8208827593093966,0.2899722869569097,0.6565340522396642,0.40819726179057547,0.30141747364265303,0.6330900745633755,0.20912211816596504,0.33037395563778066,0.27704788470355207,0.3016854341665372,0.48918556601244917,0.012479327124638022,0.4257641008172283,0.27116152201411947,0.15902192484559705,0.5921823306189505,-0.05511881884975729,0.7713510399730683,0.5805211864403884,0.23592292681567184,0.4264358031319944,0.39552074437827034,0.6995522972524278,-0.007455082820321215,0.43333149774172286,0.7621961710247829,-0.1388960746995383,0.16774938973197964
Occipital_Inf_R,0.2618352947654815,0.11368213878487658,-0.23239422009902155,0.2754178345996398,0.3318096656130091,1.0,0.40882600796187146,0.47961682361659835,0.40133572989831945,0.27715354745703275,0.6865765038383171,0.787606221545233,0.35312446221382143,0.3534587314025849,-0.1850638594614245,-0.31106416186874064,0.7070920676814746,0.1510208222637549,0.4530503219724689,-0.12136108765188171,-0.2657353131676327,0.23781678366315984,0.2721098385278298,0.48876780268595693,0.13283172269893337,0.5368531842413048,-0.21071530717750794,0.1284771804292314,-0.44201776040345114,0.37364221255496916,0.1938035442381461,-0.3112359545441667,0.46524461390017313,-0.0012187302040555462,0.33160589142606856,0.5901330242893973,-0.46222435421539415,0.3067083916423392,0.014555561774664235,0.7086994604302211,-0.07780664712213636,-0.4017980681471217,0.11224614101489323,-0.2059667058959785,0.29497708825139674,0.5719716446632046,-0.20894589420527385,0.1995045984732837,-0.09535110859661489,0.05204770858064592,-0.3766243962978178,-0.053035935110649045,0.3514535518038919,-0.40166277146614077,-0.38187587117462335
Cerebellum_10_L,0.6363300207319057,0.18126818384674004,0.17443132648954,0.5120623774861236,0.6509683756783369,0.40882600796187146,1.0,0.7696378035795837,0.29134280065745366,0.5780740697958433,0.5997083010284147,0.6526583828332403,0.6419146083048233,0.39854306658866556,0.24377014767243185,-0.07935941158202192,0.6542530640598503,0.113674781450211,0.5077352950190696,0.4536288358437031,0.10770224745477193,0.581481006821171,0.6424754237209885,0.6100365211969856,0.5068043196472033,0.4505283545921989,0.060462075156980155,0.6011161555776153,0.11696924071525994,0.5353210826756042,0.3979126254470451,0.2009732956237552,0.5494764738553247,0.27718999557998664,0.20282774977589157,0.3412171399849378,0.09856702938671615,0.582854618560868,0.012166478335595905,0.593959093564814,0.09200127789978246,0.018485652543272092,0.38538469205711134,-0.02309916791095837,0.5626287235383753,0.5210669723699184,0.13350758863745485,0.35468315488260566,0.1910236310318535,0.5481281648873034,-0.01564617638035933,0.33499182875264477,0.6879589291763158,-0.1354099039080464,0.06421757020775722
Cerebellum_10_R,0.6834178891908517,0.13812124196351802,0.12394836187271058,0.5864995150648479,0.6494011059079773,0.47961682361659835,0.7696378035795837,1.0,0.3031327980023893,0.5217519544383289,0.5990632716283414,0.7679337481218842,0.6470943218271784,0.42165340946593227,0.18308097834598977,-0.1614017597208553,0.7356899756095007,0.16276288397268335,0.5464643358166515,0.41837212129355467,0.07446102228833332,0.6551601668536721,0.6798633613155582,0.6265283364772759,0.4504277588847384,0.5398340765448127,0.03157892512192743,0.5539351625454793,0.007471233494199075,0.5641086075334931,0.4097069169668387,0.0817139492529962,0.6134235506551281,0.2085069644806038,0.3260147041073006,0.46548551939374366,-0.043462000258864424,0.5827397655218586,0.1377872610016823,0.6690670758910171,0.05615245284649324,-0.09751112931542724,0.35187828438632807,-0.17482414629562795,0.5379560231751603,0.5849986692346119,0.09157482256525962,0.42723324183292677,0.07866136579665202,0.46034314912653673,-0.11763202923068353,0.2930192765715494,0.7032224296217751,-0.23848870759870514,-0.03883509435515862
Cerebellum_Crus2_R,0.13860834707339975,-0.05942255063868107,-0.07563104540888035,0.09441401229080056,0.22941038011189835,0.40133572989831945,0.29134280065745366,0.3031327980023893,1.0,0.22232263270821795,0.3540371400218985,0.3496741730390481,0.13086810593925985,0.10261573307172527,-0.2254079485935912,0.015746694298196844,0.35526246135426176,-0.08240958425558466,0.24197831758149693,-0.0795345337772868,0.04666115551212633,0.06822493959073528,0.25396631163199945,0.33689383242433124,0.017626047145120016,0.36843933664523293,-0.0652461568107193,0.1162812938396873,-0.15292616686471347,0.12755584920600704,0.015589606211091022,0.16776809552337138,0.1646874281390311,0.1784820709463884,0.04097152288736798,0.20904294790851588,-0.16567067418668532,0.19778752642158456,0.02796890581097839,0.3609027324633158,-0.08050537205776082,-0.03570743790335481,0.06616291788661234,-0.039171966937210215,0.16229827205469616,0.24341645070289517,-0.15666956878500224,0.10327750222905752,0.10353083436685877,0.012117117234796797,-0.1631722823738338,0.17189588194705513,0.1337584651190232,-0.034206436201428866,-0.1998013692610524
Frontal_Inf_Oper_L,0.5680212687568195,0.398308856640731,0.24630185976703095,0.45009422665697957,0.6210993636458276,0.27715354745703275,0.5780740697958433,0.5217519544383289,0.22232263270821795,1.0,0.3915014707560277,0.508563984758563,0.6361382332369774,0.5896254591856129,0.3839083005912737,-0.08784425100904598,0.48050216918755717,0.03558514039918393,0.3013069186867088,0.41051889671768943,0.16243230723656835,0.5974939754957345,0.5936139775071159,0.4847284717763049,0.39898373727632236,0.2874768648383334,-0.08448430165447329,0.5686979012314863,0.322640829443788,0.6519284366381182,0.3929188532836938,0.25355520598379894,0.4005371446880025,0.13576695641494593,0.307169059967116,0.17817021117470794,0.19190533024833828,0.38213351410337176,-0.1212620668573922,0.32101930890863517,0.4040323691066046,0.22553702004213302,0.26335638595870275,-0.09120984812735837,0.4242995467565346,0.292941735209924,0.11681383568064628,0.48782859821464347,0.39049451712216915,0.6190653086963076,0.13126427097756221,0.19715060551188723,0.5887843934308377,-0.13001557830897958,0.1752349898528909
