,Occipital_Sup_R,Cerebellum_9_L,Frontal_Med_Orb_L,Cerebellum_Crus1_R,Thal_MGN_L,Temporal_Inf_R,ACC_pre_L,Cingulate_Post_L,Precentral_L,Temporal_Sup_R,VTA_L,Cerebellum_4_5_R,Precuneus_R,Postcentral_R,Thal_AV_L,Cerebellum_6_R,Hippocampus_L,Cerebellum_9_R,Pallidum_R,Thal_PuA_R,Temporal_Mid_R,ACC_sub_L,OFCant_L,Temporal_Pole_Mid_L,N_Acc_L,Frontal_Sup_2_L,Thal_PuA_L,SN_pr_L,Olfactory_L,Thal_IL_L,Raphe_D,Cerebellum_6_L,Thal_IL_R,Rectus_L,Thal_AV_R
Occipital_Sup_R,1.0,0.6243154110267217,-0.1420471155907033,0.5591249804203231,0.15623726966081666,0.1860680227128707,-0.12482152657960156,0.4798723943597818,0.6643219240740696,0.35847411841544,0.5185935246513916,0.5579312343883285,0.6425668432102392,0.508758916449852,0.25015682976937864,0.7479586271251161,0.6127198819897917,0.3559640039983287,0.025813097788988888,0.5566862577557163,0.8215948679343309,-0.13590781593987805,0.16938891921883287,-0.4789342675016988,-0.06719075596240916,0.3775623256931145,0.37019571670310497,0.4402070677905414,-0.25377719413109023,0.12196916756652561,0.5250659976987914,0.7622939940828455,0.06660293029467534,-0.3377205295325871,-0.17582324565554258
Cerebellum_9_L,0.6243154110267217,1.0,0.03990588411388093,0.6970255328221944,0.2125765667194108,0.2097196565366249,-0.15657799796761804,0.4340751493458774,0.5112766886852191,0.3518919519370103,0.5277673797941798,0.5742513110941142,0.43245561764053836,0.3490786525820925,0.2492099733755523,0.813305712050638,0.6344864835911752,0.5706864550866234,0.2553637929284381,0.3616932214174753,0.5387228368247857,-0.014683936632846924,0.32346437270817563,-0.31444013895302336,0.07929877551829158,0.5815809495966415,0.48971217883439766,0.4811869594598238,-0.021538522520163382,0.050646033364278524,0.26697727380973374,0.7514781853776332,0.016698734575859124,-0.15603492852964043,-0.07113542207021506
Frontal_Med_Orb_L,-0.1420471155907033,0.03990588411388093,1.0,-0.11523115638559313,-0.03701838638307159,0.17422752637772426,-0.028043793646812625,-0.01716756664126687,0.043131979318455804,0.24958059556817522,-0.05404567230063048,0.012632555647142553,0.04077747493949978,0.17178797748541577,-0.06884756522508555,-0.11461076158147065,0.05924556570963559,0.18518869893071738,0.31698077427222565,-0.11420778092338688,-0.07650585887963868,0.1315827053443657,-0.007143061661508771,0.16910382193379564,0.30752473000336633,0.15355181835129145,-0.018124587377071486,0.199818365566212,0.00736781989878915,0.08639476455675524,-0.20169963626900395,-0.11457490757765984,0.1056370082499024,-0.048340884336086375,0.30095674506086634
Cerebellum_Crus1_R,0.5591249804203231,0.6970255328221944,-0.11523115638559313,1.0,0.21935663656868915,0.3516199431817209,-0.17866802188204434,0.2477672845674249,0.30610464876783783,0.2979272382686078,0.4126379037560745,0.3724610852293674,0.10026375686721123,0.05293880967530465,0.22929885248519222,0.8504342855004468,0.6391973009311804,0.23420071301913248,0.29023895655069737,0.39414769167292246,0.668990604289972,-0.15612365633662575,0.49190648805057413,-0.5473454776936618,0.15550961262984478,0.5204715333871641,0.4941510695735488,0.455387093816658,0.02572356882598011,-0.009116689417142766,0.14977892944224186,0.7909621785048365,-0.05955107195412856,-0.0688621378706347,-0.13959257550789347
Thal_MGN_L,0.15623726966081666,0.2125765667194108,-0.03701838638307159,0.21935663656868915,1.0,0.2671744842773197,0.005423026210181049,0.3939445113502085,0.18548596022049027,0.5139427906795971,-0.03426718527387229,0.5739537463188249,0.30143700609591706,0.20851175984674847,0.07967173248307637,0.3276720079768578,0.38399284475074963,-0.021346993304449977,0.021973598107528032,0.08931841367290073,0.256935397859711,-0.28987185740602317,0.0991557204332846,0.01276167289099724,-0.10189930370037358,0.4249205194735156,0.3721799073511547,0.27701142318364197,0.11822137335698343,0.2867914878431961,0.16716875073270307,0.26965723393205615,0.35485106955358015,0.06866097786393065,0.21967163449729982
Temporal_Inf_R,0.1860680227128707,0.2097196565366249,0.17422752637772426,0.3516199431817209,0.2671744842773197,1.0,-0.01179012126834934,0.11590824605396412,0.346957665956867,0.6869671156416066,0.041052652577811516,0.3947912670567391,0.2366565208555548,0.37696035153993795,0.000786847332372203,0.188894863501692,0.4698301601177384,0.08186772015945702,0.3248678762633321,-0.019618048378324773,0.40276921556085965,-0.03196089321618273,0.07308592070484841,0.07892681611626515,0.3063301556152475,0.46802692898809806,0.19104941258359975,0.39103476337795995,0.3025609546280286,0.14787917550115873,0.01832998328805536,0.08503315364568807,0.15953914786396356,0.11719832020655582,0.04043676275344476
ACC_pre_L,-0.12482152657960156,-0.15657799796761804,-0.028043793646812625,-0.17866802188204434,0.005423026210181049,-0.01179012126834934,1.0,-0.07844517705648871,-0.03504803282423728,0.011762412738006846,0.045113913068871116,0.013735625212872714,0.0920248930327085,0.044563947089173425,0.10375704847555076,-0.15284903203334224,-0.04276058698570093,-0.013193888253973222,-0.12072700102410429,-0.1290160384204942,-0.22996358017345178,-0.010799213450128943,-0.1285609979785433,0.20438130973431262,0.0955552353504635,-0.06476408097133603,-0.18751586391496183,-0.009252680852190751,-0.17219058964773692,-0.0876621896165294,-0.15573350094084354,-0.1544878131540237,-0.12615878283681495,-0.003256083446824567,0.06194997905174231
Cingulate_Post_L,0.4798723943597818,0.4340751493458774,-0.01716756664126687,0.2477672845674249,0.3939445113502085,0.11590824605396412,-0.07844517705648871,1.0,0.5433726255504345,0.47066123929819614,0.2526307113761374,0.5642201473194478,0.688666387092412,0.4117801503376517,0.053860159129394326,0.5085558926377107,0.5073757368553904,0.32262271213875393,0.09993815498508897,0.3099823205161642,0.5059056872845077,-0.2012482637561526,-0.01368624974714318,-0.049463200921053045,-0.09834453538295615,0.46885343252390305,0.33597647395174857,0.4844862872312481,-0.10964776368535549,0.2588317111634144,0.3315632174977568,0.4624357730842096,0.3113292526273773,-0.1796095840701202,0.11667043129637769
Precentral_L,0.6643219240740696,0.5112766886852191,0.043131979318455804,0.30610464876783783,0.18548596022049027,0.346957665956867,-0.03504803282423728,0.5433726255504345,1.0,0.5604272394201822,0.3715343925772306,0.6100201289367179,0.7035909011411795,0.7934295105461346,0.3178367748281266,0.5160130722809813,0.7297204364402624,0.37696464673651425,0.18595243408904066,0.33598288223772643,0.6284094936848754,-0.0012308219701700916,0.03156600050289693,-0.05028361437063897,0.05294920781962451,0.5836032529846306,0.41682746755990646,0.5692748285309351,-0.034111950708938236,0.16377154674005848,0.40127834559744624,0.48436968940333847,0.2107435691386222,-0.13135034430296372,0.018316159625792368
Temporal_Sup_R,0.35847411841544,0.3518919519370103,0.24958059556817522,0.2979272382686078,0.5139427906795971,0.6869671156416066,0.011762412738006846,0.47066123929819614,0.5604272394201822,1.0,0.06858728810658216,0.6218048166465217,0.5522218542732743,0.610534076129098,0.09838981754128223,0.36530460597441977,0.6276790091427223,0.1658602366841705,0.29309919815115765,0.034370166355014754,0.5095894040585132,-0.07987378299250715,0.07659392527362523,0.03574886900563704,0.23767628775142619,0.6188428680801169,0.3716836001917966,0.5614238544479518,0.16625394181509595,0.26857448530632033,0.216728239462583,0.2599836174828958,0.22498272237117273,0.005179535183024692,0.2037544270953288
