,Cerebellum_3_R,Vermis_8,Frontal_Sup_2_R,SN_pr_L,Cerebellum_Crus1_L,Cerebellum_7b_R,Cerebellum_10_R,Cerebellum_9_R,Temporal_Sup_L,Vermis_4_5,Angular_R,Thal_IL_L,Putamen_L,Raphe_D,Cerebellum_6_L,Cerebellum_6_R,Frontal_Mid_2_R,Calcarine_L,Insula_R,Thal_IL_R,Precuneus_R,Occipital_Mid_L,ACC_pre_L,ParaHippocampal_L,Cuneus_L,Cingulate_Post_R,Frontal_Med_Orb_L,Thal_VA_L,Caudate_L,Thal_MDl_L,LC_R,SN_pr_R,Caudate_R,Precuneus_L,Thal_PuI_R,Vermis_10,Temporal_Inf_L,Parietal_Sup_R,Parietal_Sup_L,Cingulate_Mid_L,Supp_Motor_Area_L,Frontal_Sup_Medial_L,Thal_MDm_R,Cingulate_Mid_R,Hippocampus_L,Rectus_R,Occipital_Sup_R,Thal_VL_L,Thal_LP_R,Temporal_Pole_Mid_R
Cerebellum_3_R,1.0,0.5159439809070715,0.4878186909323759,0.478601927516522,0.34481005746967913,0.1711282530404844,0.5870057565042134,0.343997385276833,0.6492684291308658,0.7002790972123168,0.5351392695518997,0.04236807212261422,0.2277815119205515,0.3062192136482513,0.5450233386485299,0.6114854516499023,0.5169627058406396,0.6679210953701196,0.36340188502601983,0.14152840439097147,0.6037922133372898,0.41936128097076314,-0.06588422895434394,0.6836100271134521,0.5718124791840918,0.4124058855856341,0.06933943061675792,0.07352051340870434,0.006642070347467936,0.17818894012487135,0.26257328720660766,0.2227286158780834,-0.02627287308410745,0.5575529792805113,-0.09867904418843776,0.47038670546956773,0.419168872526568,0.4292069915038654,0.2668657542585153,0.6516996730532579,0.6585580101450506,0.4779195403872995,0.3303687211409139,0.7292005721198892,0.6781303266883422,-0.04647021830267322,0.6330554115646331,0.40368305481871564,0.14712510196583756,-0.07580924127667144
Vermis_8,0.5159439809070715,1.0,0.29364573538118754,0.48480854552349056,0.7718170092216968,0.08889553977200274,0.5815995364427337,0.2622852670367082,0.5472659973257712,0.4878451827836049,0.16696277430846587,0.01725474283532479,0.08443579011591684,0.2219801429974053,0.7794937904453421,0.828641054965094,0.22759082021795107,0.5851151697596498,0.08328368584190597,-0.009919751599156854,0.22143385667809826,0.6014132269146294,-0.13277618627692578,0.5929610000881061,0.4822415101791972,0.4528030927755017,-0.12932730049081076,-0.15085428941861415,0.10427178077637399,-0.10319961066744157,0.10697158629702995,0.2698579138569365,0.13633193373828514,0.06410629951808293,-0.17845488701118248,0.6466537775694813,0.49774982340200385,-0.07585584233053479,-0.23499693433317706,0.2666159650391605,0.36812785359072053,0.13377591057039898,0.3830584346861015,0.3263213939067495,0.6253028987003609,-0.23266525745450695,0.6182872496787513,0.17057522564618915,-0.11533874314633462,-0.18755348875329747
Frontal_Sup_2_R,0.4878186909323759,0.29364573538118754,1.0,0.6510615814482887,0.24691499830110122,0.1045707484535357,0.5530134626978642,0.08340810281115336,0.5575364092762969,0.5174769926405952,0.09506274613629907,0.1831690310475839,0.08281228049861475,0.1445227654843854,0.37726216033907206,0.3918283565085237,0.5560586713480998,0.3774583472135695,0.5029205587106242,0.16261319217017992,0.35567952126372065,0.15942416581536228,0.10884378401299011,0.39734755112446807,0.1518301956306629,0.3299042475000529,0.2904451757837597,0.23249879443343485,0.1209600726832331,0.19340273513230208,0.3239770375206977,0.3800915307087131,0.1575759879768745,0.18361897344521563,-0.0031071488986499623,0.4108990160727142,0.35712113849108607,0.007089808289394286,0.017761933130701266,0.5890489392953756,0.7165445396966436,0.766039454260948,0.2798848637635127,0.6462663199215356,0.6596263508704354,-0.16805529318961465,0.20238012925664017,0.2390369130173319,0.43549246983631035,0.008785202950954077
SN_pr_L,0.478601927516522,0.48480854552349056,0.6510615814482887,1.0,0.4444058360859495,0.11542434584050039,0.5641086075334931,0.2978915030290732,0.6079796849665143,0.5597784226415851,0.25287074935461296,0.11566478900008695,0.015042411133662625,0.180809247569111,0.5535788953771691,0.5756166894712373,0.4758576967784392,0.5405842824295088,0.2894315838996287,0.17070793374622512,0.43380955468869586,0.37347456146202124,-0.009252680852190751,0.47370200322096045,0.34892966164774003,0.430551459495042,0.199818365566212,0.032429676748035687,0.08258443408764375,0.00987961761898728,0.39823894136435545,0.3565216772696143,0.13229245460224148,0.21900519541932556,-0.09184414753709352,0.3925285251236593,0.49146467856401505,0.09463132667519764,-0.0008305941604396942,0.5037265486200823,0.6807814023781555,0.531975985303968,0.4933086530968828,0.6022183157939648,0.6931465809982229,-0.43735183015995077,0.4402070677905414,0.09794843748755383,0.2790821774959514,-0.1210931138046843
Cerebellum_Crus1_L,0.34481005746967913,0.7718170092216968,0.24691499830110122,0.4444058360859495,1.0,0.04336407259599068,0.6523912369743032,0.20302063901171322,0.5257043327682417,0.4284981542716394,0.2293118747083379,0.10463582815334417,-0.08195352153967135,0.38106421887126646,0.9222991244401559,0.8802703686814516,0.13091023470188276,0.6803392994975225,-0.13187402628567882,-0.06175938648202608,0.1402062609246117,0.8080339634016319,-0.19097064181664852,0.5671722750335186,0.541303095602631,0.4236524651297299,-0.14824862034583952,-0.3098517063706408,0.01894629499110225,-0.32827882942146175,0.016012775978185925,0.3224820171081369,-0.004897540911837488,0.02915187117138423,-0.07449804094134847,0.43739247422115907,0.613326769993516,-0.05958146831540584,-0.2594653009784204,0.2586402523694475,0.31111454687974754,0.02282373226950367,0.5046917359778191,0.2988014907774156,0.5238161640520009,-0.4281146748913861,0.6370816492651207,0.14452667552577092,-0.17554514745357017,-0.32915024786472563
Cerebellum_7b_R,0.1711282530404844,0.08889553977200274,0.1045707484535357,0.11542434584050039,0.04336407259599068,1.0,0.2085069644806038,0.4034709015811243,0.08179663735247744,0.0795804783404475,0.1580400542358929,-0.23082729034265606,0.317978172567171,-0.22510525285776745,0.03601442846482749,0.11339171971237276,0.04477402162485086,0.04226298358729644,0.1050379685233549,-0.11665756352905579,0.032593199124896,0.1060189313662196,-0.1521848742988299,0.0892432817816532,0.12773456372815115,0.0779504018773377,0.17460128705348754,0.08474339867003446,0.07433337381886357,0.050812308860120114,0.04073103804740901,-0.20545130002346665,0.04007926633432822,0.09665635398811792,-0.07052190014499286,0.04752831237172898,0.2005528006500754,0.09535523598326776,0.14983865043291306,0.27316895922091583,0.21767822796827524,0.18702045662464858,0.09984933502303253,0.31570779783078173,0.22966300128824843,0.33398123032957794,0.053294197462093476,-0.15343845784626262,0.008167402035348416,0.034703526756357614
Cerebellum_10_R,0.5870057565042134,0.5815995364427337,0.5530134626978642,0.5641086075334931,0.6523912369743032,0.2085069644806038,1.0,0.2775221774880215,0.7246331470321447,0.6806748892795514,0.4132663127846526,0.22811668601844795,0.0017463445703902185,0.36881028419558903,0.7679337481218842,0.7552887917693429,0.46034314912653673,0.7264090369058355,0.07866136579665202,0.12850215967894554,0.4504277588847384,0.6690670758910171,-0.10111261643165774,0.6251834560994161,0.5849986692346119,0.5827397655218586,-0.017662332658610478,-0.03883509435515862,0.04438828481132061,0.025271561845196334,0.26843737325475225,0.3260147041073006,0.02131669781389387,0.3193614709205322,0.03157892512192743,0.41319279622028743,0.6798633613155582,0.15446171946348755,0.005591636580346214,0.6282733897961155,0.6551601668536721,0.49659295317338764,0.5815041702264784,0.6697488773290716,0.7121875973891119,-0.23848870759870514,0.6132296562207507,0.308196115306949,0.09157482256525962,-0.11763202923068353
Cerebellum_9_R,0.343997385276833,0.2622852670367082,0.08340810281115336,0.2978915030290732,0.20302063901171322,0.4034709015811243,0.2775221774880215,1.0,0.23820727175154438,0.3723529441501866,0.44048673148550166,-0.0729418435356465,0.15897747861113393,0.1093297460951845,0.24782705882260697,0.37650012570857505,0.2717488562932957,0.4082661956075902,0.05013987639004669,0.21773415324311235,0.4854461553009987,0.290907213075035,-0.013193888253973222,0.2623389524964512,0.36216615461448043,0.25513021114795903,0.18518869893071738,0.06469658163187984,0.13566912847865156,0.06718970265779241,0.24003670862831966,-0.12868364357712228,0.09512673071185263,0.39321159044135656,-0.01704877687801526,0.20279635698605172,0.35959611311202666,0.37016629847962174,0.2479053878179339,0.27430302151973285,0.27288456157095764,0.20307069001206157,0.41813582342061206,0.3644667011761216,0.23166564660129166,-0.06345865950153297,0.3559640039983287,-0.023618806250012576,0.015103558677878787,0.1348280541283127
Temporal_Sup_L,0.6492684291308658,0.5472659973257712,0.5575364092762969,0.6079796849665143,0.5257043327682417,0.08179663735247744,0.7246331470321447,0.23820727175154438,1.0,0.6720788128480336,0.2749468848224941,0.21499480371182264,0.2503862570999289,0.3099985873920694,0.6398253961878178,0.679047060230081,0.6922685419085437,0.630389745171172,0.3543699477387937,0.1278197858510128,0.4847409432689199,0.4167544679012507,-0.11351650149573667,0.5692680694923422,0.38152280569975405,0.5104642604062389,0.036708922419067605,0.2591680252192833,0.30770067339033114,0.35012382199247927,0.3723448089505328,0.2978882726472831,0.2967565776400857,0.2834673429253031,-0.011197714735689908,0.5034491459464246,0.7886257546832559,0.07945495541154135,-0.11930794050436978,0.5806918947982526,0.6760557826578799,0.49431633650948126,0.34646390940803157,0.6506344796706824,0.7650901543994394,-0.14688958667660282,0.49998227495419423,0.5206765428038997,0.2857358755307038,0.08076376608915291
Vermis_4_5,0.7002790972123168,0.4878451827836049,0.5174769926405952,0.5597784226415851,0.4284981542716394,0.0795804783404475,0.6806748892795514,0.3723529441501866,0.6720788128480336,1.0,0.44140487089879105,0.18293365009573598,0.05056820231827078,0.21188649908817034,0.6608189212327032,0.7195982468250584,0.5469337715643032,0.7817514226171813,0.24034585368516698,0.31852747827204325,0.6814893634362305,0.5066158363275888,0.01977686796897659,0.6736980752647295,0.6045197757511529,0.5952435876548243,0.03473649654066804,0.07543647504490275,0.020493304681184498,0.18266869558263332,0.40616310580837844,0.2173890321668527,0.022416177871324685,0.48480559167085,0.05531061390395057,0.405639217219959,0.5879045487477198,0.2506322430719476,0.1167396371510741,0.6143819312776513,0.6635428160369072,0.5095422984148298,0.5586621534242665,0.6873430278989693,0.7124948335629834,-0.17010732115868102,0.626794875504031,0.3268464969683442,0.19139858746814373,-0.08698346212028102
