,Vermis_8,Thal_VL_R,Vermis_6,Olfactory_R,Cerebellum_3_R,Thal_VA_L,Thal_MDm_L,Frontal_Med_Orb_L,OFCpost_R,VTA_L
Vermis_8,1.0,-0.2742891181487601,0.7188974481789722,-0.02669652727675723,0.5159439809070715,-0.15085428941861415,0.34909708277983,-0.12932730049081076,-0.36307764242595336,0.4994117764511074
Thal_VL_R,-0.2742891181487601,1.0,-0.1864376249182267,0.3187486470165105,0.16915737780384113,0.5295413358519476,0.3803564794694745,0.18491377081307264,0.5229859476952539,-0.2541798381294414
Vermis_6,0.7188974481789722,-0.1864376249182267,1.0,-0.3097343367296131,0.6171324844832805,-0.280892628834992,0.3755628747114786,-0.06367874723510328,-0.38480959684976873,0.5297691607416382
Olfactory_R,-0.02669652727675723,0.3187486470165105,-0.3097343367296131,1.0,-0.017166554716959673,0.498301842183734,-0.02466755002493486,0.0005918756178674782,0.27447163698474863,-0.07062074768471847
Cerebellum_3_R,0.5159439809070715,0.16915737780384113,0.6171324844832805,-0.017166554716959673,1.0,0.07352051340870434,0.5678956700494165,0.06933943061675792,0.0933210132518317,0.3603951471240609
Thal_VA_L,-0.15085428941861415,0.5295413358519476,-0.280892628834992,0.498301842183734,0.07352051340870434,1.0,0.246232905065345,0.32213126153319976,0.5378549589903198,-0.23527003678829095
Thal_MDm_L,0.34909708277983,0.3803564794694745,0.3755628747114786,-0.02466755002493486,0.5678956700494165,0.246232905065345,1.0,-0.04284659263007229,0.08556651051314892,0.23177099378222193
Frontal_Med_Orb_L,-0.12932730049081076,0.18491377081307264,-0.06367874723510328,0.0005918756178674782,0.06933943061675792,0.32213126153319976,-0.04284659263007229,1.0,0.28742409999266955,-0.05404567230063048
OFCpost_R,-0.36307764242595336,0.5229859476952539,-0.38480959684976873,0.27447163698474863,0.0933210132518317,0.5378549589903198,0.08556651051314892,0.28742409999266955,1.0,-0.3503252999106196
VTA_L,0.4994117764511074,-0.2541798381294414,0.5297691607416382,-0.07062074768471847,0.3603951471240609,-0.23527003678829095,0.23177099378222193,-0.05404567230063048,-0.3503252999106196,1.0
