,ACC_sup_R,Occipital_Mid_R,Vermis_4_5,Thal_PuL_L,Cerebellum_Crus1_L,Rolandic_Oper_L,OFCpost_L,Temporal_Sup_R,Frontal_Med_Orb_R,Frontal_Inf_Oper_L,Parietal_Inf_L,SN_pr_L,OFCant_L,Temporal_Pole_Mid_L,Thal_VPL_R,Postcentral_L,Cerebellum_4_5_R,Hippocampus_R,OFClat_R,Red_N_R,Cerebellum_7b_R,Thal_PuM_R,Thal_LP_R,Cerebellum_Crus2_L,Thal_LGN_R,Cerebellum_10_R,Thal_PuM_L,OFCmed_L,Calcarine_R,Red_N_L,Vermis_8,Occipital_Sup_R,Rectus_R,Frontal_Sup_2_L,ACC_pre_L,Insula_R,Pallidum_L,Cerebellum_9_R,Temporal_Pole_Mid_R,Paracentral_Lobule_R,SN_pc_R,Thal_LP_L,Fusiform_R,Putamen_L,SN_pc_L,Thal_MDl_R,Paracentral_Lobule_L,Hippocampus_L,Cuneus_L,Vermis_6,Occipital_Inf_R,Supp_Motor_Area_R,Supp_Motor_Area_L,Olfactory_R,Thal_PuI_R,Vermis_7,SN_pr_R,Cerebellum_10_L,Parietal_Sup_L,Cerebellum_Crus1_R,Frontal_Mid_2_L,Parietal_Inf_R,Cerebellum_Crus2_R,Thal_AV_L,Lingual_L,Temporal_Inf_R,Thal_LGN_L,Frontal_Inf_Tri_L,Fusiform_L,Vermis_9
ACC_sup_R,1.0,-0.24608554366786473,0.4477519140288401,0.34898388793972446,0.368417841590498,0.7232308005912473,0.537558857934997,0.6777361976829033,-0.056376114778366015,0.7546738856032017,0.20459961380738206,0.1569965755383026,-0.021007789882256777,0.043100641578283035,0.5210061821621925,0.6149675498025816,0.7487342716654425,0.7096988207839676,0.512720620563425,0.5646408188486166,0.4102162802013601,0.4862608974110662,0.2824803926240513,0.29814338106512417,0.355998909848407,0.6067050560475129,0.5848864868975076,-0.3775267338812088,0.42981986570607356,0.5246888677306382,0.33241046364049837,-0.03259740622278511,0.3450913342500122,0.7307699924773918,0.4753337559163232,0.6912610770550449,0.38742628783836675,0.5156126178218284,0.13079139613410498,0.058155128941107456,0.5359099375362885,0.4876474821319741,0.6818057494025516,0.5813941971954257,0.4009535634920307,-0.003493230268792195,-0.030344626696942458,0.6609380232267946,-0.0745674594986081,0.2076668532071658,0.24691327026664187,0.6399914143157288,0.6704051230880669,0.10161272641017537,0.1818038730668535,0.09230212451225658,0.5561903512064289,0.5327844711624192,-0.20714734585616346,0.4728633453560293,0.7769607445345043,-0.37738039251069344,0.4069183788012344,0.32869096362557804,0.6323131186658334,0.6177120063620263,0.6329558882074452,0.7979960190226508,0.716024205921165,0.5453298855473656
Occipital_Mid_R,-0.24608554366786473,1.0,0.2994803260300815,0.024158177855020897,0.06182545258691409,-0.14100154802283846,0.02557043911344698,0.19776690163872881,-0.3106521669458014,-0.14598439407953626,0.6539073521466241,0.07759532734167017,-0.4625713521256998,-0.19304770882244,-0.32698761746457655,0.26901474395751884,-0.2204315731131096,-0.028539435742274043,-0.02386645539918279,0.02276579784795094,0.15426003968316757,0.0016539549664605637,-0.01300073761131796,-0.10502212887619078,-0.33018976446426396,-0.0220180163359756,-0.09673252673617168,-0.22248981981496538,0.47113363894128446,0.20713462080019734,-0.0027885518772377514,0.28946024851968294,-0.08628943672734266,-0.14812212876423436,-0.43773326454871253,0.07644794415306205,-0.5417157222580364,-0.1364948445244519,-0.21515370056401942,0.5765401816855557,0.16518176746062035,-0.4732982015371713,0.09083699610987538,-0.22709329429629826,0.07065551238494786,-0.005914936354628621,0.6451657781501278,-0.0022812612179256577,0.7615298806824043,0.3952633408639203,0.15411506811891318,0.18750650000568245,0.08829783428441268,0.19060683250305263,-0.0007335481656693659,0.22378207560366262,-0.2028743704710942,0.24875754147789866,0.46666031599392266,0.23423906017112262,-0.1550808121634336,0.6879925678297195,-0.07289538550504714,0.4726983884470967,0.18362098881643327,0.03501879829575077,-0.11417799326636842,0.009073064371042225,0.08151663271338189,-0.1238817898162806
Vermis_4_5,0.4477519140288401,0.2994803260300815,1.0,0.4091117746507125,0.5159724558464048,0.5117354581633533,0.5686417416520354,0.7554242246906455,-0.1403584631774593,0.4883721611096541,0.5129937073320274,0.6112881069234123,-0.12900290336022474,-0.1659713211550799,0.35941068681392613,0.5773125670921112,0.6764749293620212,0.7284307773362618,0.5405717789966381,0.6225888800606537,0.4222807346779459,0.5744588152891908,0.5422917437447214,0.3542219083124718,0.0827216631081623,0.6619353202837218,0.6541126111606255,-0.1884751256794053,0.7799743941621499,0.5851838392424019,0.3001462563313085,0.1728062381117974,0.3427181825703043,0.5329345377404785,0.0740642976484291,0.68827528957293,0.059404941808377604,0.5561284265312394,-0.06640248011560335,0.3399461162219631,0.6887913768650477,0.17843593725918575,0.7872850871778044,0.45995134168905455,0.4539961909130858,0.08970108764273042,0.4153340564131084,0.7351701827208279,0.5606475801094105,0.3956266954662685,0.32892505106339615,0.7164170822054814,0.6966026797086902,0.5184231133359785,0.25992818283282043,0.2604628418113011,0.3677397502755924,0.7433935491308689,0.03684747716743999,0.6407408871002309,0.589218378963934,0.07781892433228224,0.5023577288436936,0.5206730351941141,0.8000683489155429,0.6607503933366002,0.37331414299658494,0.6290875544736566,0.7867663091286462,0.4401190657086716
Thal_PuL_L,0.34898388793972446,0.024158177855020897,0.4091117746507125,1.0,0.5132369828805715,0.35494125028704265,0.4469292188236066,0.2883878767651161,-0.03892727551230519,0.21797564451624357,0.038615237478154055,0.23104513339552685,0.005923430662965057,0.013543794507997975,0.17477568731985826,0.1983774821776265,0.44197051073064525,0.34901481252106986,0.3608559841305987,0.3176750515007597,0.33057633606511583,0.22987386597891646,0.03522250023704007,0.341463808340949,0.1648659089364499,0.38135936495382466,0.3950265797404128,-0.20694823396681772,0.3319527778918932,0.2620263029404931,0.21009992013513137,-0.11009972277486514,0.10656857592013858,0.2607035598242616,0.10133479199930512,0.32432012569903773,0.12126709716631377,0.5273744751690017,-0.031985800686850197,-0.022285316167718425,0.2955461303005887,0.1430148528300134,0.47634109273078745,0.3533455831468574,0.3147959740796146,0.1794121487896807,-0.035774632939811306,0.42543275653362916,0.08732193149451212,0.32474637974789133,0.27393346312836836,0.27460593034573944,0.29761671624888864,0.158160095915837,0.02842447855718875,0.12326519163221507,0.25451047100458696,0.3515956245093173,-0.2986693416539652,0.4850087491231812,0.39779262797017734,-0.24131349027567975,0.4821599852117117,0.2220321364134164,0.45736479013683223,0.4312819876733802,0.23631501749151318,0.3223182173731288,0.49330665346913094,0.3713568362854656
Cerebellum_Crus1_L,0.368417841590498,0.06182545258691409,0.5159724558464048,0.5132369828805715,1.0,0.28268305616738565,0.37316992601768656,0.31058892221712026,-0.285432488557232,0.15865453342907562,0.11819880187969267,0.18631096300198724,-0.13146614642838259,0.03535083081952506,0.1753537412195008,0.2507441950351568,0.45137340188526864,0.322921513536894,0.27587396043944556,0.28316233911240835,0.44788281847461586,0.017867792838140217,0.11366777518028987,0.41395900673313224,0.09062475590359913,0.36405009061307336,0.43856183945128985,-0.32619545240865583,0.532741974073516,0.3963490459822047,0.25243023957013627,-0.06422779877659594,0.09478401724983812,0.1874280643376907,-0.11606966605389957,0.30611715940557455,-0.04721085535629432,0.5818341941408778,-0.32483014087764966,0.030644999423578113,0.3095781535755082,0.12224251820931814,0.44445063972199317,0.19259663631453094,0.3538783371969516,0.13127343576989436,-0.04971745371666764,0.4353770415675582,0.21240150372466526,0.508631775080914,0.4298456203048444,0.2818248002804057,0.29693724006444044,0.04525109182713353,0.0029893585967480352,0.3400189633619598,0.25822171199899735,0.32252698364479265,-0.3044615908793511,0.5807494603124217,0.3080534033992924,-0.18984436684797695,0.5837975217755067,0.3267895373724797,0.6301646273406978,0.3896815812759296,0.03724873086542669,0.2997703747406391,0.5996647893403593,0.5508286763465321
Rolandic_Oper_L,0.7232308005912473,-0.14100154802283846,0.5117354581633533,0.35494125028704265,0.28268305616738565,1.0,0.5440722418243685,0.7425375391536168,0.302493742791464,0.8918353084236729,0.2754755291991449,0.19285508453752312,0.18669536688404906,0.29500191379683355,0.577226750955705,0.6612985343067022,0.8073571101328684,0.7612013662429651,0.43197329596182904,0.6656334956628599,0.228483896575878,0.6405736303266966,0.48601958998368644,0.30491043983829025,0.3961087308385417,0.806635194109528,0.6428443766922679,-0.10867277536485986,0.48689663758678514,0.4331734531500254,0.37498283222344087,-0.00440876794003303,0.3692273759222007,0.8452516589288869,0.6436835174797569,0.8617545504693185,0.5562574508695357,0.47362812010504557,0.2618870502574335,0.20438964852960148,0.44578986546334926,0.4883829031923477,0.7630203264907344,0.749570016838125,0.500431808122312,0.1086150915379268,0.2050470110645347,0.8067903662561215,0.12943684150581106,0.11812700712496503,0.0554421715332244,0.7514788201597831,0.8077883050761849,0.34019602751844974,0.2415418669462206,0.02301857784369869,0.6158544296366508,0.6225124908221842,-0.16447394575357335,0.34348498581726444,0.8387328567777013,-0.2172679783310918,0.24580173700286165,0.12504339600594552,0.5837597493512213,0.6743339944984778,0.6948530423588803,0.8854068952616712,0.7627175428478445,0.4647246445371208
OFCpost_L,0.537558857934997,0.02557043911344698,0.5686417416520354,0.4469292188236066,0.37316992601768656,0.5440722418243685,1.0,0.5562590125403101,0.16696996221808447,0.47251721166064686,0.24590383729341037,0.46499253313966954,0.29856299052165747,0.11010300882691089,0.3748772578239044,0.4737875093886903,0.6112503262386354,0.6700327927261229,0.7118091172517305,0.6110978969168178,0.3334410173392763,0.5204964300642193,0.36295328685385925,0.3801382687849474,0.2808990075161187,0.5683114141220825,0.4701429818669185,0.01321333864598769,0.40898574219401673,0.4702670426962724,0.19539713253955046,-0.027192135039959073,0.5369820250193064,0.6697070315791092,0.4758457757861131,0.6043626465145935,0.3047899160740292,0.4575777436994119,0.19387492932627468,0.0611331619838889,0.599904790029954,0.3308961501739353,0.645368363890802,0.5607098583728362,0.528239251824795,0.1673876804088019,0.1343665073366357,0.7508204688163107,0.16474480617312154,0.18490126702866244,0.1924898895951458,0.5730824960727388,0.6216963063218821,0.46648732522582653,0.23257760370431885,0.07573784575788432,0.37488396406574687,0.5219145982747349,-0.14271731135715007,0.5398951812244132,0.7127140301111784,-0.20159179136659985,0.4795154506621607,0.26867692252466835,0.5680187687651093,0.5962482037833776,0.5423438615271411,0.6396701673453421,0.6503904015547892,0.3838778299862855
Temporal_Sup_R,0.6777361976829033,0.19776690163872881,0.7554242246906455,0.2883878767651161,0.31058892221712026,0.7425375391536168,0.5562590125403101,1.0,-0.05053552742453906,0.7709343389108391,0.5571219863476969,0.3539519076154718,-0.09996655577576916,-0.02088487934406726,0.4358482770420957,0.7440147883029654,0.7482377673207294,0.7887084249705196,0.5427079710366151,0.6202876325716373,0.3914520560715976,0.6860807768814653,0.5108254900845035,0.22439711358952885,0.2258308362738842,0.7248825812241786,0.6079307352673152,-0.3078328063635831,0.7553642961529649,0.5225221655255079,0.3924721332845567,0.19421975334598068,0.3705392949383241,0.7337698337651845,0.296478871844992,0.8407762776699398,0.17437929036921287,0.4539854061070408,0.16239297328984642,0.40329737598660553,0.6376832908390222,0.2620780838683257,0.8356612541914422,0.5633414178180675,0.44131753044008926,-0.020364321887445296,0.4486884977276195,0.7432922649819893,0.4292564911025452,0.3907954918485134,0.22551443439843277,0.8461706815534552,0.833515705211957,0.36712096808447836,0.2356002126497522,0.16895403411138324,0.49668788324456736,0.7339925736515452,0.09388109896162164,0.5608259969659717,0.7744985306243302,0.01833915608397552,0.37322462946477175,0.5027101083926373,0.7860147534920887,0.7585098705111329,0.5628569092274751,0.8651943991461605,0.8191909864528009,0.46801414949078535
Frontal_Med_Orb_R,-0.056376114778366015,-0.3106521669458014,-0.1403584631774593,-0.03892727551230519,-0.285432488557232,0.302493742791464,0.16696996221808447,-0.05053552742453906,1.0,0.21947722558237123,-0.2737630550533969,0.08632768047605463,0.7794424667982242,0.5699546284773592,0.2616100625213084,-0.1318730379120003,0.1264220865637978,0.13362558457522125,0.14012597806217766,0.22904065492987918,-0.47712455895419004,0.28146434540611626,0.21074031873737453,-0.10530054179438934,0.237531812351492,0.25932726490428604,-0.0198209676727803,0.7504464193549866,-0.36244852490879703,-0.2388326677087632,0.04349314001179723,-0.058184047044242404,0.2771564936793358,0.29386674147222,0.6949597873310575,0.19552627407995682,0.6643961955497094,-0.12370589237782643,0.5064106741158515,-0.15880538809496025,-0.17947549414031672,0.234596353573462,0.01367540492455861,0.38345714200090786,0.14655260530621927,0.09417749014840493,-0.020368582326035133,0.22034948426445244,-0.2839401625902332,-0.5018060339820656,-0.46158311759683074,0.019999972462775018,0.12151025242801243,0.35458876668401224,0.26191957446507236,-0.23051245953891036,0.11894339642482588,-0.1184623469407536,-0.10614106477904356,-0.4568730722052687,0.21614044686283143,-0.14247720995676103,-0.2562474566877699,-0.5693170624175783,-0.2879951992006346,-0.02170470811969741,0.25538789528330913,0.13654757416031704,-0.06607866388821375,-0.07068213972493192
Frontal_Inf_Oper_L,0.7546738856032017,-0.14598439407953626,0.4883721611096541,0.21797564451624357,0.15865453342907562,0.8918353084236729,0.47251721166064686,0.7709343389108391,0.21947722558237123,1.0,0.3918690511292036,0.2357897477458806,0.11321813846280418,0.1756915470071614,0.5702593914481403,0.763169112807344,0.7815626672331741,0.7655067311404337,0.424385112564181,0.6012313667762249,0.26838028345196013,0.6549386370394881,0.4568311912485661,0.1758306819592307,0.41046171686680627,0.7431289565860003,0.5810926553638843,-0.14161013990127586,0.5134617834830033,0.5185915185199532,0.31646002311809834,0.08074468172626212,0.4088997245968537,0.8552039022670944,0.6098528976200076,0.8714741634487586,0.5045044054565764,0.38268273332283287,0.2544827056284427,0.30691340840783593,0.5090665908696551,0.5473087214828154,0.7530717992011194,0.6946336160443933,0.5213587816082692,-0.030486754605392883,0.306844729427962,0.7469562079376587,0.13843914296053456,0.11116822810696365,0.02861698104383252,0.8355759299373269,0.8612470361138782,0.292630678207369,0.22244246563080552,-0.053480803528507384,0.6643282859622681,0.6712920999620189,0.05200387954491286,0.31567642166211796,0.8216782772324882,-0.16215598385588714,0.21190210729221856,0.17600385375877514,0.5770657405677344,0.6391782314283692,0.6958626716429397,0.9152177083122992,0.7412032047616105,0.39253072802842887
