,Vermis_8,Thal_MDm_L,Caudate_L,Rolandic_Oper_L,Thal_IL_L,Occipital_Inf_R,Frontal_Mid_2_L,Paracentral_Lobule_R,Vermis_1_2,Thal_LGN_R,Thal_PuL_L,Hippocampus_L,Temporal_Sup_L,Parietal_Sup_L,Red_N_L,ACC_sup_R,Cingulate_Post_R,Frontal_Sup_2_R,Thal_MDm_R,Vermis_10,Thal_MGN_L,Thal_MDl_R,Cerebellum_8_R,SN_pr_R,Angular_R,Supp_Motor_Area_L,ParaHippocampal_R,Postcentral_L,Amygdala_R,Occipital_Sup_R,Temporal_Sup_R,Precentral_R,Cerebellum_Crus2_R,Thal_PuM_R,Thal_LP_R,ACC_sub_L,Thal_VA_L,ACC_pre_R,OFCpost_R,LC_R,Hippocampus_R,ACC_sub_R,OFCmed_R,Cerebellum_6_R,Insula_R,Thal_PuA_L,Cerebellum_9_R,Temporal_Pole_Mid_L,Putamen_L,Vermis_4_5,Cingulate_Mid_L,Temporal_Pole_Mid_R,Temporal_Mid_R,Frontal_Inf_Oper_R,Cerebellum_10_R,Cerebellum_6_L,Thal_VL_R,Frontal_Sup_Medial_L,Thal_AV_R,Frontal_Inf_Oper_L,Cerebellum_3_L,Occipital_Mid_L,Thal_VA_R,Cerebellum_10_L,Caudate_R
Vermis_8,1.0,-0.05584842249820988,0.15414140308867824,0.37498283222344087,0.1109689879489584,0.1853851088470957,0.2376141886550807,0.1977621107832685,0.12143883912574344,0.12930337852913434,0.21009992013513137,0.25346685090134274,0.47643140016000385,-0.1481827956468579,0.07290991802400294,0.33241046364049837,0.23139178016330264,0.10274526590837492,-0.1303285129592818,0.056227789244152615,0.17825128802235254,-0.20640189076879847,0.3062937896517209,0.17122936788288318,0.03671120876879119,0.20017112079774793,0.015279003316526651,0.1611648461008858,0.044801694212400725,-0.05942941944459136,0.3924721332845567,0.07430923013648072,0.070190010135902,0.2605213046702192,0.10309406043815275,-0.33590550773157607,-0.14453715482301088,0.2541454947474816,-0.1467428696236474,0.32040903877460153,0.21261632072641506,-0.05657805341397515,-0.3381852958919397,0.31564950259668134,0.4288871191780265,0.02129705076208638,0.16030826622086455,0.14104133840446947,0.09162701951322214,0.3001462563313085,0.1914309373182551,-0.22581290455148503,0.3521196984719533,0.38327554369319244,0.2789198261830618,0.2501742697817481,0.13280833274119486,0.09554970368159957,-0.07746714287382257,0.31646002311809834,0.3198111186936972,-0.08224777713323271,0.08913002339206696,0.16167527763834358,0.20431077812866763
Thal_MDm_L,-0.05584842249820988,1.0,0.5826415736942528,0.46765840937869857,0.45761355562234785,0.17480964130444523,0.5588833636249937,0.043078887595678565,0.5243079159463109,0.22496529738674956,0.28295767579332015,0.5994207728000869,0.47381960588464006,-0.13624818863021268,0.4999215242278529,0.4742206886273409,0.544027094079877,0.5354852150263019,0.2969332684784417,0.6319215129008829,0.020571374143287663,0.42104416628407115,0.36764532460001403,0.5547530258551467,-0.035597119747000486,0.5680140194560397,0.6690279763354116,0.4433309275457078,0.29830175790811303,-0.04922500050331492,0.4489257059948421,0.5254103890355621,0.41823816892625293,0.48485505204770174,0.45802430175962217,0.30050550312912305,0.6331956037841947,0.29708576498765527,0.3737907310189485,0.05953816692772648,0.5902723562322407,0.15067977051059847,-0.018008022704884084,0.4530686376373671,0.45071231880681184,0.454466441633263,0.4821517368059289,-0.03190435986428967,0.5885936287702488,0.47727580160780597,0.5669018104010185,0.27809120053552816,0.4104163665095142,0.4759771348979339,0.5537970248199034,0.30276557983396996,0.6926222489956817,0.6347901922071784,0.641524185592681,0.5184912220235123,0.5098327322131442,-0.06390005566619344,0.4814570258322476,0.4886396054663795,0.6506937330545608
Caudate_L,0.15414140308867824,0.5826415736942528,1.0,0.7826870164920309,0.45769363691744536,0.021702262426530502,0.8525910201090078,-0.008882245468670037,0.6152478095701038,0.4447231800113238,0.3651963573267893,0.8088805908282604,0.7026589895169685,-0.26758616101007,0.42648557315357777,0.6498771591566507,0.6632430566289312,0.6860953044926965,0.5440800005379601,0.7313140959552082,0.11529861754670637,0.25939916481935,0.3268140194536893,0.6265022410240392,-0.29058873733346996,0.7361818931850598,0.7810606214525947,0.5182707124410878,0.5496469045256448,-0.07378511175606269,0.566023854663638,0.5187044645102177,0.3844151623656997,0.6142404866594025,0.48866299802201485,0.24346587909790413,0.6214513449896962,0.6669410363425212,0.3906762125496729,0.10068610021458511,0.729720868584544,0.20348664574511524,0.10239910293261312,0.3969407594091338,0.6753718159491591,0.5496239223733109,0.5365783471363452,0.37111805304969897,0.8324247207483085,0.43463862112698226,0.6515036828664547,0.45942504769641984,0.4149109016135214,0.6853831886264264,0.8003398780280261,0.17175417541605129,0.5440363489978715,0.6872473418160002,0.5446228186735973,0.7509786740847025,0.7491153647078422,-0.20066261664997465,0.27847180183736986,0.5231358719497857,0.768287827836525
Rolandic_Oper_L,0.37498283222344087,0.46765840937869857,0.7826870164920309,1.0,0.4288291931965445,0.0554421715332244,0.8387328567777013,0.20438964852960148,0.6287711503300611,0.3961087308385417,0.35494125028704265,0.8067903662561215,0.8457765484462668,-0.16447394575357335,0.4331734531500254,0.7232308005912473,0.7380193447367144,0.7507393800456946,0.32536891829444603,0.6162235277212872,0.15165119968794286,0.1086150915379268,0.39450141393927834,0.6158544296366508,-0.0915414703336006,0.8077883050761849,0.6898625968540064,0.6612985343067022,0.30721482807033895,-0.00440876794003303,0.7425375391536168,0.6559373619594944,0.24580173700286165,0.6405736303266966,0.48601958998368644,0.028271463425235368,0.5047893402418735,0.5932406307174211,0.21579463187129894,0.10632638228272336,0.7612013662429651,-0.013772925933413888,-0.13831929170135365,0.4912330049718265,0.8617545504693185,0.4329111968398293,0.47362812010504557,0.29500191379683355,0.749570016838125,0.5117354581633533,0.7841093548032884,0.2618870502574335,0.5762920184220788,0.8989075892542211,0.806635194109528,0.2718897502537607,0.5399536988992618,0.7252103185886534,0.46119865082030903,0.8918353084236729,0.6646547910142017,-0.13612812863403098,0.2783447746237122,0.6225124908221842,0.7793010378408805
Thal_IL_L,0.1109689879489584,0.45761355562234785,0.45769363691744536,0.4288291931965445,1.0,0.15535046060390378,0.5072409230430858,0.2741335623886364,0.46582418716210006,0.05295986794666385,0.20036144529257244,0.5312727032954326,0.463696250182129,0.15156485701095837,0.3782195398175065,0.31173671621904836,0.5541335974180869,0.536615518067584,0.298911460836605,0.42048490398592375,0.10180932567826545,0.28693451434089934,0.25383087408240085,0.2648599182067005,0.22469345963429047,0.5746162912820414,0.568495836381497,0.5066887936371075,0.37016051969274333,0.2722335784293101,0.5212383041972384,0.5447857706612651,0.19274331289536062,0.41091005186594165,0.5010370555510631,0.2306216364340468,0.4790738111501031,0.20721346093322085,0.30056393894569816,-0.07152342391288709,0.5159129458621716,0.00641932576364081,-0.00037824495337679187,0.3867758032027602,0.49069307917348276,0.24740520762403467,0.29963399323846057,0.0025401921527030526,0.5082830436179933,0.4416288239110317,0.542402522813926,0.31536210652490293,0.4729372098394112,0.47116259695371526,0.5751748875586649,0.3270326505091954,0.5856833785619924,0.47353183177225905,0.49788963875691133,0.4539067344686784,0.35090289349189524,0.06825230673776043,0.4457830249237588,0.4853141159071892,0.5189051950100325
Occipital_Inf_R,0.1853851088470957,0.17480964130444523,0.021702262426530502,0.0554421715332244,0.15535046060390378,1.0,0.20992923351070739,-0.09006199730079575,0.07358804506424176,-0.3011935076736186,0.27393346312836836,0.18421920209548356,0.2957667366250933,-0.22778080007798318,0.2566233537087659,0.24691327026664187,0.15199756271757225,-0.11623201170906779,-0.20911136874085967,0.17801187376330646,-0.22243726448061932,0.11964912579300374,0.6538418591653096,0.07084973631373133,0.17288089655739344,0.0992743575923168,0.14612602020059032,0.19385104076424287,-0.025420277226898037,0.030079384202870135,0.22551443439843277,-0.028507026343928217,0.5533241682373166,-0.04391314938220221,0.043205332948865444,0.13112244322552769,0.07097765442850615,-0.08732080008002557,-0.0633780772343718,0.27315032280893925,0.1865331965648255,-0.16653680206009022,-0.36647497956893904,0.581832843555564,0.09412813919341838,-0.06432107076338593,0.4988925647430861,-0.2982890980239819,-0.04143155858112776,0.32892505106339615,0.06744142776269514,-0.16183432548344628,0.44718329863564726,0.05680285244369964,0.1381980553636448,0.5332515380579137,0.4264256732865137,-0.09837207475009774,0.30214453545369596,0.02861698104383252,0.13663700711399257,-0.3225373122046767,0.481595157387193,0.16726973219875796,0.20302997305438214
Frontal_Mid_2_L,0.2376141886550807,0.5588833636249937,0.8525910201090078,0.8387328567777013,0.5072409230430858,0.20992923351070739,1.0,0.06748685187610715,0.6757604893197635,0.32634237946488126,0.39779262797017734,0.8719025983499826,0.8559083968880182,-0.17508868691235324,0.5222812763481829,0.7769607445345043,0.7752246872278064,0.752384926970845,0.34011808777893787,0.7052866906934229,0.10736957466188685,0.1889816596586733,0.5296840540847624,0.5904896853284213,-0.10528846360510065,0.8595128158362354,0.8223849396692692,0.7167096058262374,0.5140323310574532,0.047002339819306266,0.7744985306243302,0.6167528663483854,0.47857787393445494,0.6567863665378144,0.5034404261440805,0.313979722869547,0.6367366778327119,0.6400121804753727,0.4442609223871914,0.1600181944716775,0.8399983777629022,0.1727559818652162,-0.039336296692993454,0.6377157042096221,0.7744963614611177,0.40491233146845007,0.610615643393927,0.18895513353746396,0.7866080714405121,0.589218378963934,0.7727977777900853,0.3925042063350272,0.7060365018537368,0.7622224138385735,0.815470700246933,0.3740113850458033,0.6302806809171998,0.7208117158379863,0.6072103211742577,0.8216782772324882,0.7150354458225852,-0.1950321679524954,0.44615390294629076,0.6640670195669297,0.865546727104511
Paracentral_Lobule_R,0.1977621107832685,0.043078887595678565,-0.008882245468670037,0.20438964852960148,0.2741335623886364,-0.09006199730079575,0.06748685187610715,1.0,0.0702027927042,0.07321805376343817,-0.022285316167718425,0.15660558982182496,0.27021845541467554,0.5741425839195801,0.3866815180128087,0.058155128941107456,0.3843467374215962,0.47437075338068696,0.03441317289740022,-0.06012899833125745,0.1318900338476882,-0.20517463511700776,0.03548437054660159,0.0968481381491099,0.6692239369776888,0.44510086268176785,0.018218104680205814,0.5988619033622807,-0.17696575682041074,0.2963491826440779,0.40329737598660553,0.6016239602478973,-0.17652481438903414,0.26298107049219893,0.05601421732555492,-0.19636390172645676,-0.120383782755724,-0.16469216817082816,-0.1453109156140405,0.07271771262875555,0.08758424615102077,-0.3318487400703509,-0.20622968723724244,0.20598320635966683,0.36181653175552503,-0.12220451580241422,-0.12430412949862578,0.0951408925074712,0.03616073716085991,0.3399461162219631,0.5071698909173841,-0.22500423469847564,0.2972322618347023,0.35744413684686555,0.2688984305055645,0.36837234064656027,0.19178775263921075,0.36393998314822085,-0.16006502927519667,0.30691340840783593,-0.17016280140907258,0.2647496260751905,0.34866102865108617,0.5428751111420953,0.09573991230827934
Vermis_1_2,0.12143883912574344,0.5243079159463109,0.6152478095701038,0.6287711503300611,0.46582418716210006,0.07358804506424176,0.6757604893197635,0.0702027927042,1.0,0.1283397138102896,0.2799989336577181,0.7170273533188657,0.5795266829981127,-0.02544729152428266,0.43282410548700895,0.45902903200333106,0.5817036747781231,0.608339474965527,0.30618543080610505,0.7285648754402606,0.19658927836898113,0.2516685734841507,0.33080190266409515,0.37244288477967913,-0.0742018800114884,0.663470152282684,0.7266991580463689,0.5011117919036409,0.39938738817175884,0.040584544995769266,0.5716938074880359,0.47353322830624034,0.18437605833690868,0.5919528227085197,0.5394359831577819,0.2528407873162005,0.7016644031385396,0.4065290740425539,0.4426062825582131,-0.2439626066295867,0.7617204255942769,0.22341475926115134,0.1509088307773477,0.3969486542264301,0.6109923397692548,0.36918485897722514,0.43822668825466177,-0.029923415990752236,0.6893161918484899,0.571542691762296,0.5667908300243352,0.3728395681638104,0.4635020590555249,0.540356032344566,0.7021748616504158,0.17989143170251637,0.48355729939570946,0.601411951181714,0.5630124196130554,0.5822820835905073,0.66152738203884,-0.0492725126818298,0.3550280548719005,0.618555754333228,0.6336510318980035
Thal_LGN_R,0.12930337852913434,0.22496529738674956,0.4447231800113238,0.3961087308385417,0.05295986794666385,-0.3011935076736186,0.32634237946488126,0.07321805376343817,0.1283397138102896,1.0,0.1648659089364499,0.320534418464237,0.298379975012386,-0.14814118005470508,0.12904543148619618,0.355998909848407,0.2864800091778399,0.3403517949234263,0.30401811211152485,0.19311162304275134,-0.006673944636863883,-0.10141903478743718,-0.021987831391012916,0.450081411775526,-0.27887121475377263,0.29368929061788557,0.24514151703305603,0.15899633652330342,0.1399396062166387,-0.01018936871275473,0.2258308362738842,0.3654585141297397,0.02931384174716701,0.4020217528163785,0.09369367765155179,-0.0819541502037747,0.09481665076006159,0.3159652231657435,0.06607657255550536,0.18397338890509674,0.212386847288278,0.029858249482446926,-0.011479615324234216,0.03804212093630454,0.2915945356618845,0.3735347606367206,0.04701024828181706,0.33394106321798706,0.4180534032668571,0.0827216631081623,0.34809135508342387,0.02232555922173364,0.10793319259089629,0.41756097876374365,0.26292377216296914,-0.03344156378777945,0.06023274909511175,0.3732469107134445,0.014326259122570966,0.41046171686680627,0.23573247998487337,-0.20537067173534207,-0.10940713827592644,0.2750185182748452,0.3038747407532851
