,LC_L,Precuneus_L,Rolandic_Oper_L,Temporal_Inf_R,Cingulate_Mid_L,Rectus_L,Supp_Motor_Area_R,Thal_PuI_L,Precentral_L,Olfactory_L,Precentral_R,OFCpost_R,Temporal_Sup_R,Precuneus_R,OFCmed_L,Supp_Motor_Area_L,Red_N_R,Thal_MDm_L,Insula_L,Cerebellum_10_L,Thal_PuM_R,OFCmed_R,OFClat_L,Cerebellum_Crus2_L,ACC_pre_R,Heschl_L,Cerebellum_3_R,ACC_pre_L,Thal_LGN_L,ACC_sub_R,Vermis_4_5,OFCant_R,N_Acc_R,Frontal_Mid_2_R,Cerebellum_7b_R,Thal_PuM_L,Raphe_D,SN_pr_L,Frontal_Med_Orb_L,Thal_PuI_R,N_Acc_L,Frontal_Mid_2_L,Calcarine_L,Thal_LP_R,Thal_VL_L,Thal_PuA_L,Thal_MDl_L,Cerebellum_4_5_R,Parietal_Inf_L,Occipital_Mid_R,ACC_sub_L,Putamen_R,Postcentral_L,Thal_LGN_R,Amygdala_L,Parietal_Sup_R,Cerebellum_Crus2_R,Frontal_Sup_2_L,Thal_VPL_L,SN_pr_R,ACC_sup_R,Thal_IL_L,Cerebellum_6_L,Thal_MDm_R,SN_pc_R,Cerebellum_8_L,Frontal_Sup_2_R,Parietal_Sup_L,Vermis_1_2,Rolandic_Oper_R,Thal_VA_L,Vermis_8,Caudate_R,Frontal_Med_Orb_R,Cuneus_R
LC_L,1.0,0.1024255967882752,-0.03509401542412644,0.05095181212869334,0.1326303715878075,0.10537452210068816,0.13616993289968984,-0.16134216018332925,0.11670736393362591,0.06465371089126773,0.11747930568834293,0.1195872355743951,0.01731453219936551,0.17861399282902163,-0.09969893168246467,0.127809165332503,-0.008158758949347242,0.19802543064720662,0.07168052509857209,0.09183823703648264,-0.14930028316074964,-0.027614918287649403,0.2208617178885999,0.004397880517011054,0.14081667804838482,0.04313597346663368,-0.006283388328812041,-0.045644417022656286,-0.01254454394488935,0.10884829001946669,0.09558799001733922,0.027769301951433834,0.3532386797439915,0.07932797152085601,0.15974680552887835,0.0035233980062253515,0.23076953726243685,0.06986006158030367,0.09147043133043663,-0.10747737065089749,-0.017421013812303456,0.044774432291655834,0.13370639544355162,-0.02808517174502188,0.10827913855323072,0.06236968536869769,0.04743008208672207,0.09418633942938898,0.14781338749413095,0.0271043204117848,0.3776951931940311,-0.039425246925250144,0.1635847711887045,-0.0024420659649247293,0.012442753221308193,0.058307693298531374,0.28985343732319496,0.05347405994885707,0.14803695351956708,0.1333223709031581,0.08241645059694117,0.008577963791454092,0.33321383518790776,-0.13076263329307383,0.13175694431838997,0.2318811916632659,0.0766824500261546,0.09924040472315593,-0.14056380136309643,-0.015000215740339771,-0.01126264493594346,-0.3318659961780617,0.11533253592771968,-0.17256008907144,0.032052854974537914
Precuneus_L,0.1024255967882752,1.0,0.31811300621916394,0.36734227149226206,0.6394677624222482,-0.04888870229993818,0.6680895075732067,0.2707542153421792,0.517133066261807,0.5848822624002503,0.6756527586739115,0.19157033889940672,0.6399196066854332,0.9089168757552213,-0.12256665761794175,0.608358739315931,0.3942274510350189,0.1446769277920677,0.41962943447578427,0.6452036693695079,0.47813119801161313,-0.02717661568889406,0.41112808693861475,-0.06263513586678156,0.03349486232192771,0.1336546889738614,0.31926470045601985,-0.0587187147522392,0.22846804245178873,-0.06300046019971269,0.6679419543414533,0.0748114251028494,-0.10296912691639637,0.35974467329285825,0.22960959945240375,0.3300347394613419,0.15404213985254994,0.33193639306602785,-0.18663807662015275,0.3123945515137247,0.018087947426229767,0.27204111790756075,0.721682662785057,0.3292107978912726,0.5193240403551783,-0.01722300560964097,-0.23324987661416138,0.25123580514685234,0.8157374531866414,0.6205271854425769,0.13497899962901674,0.07903981461468586,0.6080726147939004,0.07261812885823285,0.27685361921904855,0.13807901225140934,0.10089454341831153,0.35783940456142316,0.618208861205289,0.13564791504476426,0.1301484002472353,0.40813497593370673,0.5457034966984481,-0.0590425986861189,0.4271011050748109,0.34919046319720337,0.5715108052426126,0.48989980500918917,0.23452337589428326,0.2572599906977869,0.025118529365723914,0.18651754449756844,0.29960898776833916,-0.09161924476373622,0.7657368638171863
Rolandic_Oper_L,-0.03509401542412644,0.31811300621916394,1.0,0.6743339944984778,0.7841093548032884,0.05135771009670597,0.7514788201597831,0.1372882750864815,0.7217809335973993,0.396705134573918,0.6559373619594944,0.21579463187129894,0.7425375391536168,0.4291995998601132,-0.10867277536485986,0.8077883050761849,0.6656334956628599,0.46765840937869857,0.9124103208595821,0.6225124908221842,0.6405736303266966,-0.13831929170135365,0.33424725186915194,0.30491043983829025,0.5932406307174211,0.8456130251651782,0.6867118645359189,0.6436835174797569,0.6948530423588803,-0.013772925933413888,0.5117354581633533,0.2107773172010363,0.35478420548406575,0.8311093997051865,0.228483896575878,0.6428443766922679,0.15002075635810602,0.19285508453752312,0.21165804732656593,0.2415418669462206,0.5432910805109014,0.8387328567777013,0.6422753344730362,0.48601958998368644,0.519163521022308,0.4329111968398293,0.3719296606003617,0.8073571101328684,0.2754755291991449,-0.14100154802283846,0.028271463425235368,0.7869903978391347,0.6612985343067022,0.3961087308385417,0.11204754910482602,0.05480003184786599,0.24580173700286165,0.8452516589288869,0.360725155969133,0.6158544296366508,0.7232308005912473,0.4288291931965445,0.2718897502537607,0.32536891829444603,0.44578986546334926,0.350650681098001,0.7507393800456946,-0.16447394575357335,0.6287711503300611,0.9370346297757077,0.5047893402418735,0.37498283222344087,0.7793010378408805,0.302493742791464,0.13775057976011937
Temporal_Inf_R,0.05095181212869334,0.36734227149226206,0.6743339944984778,1.0,0.7337012915804587,0.07248327593842518,0.7242995566706791,0.006986301223530608,0.7098548811649158,0.4729500556500807,0.5275577972517494,0.34468317462566983,0.7585098705111329,0.47329824213058236,-0.19976871773374738,0.7370971818656566,0.6819828590547854,0.5448128048912959,0.673086925690418,0.6195682296692357,0.5140589828367685,-0.13304416368910288,0.37339410918620464,0.2510640395992788,0.38810899922078007,0.6916463563282668,0.5830949786275499,0.34085140180623213,0.5154000749359005,0.04602799331393473,0.6607503933366002,0.1397690155785874,0.40595046868056356,0.6404887012306496,0.5981559835307871,0.5575319187851703,0.16474582600688234,0.33866777644508766,0.17990021311871124,-0.05137610105568071,0.431461963005937,0.8091719122330487,0.7144972093191793,0.4845866016996449,0.6627238579502988,0.1975718200820762,0.21053016680802164,0.7988574210899615,0.34746460014162683,0.03501879829575077,0.25291558246319934,0.5641262865088342,0.6217312482962193,0.08445861521539613,0.18185398807788558,0.3025792913015073,0.7159242367276598,0.6952931954799326,0.5152317497463537,0.4473838557453601,0.6177120063620263,0.5263937898314871,0.5402134158718448,0.12248353171296184,0.5597502524051199,0.631371871959252,0.5557872296869734,-0.09979629928251872,0.5721600275874891,0.5882623684538875,0.5220125978689503,0.24511427974602645,0.747609736028729,-0.02170470811969741,0.28517033159473754
Cingulate_Mid_L,0.1326303715878075,0.6394677624222482,0.7841093548032884,0.7337012915804587,1.0,0.1143995500052966,0.9577116296697329,0.176214312591118,0.8725648521958049,0.5158204237117131,0.8968263449571879,0.33781426563940903,0.8225764217474618,0.736334489080195,-0.14433332188342807,0.9429577839221706,0.6330573158636169,0.5669018104010185,0.7694968403695148,0.7815268921876753,0.6671236225131579,-0.09235544306476032,0.5199795415587236,0.13641258949152824,0.4324750806044328,0.681467069197951,0.6446678021089312,0.47252154481622344,0.648564647821965,0.03239908558290779,0.6375612302176581,0.2618434065667723,0.36733409897417957,0.8468918414478757,0.4390498763574096,0.5573147774026179,0.22795707032212964,0.3575046015817292,0.21632908536127785,0.1732856972420287,0.49648439772157077,0.7727977777900853,0.7785342999035444,0.48447599981801276,0.5960813160229022,0.29464792724297467,0.13581582006065646,0.7317260403891075,0.5950027292883251,0.11195110482905903,0.1845043346408087,0.6383674770693384,0.8359967108323706,0.34809135508342387,0.21802645816191846,0.12518098474425784,0.3294213380571425,0.8378039460301411,0.46315095569475184,0.547195101562881,0.637101694847989,0.542402522813926,0.48032317856619794,0.17940330221440973,0.5511146347107401,0.45208645645079387,0.8672690499861798,0.1962594131169657,0.5667908300243352,0.7566237161517464,0.45284030559137434,0.1914309373182551,0.7718498588778985,0.07320411645487526,0.48487195895151647
Rectus_L,0.10537452210068816,-0.04888870229993818,0.05135771009670597,0.07248327593842518,0.1143995500052966,1.0,0.16288584960883967,0.1517772477832433,0.14353565251021067,0.19569822198007547,0.11219480419973493,0.743421817581267,0.015439211399952003,-0.021012126997451818,0.6338625667039263,0.19633333155085614,0.2604009457360114,0.24980513431502815,0.021818985390052118,-0.014585244382981505,0.16902049868336638,0.6836038279624903,0.5246784844235954,0.00011030289631232888,0.4659880288150076,0.0782321889927294,0.29427034171048516,0.5251384306578116,0.2126946072234746,0.692454407143726,0.12252411357078749,0.7584656490079236,0.2178470286539349,0.31680520421872477,-0.082886758509048,0.002566478008175908,-0.331285187479668,0.5241913276566147,0.5793112375062361,-0.02667972167703259,0.25681163252579453,0.25111536982943583,-0.15283245061802472,0.3326879003170887,0.057369401602099745,0.32520835831526923,0.21273620288880754,0.18972983015683145,-0.1278141702927799,-0.20817069640742547,0.5577980933575265,0.42645957279472463,0.018757431380040924,0.07249101204899763,0.4529990640827831,-0.13770190158991033,0.012276173720517492,0.3230938718928821,-0.02295562487266936,0.1256873867063606,-0.012479082053869422,0.2236574953127307,-0.20976221390788993,0.2963583513613562,0.1432967224456193,-0.2453625257983462,0.3013237066918778,0.06440988627580244,0.27323509503189025,0.10001683366863555,0.47026851307760426,-0.3323011434548803,0.24750022441265332,0.4391730463218227,-0.13759539388559364
Supp_Motor_Area_R,0.13616993289968984,0.6680895075732067,0.7514788201597831,0.7242995566706791,0.9577116296697329,0.16288584960883967,1.0,0.16156915723911272,0.9247011212868147,0.6025812590026323,0.8977463649356204,0.4005834995159117,0.8461706815534552,0.775394750902583,-0.178984645177679,0.9752754265308112,0.6818897636951893,0.5820662050909631,0.7776223290146629,0.8392118749553422,0.6792924298584271,-0.07798314220236485,0.5881951769510767,0.17693788727879312,0.41203581800750355,0.626402768941239,0.6859675829240596,0.4375082899253782,0.6759453596694852,0.05429415005580362,0.7164170822054814,0.23911019664698827,0.3223059541680038,0.8507667305054549,0.4536984809515251,0.546774336764551,0.2303453919229653,0.42667465274782346,0.2168552285418853,0.13473418525716072,0.47771655153084414,0.7993116091570815,0.7794878297690342,0.5168009784899344,0.6840256993264588,0.27996428577526833,0.11827404166257044,0.7285183670526825,0.6695802561069486,0.18750650000568245,0.2790449845645941,0.6138054850857079,0.8857022619721721,0.25214715183190917,0.2763203048515978,0.12805794105868187,0.32745307727937634,0.8395811558173674,0.5213937045997002,0.5270424679651189,0.6399914143157288,0.5727520665488174,0.526140513977192,0.18747483613676894,0.6275615217538787,0.44303244854790697,0.8865872959096573,0.2278155304214456,0.6334468301963675,0.7160567065055158,0.5349546963894133,0.1514506225592476,0.7960403621680997,0.019999972462775018,0.5275687523545586
Thal_PuI_L,-0.16134216018332925,0.2707542153421792,0.1372882750864815,0.006986301223530608,0.176214312591118,0.1517772477832433,0.16156915723911272,1.0,0.15743539094114248,0.09524174943310709,0.22409754422522626,0.0654882156935291,0.12875532543216608,0.19178670108414309,0.1719038383871526,0.15979159600812415,0.18423156302745225,-0.0007866904230064208,0.06755238384178042,0.17148453321360893,0.23222484343264382,0.15026414705442162,0.1004947338223713,-0.10678304907489261,0.04768997293803731,-0.003479447626158096,0.17068613708517721,0.166411595643099,0.12403554506505876,0.04742330316642447,0.08664513404968625,0.1538900387812125,-0.08913114876870104,0.1310417480559008,-0.10693276178584475,0.06638646433368077,-0.10051657212298953,0.16404628257550033,0.060752765404922145,0.1501112955092534,0.040477744482131824,0.04772315297731152,0.06450506956963098,0.24989094504829365,-0.018859741535490263,-0.01128604433337821,0.012602644493132857,0.026405307572606392,0.2173592887096827,0.03893185613621323,-0.10357733294881571,0.15063858654939566,0.1648212704493134,0.023621957254592638,0.10353230203596957,0.03044081830038019,-0.27948299520560566,0.17113709777802477,0.0017593984538333374,-0.019754884144407354,-0.07951715009459118,0.15565063799366274,-0.18290171853216927,0.12336863180917589,0.025332519993141744,-0.26616400012385555,0.2602662512920625,0.1944099058398445,0.2023254644506938,0.1651355451773397,0.05035752601417856,0.025226433258432164,0.10852131335089509,0.2332875236643534,0.17810045605561806
Precentral_L,0.11670736393362591,0.517133066261807,0.7217809335973993,0.7098548811649158,0.8725648521958049,0.14353565251021067,0.9247011212868147,0.15743539094114248,1.0,0.5402380253931705,0.8078386704354064,0.3290688682579069,0.7675610480815469,0.6616699150331998,-0.23596434103941719,0.9239272014428815,0.6846121310778921,0.5680828635436527,0.7468580086111095,0.8328776091677169,0.6088816365866007,-0.12697220832857276,0.4866738701280377,0.1529839191362923,0.38490735136562965,0.5990286595462688,0.6436761506747768,0.46267236267539186,0.6922338586157348,-0.02330927543073463,0.5939406099015156,0.16722596713135449,0.35129672564609926,0.8421782081571405,0.5110368498643686,0.4767731195353682,0.31833118808043276,0.30801673717982103,0.2020028509875876,0.04914240638431653,0.5700991621726307,0.8473273441781418,0.6828933769747385,0.44310265242725644,0.670506163030621,0.2524749858511903,0.19377674426368827,0.6863639974334551,0.6628856620626926,0.10555517586966368,0.25908415342970775,0.6279316764578422,0.9356267067796263,0.25422609542127683,0.15691920675452992,0.19477369368669586,0.3276927738827989,0.8466883785870215,0.41909469276278355,0.5227551321766648,0.6723468597234794,0.5613012894321897,0.4703675369320494,0.2717809831152221,0.6042812680144137,0.3709095478909637,0.8517010740911642,0.1924658068962935,0.6319170782453309,0.7179753946826215,0.5511009433198573,0.11082732255240849,0.7995643976211346,-0.004876013912951672,0.4247903347494861
Olfactory_L,0.06465371089126773,0.5848822624002503,0.396705134573918,0.4729500556500807,0.5158204237117131,0.19569822198007547,0.6025812590026323,0.09524174943310709,0.5402380253931705,1.0,0.43114547343363696,0.4622840619132794,0.6328023510627874,0.6181746197378881,-0.08376288296207099,0.606279019813314,0.5353005872431726,0.25704072226114993,0.5526549260474813,0.5805324144482423,0.5038373066176032,0.10301257391503567,0.47196219401994965,0.25148289217467323,0.44573827207330297,0.21682596987679917,0.5796187278754236,0.11304929617731985,0.3849948455457776,0.3081244334211144,0.7337054003668929,0.282984785019031,0.10498726827664218,0.46591508220463224,0.17717918907954736,0.4272684148925209,-0.18911874374651563,0.538667305959584,-0.02905582989777998,0.35872485856814224,0.12756567327545895,0.5210322011040337,0.5406348425953437,0.33294845381717786,0.5086166055649841,0.15217322866553415,-0.1403552262641955,0.47674399761902464,0.4961445956979342,0.2658061415232646,0.5225231580103995,0.3136370036206096,0.539880815891172,0.05432071984405707,0.6383751785133783,0.15517515689865627,0.2923892324257116,0.46383505780186507,0.5676492232934175,0.2782184906770445,0.4181429592842923,0.3928467489092419,0.4706323323565459,-0.07672817465765838,0.6357782294583416,0.35938152052581873,0.48027551281255554,0.1471058515490841,0.49083651415094587,0.32261837346441047,0.31450154445277645,0.30754475510855744,0.490611272660714,0.002936085642567865,0.36478687734865956
