,Cerebellum_8_L,Frontal_Sup_Medial_R,Frontal_Inf_Oper_L,Supp_Motor_Area_R,Temporal_Sup_L,Thal_VPL_R,Pallidum_R,Cerebellum_7b_L,Cerebellum_6_L,ACC_sub_R,Thal_VL_R,N_Acc_L,Occipital_Mid_R,Thal_MDm_L,Temporal_Pole_Sup_L,Occipital_Sup_R,Amygdala_R,ACC_sup_L,Red_N_R,Temporal_Inf_R,Hippocampus_R,Cerebellum_4_5_R,Cingulate_Post_L,Angular_R,OFCpost_L,Frontal_Mid_2_L,Vermis_3,ParaHippocampal_L,Frontal_Mid_2_R,N_Acc_R,Frontal_Inf_Orb_2_R,SupraMarginal_L,Occipital_Mid_L,OFCpost_R,Heschl_L,Precentral_R,Cingulate_Mid_R,Cerebellum_9_L,Cerebellum_6_R,Supp_Motor_Area_L,Postcentral_L,Cerebellum_7b_R,OFCant_R,Rolandic_Oper_R,SN_pc_R,Pallidum_L,Temporal_Pole_Mid_R,OFCmed_R,Thal_MDm_R,ACC_sup_R,ACC_pre_L,Cerebellum_3_R,OFClat_R,Frontal_Med_Orb_L,OFCant_L
Thal_VL_R,0.5981061150308294,0.6132967531210575,0.5737545331548944,0.6967687369319097,0.7070881245900205,0.4134471054068325,0.430756934252027,0.3990091082387977,0.5943350369346343,0.0026561399216596233,1.0,0.33050807727388143,0.11673155326852604,0.6926222489956817,0.3192045941272971,0.0612495261114552,0.2725579316673393,0.653313933066779,0.5759604622047463,0.70355585841274,0.7029776097648653,0.7022639591714074,0.443779004730869,0.2329445180581437,0.44620126733695054,0.6302806809171998,0.5805869261003895,0.7044590409733595,0.5946085719850394,0.4300402567997229,0.3191074264479856,0.581049835573395,-0.03006595688874192,0.3116448117671793,0.6033789001245371,0.5678187739148661,0.6778965210997168,0.5800635305096884,0.716148346648285,0.6824670028650747,0.6485340066880143,0.5552342250673424,-0.005301911361037338,0.5254140745358037,0.5380338717851428,0.13829340835753284,0.15183547066664094,-0.228001212051282,0.08413063518283301,0.5959421002168896,0.184813487480203,0.5100934266568036,0.39003512030729526,0.04085390752926063,-0.21202808444737756
N_Acc_L,0.08397267062647759,0.5608983842294663,0.5373482133844522,0.47771655153084414,0.3848866327226015,0.49101377043071404,0.6136299795310891,-0.05785906320490186,0.01657478214755399,0.06822116237062509,0.33050807727388143,1.0,-0.2829233814042199,0.5515840990662476,0.16134871701741874,0.04245904987608229,0.2636994436594884,0.4540776158922155,0.5162728180423374,0.431461963005937,0.47137425620387885,0.5301721637261104,0.39967105582987167,-0.2338343405892661,0.3620717138875876,0.6102994697286998,0.43991567891796457,0.5089262208642544,0.6183969364496548,0.33784320003772,-0.00043719504856895683,0.18446584463588106,-0.12942870118273558,0.2698683131329595,0.5481605879568842,0.4909423513094634,0.61586135785014,0.3454028445800824,0.18226091999394184,0.5069625154380848,0.4097284638986634,0.37056582731808724,0.19961239899409172,0.5453361094021508,0.34157502071800416,0.5369254728554592,0.3456605691120783,0.06261041312854324,0.5552826767477604,0.4532216234024721,0.5669671709517032,0.42708833377354183,0.18696529620073807,0.3567594809395136,0.25732426583284745
Occipital_Mid_R,0.13940569742365044,-0.027462313331876036,-0.14598439407953626,0.18750650000568245,0.010994118967974741,-0.32698761746457655,-0.2750111291438348,0.2625651294629826,0.4511871319585967,-0.29345279751978076,0.11673155326852604,-0.2829233814042199,1.0,-0.17317305884871853,-0.03939676648162193,0.28946024851968294,-0.14869102580914756,-0.030617106518004762,0.02276579784795094,0.03501879829575077,-0.028539435742274043,-0.2204315731131096,-0.03689386693294372,0.7483924382370353,0.02557043911344698,-0.1550808121634336,-0.1596780169425866,-0.0804181426366495,-0.13768144944019095,-0.348375115939944,-0.007319423260055289,0.5663732034901212,0.2506916243810269,-0.030016397100772987,-0.26652356287236084,0.24876993814669335,0.03453627687761722,-0.02983577862379529,0.2418090834837027,0.08829783428441268,0.26901474395751884,0.15426003968316757,-0.25190278382982373,-0.20107749139105602,0.16518176746062035,-0.5417157222580364,-0.21515370056401942,-0.12042535775948154,-0.15524841682386673,-0.24608554366786473,-0.43773326454871253,-0.07908414455592809,-0.02386645539918279,-0.3288732697881414,-0.4625713521256998
Thal_MDm_L,0.3002247626258404,0.577500410212995,0.5184912220235123,0.5820662050909631,0.47381960588464006,0.5489386742297994,0.6105831513307844,0.1781945890085805,0.30276557983396996,0.15067977051059847,0.6926222489956817,0.5515840990662476,-0.17317305884871853,1.0,0.3417065099174284,-0.04922500050331492,0.29830175790811303,0.5338815464159385,0.5035117751038588,0.5448128048912959,0.5902723562322407,0.6568127215499018,0.461023961321893,-0.035597119747000486,0.36135650954832926,0.5588833636249937,0.5885124446328553,0.6855234791535468,0.5979168291575135,0.41594988855619514,0.15522859534422712,0.24070393428679437,-0.06390005566619344,0.3737907310189485,0.5547902347208012,0.5254103890355621,0.6260294417929835,0.41492214590621734,0.4530686376373671,0.5680140194560397,0.4433309275457078,0.44705240716960826,0.15528673654682232,0.44892254865162107,0.39389941802199674,0.3980751990506445,0.27809120053552816,-0.018008022704884084,0.2969332684784417,0.4742206886273409,0.39010591582236526,0.49860694733816574,0.28809052136772734,0.2787451823673957,0.07377137190022676
Temporal_Pole_Sup_L,0.1947114590710633,0.3809362370964342,0.33780658873456876,0.33494421350586884,0.37961808531753033,0.46136084809838007,0.4276273076620889,0.07391962737984094,0.17351562047815136,0.223620213356432,0.3192045941272971,0.16134871701741874,-0.03939676648162193,0.3417065099174284,1.0,-0.013077984712088242,0.354594229235001,0.2776068388821802,0.40697575000806335,0.12659902566223372,0.4390284379894345,0.417897515507195,0.4980573119753899,0.006056549971795711,0.3833713437010767,0.2686401158265496,0.5299961448174952,0.3562926121343887,0.41571575829495777,0.17304105938101672,0.33681361160231765,0.10426850094235499,-0.005799235681873073,0.29711820853224125,0.42103347685454484,0.36063522822379934,0.4068101279487594,0.12057468091325464,0.19810757444914903,0.3704391682788102,0.17967379408189962,-0.014402973033148518,0.36160375440842485,0.41933159709289863,0.1676420906083303,0.43441727644642747,0.14100613259731795,0.2156520422780073,0.2905428594691369,0.2760478626990784,0.44237255562138134,0.4110530055295739,0.32154331196735003,0.14500550681243776,0.28712043481850746
Occipital_Sup_R,0.07612348470075779,0.14660309015648407,0.08074468172626212,0.27618931696022075,0.04305687208070818,-0.020532323369475098,0.046968958327058274,0.23405151463798946,0.14834595655001748,-0.012697975718528343,0.0612495261114552,0.04245904987608229,0.28946024851968294,-0.04922500050331492,-0.013077984712088242,1.0,0.10639343976038151,0.10140352467659426,0.12864087189013682,0.12873271098389677,0.08396535056799102,-0.009181461462604578,0.19026031226963033,0.4209423112406414,-0.027192135039959073,0.047002339819306266,0.03805012542766779,0.09437702527499645,0.09534776204524134,-0.035467825566199034,0.08010709423648661,0.23500780146200814,0.15628781928415442,0.13890242660241647,-0.03283787477098997,0.3025214694039882,0.1805819513838164,0.08692083449314661,0.09778361857004926,0.22723957613052023,0.21353626916654234,0.08691941527528715,0.04791861654749793,-0.014340729810811538,0.18223993979542746,-0.18822201866701638,0.04287073163751204,0.09866381497984342,-0.028778358257658856,-0.03259740622278511,-0.05577371033272137,0.016533183857360488,0.004009880624136703,-0.02763518631915627,-0.14149304090728376
Amygdala_R,0.08015463775859662,0.376839963744067,0.28680569154229973,0.3348588524007401,0.28263127028637414,0.3497400610224853,0.4966525940099916,-0.10449727579821338,0.06050235366178214,0.6659333131450526,0.2725579316673393,0.2636994436594884,-0.14869102580914756,0.29830175790811303,0.354594229235001,0.10639343976038151,1.0,0.362691510684676,0.5145978905701267,0.4120279415853919,0.5641287404680826,0.4789809694943161,0.7375542715226999,-0.1679739436294117,0.6334929841007847,0.5140323310574532,0.5488717567269734,0.578523031883326,0.4380016394476621,0.2916424602379737,0.5807783700780793,0.04806584626478077,-0.11698189743874765,0.7259763643866387,0.29454208463911696,0.19506163701215576,0.43153275140201536,0.04278736034157914,0.2148056692904851,0.40006656872158136,0.12902105995819285,0.04918367371854575,0.7367336676998159,0.26849760014447804,0.3433962409172345,0.453580676438197,0.4305898291079719,0.5365935023093312,0.3136579669792374,0.20637545379193378,0.5438983850057652,0.49681242681588134,0.5146366000066537,0.4716480752480174,0.5701033497857887
ACC_sup_L,0.37814402312326145,0.8231675090677135,0.7711843355310787,0.782821677897155,0.7969398093199701,0.5073704157310109,0.5107393858007226,0.23840586396348468,0.46556206927812127,0.18048095972503506,0.653313933066779,0.4540776158922155,-0.030617106518004762,0.5338815464159385,0.2776068388821802,0.10140352467659426,0.362691510684676,1.0,0.6390801191853125,0.6305564361500867,0.8196174693362147,0.7610341869974308,0.4398097341220126,0.06624115135380979,0.6306333559494797,0.8373988541944318,0.764194874933649,0.7282519445848147,0.84952574285876,0.4429467121254143,0.588346161510333,0.49953503132808175,-0.1266143960419341,0.43014858783836357,0.5913688375853537,0.6316936939062926,0.7482110199671533,0.33570066774789914,0.678531329604281,0.7941480100315939,0.7376539640317221,0.3261454744016637,0.17919002805154371,0.7018981598138254,0.7147215417896907,0.36067950604294763,0.16707291888839415,-0.17510268702137483,0.06148451135395879,0.8116147035088236,0.45260882914276424,0.6838419207482869,0.5517522912610895,0.31004976519671373,-0.0712380705590854
Red_N_R,0.3965120991233171,0.6502478954417923,0.6012313667762249,0.6818897636951893,0.673284199151404,0.5366354526406262,0.57588408838333,0.17141916607849245,0.36037589280671856,0.08718573982066452,0.5759604622047463,0.5162728180423374,0.02276579784795094,0.5035117751038588,0.40697575000806335,0.12864087189013682,0.5145978905701267,0.6390801191853125,1.0,0.6819828590547854,0.7313514890110461,0.7324667815937167,0.7419298221606498,0.1218652874299715,0.6110978969168178,0.7442927678016044,0.6968164268313357,0.6702648683971699,0.6670616896043993,0.3148737613993344,0.36147192696146546,0.4993700181651852,-0.10116126029897679,0.37419351042152804,0.5819063819776245,0.5637807954162758,0.780196517453691,0.4984497520320699,0.5008209315838543,0.7253161454109605,0.5824399297865465,0.45283919148365176,0.2153574564020343,0.5957506987405727,0.5138290706518456,0.44965299473716847,0.33874808250422883,0.057920285912332926,0.5139017520637393,0.5646408188486166,0.5009243316571453,0.6489669383032338,0.3512222544024803,0.17239210835675048,0.18123406035217834
Temporal_Inf_R,0.631371871959252,0.6620241736206313,0.6391782314283692,0.7242995566706791,0.754901214044383,0.374587078114584,0.501892287586302,0.2775684308233542,0.5402134158718448,0.04602799331393473,0.70355585841274,0.431461963005937,0.03501879829575077,0.5448128048912959,0.12659902566223372,0.12873271098389677,0.4120279415853919,0.6305564361500867,0.6819828590547854,1.0,0.7559601783575489,0.7988574210899615,0.5576100224728874,0.1115573973178477,0.5962482037833776,0.8091719122330487,0.6021194499223848,0.6636547503498113,0.6404887012306496,0.40595046868056356,0.3355604700398861,0.5605560814877272,-0.19653594747409275,0.34468317462566983,0.6916463563282668,0.5275577972517494,0.750494600861747,0.6712153812165155,0.7366186482082716,0.7370971818656566,0.6217312482962193,0.5981559835307871,0.1397690155785874,0.5882623684538875,0.5597502524051199,0.19516988657554507,0.34045704870658744,-0.13304416368910288,0.12248353171296184,0.6177120063620263,0.34085140180623213,0.5830949786275499,0.4407568012010996,0.17990021311871124,0.0580589678414614
