,Cerebellum_8_L,Cerebellum_7b_R,SN_pc_R,Cingulate_Mid_L,Frontal_Inf_Tri_R,Hippocampus_L,Thal_PuL_R,Cuneus_R,Thal_LP_R,Thal_VA_L,Cuneus_L,Thal_AV_L,Parietal_Inf_L,Frontal_Inf_Oper_R,Thal_LP_L,Cerebellum_10_L,Cerebellum_Crus1_R,Occipital_Sup_R,Temporal_Pole_Sup_L,LC_R
Cerebellum_8_L,1.0,0.7042741521676563,0.41755354502128916,0.45208645645079387,0.4130572894647171,0.4487431882169526,0.3266876136785695,0.33027744963277805,0.16249195009300194,0.06936426898785178,0.37735913250534575,0.5631511001492978,0.29960069516811005,0.3415845277757394,0.0690242845310776,0.48456860543320796,0.7987747736103463,0.07612348470075779,0.1947114590710633,0.5151441711461934
Cerebellum_7b_R,0.7042741521676563,1.0,0.4015774849954545,0.4390498763574096,0.3341351417048469,0.3551363205323967,0.28921853061372266,0.3621511965880884,0.1965786372537438,0.29536656152849367,0.38854856628598067,0.6036364504251515,0.3537614536738502,0.21820696841276493,0.07803694729708513,0.4789642654519833,0.7121857778408873,0.08691941527528715,-0.014402973033148518,0.3152693675648941
SN_pc_R,0.41755354502128916,0.4015774849954545,1.0,0.5511146347107401,0.6488214057253855,0.6584931368357058,0.24133060846382892,0.2603959960531924,0.37776368304903213,0.40432684717847917,0.29704459339989175,0.44938582784579156,0.41959440972018414,0.5513322892010301,0.23900200576558314,0.63851556393155,0.6157079066642225,0.18223993979542746,0.1676420906083303,0.2689852199972963
Cingulate_Mid_L,0.45208645645079387,0.4390498763574096,0.5511146347107401,1.0,0.849494974920961,0.7679721316152255,0.2952416376661266,0.48487195895151647,0.48447599981801276,0.45284030559137434,0.43769682151234135,0.40820925953865544,0.5950027292883251,0.8065868615655444,0.39456416336083283,0.7815268921876753,0.4419721600125746,0.24277872799515668,0.36390431987070265,0.11407808822942134
Frontal_Inf_Tri_R,0.4130572894647171,0.3341351417048469,0.6488214057253855,0.849494974920961,1.0,0.7858281345164826,0.2967179159991658,0.24301887696672658,0.4681067304973181,0.489532341620721,0.2403587962652127,0.3116379338546327,0.5018018072656448,0.9143574989428915,0.41527802525905355,0.7173313754778029,0.4576010378918348,0.09628895175967506,0.37664105917998497,0.2111515751164957
Hippocampus_L,0.4487431882169526,0.3551363205323967,0.6584931368357058,0.7679721316152255,0.7858281345164826,1.0,0.4943907696887363,0.25807568218958243,0.5804587333620285,0.6682098263058793,0.2666291220949366,0.32515864665968364,0.3291569584038577,0.7734370431273674,0.4922369415719177,0.7016703607172199,0.4894123227932397,0.10337647978737585,0.5162466719951682,0.13783670522666105
Thal_PuL_R,0.3266876136785695,0.28921853061372266,0.24133060846382892,0.2952416376661266,0.2967179159991658,0.4943907696887363,1.0,-0.11749197323017374,0.32674615282424185,0.4175172503442509,-0.13682437835573208,0.15158222911666341,-0.20390522999798402,0.28527495052375074,0.3318821040927607,0.20675906028031246,0.3552101579856232,-0.07115108777536094,0.1620790724264928,0.024656421872736752
Cuneus_R,0.33027744963277805,0.3621511965880884,0.2603959960531924,0.48487195895151647,0.24301887696672658,0.25807568218958243,-0.11749197323017374,1.0,0.2909968568042508,0.06509357407877242,0.8731475635564346,0.4536930431541189,0.7190087040008938,0.24716183455336754,-0.2130033186354339,0.636740737991998,0.26901672403390803,0.3587428447851136,0.09465550761174175,-0.10567754672276523
Thal_LP_R,0.16249195009300194,0.1965786372537438,0.37776368304903213,0.48447599981801276,0.4681067304973181,0.5804587333620285,0.32674615282424185,0.2909968568042508,1.0,0.5566390255928884,0.24443361102590455,0.21539682938612512,0.16352550339489855,0.4813424359252009,0.33100994724138305,0.40492185607540465,0.22252418668490934,0.1892039591811071,0.3232920525347576,-0.18573855717304058
Thal_VA_L,0.06936426898785178,0.29536656152849367,0.40432684717847917,0.45284030559137434,0.489532341620721,0.6682098263058793,0.4175172503442509,0.06509357407877242,0.5566390255928884,1.0,0.04745378505313861,0.27076490563367495,0.07196955009375594,0.43677603338279036,0.39207726714941926,0.42401120348253674,0.2126030798407491,0.06282627635535618,0.33054831642370547,-0.260441255715271
Cuneus_L,0.37735913250534575,0.38854856628598067,0.29704459339989175,0.43769682151234135,0.2403587962652127,0.2666291220949366,-0.13682437835573208,0.8731475635564346,0.24443361102590455,0.04745378505313861,1.0,0.5672853400512825,0.8157816407829673,0.2510468959384293,-0.288804616740843,0.5860865754374364,0.370666918842453,0.3597137575447184,0.11819700910600474,-0.05786700771411578
Thal_AV_L,0.5631511001492978,0.6036364504251515,0.44938582784579156,0.40820925953865544,0.3116379338546327,0.32515864665968364,0.15158222911666341,0.4536930431541189,0.21539682938612512,0.27076490563367495,0.5672853400512825,1.0,0.5426798417277082,0.22523658980551034,-0.1443454211508891,0.4788883702537389,0.6592502963930011,0.32109879044778994,-0.06309287102534983,0.10317867551419539
Parietal_Inf_L,0.29960069516811005,0.3537614536738502,0.41959440972018414,0.5950027292883251,0.5018018072656448,0.3291569584038577,-0.20390522999798402,0.7190087040008938,0.16352550339489855,0.07196955009375594,0.8157816407829673,0.5426798417277082,1.0,0.4119501024171765,-0.13353232408722085,0.6775147423039138,0.3904889687704899,0.3708194672530966,0.03192913780219391,0.07657796040135452
Frontal_Inf_Oper_R,0.3415845277757394,0.21820696841276493,0.5513322892010301,0.8065868615655444,0.9143574989428915,0.7734370431273674,0.28527495052375074,0.24716183455336754,0.4813424359252009,0.43677603338279036,0.2510468959384293,0.22523658980551034,0.4119501024171765,1.0,0.4672976869359367,0.6798051586145026,0.3410045298395797,0.02629473180814322,0.4612900097293376,0.18660452596997923
Thal_LP_L,0.0690242845310776,0.07803694729708513,0.23900200576558314,0.39456416336083283,0.41527802525905355,0.4922369415719177,0.3318821040927607,-0.2130033186354339,0.33100994724138305,0.39207726714941926,-0.288804616740843,-0.1443454211508891,-0.13353232408722085,0.4672976869359367,1.0,0.234308247487867,0.05181193184968535,-0.06944436114919215,0.3669751309096952,0.167670811705337
Cerebellum_10_L,0.48456860543320796,0.4789642654519833,0.63851556393155,0.7815268921876753,0.7173313754778029,0.7016703607172199,0.20675906028031246,0.636740737991998,0.40492185607540465,0.42401120348253674,0.5860865754374364,0.4788883702537389,0.6775147423039138,0.6798051586145026,0.234308247487867,1.0,0.5499512391237472,0.2025104306280962,0.17617363377094722,0.05824279076578095
Cerebellum_Crus1_R,0.7987747736103463,0.7121857778408873,0.6157079066642225,0.4419721600125746,0.4576010378918348,0.4894123227932397,0.3552101579856232,0.26901672403390803,0.22252418668490934,0.2126030798407491,0.370666918842453,0.6592502963930011,0.3904889687704899,0.3410045298395797,0.05181193184968535,0.5499512391237472,1.0,0.1022022991584373,-0.020778168457280737,0.4089645769621536
Occipital_Sup_R,0.07612348470075779,0.08691941527528715,0.18223993979542746,0.24277872799515668,0.09628895175967506,0.10337647978737585,-0.07115108777536094,0.3587428447851136,0.1892039591811071,0.06282627635535618,0.3597137575447184,0.32109879044778994,0.3708194672530966,0.02629473180814322,-0.06944436114919215,0.2025104306280962,0.1022022991584373,1.0,-0.013077984712088242,-0.04252737524004631
Temporal_Pole_Sup_L,0.1947114590710633,-0.014402973033148518,0.1676420906083303,0.36390431987070265,0.37664105917998497,0.5162466719951682,0.1620790724264928,0.09465550761174175,0.3232920525347576,0.33054831642370547,0.11819700910600474,-0.06309287102534983,0.03192913780219391,0.4612900097293376,0.3669751309096952,0.17617363377094722,-0.020778168457280737,-0.013077984712088242,1.0,0.10399661750509794
LC_R,0.5151441711461934,0.3152693675648941,0.2689852199972963,0.11407808822942134,0.2111515751164957,0.13783670522666105,0.024656421872736752,-0.10567754672276523,-0.18573855717304058,-0.260441255715271,-0.05786700771411578,0.10317867551419539,0.07657796040135452,0.18660452596997923,0.167670811705337,0.05824279076578095,0.4089645769621536,-0.04252737524004631,0.10399661750509794,1.0
