,Cingulate_Mid_L,Frontal_Med_Orb_R,Frontal_Inf_Tri_R,ACC_sup_L,Insula_L,Occipital_Mid_L,Thal_PuM_R,Cerebellum_Crus2_L,Olfactory_R,Cerebellum_3_R,SupraMarginal_R,Cerebellum_8_L,OFCant_L,Temporal_Sup_L,SN_pr_L,LC_L,Thal_IL_L,Vermis_7,Thal_VPL_R,Thal_VL_L,Temporal_Inf_L,Thal_PuA_R,SN_pc_L,Thal_MGN_L,Supp_Motor_Area_R,Precentral_R,Thal_PuL_L,Paracentral_Lobule_R,Thal_MDm_L,SN_pr_R,Thal_LP_R,Precuneus_R,Thal_AV_R,Cerebellum_3_L,OFCant_R,Cerebellum_Crus2_R,Occipital_Sup_L,SupraMarginal_L,OFCmed_L,ParaHippocampal_R,Precentral_L,VTA_R,Occipital_Inf_R,Thal_LGN_L,ParaHippocampal_L,Parietal_Sup_R,Caudate_L,Temporal_Sup_R,Temporal_Mid_R,Calcarine_L,Thal_VA_R,Heschl_R,Putamen_L,Frontal_Sup_Medial_L,LC_R,Temporal_Pole_Mid_R,Thal_AV_L,Thal_LP_L,Cingulate_Post_R,Occipital_Mid_R
Cingulate_Mid_L,1.0,0.07320411645487526,0.849494974920961,0.7061785430277123,0.7694968403695148,-0.013139507441463645,0.6671236225131579,0.13641258949152824,0.3931366456971333,0.6446678021089312,0.5293714091912533,0.45208645645079387,0.06129125777483324,0.7610372293309287,0.3575046015817292,0.1326303715878075,0.542402522813926,-0.06629407221543326,0.47050666015619547,0.5960813160229022,0.7444737129254282,0.3809355681341529,0.5697234173182909,0.12112937423095005,0.9577116296697329,0.8968263449571879,0.27378149435069427,0.5071698909173841,0.5669018104010185,0.547195101562881,0.48447599981801276,0.736334489080195,0.4792471842439915,0.5236264402094725,0.2618434065667723,0.3294213380571425,0.13353884118304574,0.5871549589200095,-0.14433332188342807,0.7321428468337898,0.8725648521958049,0.41656546389278204,0.06744142776269514,0.648564647821965,0.6450238822910147,0.12518098474425784,0.6515036828664547,0.8225764217474618,0.708862823757841,0.7785342999035444,0.5322726973481852,0.6096902674416539,0.6447857482435599,0.8369910824310731,0.11407808822942134,0.23769579446825762,0.40820925953865544,0.39456416336083283,0.8542199191673946,0.11195110482905903
Frontal_Med_Orb_R,0.07320411645487526,1.0,0.07289281407845241,-0.014929450171580922,0.14912521371490375,0.1534644673515919,0.28146434540611626,-0.10530054179438934,0.35458876668401224,0.2644828270861704,-0.26773134914594393,-0.40209608002999614,0.7794424667982242,0.010497501887215543,0.08632768047605463,-0.17256008907144,0.10722858362058428,-0.23051245953891036,0.2616100625213084,-0.16806397848030366,0.12833811108638635,0.4573788536535523,0.14655260530621927,0.28826997274538807,0.019999972462775018,-0.0006161588224169389,-0.03892727551230519,-0.15880538809496025,-0.034210912670791,0.11894339642482588,0.21074031873737453,-0.1550440019349256,0.013598479262798627,0.368300579750324,0.6575457555150261,-0.2562474566877699,-0.3817964562622509,-0.25643901888680326,0.7504464193549866,0.21543810716440367,-0.004876013912951672,0.14366841748813064,-0.46158311759683074,0.25538789528330913,0.058383794383389885,-0.2490648018375798,0.43333016253583423,-0.05053552742453906,-0.2241800487150061,-0.20236907092036172,-0.40640706737902815,0.17702932886205733,0.38345714200090786,0.17384143390687218,-0.32330617237545084,0.5064106741158515,-0.5693170624175783,0.234596353573462,0.1168540184183645,-0.3106521669458014
Frontal_Inf_Tri_R,0.849494974920961,0.07289281407845241,1.0,0.8325591183662815,0.9281877196221525,-0.06128527663188813,0.6175762479659411,0.2804209105545081,0.35367474792051556,0.6823198638144868,0.3694657033942884,0.4130572894647171,-0.028242141285303383,0.8678254892521136,0.295477113190531,0.07951517025865122,0.44959734263408296,0.06269357472477308,0.49329004748801303,0.6697494414852392,0.6866662067321855,0.3286281984132313,0.4805761604045812,0.21009557406721638,0.8619261139982815,0.7385439123712373,0.2905037057622975,0.3220106257522605,0.4647264984531181,0.6138547434238354,0.4681067304973181,0.569448823874528,0.45972546790262486,0.5527246780815323,0.1982445258183219,0.26690743012969126,0.0039167356002341325,0.5591223534773615,-0.2789124163632971,0.7301239264901652,0.826813625546705,0.47360839583780034,0.14017595839761166,0.6900727931053281,0.6453091901758075,0.08551173570191856,0.6684300864372431,0.8494547409580884,0.7146762262425169,0.688540695868277,0.46515780434341575,0.7300613009230842,0.6560633571242565,0.8095021437896913,0.2111515751164957,0.18814335620927064,0.3116379338546327,0.41527802525905355,0.77085649227607,0.026323261125118076
ACC_sup_L,0.7061785430277123,-0.014929450171580922,0.8325591183662815,1.0,0.8268304074794892,-0.1266143960419341,0.6134351282169676,0.3736735919839653,0.3854271466262444,0.6838419207482869,0.2752392041984894,0.37814402312326145,-0.0712380705590854,0.7969398093199701,0.34098736794597095,0.16715028182419345,0.46007965230367315,-0.007479533282540889,0.5073704157310109,0.6580162068072061,0.595974500413245,0.32717053217256736,0.5419627810044422,0.23658591848198135,0.782821677897155,0.6316936939062926,0.3440774373547606,0.13276992064465015,0.5338815464159385,0.5909100172220467,0.41571022746300745,0.4626137950321258,0.4633906573116753,0.5937722688741186,0.17919002805154371,0.35189742738985996,-0.06585438591841203,0.49953503132808175,-0.28736736695713755,0.7445527426302104,0.8044559386779112,0.5847612654661519,0.23110560748973807,0.692126240142143,0.7282519445848147,0.14612989227124873,0.6612035764261052,0.7717501051772201,0.7121459035255528,0.5637327878487968,0.5459501011476529,0.5281090640269935,0.6364543974317782,0.7250134656655448,0.25166495878315015,0.16707291888839415,0.4103315470015203,0.4557546910288253,0.7329762314739899,-0.030617106518004762
Insula_L,0.7694968403695148,0.14912521371490375,0.9281877196221525,0.8268304074794892,1.0,-0.142039818382671,0.6309980352977831,0.36810455904151596,0.35877294277457644,0.6877120823180695,0.31133597200773955,0.43871581875903015,0.02992678041739413,0.8770753159849521,0.2555493762382514,0.07168052509857209,0.43169137156470805,0.14442895153153065,0.508133079792396,0.6649955695703579,0.6997058284747368,0.28575854130600603,0.5435414412411931,0.20136619295098268,0.7776223290146629,0.6554196143224383,0.4078180962281702,0.2511007616444491,0.40910894654609065,0.6476063677019975,0.4388603634493393,0.5284965427999261,0.425616456929556,0.5986500553500315,0.1592830931634309,0.32598000375807684,-0.02614229051854031,0.5442072746033481,-0.25719045009345337,0.6999547476722482,0.7468580086111095,0.4631375580657998,0.15873105417247688,0.6720247189936711,0.6012505125805409,0.10156165057051492,0.7112632051800085,0.8083378271364171,0.7001361950658138,0.6900961883542807,0.44287378329581356,0.6929851402118599,0.6604568971941597,0.7048640429094654,0.24680072800457564,0.12719394312419746,0.27818154444876614,0.4142352544633743,0.7695020762382608,0.026413753966264965
Occipital_Mid_L,-0.013139507441463645,0.1534644673515919,-0.06128527663188813,-0.1266143960419341,-0.142039818382671,1.0,-0.0037253116830606773,-0.32853375725279965,0.025504411156804265,-0.11410259930864915,0.25544391734845984,-0.32028854096858034,-0.10918048392454846,-0.17772590304682875,-0.021864666027587243,-0.10620701517647464,0.06825230673776043,-0.1639760877202383,-0.08973755443077946,0.05675601074314192,-0.2326969690930212,0.11810941116198416,-0.1949927382575421,0.2672910783906904,0.018163908660801857,0.06900199834909684,-0.3718552532781624,0.2647496260751905,-0.06390005566619344,-0.13789726841532118,0.07567126068566032,0.063737515010976,-0.05747477300661507,-0.20132269733948108,0.08972883726145352,-0.4241382512284561,0.09165530287020705,0.024285915622845,0.19468438485224762,-0.08698836192617525,-0.04466024448773221,-0.13082090435171262,-0.3225373122046767,-0.05863523267891312,-0.15857661535097992,-0.20797630196502864,-0.20066261664997465,-0.005696482291396091,-0.12662498943713274,-0.18337960217664978,-0.06931545753063914,-0.11723011612036867,-0.10119714114774524,0.07998387706479337,-0.3947226983255972,0.12793312084504463,0.00217530681647723,-0.17155705931500742,-0.08680838446266202,0.2506916243810269
Thal_PuM_R,0.6671236225131579,0.28146434540611626,0.6175762479659411,0.6134351282169676,0.6309980352977831,-0.0037253116830606773,1.0,0.13974924415249895,0.44130123837800317,0.6417161014410205,0.3093589336326354,0.16229904719944108,0.2046666413817834,0.6013406648921854,0.382577831092952,-0.14930028316074964,0.41091005186594165,-0.03893385824527962,0.5391254953042388,0.44303891110015853,0.49037566070945554,0.5044555347285761,0.4668475457308192,0.29887654122783075,0.6792924298584271,0.6151000193078815,0.22987386597891646,0.26298107049219893,0.48485505204770174,0.5649092502630356,0.5649211058976169,0.4545434261245797,0.32441088502848686,0.5421107754793382,0.33044361117023413,0.14102348318183225,-0.04098990892526398,0.33567903202465227,0.02672432123462548,0.5953641716458347,0.6088816365866007,0.32080742290134734,-0.04391314938220221,0.5666479985077018,0.511827661586458,0.11197578216243233,0.6142404866594025,0.6860807768814653,0.6070105795289394,0.49008097541545703,0.29777103435400015,0.39121096006461825,0.6294044815854127,0.6741524381287336,-0.0906293337199731,0.30878627146647936,0.18250449392812415,0.42974600031927757,0.7276235843142514,0.0016539549664605637
Cerebellum_Crus2_L,0.13641258949152824,-0.10530054179438934,0.2804209105545081,0.3736735919839653,0.36810455904151596,-0.32853375725279965,0.13974924415249895,1.0,0.13498439226683487,0.30826482700083363,-0.09261505946701994,0.25742913693858427,-0.1260062298627717,0.3365193919666018,0.27158178837005587,0.004397880517011054,-0.003280470703135251,0.15309800551468852,0.09421095752904075,0.13955921626745682,0.3133462656207263,-0.1112214456742094,0.1762530031726828,0.009798734532773377,0.17693788727879312,0.0833876559783472,0.341463808340949,-0.2374348987424825,0.13853020312990158,0.15264968517437244,0.18832497485397712,0.029990231052587416,0.1791691593761355,0.3522788212891709,-0.03946283707517555,0.2525048133874223,-0.04338697738088216,0.18671305227792162,-0.19827740242890982,0.29078781653075386,0.1529839191362923,0.2222571556821055,0.30584932014864785,0.16787622405451388,0.36396717918029575,0.1796829276008522,0.22788769323524763,0.22439711358952885,0.281205112910783,0.2093229118300645,0.2346137391540658,0.1537719527147276,0.2303219257217147,0.07949999709574151,0.09960141740194095,-0.14629009426981263,0.13259019594743912,0.10564006472573959,0.24787988872114342,-0.10502212887619078
Olfactory_R,0.3931366456971333,0.35458876668401224,0.35367474792051556,0.3854271466262444,0.35877294277457644,0.025504411156804265,0.44130123837800317,0.13498439226683487,1.0,0.5002365363093914,0.21476648577131507,0.03380158742396868,0.2510185073849129,0.29909412378597267,0.6093881502727477,-0.03103024273836203,0.47063063108393327,-0.19676864467478491,0.20787518793225715,0.47107922673273717,0.35404134206366117,0.15156890546609844,0.3990318831145763,0.22931604066643557,0.4971807666518388,0.3506243011522848,0.158160095915837,0.08357288198171672,0.25726586350166064,0.2428851816698494,0.504317238886797,0.3642293667367573,0.40751824972898043,0.3882722928352648,0.5234122943930287,0.1341322041397669,-0.07886708373466941,0.34657899223228883,0.3397800890374631,0.5979439805141825,0.4216080882133549,0.5182403946638758,0.029103869697268976,0.41692477835082187,0.5827318843777888,0.03115091681051871,0.44508678923632783,0.36712096808447836,0.35389272505277125,0.28234448782997157,0.3736192993502086,0.04352638622013517,0.46229732435833737,0.36305961606157533,-0.2801249833444947,0.4090579975201571,0.20805362314191114,0.11923628488409789,0.5285493929250675,0.19060683250305263
Cerebellum_3_R,0.6446678021089312,0.2644828270861704,0.6823198638144868,0.6838419207482869,0.6877120823180695,-0.11410259930864915,0.6417161014410205,0.30826482700083363,0.5002365363093914,1.0,0.15313115498796903,0.22783797172331632,0.17255599665351998,0.7055288722107216,0.5682172518152131,-0.006283388328812041,0.45386344562232195,0.006566575388280599,0.4685003977415977,0.4566535048251782,0.5669155045115397,0.27789497333960694,0.4931385684473703,0.32538762525450005,0.6859675829240596,0.5296625538402638,0.31174404364268843,0.11906716221662549,0.49860694733816574,0.44876419433561676,0.5271810259382116,0.4185216992400812,0.47706217365079767,0.7557179760636193,0.424415159310579,0.2261978190376553,-0.12103676216749006,0.4081715157274223,0.04439119122010086,0.7691897282886958,0.6436761506747768,0.5510732021185495,0.07300719907307618,0.6383876081258435,0.6956933828581712,0.11303866823077355,0.6775465188989027,0.6675463271338845,0.5585944536342415,0.5135471812401244,0.38954927620144797,0.44313524375108126,0.6950623523632493,0.6613500224768799,-0.028924453927831703,0.27765599302500565,0.18845688408427494,0.41740111196439544,0.6796999589474586,-0.07908414455592809
