,Rectus_L,VTA_L,Caudate_L,SN_pr_L,Thal_PuI_L,OFCmed_R,Thal_PuL_L,SN_pc_L,Thal_LP_L,Frontal_Sup_Medial_L,Precuneus_R,Olfactory_R,Vermis_9,Insula_R,Occipital_Mid_L,ACC_sup_R,SN_pc_R,Vermis_4_5,Vermis_7,Cerebellum_3_L,Frontal_Inf_Orb_2_L,Precentral_R,Thal_PuL_R,SupraMarginal_R,Cingulate_Mid_R,Thal_AV_L,Thal_LP_R,Thal_PuI_R,Putamen_R,Vermis_6,OFClat_L,Lingual_R,Paracentral_Lobule_L,Frontal_Inf_Oper_R,Frontal_Mid_2_R
Rectus_L,1.0,0.1216023480325951,0.33990865829826244,0.5241913276566147,0.1517772477832433,0.6836038279624903,-0.008788636726090133,0.17069455655163462,0.2660308193766382,0.29768813719545956,-0.021012126997451818,0.515603589610428,-0.30099978375011116,0.11788108658353788,0.08458161992046755,-0.012479082053869422,0.1432967224456193,0.12252411357078749,-0.44111262614247576,0.357973890066062,0.21173025943724258,0.11219480419973493,0.07814282606467937,-0.12984011710200172,0.24869083924192895,-0.17206108081332347,0.3326879003170887,-0.02667972167703259,0.42645957279472463,-0.45875140869390507,0.5246784844235954,-0.05323748988766534,-0.025854721407586486,0.031414586387793535,0.31680520421872477
VTA_L,0.1216023480325951,1.0,0.49532136774921237,-0.16119520495963632,-0.19978807110832278,-0.20249605872665333,0.2832751439924431,0.5423293825863749,0.28563311168490496,0.28684583142052955,-0.016107450100454147,0.07360627909156588,0.14433454049764488,0.15475889399515755,-0.2331764558179005,0.3882546344789026,0.05075061323505688,0.023451269402522165,-0.36157327122119887,0.29714944848467145,0.08532306007514834,0.22633817999035533,0.4354004814418972,-0.11293846653995608,0.5560367250698373,0.25938125790094585,0.1357914857342333,-0.4106332662403681,0.4025945777256133,0.09670773971836717,0.20774183593658035,0.20147093190416618,-0.15035163231048973,0.2679034830416878,0.39441470543657053
Caudate_L,0.33990865829826244,0.49532136774921237,1.0,0.3236903624932116,0.08868693302131472,0.10239910293261312,0.3651963573267893,0.5951621662574591,0.6512319207052426,0.6872473418160002,0.28467274494130607,0.44508678923632783,0.3262732860821779,0.6753718159491591,-0.20066261664997465,0.6498771591566507,0.37429433044040744,0.43463862112698226,-0.21888890474160283,0.7491153647078422,0.48708823602177165,0.5187044645102177,0.5577012583465826,-0.04785768394660158,0.7787223620692321,0.04357016221614057,0.48866299802201485,0.1425232697092713,0.8847342057491949,-0.09136774678640512,0.4134211451797022,0.5371028431494896,0.03090615539727126,0.6853831886264264,0.8170400725146625
SN_pr_L,0.5241913276566147,-0.16119520495963632,0.3236903624932116,1.0,0.16404628257550033,0.3694204679041541,0.23104513339552685,0.3219671157303242,0.23605362852415798,0.3483602194104008,0.37608733701645286,0.6093881502727477,0.03149752856898995,0.3982448390030553,-0.021864666027587243,0.1569965755383026,0.5488929415002785,0.6112881069234123,-0.03023387400146811,0.4122159150560391,0.41938229091129575,0.3124176871145325,0.18968258355334253,0.14437344505466707,0.3038999870195266,0.18528535008261474,0.44852886377183465,0.13736677802021427,0.3083432190595183,-0.09908481866039269,0.5544346979908857,0.3761709454100729,0.23592353879410355,0.2197726227616348,0.30770618118465576
Thal_PuI_L,0.1517772477832433,-0.19978807110832278,0.08868693302131472,0.16404628257550033,1.0,0.15026414705442162,-0.22453330051380346,-0.06506660821299723,0.06442497923767769,0.15034286762509508,0.19178670108414309,0.11667695197038198,-0.1308997102313629,0.14988888484150456,0.23917958537181688,-0.07951715009459118,0.025332519993141744,0.08664513404968625,-0.09606737840146796,0.10475578390824095,-0.0004952933668278504,0.22409754422522626,-0.17727023180457083,0.24475371535595672,0.0928635930326381,-0.1202020817755673,0.24989094504829365,0.1501112955092534,0.15063858654939566,-0.15716384144477036,0.1004947338223713,0.07664540383422722,0.3259256222121897,0.17226075757977893,0.1310417480559008
OFCmed_R,0.6836038279624903,-0.20249605872665333,0.10239910293261312,0.3694204679041541,0.15026414705442162,1.0,-0.15867530716952924,0.0135038535016126,-0.0015664578704496135,0.0017043795989770275,-0.1121215830553023,0.4942398582158271,-0.39534892303413566,-0.13904025850706114,0.1234596115247641,-0.3638127347254583,-0.15529241608970076,-0.029407393574697734,-0.3401409556053179,0.1971346818628466,0.0020965099554741237,-0.10547876740218681,-0.01570441291221641,-0.17778334332370785,-0.05971334588221598,-0.3347149961129367,0.20454595685787913,0.05397545767409288,0.148096334526922,-0.602102353630011,0.12610906134594452,-0.25389351987567116,0.04674732643318086,-0.23789186884344943,-0.033738117261863675
Thal_PuL_L,-0.008788636726090133,0.2832751439924431,0.3651963573267893,0.23104513339552685,-0.22453330051380346,-0.15867530716952924,1.0,0.3147959740796146,0.1430148528300134,0.14138587208246456,0.21821410711557,0.158160095915837,0.3713568362854656,0.32432012569903773,-0.3718552532781624,0.34898388793972446,0.2955461303005887,0.4091117746507125,0.12326519163221507,0.3480085729197589,0.24417273848142124,0.196727838984474,0.39422317783699085,-0.0141539585664491,0.3468335119730584,0.2220321364134164,0.03522250023704007,0.02842447855718875,0.26941905015182194,0.32474637974789133,0.06284436035050892,0.4075470891678036,-0.035774632939811306,0.26658177321424587,0.25621629730380635
SN_pc_L,0.17069455655163462,0.5423293825863749,0.5951621662574591,0.3219671157303242,-0.06506660821299723,0.0135038535016126,0.3147959740796146,1.0,0.4292926743945209,0.5157456080760692,0.4233604935838742,0.3990318831145763,0.18776550241458353,0.5215829977767884,-0.1949927382575421,0.4009535634920307,0.3780388634472329,0.4539961909130858,-0.1919699249226044,0.470497595344742,0.4752595866549388,0.50907515197152,0.30742780069085546,0.2068296463535373,0.6327179462046707,0.31400712464255276,0.3663142876532278,0.058734240871264505,0.49434432355448876,0.09477246064941579,0.3447586877972111,0.5244597708931685,0.25090929696419106,0.4993402255462722,0.5569120174535511
Thal_LP_L,0.2660308193766382,0.28563311168490496,0.6512319207052426,0.23605362852415798,0.06442497923767769,-0.0015664578704496135,0.1430148528300134,0.4292926743945209,1.0,0.5690646378685253,0.06702188468851895,0.11923628488409789,0.20159351136457812,0.4326854882515049,-0.17155705931500742,0.4876474821319741,0.23900200576558314,0.17843593725918575,-0.16887596783448533,0.5148049786681125,0.3121279888163346,0.3006138659101717,0.3318821040927607,-0.2151233268312589,0.44560021395748156,-0.1443454211508891,0.33100994724138305,0.15737903372749934,0.6374504276247847,-0.175234824752302,0.2780073813033924,0.25161843232699227,-0.17319447020937287,0.4672976869359367,0.5588049657860299
Frontal_Sup_Medial_L,0.29768813719545956,0.28684583142052955,0.6872473418160002,0.3483602194104008,0.15034286762509508,0.0017043795989770275,0.14138587208246456,0.5157456080760692,0.5690646378685253,1.0,0.5336725463996562,0.36305961606157533,0.1398119128878669,0.770490337349595,0.07998387706479337,0.6256201600710405,0.49850753927218566,0.4640285865257288,-0.21533902133362218,0.5011388804263672,0.5773913724159819,0.7691783358732297,0.21418710096504182,0.3341250484924547,0.813245063262124,0.2160083101912979,0.4926308647460978,0.10789534157929916,0.7144465135377096,-0.009659698370078717,0.6018528134037079,0.6181436032553727,0.3872687125622476,0.782361932688384,0.8793576463499664
