,Cerebellum_8_R,Supp_Motor_Area_R,Temporal_Mid_L,OFCpost_L,Cingulate_Mid_R,Cerebellum_Crus1_R,LC_R,OFClat_L,Occipital_Sup_L,OFCmed_R,Vermis_4_5,Rectus_L,Temporal_Inf_L,OFCant_R,ACC_pre_L,Postcentral_L,Cerebellum_6_L,Thal_AV_L,Frontal_Inf_Orb_2_L,OFCmed_L,Paracentral_Lobule_L,Cerebellum_Crus2_L,Thal_LP_R,ACC_sub_R,Heschl_L,Rectus_R,Frontal_Inf_Tri_L,Cuneus_R,Precentral_R,Frontal_Inf_Orb_2_R
Cerebellum_8_R,1.0,0.45029256778165944,0.6593020650272732,0.47287933742918253,0.46679750664680564,0.8570324145729236,0.3257950173722675,0.19800244575903184,0.15964024003901678,-0.405629306128595,0.6355848857336528,-0.20367788754867863,0.5596637329815634,-0.22884965677656968,-0.06279904216816563,0.4356211794294132,0.7190341882742739,0.6142018949036793,0.35640464743845623,-0.48822658123911306,0.00914066566100407,0.3808134322266128,0.2648343493729708,-0.13187538219851175,0.47763461430141774,0.12358339021350084,0.46084231111133167,0.23401542475942383,0.26886441920121035,0.13077043053349185
Supp_Motor_Area_R,0.45029256778165944,1.0,0.7233390116326325,0.5730824960727388,0.9004246138499962,0.4795203694502491,0.08530839805395707,0.5881951769510767,0.11892025301669551,-0.07798314220236485,0.7164170822054814,0.16288584960883967,0.7100624237333558,0.23911019664698827,0.4375082899253782,0.8857022619721721,0.526140513977192,0.489030844371851,0.6536789423724855,-0.178984645177679,0.606506478338025,0.17693788727879312,0.5168009784899344,0.05429415005580362,0.626402768941239,0.5040251484436293,0.8891270565239217,0.5275687523545586,0.8977463649356204,0.45534300006368955
Temporal_Mid_L,0.6593020650272732,0.7233390116326325,1.0,0.6597902258845993,0.6771212993070448,0.6369461383935086,0.39442682887219205,0.5461553677571311,0.11298536176859392,-0.1886516923557616,0.8389511993337242,0.03623798280348925,0.8198105125066982,0.11507341387173818,0.21317765203871974,0.6479202735290701,0.6912793659809436,0.4318109113497827,0.7081982499433728,-0.2826432508939662,0.26187487265651205,0.4340577386135555,0.44335239726945336,0.13015750598918757,0.6221525818229335,0.3724435332877987,0.7654884843636649,0.3345065701760602,0.5885370717620523,0.5326368101102189
OFCpost_L,0.47287933742918253,0.5730824960727388,0.6597902258845993,1.0,0.6399489734645909,0.5398951812244132,0.17590322558636406,0.45724810263046345,-0.08763392070032375,0.12152522377333716,0.5686417416520354,0.30532747920016523,0.5703092316658702,0.43441479995563886,0.4758457757861131,0.4737875093886903,0.4682633506545227,0.26867692252466835,0.6315100787476133,0.01321333864598769,0.1343665073366357,0.3801382687849474,0.36295328685385925,0.3337318366695407,0.45966736288770765,0.5369820250193064,0.6396701673453421,0.1359917255764664,0.42799605697717885,0.49441565625436995
Cingulate_Mid_R,0.46679750664680564,0.9004246138499962,0.6771212993070448,0.6399489734645909,1.0,0.4803531171561367,0.13758422931379702,0.5454483982928546,-0.004593126505651323,-0.05971334588221598,0.5728989408122331,0.24869083924192895,0.7602301315081773,0.2554306650551693,0.5798400345156901,0.82416676725789,0.44675114174496733,0.4059522261512419,0.5493181545819953,-0.09984367843074286,0.4051405154312175,0.18649723679900634,0.48871976608258844,0.01633981629225231,0.7357592070438451,0.5943844876797747,0.8544861529833058,0.3353152088424838,0.8117286863595279,0.33938343236791635
Cerebellum_Crus1_R,0.8570324145729236,0.4795203694502491,0.6369461383935086,0.5398951812244132,0.4803531171561367,1.0,0.4089645769621536,0.23281652890795634,0.1693302523095202,-0.39157471755401446,0.6407408871002309,-0.17115850456530532,0.4431509144631617,-0.21369345491264494,-0.10545445490334537,0.5092301615857754,0.8301110134240969,0.6592502963930011,0.4324952393862667,-0.49894076139841825,0.11422503230723105,0.36543937845895963,0.22252418668490934,-0.12480115488289023,0.40978873238875113,0.20230900533336357,0.47659712096672124,0.26901672403390803,0.32148610903448455,0.19054147511072783
LC_R,0.3257950173722675,0.08530839805395707,0.39442682887219205,0.17590322558636406,0.13758422931379702,0.4089645769621536,1.0,0.18312701820420907,0.07139270046144071,-0.4931860985569703,0.14747488667826464,-0.19399653264218164,0.3526084580047734,-0.215076098396005,-0.15036629346332314,0.1974814215637786,0.4562204188615774,0.10317867551419539,0.2521645374449041,-0.4368491182487452,-0.13563300149539026,0.09960141740194095,-0.18573855717304058,-0.04151425810649748,0.2175036525548893,-0.048869455823743156,0.21097231422987234,-0.10567754672276523,0.0632374932691415,0.1397142954905871
OFClat_L,0.19800244575903184,0.5881951769510767,0.5461553677571311,0.45724810263046345,0.5454483982928546,0.23281652890795634,0.18312701820420907,1.0,0.12956732532135293,0.12610906134594452,0.5238330293787478,0.5246784844235954,0.49404549671924186,0.42741470384774194,0.34073455570963534,0.49013164463823783,0.30822143421682213,0.3365151143309862,0.5709755610982321,0.043577178639067245,0.2869789406522263,0.04978608235411052,0.40967057935448914,0.4503066978233662,0.3572044125359548,0.6287526143115879,0.5597212547037367,0.2527470160002098,0.507149900204879,0.49629479133284854
Occipital_Sup_L,0.15964024003901678,0.11892025301669551,0.11298536176859392,-0.08763392070032375,-0.004593126505651323,0.1693302523095202,0.07139270046144071,0.12956732532135293,1.0,-0.21371550954185492,0.16494396833317515,-0.17486759497231186,0.03828765143912642,-0.1725301159906026,-0.3760443388098364,0.15580481796245593,0.26313339207844855,0.33978343283198603,0.040490827854124285,-0.2272004984183618,0.3537289650123747,-0.04338697738088216,-0.05732006649004671,-0.209322381514404,-0.11551221596074307,-0.11382347285475036,-0.030989422598296925,0.3562794498318107,0.13390830891387587,0.020577263118213323
OFCmed_R,-0.405629306128595,-0.07798314220236485,-0.1886516923557616,0.12152522377333716,-0.05971334588221598,-0.39157471755401446,-0.4931860985569703,0.12610906134594452,-0.21371550954185492,1.0,-0.029407393574697734,0.6836038279624903,-0.05593588516245636,0.7373159693236936,0.37650319169655805,-0.23508535467462482,-0.36069419630303007,-0.3347149961129367,0.0020965099554741237,0.8870513135847007,0.04674732643318086,-0.11090149567720865,0.20454595685787913,0.5599991150146063,-0.17665227696480765,0.3990807916188242,-0.18345370678934403,-0.04849633956705917,-0.10547876740218681,0.18873489180687844
