,Temporal_Pole_Mid_R,Occipital_Sup_R,Frontal_Mid_2_L,Parietal_Inf_R,Cingulate_Post_R,OFCant_L,Temporal_Sup_L,Cerebellum_Crus1_R,Temporal_Inf_L,Frontal_Inf_Oper_R,Vermis_3,Vermis_6,Precentral_L,Putamen_L,Frontal_Inf_Tri_L,Supp_Motor_Area_L,Paracentral_Lobule_L,Thal_VPL_L,Heschl_L,Vermis_7,Cingulate_Mid_L,Frontal_Sup_2_R,Thal_LP_L,LC_L,Paracentral_Lobule_R,Cerebellum_7b_L,Thal_LP_R,Amygdala_R,Lingual_R,Cerebellum_9_R,Occipital_Inf_R,Calcarine_L,Lingual_L,Rolandic_Oper_L,ACC_sup_L,Thal_PuL_R,OFCmed_L,Thal_PuI_L,Cingulate_Mid_R,ACC_sub_L,Temporal_Pole_Sup_L,SN_pc_R,Pallidum_R,Olfactory_L,Rolandic_Oper_R,Vermis_10,Precentral_R,Thal_PuM_R,Heschl_R,ACC_sup_R
Temporal_Pole_Mid_R,1.0,0.04287073163751204,0.3925042063350272,-0.3011421650800679,0.1845628491268194,0.4801268805104147,0.13833817113910818,-0.16020335501487645,0.13330256243399755,0.14057396589338603,0.27367600530994834,-0.440945226142518,0.26211971507254683,0.4688700530396593,0.24168786146179713,0.27074288987872197,-0.018494958139793682,-0.020667914821973794,0.2973291907022559,-0.5884589945112173,0.23769579446825762,0.40176944139900345,0.23536914087811556,-0.10967623822405066,-0.22500423469847564,-0.295649560616905,0.3256334392741995,0.4305898291079719,-0.03379353612214051,0.1966928611945419,-0.16183432548344628,-0.07443416273031646,-0.15088876311029925,0.2618870502574335,0.16707291888839415,0.330953872605647,0.43581438862818844,0.13363088636255868,0.37879612735563767,0.13176926656011337,0.14100613259731795,-0.08385319769777491,0.6675324128675928,-0.05671360809747771,0.3176846422964127,0.38854080001292035,0.1309675691039015,0.30878627146647936,0.3152038216067719,0.13079139613410498
Occipital_Sup_R,0.04287073163751204,1.0,0.047002339819306266,0.34568021039299207,0.2419783904891583,-0.14149304090728376,0.04305687208070818,0.1022022991584373,0.04838785963565671,0.02629473180814322,0.03805012542766779,0.06126211663810815,0.18226980656737388,-0.02113391545117069,0.12879262141431966,0.22723957613052023,0.4373651008627858,0.23754684405062768,-0.03283787477098997,-0.02532322640249847,0.24277872799515668,0.22901422323617257,-0.06944436114919215,-0.00648489935158373,0.2963491826440779,0.23405151463798946,0.1892039591811071,0.10639343976038151,0.1775672121531862,0.04811192889197283,0.030079384202870135,0.24656007426175255,0.0880434717446616,-0.00440876794003303,0.10140352467659426,-0.07115108777536094,0.03734238064377264,0.09156379325013628,0.1805819513838164,0.14231519145882246,-0.013077984712088242,0.18223993979542746,0.046968958327058274,0.25725279670780066,-0.014340729810811538,-0.039147855393584785,0.3025214694039882,0.08558060492599871,-0.12885906881991596,-0.03259740622278511
Frontal_Mid_2_L,0.3925042063350272,0.047002339819306266,1.0,-0.37766852001243983,0.7752246872278064,0.24838720962386357,0.8559083968880182,0.5321189152912945,0.7078225999999244,0.7622224138385735,0.7956087523963267,0.08854418009486636,0.8473273441781418,0.7866080714405121,0.8854874575985288,0.8595128158362354,0.12968354108076838,0.36760397923270255,0.787533443150153,-0.07592953483150139,0.7727977777900853,0.752384926970845,0.5086014795205059,0.044774432291655834,0.06748685187610715,0.05270256975133496,0.5034404261440805,0.5140323310574532,0.7161406817772076,0.610615643393927,0.20992923351070739,0.6082760080289044,0.6202667393571851,0.8387328567777013,0.8373988541944318,0.5586304596461182,-0.09569549863480549,0.04772315297731152,0.8698096700782356,0.313979722869547,0.2686401158265496,0.5991920631178004,0.6559497448103366,0.5210322011040337,0.7988828235804434,0.7052866906934229,0.6167528663483854,0.6567863665378144,0.6601913818746742,0.7769607445345043
Parietal_Inf_R,-0.3011421650800679,0.34568021039299207,-0.37766852001243983,1.0,0.030084607156526052,-0.31618704773502126,-0.19991034583448458,-0.17825681279344943,-0.19201985148631392,-0.040151795534286217,-0.2273361298502797,0.20591065367538927,-0.035081064661357686,-0.28608968499254833,-0.1375096907935875,-0.012443564518544453,0.737359068435617,0.23886268220085768,-0.3800485963190632,0.17133366138212036,0.06034265172253182,0.0909376322035811,-0.42508813495462294,-0.06126266046538344,0.7347590480974765,0.2132889995362054,-0.0696958867893175,-0.2744072875084365,0.07058815024933135,-0.43722461631446496,-0.21608454576667485,0.15414011006522713,-0.11184739982579696,-0.2172679783310918,-0.2442333532724193,-0.45520195462947033,-0.005957011727976935,0.21520596534492437,-0.10706837326755654,-0.19116285108821188,0.03320965126198475,-0.049635388512662984,-0.25716773962509304,0.08056430357068738,-0.21951952653288279,-0.3891161656704708,0.2877602022976086,0.01721262731220853,-0.4106082486236582,-0.37738039251069344
Cingulate_Post_R,0.1845628491268194,0.2419783904891583,0.7752246872278064,0.030084607156526052,1.0,0.0840985008468574,0.7716952586566082,0.5170200829359863,0.759154202532969,0.7563728619925804,0.8029698656216518,0.25586561370460204,0.778826249518253,0.6481131964673962,0.8159321177448143,0.8881184967510994,0.49253098344468377,0.5690280807008347,0.6147221259646515,0.027555301165869343,0.8542199191673946,0.7727069023009492,0.39702419295185687,0.07806485544719799,0.3843467374215962,0.3271275082608668,0.5615249292875364,0.4965707837860195,0.8278130604125106,0.5491617051160705,0.15199756271757225,0.7796484972234501,0.726049417150773,0.7380193447367144,0.7329762314739899,0.342668980023072,-0.09438484387540721,0.1796721811647642,0.8382939335825402,0.36836421867804403,0.43448150889640147,0.6244623010406626,0.5268035076069237,0.6634356728473216,0.6619745424205767,0.5883037097032635,0.7669156201996338,0.7276235843142514,0.4801804711908068,0.5698377709769096
OFCant_L,0.4801268805104147,-0.14149304090728376,0.24838720962386357,-0.31618704773502126,0.0840985008468574,1.0,-0.0013658668050428669,-0.265055403038031,0.19751595982661074,0.0019844433154412944,0.21769242293315458,-0.39385942657110995,-0.029053791799776466,0.38446272533655484,0.04203918843222291,0.0795023423980256,-0.17617791404964148,-0.23902064777848483,0.20133874482912517,-0.23118105424130816,0.06129125777483324,0.1662427811391107,0.3236033117229907,-0.06293550451235647,-0.27760458155193335,-0.4051663719599168,0.12219225066264967,0.5701033497857887,-0.15522937611329932,0.04893788045560774,-0.3656794651582498,-0.1819299109895534,-0.22631810150914092,0.18669536688404906,-0.0712380705590854,0.2647952745163715,0.7529685986485508,0.1447348516340104,0.14634314384874658,0.06724849998829444,0.28712043481850746,-0.17846444671036465,0.4104242731576823,-0.09624652047129093,0.17900105760282345,0.10433303461230303,-0.06360892286508353,0.2046666413817834,0.17423600172829365,-0.021007789882256777
Temporal_Sup_L,0.13833817113910818,0.04305687208070818,0.8559083968880182,-0.19991034583448458,0.7716952586566082,-0.0013658668050428669,1.0,0.6011154815820164,0.7520926046771179,0.8328941965553648,0.7702589005491738,0.3900840262648382,0.7550842536165657,0.6196704406180672,0.8920551331546146,0.8215990415874759,0.22723805202508024,0.5395327297651465,0.790490530033325,0.2317370231437398,0.7610372293309287,0.6772882589032476,0.39129154513144815,0.07902935895789943,0.27021845541467554,0.244536108820836,0.4410532744992091,0.28263127028637414,0.861113934534756,0.5703837387348065,0.2957667366250933,0.7977235824727867,0.8079163308932681,0.8457765484462668,0.7969398093199701,0.4310741468258939,-0.32696755508998293,0.020650017681472864,0.7731602846134971,0.15007909141928075,0.37961808531753033,0.5855508353994138,0.4583237245313699,0.5479036478372757,0.7953785853227371,0.5768085095475814,0.6142192547113597,0.6013406648921854,0.7079794298955976,0.8016184793358007
Cerebellum_Crus1_R,-0.16020335501487645,0.1022022991584373,0.5321189152912945,-0.17825681279344943,0.5170200829359863,-0.265055403038031,0.6011154815820164,1.0,0.4431509144631617,0.3410045298395797,0.29981851674932947,0.6482414213633185,0.5144201461633443,0.21644179243615505,0.47659712096672124,0.4630778492503659,0.11422503230723105,0.4892475270449119,0.40978873238875113,0.31467042319262856,0.4419721600125746,0.22552157283038773,0.05181193184968535,0.19422757528725565,0.11467793591535125,0.4393045830417241,0.22252418668490934,0.12328760546293131,0.6793324550540473,0.6731078968272253,0.6477585452614442,0.6789301743847622,0.7804603557459482,0.34348498581726444,0.5366991654268524,0.3552101579856232,-0.49894076139841825,-0.1631907558187955,0.4803531171561367,0.26268078892853447,-0.020778168457280737,0.6157079066642225,0.003635506203295688,0.4343698848850937,0.22365726108304004,0.36884555459421164,0.32148610903448455,0.21739388503352966,0.2797848746043243,0.4728633453560293
Temporal_Inf_L,0.13330256243399755,0.04838785963565671,0.7078225999999244,-0.19201985148631392,0.759154202532969,0.19751595982661074,0.7520926046771179,0.4431509144631617,1.0,0.7000276500388611,0.7221555003462118,0.26435506859670155,0.5911613576951824,0.6327930100366823,0.7098424115429673,0.7356824880773242,0.19800959761408202,0.4655778131543786,0.7451803126761206,0.04998598964096804,0.7444737129254282,0.5914324807076008,0.467153498779152,0.24168901767098727,0.17712616401368614,0.3342710911997054,0.47149204398255395,0.4459912256852733,0.738822415223301,0.6713821398959847,0.1690688045925616,0.7204932873466152,0.7041450037459864,0.7371286705628491,0.595974500413245,0.43515942422049664,-0.04345942601235862,-0.08925540131299735,0.7602301315081773,0.2511004587289309,0.6161470567160068,0.4203359166031145,0.518257664754751,0.4198188489972305,0.6783758342228807,0.6069260691306033,0.6420094091591964,0.49037566070945554,0.5550107471046647,0.6280526289641043
Frontal_Inf_Oper_R,0.14057396589338603,0.02629473180814322,0.7622224138385735,-0.040151795534286217,0.7563728619925804,0.0019844433154412944,0.8328941965553648,0.3410045298395797,0.7000276500388611,1.0,0.7836445748496552,0.2104104816530104,0.7606237769727986,0.676855218549194,0.9057485774285193,0.8106202486006683,0.3424317643918477,0.41360464546674064,0.7272211827480705,0.10419009984700046,0.8065868615655444,0.7823140709639502,0.4672976869359367,0.03440601606519322,0.35744413684686555,0.19583315936997034,0.4813424359252009,0.2320105993381292,0.7610520446765312,0.31356181818111245,0.05680285244369964,0.6718057822120831,0.6522011351341842,0.8989075892542211,0.7707323956623853,0.28527495052375074,-0.218888863991307,0.17226075757977893,0.7480561582665451,0.0950982385214329,0.4612900097293376,0.5513322892010301,0.5752871434753924,0.46187485700156017,0.901398685112516,0.49210286577128165,0.7745121280336353,0.6699836903082143,0.6915878629092244,0.7251758195022056
