,Putamen_L,Thal_VA_R,Amygdala_L,ACC_sub_R,Frontal_Inf_Oper_R,Frontal_Mid_2_R,Thal_VL_L,Temporal_Mid_L,Olfactory_R,Temporal_Sup_L,Cerebellum_Crus2_L,Cerebellum_6_R,Precuneus_L,Fusiform_R,Calcarine_L,Frontal_Med_Orb_R,Cerebellum_Crus1_R,Cerebellum_4_5_L,Thal_PuI_R,Precuneus_R,OFCmed_L,Cingulate_Mid_L,Thal_AV_L,Thal_MDm_R,Thal_LP_R,Parietal_Inf_L,SN_pr_R,Thal_LGN_L,Putamen_R,Hippocampus_R
Putamen_L,1.0,0.4253141155472864,0.34708361349471634,0.4152773451777095,0.5986555023493062,0.6473971594887128,0.6995401133328395,0.10214928784409039,0.25960378705745213,0.5899844070958665,0.03459357525085286,0.11711550351305779,0.461584411340266,0.38423695229497595,0.20406070666327172,0.21695661821057605,-0.04367108249377039,0.5765695950878253,0.7779723877115269,0.24316028041859736,0.4269134302085921,0.4383835616379994,0.02946998549541092,0.46447852707224624,0.31215767949831813,0.227058587053404,0.48095214826254046,0.33883303737681225,0.686072428003684,0.6951360742402306
Thal_VA_R,0.4253141155472864,1.0,0.4063455967762596,0.28092655809860356,0.6399134210094453,0.4481783697889218,0.41106271808794526,-0.010405125139003452,0.09797288533943767,0.25876325023578267,0.11272769077555965,0.4946347545111407,0.4011823837420884,0.5307532829589926,0.3635399763110414,-0.11006593012132511,0.3124758794425916,0.3954052859635648,0.463966515499363,0.3258892333459057,0.04729466535334393,0.33290694876778987,-0.04344773401573433,0.16484434277041915,0.376208017007927,0.33894518417745817,0.35794295301089357,0.15960261650062296,0.5075523672619915,0.36902322411376
Amygdala_L,0.34708361349471634,0.4063455967762596,1.0,-0.08341764484556956,0.5581647369626926,0.23173398994630878,0.2977424574565538,0.04402756125520344,-0.2877889056917057,0.09751981958549516,-0.16434206470155752,0.48028371052227653,0.5424195857646177,0.49151713166655286,0.5385675478063823,-0.013249900588761977,0.35378723325824085,0.48440115980487447,0.3940778194323496,0.5359507484004967,-0.27627354152507794,0.42272139358640315,0.34979895805435196,0.31172002562672657,0.40234727384438435,0.5118548885091363,0.5729615150993372,0.1267490410531491,0.3485965659422971,0.23180654446478333
ACC_sub_R,0.4152773451777095,0.28092655809860356,-0.08341764484556956,1.0,0.09762859497658466,0.30320405575329856,0.10262787916334201,0.08810127063107556,0.28519496005794964,0.35437620594431607,0.21459991020419372,-0.1734203938082518,-0.0810371180162168,0.05949019183319378,-0.24896802837433962,0.16195280267202433,-0.23558278861351692,0.148886109497205,0.4798262860298902,-0.21208197188731917,0.40383528601869007,-0.12234125910937522,-0.361287410499249,-0.2635057795341459,-0.12338837415650661,-0.1805100108407962,0.12695596951353644,0.06622495094153623,0.24870463798038628,0.41544213315852896
Frontal_Inf_Oper_R,0.5986555023493062,0.6399134210094453,0.5581647369626926,0.09762859497658466,1.0,0.5776293438028104,0.5170408527502246,0.09008210091476507,0.11828257557593992,0.477094915417476,0.05069683513507183,0.3979885081834829,0.5770141271593378,0.5703925074898862,0.5205781240138626,0.10900491607755822,0.33587676597548777,0.5763001236739255,0.4698847595778925,0.4926901411239297,0.08059068628502074,0.5040266750724391,0.08166358472841771,0.4596515365797592,0.47051530698390026,0.45915353737644216,0.562319868944672,0.3081853690369361,0.6556209247398314,0.4901066098629675
Frontal_Mid_2_R,0.6473971594887128,0.4481783697889218,0.23173398994630878,0.30320405575329856,0.5776293438028104,1.0,0.5968896656456473,0.21768881908151252,0.5122523530156049,0.74481148482583,0.06572479289484352,0.243168669025648,0.6147351703596485,0.585146654332435,0.27660782002342416,0.15345708003469788,0.015525574405164885,0.7283015525714664,0.5585093695601477,0.4225936704798126,0.4221523564474933,0.5733027297443023,-0.14338493435596444,0.4889117996883509,0.15269765819403242,0.4367097937842706,0.5181722254816121,0.4273983065366582,0.7020088964501505,0.754726977478705
Thal_VL_L,0.6995401133328395,0.41106271808794526,0.2977424574565538,0.10262787916334201,0.5170408527502246,0.5968896656456473,1.0,0.2553650830816864,0.335763091616562,0.5388911382175143,0.07284094595016405,0.32695500914661146,0.551078502670766,0.45773581611507697,0.4063442680518577,0.14871960722442065,0.0773721309241196,0.5932054568807712,0.49706742580105295,0.4261443737025879,0.21654618379475482,0.4725979208510433,0.07683895499517146,0.7065591640132695,0.39696463149817224,0.31869576535248934,0.42539839252416967,0.3064519858750811,0.6088530730721621,0.5291088297970827
Temporal_Mid_L,0.10214928784409039,-0.010405125139003452,0.04402756125520344,0.08810127063107556,0.09008210091476507,0.21768881908151252,0.2553650830816864,1.0,-0.11817567858857012,0.6243364453843354,0.5331645533397216,0.21288521386432677,0.32672975355787853,0.07241129717854633,0.4561536817094901,0.1058906121738677,-0.14246498952647021,0.5742028045461004,0.09042262016644981,0.40480701484422843,-0.010283309609738462,0.15851756234959946,0.30719275841685,0.20433079929555778,0.14625880802871843,0.1769153508715347,-0.07076439197427647,0.41972109447140726,-0.1753091335977856,-0.13261212317480559
Olfactory_R,0.25960378705745213,0.09797288533943767,-0.2877889056917057,0.28519496005794964,0.11828257557593992,0.5122523530156049,0.335763091616562,-0.11817567858857012,1.0,0.3285392371753856,0.08631768568597097,-0.09986209302965503,0.03570543036152767,0.2741117086917952,-0.18575983878165198,0.10747414293111048,-0.10094664642584891,0.14514080328504117,0.14244379533802384,-0.12021325015352975,0.6801406044318565,0.006226968867695374,-0.5809267891057974,0.306264266061773,-0.21506306131044553,-0.1369847590546172,0.2239055788189627,-0.01970870722906737,0.46216924378466573,0.5283530175667113
Temporal_Sup_L,0.5899844070958665,0.25876325023578267,0.09751981958549516,0.35437620594431607,0.477094915417476,0.74481148482583,0.5388911382175143,0.6243364453843354,0.3285392371753856,1.0,0.35427546948179284,0.08753795027373147,0.4984902426601782,0.32499399326627115,0.2806181602993487,0.20608141778945857,-0.11504747924640273,0.7439440767275401,0.45982263600243406,0.3293898364477054,0.3445959768755026,0.4391789989636321,-0.00045912553608575197,0.431487180996822,0.15049176763536237,0.23361515914912806,0.32671140405321064,0.5060100374032883,0.42861812722417714,0.48902587354709387
Cerebellum_Crus2_L,0.03459357525085286,0.11272769077555965,-0.16434206470155752,0.21459991020419372,0.05069683513507183,0.06572479289484352,0.07284094595016405,0.5331645533397216,0.08631768568597097,0.35427546948179284,1.0,0.11150223586108195,-0.1140780167719299,-0.06139757101704801,0.13109467994372012,0.07905335829797976,0.10377502051030331,0.1849167877039366,0.00013095762189318106,-0.1073542345463411,0.30323860458054247,-0.19673204789182877,-0.03187708235884296,-0.08172906072704406,0.02632365649513517,-0.22031149376347167,-0.22164570840891165,0.2265150114735084,-0.1506636970917267,-0.21451835634609653
Cerebellum_6_R,0.11711550351305779,0.4946347545111407,0.48028371052227653,-0.1734203938082518,0.3979885081834829,0.243168669025648,0.32695500914661146,0.21288521386432677,-0.09986209302965503,0.08753795027373147,0.11150223586108195,1.0,0.5380428454118655,0.7381195841459186,0.6906702514801943,-0.22811030420572212,0.48048242680071657,0.46578945548953776,0.27579422106692286,0.5961262446300954,-0.12770887491931604,0.30945975897059785,0.32242768873782196,0.27205570279823693,0.26975307257919795,0.5207614041612593,0.16894176105758452,0.10005092297121776,0.19723976105071525,0.06984379994969667
Precuneus_L,0.461584411340266,0.4011823837420884,0.5424195857646177,-0.0810371180162168,0.5770141271593378,0.6147351703596485,0.551078502670766,0.32672975355787853,0.03570543036152767,0.4984902426601782,-0.1140780167719299,0.5380428454118655,1.0,0.660303258479222,0.7213668389405846,-0.06735914351975927,0.1939183589818231,0.80490351552383,0.47898067183947424,0.8853037397983865,-0.03608128990215886,0.8306301429366529,0.3650913590941371,0.5971162982222198,0.5047162420345517,0.8107525159077055,0.5186665651626953,0.3687269726937006,0.49667447147574323,0.43961492633859545
Fusiform_R,0.38423695229497595,0.5307532829589926,0.49151713166655286,0.05949019183319378,0.5703925074898862,0.585146654332435,0.45773581611507697,0.07241129717854633,0.2741117086917952,0.32499399326627115,-0.06139757101704801,0.7381195841459186,0.660303258479222,1.0,0.5575398313429736,-0.17234866370450178,0.26718095919616414,0.6510466097643051,0.5355756448146303,0.5704721774850209,0.11828279628846715,0.4600647393469177,0.041768089740282684,0.48346104831842285,0.18561933900625913,0.48526380254896495,0.49278279848201295,0.1432094001777977,0.6022330088203515,0.6125066797806002
Calcarine_L,0.20406070666327172,0.3635399763110414,0.5385675478063823,-0.24896802837433962,0.5205781240138626,0.27660782002342416,0.4063442680518577,0.4561536817094901,-0.18575983878165198,0.2806181602993487,0.13109467994372012,0.6906702514801943,0.7213668389405846,0.5575398313429736,1.0,-0.1391181840090379,0.34551005463627216,0.5688220381577579,0.2784339932540102,0.8527745066729452,-0.17598287661206957,0.5654313781914881,0.4962028414280077,0.4825263745783117,0.5573692754733,0.7032410504028224,0.2541158462235485,0.4040639397980017,0.24334695413888438,0.059455973324307805
Frontal_Med_Orb_R,0.21695661821057605,-0.11006593012132511,-0.013249900588761977,0.16195280267202433,0.10900491607755822,0.15345708003469788,0.14871960722442065,0.1058906121738677,0.10747414293111048,0.20608141778945857,0.07905335829797976,-0.22811030420572212,-0.06735914351975927,-0.17234866370450178,-0.1391181840090379,1.0,-0.19809856006744908,0.10535741800650018,0.12765120110398778,-0.13739315099312743,0.2126543804370749,-0.016998811200328142,-0.13710421778191656,-0.018567217620516503,0.09615282434353557,-0.22385196597843235,0.05615031294304803,0.09851609916043454,0.05752258204622239,0.11901413802156997
Cerebellum_Crus1_R,-0.04367108249377039,0.3124758794425916,0.35378723325824085,-0.23558278861351692,0.33587676597548777,0.015525574405164885,0.0773721309241196,-0.14246498952647021,-0.10094664642584891,-0.11504747924640273,0.10377502051030331,0.48048242680071657,0.1939183589818231,0.26718095919616414,0.34551005463627216,-0.19809856006744908,1.0,0.041448381606393844,-0.050835252111246516,0.27681979918271343,-0.10724554352087107,0.11404070649225768,0.22310620990019261,0.1353725781191937,0.12370313767923802,0.24316606173521485,0.05553233965536272,0.04867761028911214,0.06808701817441427,-0.1173818443261038
Cerebellum_4_5_L,0.5765695950878253,0.3954052859635648,0.48440115980487447,0.148886109497205,0.5763001236739255,0.7283015525714664,0.5932054568807712,0.5742028045461004,0.14514080328504117,0.7439440767275401,0.1849167877039366,0.46578945548953776,0.80490351552383,0.6510466097643051,0.5688220381577579,0.10535741800650018,0.041448381606393844,1.0,0.548217831247776,0.6255361077473908,0.12087250511803953,0.6501802849291662,0.18279450497721983,0.554057853861559,0.31062584353820205,0.5129752349314339,0.549030805803872,0.4764209805437577,0.4663677028831343,0.5153358282829315
Thal_PuI_R,0.7779723877115269,0.463966515499363,0.3940778194323496,0.4798262860298902,0.4698847595778925,0.5585093695601477,0.49706742580105295,0.09042262016644981,0.14244379533802384,0.45982263600243406,0.00013095762189318106,0.27579422106692286,0.47898067183947424,0.5355756448146303,0.2784339932540102,0.12765120110398778,-0.050835252111246516,0.548217831247776,1.0,0.33173818189661425,0.33326604921953096,0.4082474288074729,0.04752644595770129,0.2976514221921711,0.23448183104968143,0.2664434784013102,0.4551391341753663,0.2774969981924167,0.5751925666420844,0.7085220666796739
Precuneus_R,0.24316028041859736,0.3258892333459057,0.5359507484004967,-0.21208197188731917,0.4926901411239297,0.4225936704798126,0.4261443737025879,0.40480701484422843,-0.12021325015352975,0.3293898364477054,-0.1073542345463411,0.5961262446300954,0.8853037397983865,0.5704721774850209,0.8527745066729452,-0.13739315099312743,0.27681979918271343,0.6255361077473908,0.33173818189661425,1.0,-0.1787262736538474,0.7149177827361491,0.48483429622585805,0.4939187315084299,0.5272127454842916,0.8508114237194854,0.33519087797838426,0.3218948383755047,0.3037952205298742,0.21052425363522684
OFCmed_L,0.4269134302085921,0.04729466535334393,-0.27627354152507794,0.40383528601869007,0.08059068628502074,0.4221523564474933,0.21654618379475482,-0.010283309609738462,0.6801406044318565,0.3445959768755026,0.30323860458054247,-0.12770887491931604,-0.03608128990215886,0.11828279628846715,-0.17598287661206957,0.2126543804370749,-0.10724554352087107,0.12087250511803953,0.33326604921953096,-0.1787262736538474,1.0,-0.06791008954224291,-0.38850709178280474,0.10426891043422536,-0.09924690829128915,-0.19951692070817023,0.027599065510061548,0.04503797248266513,0.3473322588180347,0.41791883537687224
Cingulate_Mid_L,0.4383835616379994,0.33290694876778987,0.42272139358640315,-0.12234125910937522,0.5040266750724391,0.5733027297443023,0.4725979208510433,0.15851756234959946,0.006226968867695374,0.4391789989636321,-0.19673204789182877,0.30945975897059785,0.8306301429366529,0.4600647393469177,0.5654313781914881,-0.016998811200328142,0.11404070649225768,0.6501802849291662,0.4082474288074729,0.7149177827361491,-0.06791008954224291,1.0,0.28203408261905377,0.4789358864237472,0.44064163935845335,0.7275422847762394,0.4727433682967588,0.42575606746673705,0.4982615290973105,0.40566819782661084
