,Cerebellum_Crus1_R,Raphe_D,Red_N_R,ACC_sup_L,Postcentral_R,ACC_pre_R,Thal_VL_L,Heschl_L,Cingulate_Mid_R,Temporal_Pole_Sup_L,Cerebellum_7b_R,Angular_L,Thal_MGN_R,Cerebellum_Crus2_R,Occipital_Inf_R,Supp_Motor_Area_L,ACC_sub_L,Temporal_Pole_Mid_L,Frontal_Inf_Oper_R,Thal_MDm_L,Thal_MDl_L,Vermis_6,ACC_sub_R,Temporal_Pole_Mid_R,Calcarine_L
Cerebellum_7b_R,0.48102800244313876,0.2399157792275415,-0.2108904476609189,-0.22485860546133643,0.14973300921521548,-0.4417844484894293,-0.13542761029358324,0.05105185109165768,0.086783498494716,-0.3862432516200368,1.0,0.5102078675776968,0.2695617907506956,0.01972964745541279,0.34536912323763413,0.04620717993260676,-0.35516643244053137,-0.11123045981299526,0.031161984055131736,-0.19478242469481785,0.3512641668375532,0.5050669428641005,-0.2758741837405,0.1848188984130115,0.4568030910064081
Angular_L,0.20536071759310628,0.4296438995662037,-0.012836491702231428,-0.22425590168454884,0.3832320546756763,-0.4891499593512072,0.12070788939952826,0.23349488961247988,0.4108932111852265,-0.4844783597393871,0.5102078675776968,1.0,0.53836369983366,-0.19732205295314917,0.45130334953052303,0.3465703890294152,-0.3739098325916205,-0.03067394292421525,0.19581835807688078,-0.06911553195653736,0.29941720540319283,0.5982097305839162,-0.24859395342786814,0.2932221442864705,0.7481905743572602
Thal_MGN_R,0.21384437081762658,0.2892701165615571,-0.016393545629541057,-0.3063270703853638,0.7521132305154263,-0.5055537922116659,0.2550556293504385,0.32923264409830855,0.3793035778583899,-0.2634705821015172,0.2695617907506956,0.53836369983366,1.0,-0.11485155357539836,0.25900784260617693,0.3681324752497391,-0.3568817173046851,0.19340564356158513,0.21539524037925714,0.3017518931377521,0.32622136427226944,0.36521150076585096,-0.33544024014093166,0.3337539607684087,0.7070800330042618
Cerebellum_Crus2_R,0.29329136236292386,0.10727677410850005,0.26282480321049156,0.07704330475127015,-0.06452647822825466,0.2564727165204445,0.15218491610918486,-0.047877670251520114,-0.07059829846167519,0.09217443803815342,0.01972964745541279,-0.19732205295314917,-0.11485155357539836,1.0,-0.17573426247536855,0.11288005706323127,0.046697834423020515,0.06456595531999935,0.18271546638292854,0.1351934267955015,0.06664149809996839,0.08515882525903955,0.03270523735039772,0.01881231190832583,-0.016435070880384286
Occipital_Inf_R,0.3548080882018075,0.3155550735703709,-0.2633982063844373,-0.22134550543380424,0.16069044802183463,-0.3494132231505861,0.04752149204161674,0.07340890740487219,0.19993787225686036,-0.5081259226020366,0.34536912323763413,0.45130334953052303,0.25900784260617693,-0.17573426247536855,1.0,0.01876878944804906,-0.2612815126803536,-0.10021515229199708,0.06351043660654954,-0.3154330749693325,0.2574707633103748,0.34722649065791605,-0.29051512500491344,0.2736523693664318,0.45562406915939
Supp_Motor_Area_L,0.05259535780347758,0.41546286639950986,0.566873906666415,0.17569530090212693,0.4416116197534475,0.01764633711008644,0.40595714903218794,0.3220929754676269,0.3747155970412367,0.08218465101804227,0.04620717993260676,0.3465703890294152,0.3681324752497391,0.11288005706323127,0.01876878944804906,1.0,-0.18747220800871894,0.030267343592125583,0.565550023156504,0.3992425927307505,0.20769245486658292,0.34404400785590156,-0.01897810392155744,-0.01914438856839079,0.5525334321364105
ACC_sub_L,-0.17076555171630192,-0.14859331528375572,0.14572108376749474,0.22920916494464022,-0.24347879346143442,0.39447547644888536,-0.19298350839992517,-0.2391612380555409,-0.17970758013014812,0.3043619885048912,-0.35516643244053137,-0.3739098325916205,-0.3568817173046851,0.046697834423020515,-0.2612815126803536,-0.18747220800871894,1.0,0.11599412734764543,-0.18909829752536145,-0.09312849322456297,-0.5055374288044705,-0.41896443191835103,0.17714018726601535,0.13571294916968166,-0.5207970044447909
Temporal_Pole_Mid_L,0.12316105967549498,0.06669822577095548,0.09289665281494813,-0.13471618274188757,0.2237816906698435,-0.025183540704367836,0.11047913358542548,0.23476951277184516,-0.03546263775445475,-0.00944628117604517,-0.11123045981299526,-0.03067394292421525,0.19340564356158513,0.06456595531999935,-0.10021515229199708,0.030267343592125583,0.11599412734764543,1.0,0.1921793948293158,0.2038983681718512,0.059164483401528,-0.09879499237355484,-0.09346378443740531,0.37643611936288063,0.09327131855964599
Frontal_Inf_Oper_R,0.33587676597548777,0.30685381576770066,0.4582383314873126,0.16755117512029397,0.45893719699783986,0.2636634878851538,0.5170408527502246,0.4720867741789959,0.3041546573812989,-0.011457726386895862,0.031161984055131736,0.19581835807688078,0.21539524037925714,0.18271546638292854,0.06351043660654954,0.565550023156504,-0.18909829752536145,0.1921793948293158,1.0,0.5071915713672646,0.437559483192229,0.22280836047431613,0.09762859497658466,0.09229160318878527,0.5205781240138626
Thal_MDm_L,-0.0993725512347526,0.09441696338879596,0.41126308667124334,0.24117117316865944,0.4009709952667523,0.20513049333578895,0.5490564155590466,0.37788202894568507,0.21487188131255006,0.3434829820775762,-0.19478242469481785,-0.06911553195653736,0.3017518931377521,0.1351934267955015,-0.3154330749693325,0.3992425927307505,-0.09312849322456297,0.2038983681718512,0.5071915713672646,1.0,0.4037780472346101,-0.008269937692491599,0.07771568022182004,-0.05183612332833134,0.2516881247968276
Thal_MDl_L,0.437711919719195,0.17143734988509968,-0.0976437946527691,-0.01754660838942126,0.3523870141610586,-0.25794322262347125,0.3236969821489242,0.30472563532307045,0.2345695593302544,-0.4261991983442656,0.3512641668375532,0.29941720540319283,0.32622136427226944,0.06664149809996839,0.2574707633103748,0.20769245486658292,-0.5055374288044705,0.059164483401528,0.437559483192229,0.4037780472346101,1.0,0.190958199239572,-0.3845165604417538,0.014028558071295029,0.5520361956160609
Vermis_6,0.15082815218954063,0.564615434315076,0.12153345463602833,-0.05321426280743643,0.17980625522895097,-0.3578820355561568,0.2073073166664935,0.11170924936555517,0.061969297398393595,-0.15084779585196073,0.5050669428641005,0.5982097305839162,0.36521150076585096,0.08515882525903955,0.34722649065791605,0.34404400785590156,-0.41896443191835103,-0.09879499237355484,0.22280836047431613,-0.008269937692491599,0.190958199239572,1.0,-0.07228532696057824,0.1384082811364447,0.6850663402171939
ACC_sub_R,-0.23558278861351692,-0.22523558520660947,0.29784388449535937,0.3473226371195666,-0.23577131527733672,0.5433674249513377,0.10262787916334201,-0.14025539419660515,-0.20819114047477577,0.46309131147348787,-0.2758741837405,-0.24859395342786814,-0.33544024014093166,0.03270523735039772,-0.29051512500491344,-0.01897810392155744,0.17714018726601535,-0.09346378443740531,0.09762859497658466,0.07771568022182004,-0.3845165604417538,-0.07228532696057824,1.0,-0.23760120317359362,-0.24896802837433962
Temporal_Pole_Mid_R,0.39901799727143794,0.21321665439933804,-0.08756448550594678,-0.23683186589688116,0.32368391226988946,-0.3637060921816559,0.035841616673467636,0.17298906752723667,0.2207340987928876,-0.35600351411768205,0.1848188984130115,0.2932221442864705,0.3337539607684087,0.01881231190832583,0.2736523693664318,-0.01914438856839079,0.13571294916968166,0.37643611936288063,0.09229160318878527,-0.05183612332833134,0.014028558071295029,0.1384082811364447,-0.23760120317359362,1.0,0.2379244987272862
Calcarine_L,0.34551005463627216,0.510829192746879,0.14541426324025825,-0.09625644594859491,0.6291175702287889,-0.3739184385007761,0.4063442680518577,0.41918692419997355,0.43605930821058786,-0.4136002774991286,0.4568030910064081,0.7481905743572602,0.7070800330042618,-0.016435070880384286,0.45562406915939,0.5525334321364105,-0.5207970044447909,0.09327131855964599,0.5205781240138626,0.2516881247968276,0.5520361956160609,0.6850663402171939,-0.24896802837433962,0.2379244987272862,1.0
