,Occipital_Sup_L,Thal_PuL_R,Thal_VA_R,SN_pr_R,Temporal_Inf_R,Parietal_Inf_R,OFCmed_L,Heschl_R,Cerebellum_9_L,Thal_AV_L
Occipital_Sup_L,1.0,-0.32130847411476404,0.1624305661240168,-0.018503591501654894,0.21375855312079695,0.7270466233742625,-0.33569748480875317,0.26455879368627166,0.6716095094617927,0.6263597966201374
Thal_PuL_R,-0.32130847411476404,1.0,0.25530716883455723,0.2077898985286859,0.058906450226176965,-0.41663484615745316,0.20749965021692074,0.12480648339600493,-0.11348886452196627,-0.3170517826639147
Thal_VA_R,0.1624305661240168,0.25530716883455723,1.0,0.35794295301089357,0.3413627490283508,0.18523279265914347,0.04729466535334393,0.24803826057455428,0.26170628968957654,-0.04344773401573433
SN_pr_R,-0.018503591501654894,0.2077898985286859,0.35794295301089357,1.0,0.14763184878715432,0.05607781349237233,0.027599065510061548,0.3212763478346615,-0.0302007711761721,-0.1016151366878197
Temporal_Inf_R,0.21375855312079695,0.058906450226176965,0.3413627490283508,0.14763184878715432,1.0,-0.030497540336600393,-0.06647853662957633,-0.1899214692598696,0.4749781893370617,-0.020608806963395426
Parietal_Inf_R,0.7270466233742625,-0.41663484615745316,0.18523279265914347,0.05607781349237233,-0.030497540336600393,1.0,-0.35324506252384535,0.2157247288176815,0.40524710038897105,0.5778113444074625
OFCmed_L,-0.33569748480875317,0.20749965021692074,0.04729466535334393,0.027599065510061548,-0.06647853662957633,-0.35324506252384535,1.0,0.235429648764422,-0.32535048835431807,-0.38850709178280474
Heschl_R,0.26455879368627166,0.12480648339600493,0.24803826057455428,0.3212763478346615,-0.1899214692598696,0.2157247288176815,0.235429648764422,1.0,-0.11576224679832633,0.1572482935810149
Cerebellum_9_L,0.6716095094617927,-0.11348886452196627,0.26170628968957654,-0.0302007711761721,0.4749781893370617,0.40524710038897105,-0.32535048835431807,-0.11576224679832633,1.0,0.35614888624262375
Thal_AV_L,0.6263597966201374,-0.3170517826639147,-0.04344773401573433,-0.1016151366878197,-0.020608806963395426,0.5778113444074625,-0.38850709178280474,0.1572482935810149,0.35614888624262375,1.0
