,Temporal_Pole_Sup_L,Pallidum_L,OFCmed_L,Rolandic_Oper_R,Frontal_Mid_2_L,Frontal_Sup_Medial_L,Frontal_Med_Orb_R,Cerebellum_3_L,Cingulate_Post_R,Postcentral_R,VTA_L,ACC_pre_L,Parietal_Inf_R,ACC_sup_R,Cerebellum_7b_L,Cerebellum_9_R,Temporal_Mid_R,Cerebellum_6_R,Cerebellum_9_L,Frontal_Inf_Tri_L,Temporal_Inf_R,Putamen_R,Thal_PuL_L,LC_R,Vermis_6,Thal_VPL_L,Cerebellum_6_L,OFCant_R,Thal_PuM_R,Frontal_Inf_Orb_2_R,Thal_MDl_L,Thal_PuI_L,Red_N_L,Raphe_M,Vermis_9,Heschl_R,Calcarine_R,ParaHippocampal_R,Thal_PuA_L,ACC_sub_L,Cerebellum_Crus1_L,Paracentral_Lobule_L,Thal_MDl_R,LC_L,Cingulate_Post_L,OFCpost_L,Putamen_L,VTA_R,ACC_pre_R,Cuneus_R
Temporal_Pole_Sup_L,1.0,0.34249798460632946,0.48518926543163565,-0.18282558831124646,0.2485183144823383,0.4925322795119254,0.373795100136328,0.5102339873654647,0.17941009880675104,-0.20017917303247873,-0.44575593687488874,0.36265978596310927,-0.5096022669141836,0.16623443230576052,-0.34580247027113353,-0.09628529691476329,-0.6719723849759347,-0.5205089654896952,-0.4718983922019994,-0.12039654139136848,-0.5273265616038514,0.11849635669361039,-0.0003121862296905721,0.7221476577541864,-0.15084779585196073,0.07360448501318162,-0.2535779220790683,0.5206568199688562,0.2523787648953761,-0.1208346537250123,-0.4261991983442656,0.13344568254297426,0.4342364211032932,0.41015777263825576,-0.20439779659314114,0.23386348485126698,-0.47936720667016136,0.3181686641593001,0.23586708614356344,0.3043619885048912,-0.1150637960234878,-0.15241819259533934,0.03141938342739236,0.6845792560871758,0.17308737427738843,0.0977123352592751,0.36368025117322444,0.3938575387110425,0.5107722192500326,-0.5834033318013484
Pallidum_L,0.34249798460632946,1.0,0.31457209178691825,0.3617618811082782,0.6233558869582457,0.568085082159378,0.09394076588529253,0.5078948211073417,0.4458355249041854,0.1737613887080265,-0.09676314895801405,0.511386730258753,-0.029935059955660766,0.3961423415306072,-0.11910995820232975,-0.05472591941275753,-0.05829119983348275,0.05600088005710428,-0.11275327399019089,0.499389858417814,-0.07560578428604525,0.5600673355751462,0.22791066450738273,0.31368322821469746,0.02630390772225927,0.5078776395034234,-0.015993639874251366,0.3299814672354074,0.5719763213427468,0.31581554060932066,0.03546138588523403,0.35596931477414023,0.509989613702218,0.3552518721817007,-0.10720125589990835,0.4679498489229638,-0.06280849022399068,0.5164500443258815,0.3715032927815554,0.12660468575815198,0.10711328150186628,0.2493027496176144,0.45983927435193506,0.4691936893506762,0.42563342854406677,-0.191330551335656,0.7682581901687151,0.2869866205101633,0.3844695508785391,-0.10051330953574679
OFCmed_L,0.48518926543163565,0.31457209178691825,1.0,0.04640483580930227,0.3816372818573041,0.38472350444423864,0.2126543804370749,0.10749747862501269,0.2626319676752435,-0.13052223994252662,-0.3111016471422495,0.33046704223976314,-0.35324506252384535,0.18024873911288106,-0.23635277056463874,-0.1765574463245035,-0.19708559609282902,-0.12770887491931604,-0.32535048835431807,-0.14742374985939563,-0.06647853662957633,0.3473322588180347,0.09498399059496983,0.3501308790857617,-0.12214986710363103,0.17554687552330703,-0.16860797364162333,0.7247259340480247,0.2209076006425235,0.2967409246522286,-0.20375327013993078,0.054872076206500316,0.21183664250725132,0.29433738533362724,-0.23451921778744886,0.235429648764422,-0.2644851063178874,0.4029265939459927,0.12195595612729088,0.31609312133493,-0.026819812568379238,-0.05708159179047275,0.09593480178046651,0.29751376607536195,0.17594887213781188,-0.090438410943818,0.4269134302085921,0.23540994138438753,0.46053560651356634,-0.30473236815354426
Rolandic_Oper_R,-0.18282558831124646,0.3617618811082782,0.04640483580930227,1.0,0.5583963964778889,0.21863122330345222,-0.0515027056470467,0.2430067932298408,0.3105262682824577,0.1300517691651906,0.005308658683089084,0.20456618285307313,0.13462961892608222,0.6085189914487954,0.059672784490931705,0.2147347302890759,0.5673432821751112,0.47782292235891705,0.2702994260735176,0.4751172818696481,0.55609088423112,0.5817389364903568,0.30518812005242857,-0.01904552912596308,0.2935495902393373,0.2760367958745909,0.29113053724797505,0.18726180398668113,0.4369530758580478,0.6427210433335333,0.1919013911336355,0.21203141446934698,0.3572301939793707,0.19663072911545476,0.08638154601845284,0.34456882702891833,0.4873362108125167,0.4564597449346142,0.3830994386181045,-0.1404898337289311,-0.00040362126517124976,0.37179703906527733,0.3141279848028972,0.02304632830056926,0.4124028224401101,-0.12048720990594464,0.38682781412243883,0.13603256707603062,0.3455472424838618,0.24158638077986067
Frontal_Mid_2_L,0.2485183144823383,0.6233558869582457,0.3816372818573041,0.5583963964778889,1.0,0.4870814538545467,0.18179644841571235,0.4182985191839004,0.5052356275759136,0.3899432170668982,-0.1817920662646336,0.3450599926151505,0.17853725749603233,0.6596834080465701,-0.10233438309857866,-0.04939934411266737,0.15882571904546883,0.12307101416383277,-0.08922064462411959,0.4836250788939242,0.0025500566329564192,0.6816365051966576,0.48835921385615405,0.1212059914166791,0.059403991586393395,0.5573420349215457,0.015039821022498031,0.46449076093605846,0.429059401471068,0.5554957618107482,0.18651935565431552,0.5056674384335283,0.5709977506850505,0.25254234422906474,-0.17964353381730938,0.5832746160542197,0.13027904898425113,0.5211596527423049,0.41812054341989746,0.0342341758698962,-0.0362937135642319,0.523190542351409,0.45559296573877667,0.29582977262860155,0.45643886263869105,-0.09537557608018862,0.622566199894497,0.17904215336894536,0.48954157595242803,0.06044952789488937
Frontal_Sup_Medial_L,0.4925322795119254,0.568085082159378,0.38472350444423864,0.21863122330345222,0.4870814538545467,1.0,0.22039668542465168,0.2590636538589615,0.2573703299265929,-0.1540971998995396,-0.08228834663956745,0.6206559337819066,-0.2996547435126553,0.3225800808205381,-0.3015472637609603,-0.0846949936043611,-0.20360408205671723,-0.10577807250007686,-0.2271385519542271,0.31759333887065616,-0.07629725580454474,0.4569575832546038,0.01708226585856493,0.3849011941376656,-0.10024930323055627,0.300613705124294,-0.12280628258519836,0.5052728170033537,0.3932146918064641,0.2956216821323395,0.01134981536076709,0.24642603403802485,0.276517242493081,0.4463446667863546,-0.1805449923924836,0.24601510514130384,-0.2368630063277837,0.40418692830528885,0.30212675765913966,0.15025521108296988,-0.01284479752959019,-0.13877863651441677,0.26784035796500366,0.444979559106926,0.23752262052134304,-0.006116039657309583,0.5680533197898027,0.32894512258543374,0.5634612375528241,-0.308015909774907
Frontal_Med_Orb_R,0.373795100136328,0.09394076588529253,0.2126543804370749,-0.0515027056470467,0.18179644841571235,0.22039668542465168,1.0,0.11785515776350396,0.16535087449998742,0.04103715091829124,-0.2900951521477511,0.12744400560630384,-0.1666173794173142,0.1250210641089148,-0.07714814265801224,-0.044159289302390235,-0.2978980825028785,-0.22811030420572212,-0.15647572120058692,-0.02739563006209087,-0.2694723971903584,0.05752258204622239,-0.04737522546236411,0.22403937775915833,-0.09303543734428625,0.02921036909133161,-0.13047508250253614,0.21751501896229733,0.06512512747976819,-0.03934515471423456,-0.2013097602494983,0.047046923372698696,0.1239119994156641,0.25415478776383793,-0.09519348577649253,0.08222668261956163,-0.18131457891041888,0.163802852363855,0.06974862481922084,0.16681719241260576,-0.13179293204307496,-0.040590548466433014,-0.05439544256204881,0.2250712294601661,0.08611459575981022,0.16181741403176556,0.21695661821057605,0.19736616356306022,0.31342211104516815,-0.25127366879922614
Cerebellum_3_L,0.5102339873654647,0.5078948211073417,0.10749747862501269,0.2430067932298408,0.4182985191839004,0.2590636538589615,0.11785515776350396,1.0,0.2579462259096331,0.23742436947970832,-0.1517583205926761,0.1395638968166823,0.04569701602812637,0.3279193987139867,0.03829815343254137,0.27992772986998543,-0.1159296623799444,0.031311846518493947,0.06667233386189367,0.26972000591208134,-0.2898913756465385,0.2793526251314228,0.24755046629121377,0.40302455565051265,0.37778183551574696,0.3919916891707364,0.3021106879031444,0.1893694733701613,0.44837897524710335,-0.019553200512145034,-0.027246568498416748,0.3736652952966286,0.5648152888127521,0.2343418485090629,0.21024791024611217,0.5581604064365974,0.1766167852749159,0.20293705389944441,0.47784586219951636,-0.2086494519152669,0.2393909004731048,0.37643334037999593,0.5192714144609021,0.6186015059330154,0.2575226022146037,0.09652463630405131,0.4139590559711858,0.21748777614912504,0.1906708576980513,0.05159348021428317
Cingulate_Post_R,0.17941009880675104,0.4458355249041854,0.2626319676752435,0.3105262682824577,0.5052356275759136,0.2573703299265929,0.16535087449998742,0.2579462259096331,1.0,0.19842546972557532,-0.27947792652140574,0.2257254783714356,-0.0348215859256014,0.301138532365372,-0.35710166573296026,-0.31250728026035696,-0.09171443213984001,-0.0971190711058341,-0.23464754003042068,0.03642593132106837,-0.08906570011577386,0.5479157330981196,0.6517712793577001,0.27856460437025915,-0.22210638346076236,0.6147529403766254,-0.2615232090894832,0.27259573821095423,0.3812782317605853,0.33754338561386893,0.059763084890607804,0.5298849324452264,0.4499838253699646,0.2986395567942207,-0.3876456460358507,0.510966285994843,-0.09956891141720559,0.5060090883792441,0.4874741069912783,0.11343676768834056,0.007168096683486599,0.4914165422441958,0.32149167203303186,0.38702932240711224,0.8699644124105748,-0.3034017454428187,0.48420283187749635,0.17151010064559366,0.3875730153094144,-0.1757047420794653
Postcentral_R,-0.20017917303247873,0.1737613887080265,-0.13052223994252662,0.1300517691651906,0.3899432170668982,-0.1540971998995396,0.04103715091829124,0.23742436947970832,0.19842546972557532,1.0,-0.0800611634971909,-0.2654824825035235,0.8066776112747297,0.07904640810693037,0.24239324440156546,0.021814673757071495,0.2569668527865283,0.2115928600945692,0.08741843247207857,0.2836802490778044,-0.3014194910406325,0.1919757731393509,0.3237850496313795,-0.45531890135492026,0.17980625522895097,0.47532580711086336,0.19135057883146092,-0.2988900274120711,0.001478147610465519,-0.085569768648833,0.3523870141610586,0.43181996272418655,0.15030718494493486,-0.24070839160483967,0.04326634202548777,0.517452278984236,0.3756897628152355,-0.12772774850957283,0.06863903189508502,-0.24347879346143442,0.0702751864336675,0.7139012395671309,0.39600383936596134,-0.10355144015327293,0.054830748824453567,-0.03522833807396918,0.19431627726363282,-0.2515838772931433,-0.27150825701248277,0.5796938052076336
