,Cerebellum_7b_L,SN_pc_L,Cerebellum_Crus1_R,Occipital_Mid_R,Supp_Motor_Area_L,Paracentral_Lobule_R,Thal_PuL_L,Temporal_Pole_Mid_R,Occipital_Sup_R,Thal_IL_R,Vermis_6,Thal_VL_R,Cerebellum_10_L,Frontal_Inf_Orb_2_L,ACC_sub_L,Parietal_Inf_L,ParaHippocampal_R,Cuneus_L,Frontal_Sup_2_L,Parietal_Sup_L,OFCmed_R,LC_L,Paracentral_Lobule_L,ACC_pre_L,Hippocampus_R,SN_pc_R,Thal_AV_R,SN_pr_R,Red_N_L,Supp_Motor_Area_R,Vermis_8,Temporal_Sup_L,Thal_PuA_R,Temporal_Sup_R,Thal_PuI_R,Frontal_Inf_Oper_R,Thal_VA_R,ACC_sup_L,Cerebellum_9_R,Olfactory_R,Lingual_R,OFCpost_R,N_Acc_L,Thal_MDl_L,Precuneus_L,Cingulate_Mid_R,ACC_sub_R,OFCant_L,Cingulate_Post_R,Thal_LP_L,Occipital_Sup_L,Occipital_Mid_L,Olfactory_L,Thal_MDm_R,Cerebellum_3_R
Vermis_6,0.5931321489349137,0.16965428036369434,0.6277751484254924,0.08315157826162817,0.20227567023239845,0.2133372433983171,0.14272893514848103,-0.0150388924301039,0.0198003968862434,0.24647695340148615,1.0,0.2593355744554954,0.6179815660004141,0.4103820675470844,-0.2335261924178209,-0.10253532625160952,0.17417296583006228,0.055776155401280766,0.020199197394472207,-0.07689146769852094,0.26521636258851816,-0.34582545098738254,0.1084975468965752,-0.2019422425525823,0.24580661813375596,0.09823267683307269,0.25283550784258324,0.08578352119905538,-0.10447507323165632,0.28189299926184713,0.7514518456149819,0.2990324842720705,0.22240114825200488,0.2500147403419876,0.1875679424881114,0.2598894531267369,-0.14498126235949402,0.15620291211907938,0.4926852762254761,-0.06168801663249397,0.43473940711807335,0.1399838723531729,0.05641267435408655,0.09026742865705376,-0.006937994154551516,0.18778574811585358,-0.07074607420530597,-0.03660562425361475,0.17995810012831362,0.05895568648513223,0.027018674508323036,0.22506790175183233,0.2126228193069367,0.2609859684971305,0.42856680598755487
Thal_VL_R,0.16528418220454885,0.07258610317275262,0.233487890858854,0.3611691457947148,0.5720735549243443,0.3547180608023417,0.27797209045612786,-0.11225067214244962,0.4239660817832612,0.7955138259548169,0.2593355744554954,1.0,0.16268906250227677,0.4076241564909983,-0.27925767796647144,0.39260549200582073,0.1530048268701484,0.4895495183578716,0.5372048828525298,0.26373230650491186,-0.07402535227226638,-0.02383744651275251,0.4543481121115858,-0.028268919145149306,0.5375825785545433,0.06132803536357155,0.8572053724268849,-0.0530534194756516,0.13200053854609164,0.43839169732888844,0.17796837313679573,0.7044781469988995,0.5950946208250913,0.27489395221129964,0.4937418471088832,0.47649945621910034,0.06544087626784578,0.6770207042312679,0.3941104386000839,0.10862340491680404,0.6172122756739868,-0.049924750136570405,0.3212051296612627,0.7743015089678176,0.5168337188920785,0.6958941716979694,-0.04275851326413337,-0.08452845730857354,0.608242055078027,0.42182426054876904,0.45772632149649717,0.24311610083261465,0.3925455305918561,0.8184692921901019,0.28976995433302
Cerebellum_10_L,0.7117695308001734,0.5037846105193395,0.464377508661384,-0.20838531211031153,0.2931075614315121,0.1634589876195187,0.12077151395173182,-0.09390765942829059,-0.22814287688563503,0.2437968053597916,0.6179815660004141,0.16268906250227677,1.0,0.27110904422789667,-0.17425507934596188,-0.20641894012306863,0.2021178539336321,0.02189275775230976,0.1486887708120594,-0.2250717190423586,-0.017470138220404344,-0.10892047441924783,-0.10177569866222602,-0.24485064399571868,0.13821918023155544,0.49941132248808956,0.23564608901888287,0.36790188903192855,0.08508673523852373,0.33653514742216106,0.7613460681132729,0.33939971761156645,0.04327575138928003,0.013514552040401445,-0.023346966671265238,0.07439654169783672,-0.014864245890815555,0.1761162608479448,0.7182336140292259,-0.07985750541360655,0.5622546070178986,-0.15138189614354586,0.4655699213557792,-0.06053810642530953,-0.11422012566011185,0.21514902802537278,-0.048124878387398595,-0.08078365539640806,0.2576823971772746,-0.17673068937050987,-0.006740154718505369,0.25961035312176567,0.21460764533274673,0.1355219644093902,0.2928922488038818
Frontal_Inf_Orb_2_L,0.24454349790435548,0.10824322048902575,0.06178181221718767,-0.2650849424725197,0.20174063957799393,0.08452058670533512,0.2541575573886044,0.12563996143791034,-0.19602323161701582,0.40812839078307056,0.4103820675470844,0.4076241564909983,0.27110904422789667,1.0,0.1818214497131213,-0.03912702367389482,0.39246167138283644,-0.1490832484026548,0.3265570924435112,0.004724260496727836,0.6334923834215044,-0.25981774732870344,0.02269879578121377,0.11120909498265512,0.5768449802740603,0.04332653025077848,0.4147734138149083,0.0928584613934822,-0.2631024191593897,0.06683409608552367,0.1907595653761903,0.5372798587968393,-0.06967608958648049,0.19780194035157225,-0.0924020991704606,0.029175518009697855,0.28783013245613354,0.40310646434109804,0.3953837698054772,0.16016686172643255,0.23763586561862918,0.5034861610258285,0.4101808449125518,0.3179852009123213,-0.035749392788410043,0.261070623954423,0.36848415684468394,0.05212699131550562,0.4857292132870847,-0.16550988822809098,0.00042497415437492344,0.21971070933270576,0.3969632376423091,0.14131761547179802,0.44551494237871714
ACC_sub_L,-0.26877449176612306,0.20648540359176656,-0.2855233769192191,-0.30251054316613224,-0.4622049737558352,-0.14427134510718506,0.1036633060987951,0.5965325269181134,-0.23219792897767627,-0.06528754682215616,-0.2335261924178209,-0.27925767796647144,-0.17425507934596188,0.1818214497131213,1.0,-0.3643289927648218,0.5949364691422795,-0.3702624029950316,0.11366713125695647,-0.2229809778217634,0.5335230261564206,0.11443391050689906,-0.24146499794888204,0.7490852610260356,0.3094494405288087,0.19636237062282946,-0.26392603062465736,0.44168050596515607,-0.12158908131061708,-0.41022473388233643,-0.3243202806792878,-0.23766681579335439,-0.6580182539734942,0.21833174435813021,-0.6425211506057268,-0.16682026083190069,0.6149268514562207,-0.07585889379368184,-0.041400709837915266,0.6732749281261308,-0.22368703103919713,0.668150294006997,0.010288827179343903,-0.07920118372695736,-0.22799347824877392,-0.07780721469251073,0.8164341207446837,0.6833109268219243,0.259743558571291,-0.5054897942946286,-0.4802500253703115,-0.347026722054841,-0.38563452303838675,-0.5535559370161424,0.3093270574568098
Parietal_Inf_L,-0.44865616813907144,-0.362238864375869,-0.11737062518128287,0.5368155328943258,0.4922086121570606,0.7085561210509064,-0.062039500891342546,0.04146054468275431,0.6931773725063309,0.2671202745736198,-0.10253532625160952,0.39260549200582073,-0.20641894012306863,-0.03912702367389482,-0.3643289927648218,1.0,-0.23423573492664682,0.725421989678101,0.4325548364441357,0.8912041911977648,-0.14108483309974892,0.13921063082592505,0.8257702593549519,-0.11527794851578108,-0.13909009469337014,-0.27400587771830726,0.3509018677772144,-0.343729449806895,0.1540125121027307,0.47170917850751365,-0.2827895923266059,0.5502256662530113,0.7017441807561149,-0.1474725008827955,0.7055749827857931,0.07193898021736166,-0.30553287425512227,0.018629957192216908,0.0007318496024385184,-0.16729577804063706,0.29972468644322875,-0.03456441616298348,0.07741551609889966,0.34992255489220053,0.8269388851998141,0.38574428712462494,-0.26016264861438265,-0.3506060249083241,-0.06558285154398588,0.6008050770347574,0.8829105714656534,0.3283645545674895,0.3670726420677747,0.5465608630428888,-0.12998102916822352
ParaHippocampal_R,-0.04854824277141925,0.5411130421100545,-0.11444114763019486,-0.2188630995011116,-0.18274519005526552,0.02263624888267159,0.13985134746491318,0.5395645254225276,-0.17444084133009652,0.3199741416995259,0.17417296583006228,0.1530048268701484,0.2021178539336321,0.39246167138283644,0.5949364691422795,-0.23423573492664682,1.0,-0.14938995406279149,0.26260571945747513,-0.23407183250843272,0.4573759108319701,0.1915951348028281,-0.12491080564274874,0.5023906988197392,0.5963714657301217,0.6053363311206996,0.1741690568982499,0.7049343151580129,0.035305566480489804,-0.12386658076591853,0.03340887010740786,0.14417151719246205,-0.32591573851475086,0.38741540897809285,-0.5005374057134133,0.07214340621219847,0.531791683580768,0.1769290184868827,0.24649706603042928,0.7141509414807106,0.16632424017074518,0.6733044536049088,0.14758104023798307,0.08086167484999228,-0.03581833199234415,0.23790693652126085,0.7030778509084185,0.5486237145724782,0.524936576500115,-0.2850177083721694,-0.26915151785122193,-0.3268442501628201,-0.17452627739531096,-0.17174564550584212,0.649476035215516
Cuneus_L,-0.10333228839089303,-0.32817350340768325,0.04457957638480518,0.7258299505840559,0.500643051512319,0.6142779048613435,0.0245605131077621,0.03639022218283305,0.8253577115130953,0.40420490368784756,0.055776155401280766,0.4895495183578716,0.02189275775230976,-0.1490832484026548,-0.3702624029950316,0.725421989678101,-0.14938995406279149,1.0,0.34382758559917914,0.619067967704878,-0.2552676460396446,0.048183268243584196,0.7440567560974576,-0.2047106667146863,-0.0062199664655151156,-0.22359498836255848,0.35092689244683184,-0.26395176408867005,0.2965652957692108,0.5998643445778171,0.07985069576283994,0.44439939661693534,0.6779858568295832,0.049455888373611846,0.7299177774118981,0.31374200135955294,-0.23124460078313597,0.0007940175709366669,0.14052732607211604,-0.04425754541253262,0.4979561128755488,-0.1512653667673085,0.13787424535452913,0.5000829097078915,0.8534546490410688,0.4737576118080483,-0.2878901235539552,-0.1858204495683408,0.01145810877100324,0.5708337092033162,0.8148148361953378,0.35150419449574705,0.37374223324662625,0.6772349928574417,-0.1301022040136227
Frontal_Sup_2_L,-0.07755746284927507,0.11517519950606842,0.15936926673955784,0.1028157349444049,0.6124118155346784,0.5412659812304459,0.39998053433282404,0.32889872433218925,0.26700544990390956,0.5552359094581655,0.020199197394472207,0.5372048828525298,0.1486887708120594,0.3265570924435112,0.11366713125695647,0.4325548364441357,0.26260571945747513,0.34382758559917914,1.0,0.4188744221258144,0.09480665154677415,0.18322293772910822,0.5340066150562351,0.4091693435659267,0.3152077130014794,0.16546238665715582,0.3741778870100077,0.1733889741575695,0.2794526384412014,0.485197254540719,-0.015891505651979228,0.5328949392374862,0.19252133837793126,0.12233118965504369,0.20330303829077767,0.19239413107103753,0.28011933729583877,0.5188551959117995,0.5011204554888864,0.36439127135737137,0.546439755402344,0.16417346422023216,0.2963513151355827,0.42218829945608427,0.5177683229215134,0.7078613336267187,0.26027002523856885,-0.013160759965903537,0.6303930919907453,0.15626808571952353,0.37980260028048385,0.2717357527449204,0.21727843380433942,0.33355457510362796,0.3065144239340909
Parietal_Sup_L,-0.4311840869651816,-0.34979174568462,-0.09284923006916225,0.4963029347769022,0.41904129947680274,0.6289398665785251,0.02293075631768746,0.09939333744479457,0.6396136058045436,0.11959073139781312,-0.07689146769852094,0.26373230650491186,-0.2250717190423586,0.004724260496727836,-0.2229809778217634,0.8912041911977648,-0.23407183250843272,0.619067967704878,0.4188744221258144,1.0,0.041970388585494935,0.12305901160046943,0.7799716871497655,0.007116338551989869,-0.1808776499299112,-0.29382511697309566,0.1923332188610997,-0.33498008598769513,0.04813139713399088,0.3868675988326606,-0.2983272192836355,0.48184351359108707,0.6088525608274286,-0.13842861905424494,0.6186302294633175,0.011829084363112446,-0.32337042723270637,-0.033930849054456994,-0.04404442942340254,-0.14469070920310956,0.19105991240770784,0.07900915647711501,-0.0018243735439007992,0.23016600720754718,0.7578002316038107,0.278348507218783,-0.18867583716410743,-0.2166761027932823,-0.10225764734255802,0.5809384964200205,0.8174233028703994,0.4914272469474654,0.25421836534143344,0.4249102338175811,-0.14086964128096968
