,Thal_VA_R,Thal_LGN_R,Occipital_Inf_R,Temporal_Mid_R,ACC_sup_R,Red_N_L,Frontal_Inf_Orb_2_R,Angular_R,Vermis_8,Thal_MDl_L,Rectus_L,Frontal_Sup_Medial_R,Frontal_Inf_Tri_L,Vermis_7,Rectus_R,Heschl_L,SupraMarginal_L,Caudate_R,Putamen_L,Thal_MGN_R,Precuneus_R,Thal_AV_L,Cuneus_R,Cingulate_Mid_R,Cerebellum_4_5_R,Frontal_Sup_2_R,Vermis_3,Calcarine_R,Occipital_Sup_L,VTA_R,Thal_PuA_R,OFCpost_L,Parietal_Inf_L,Thal_PuL_R,Thal_PuL_L,Amygdala_R,N_Acc_R,Temporal_Pole_Mid_R,Occipital_Mid_R,SN_pr_L,SN_pc_R,Temporal_Pole_Sup_R,Thal_PuA_L,Cerebellum_3_R,Cerebellum_Crus2_R,Thal_PuM_L,Thal_VPL_R,Occipital_Mid_L,Cingulate_Post_L,Thal_IL_R,Thal_IL_L,OFCmed_L,Cerebellum_6_L,Pallidum_L,Olfactory_R,LC_L,ACC_sub_R,Fusiform_R,Thal_LP_L,Thal_VPL_L,Thal_LP_R,Lingual_R,Postcentral_L,ACC_sup_L,Raphe_D,Parietal_Sup_R,OFClat_L,ACC_pre_R,ParaHippocampal_R,Cerebellum_8_R
Thal_VA_R,1.0,0.07242047289907862,-0.3649639382845607,0.06115937564284819,0.4651748286393658,0.1158146025843225,0.4680134782107955,-0.3425312823878384,-0.09326372964471344,0.3650076161204085,0.19392587140987266,0.3804789490949793,0.30456300247769397,-0.06810171641151766,0.39906933876210804,0.4285011226368579,-0.3951980179174903,0.31470608787049276,0.3282048510313135,0.07169742399824297,-0.1879017570262073,0.39742437603717234,-0.3160678834825328,0.054066177942237684,0.5969360117122549,0.18778789369337573,0.41700437252143474,-0.2519713273237343,-0.4345815375699789,-0.2634003649357917,-0.6461205086154007,0.396392269295427,-0.30553287425512227,0.40657728494962037,0.1444332560967087,0.11454443490075956,0.2164075610607827,0.4535582656927135,-0.4449554566686033,0.39409231673893047,0.1691695018343895,0.3870106039605967,-0.5652205600827858,0.47848941571409265,-0.03508158240760447,-0.05513735211881545,-0.215310508361672,-0.4055763427763478,0.46532834708938464,0.4636627057437994,0.3305882572799746,0.3105563533827469,-0.13480855814969714,0.6199040238280952,0.5902371936649111,0.0034280819115071652,0.6048864241981918,0.2831967253845682,-0.6635983333187614,-0.319764522332761,0.6638212374223453,0.012545323567760731,-0.2515373716977576,0.1792960658576187,-0.21651994581492828,-0.3516427766739018,0.285812818527823,0.4343293519882666,0.531791683580768,0.11950900496357286
Thal_LGN_R,0.07242047289907862,1.0,0.16054514070217318,0.2966160691949719,0.27530871615383395,0.05680575620774769,0.2939116330265949,0.35791710405959476,0.02695160022082998,0.5638668389934194,0.1413418182666498,0.17146207944671094,0.2501611052080066,0.34692732368391743,0.10597263829800828,-0.055980795621930445,0.2736248490705986,0.6519385531026091,0.17931376125673612,0.4486806458097002,0.3558082912267892,0.40784770813334287,0.4031475220395516,0.4568758475815962,0.38450221878320245,0.2554023895369516,0.18434829427579164,0.5612481863764827,0.23332419744256258,-0.08281002505545294,0.4756276101772484,0.05122685230057622,0.23244208302674535,-0.08975877351601337,0.14331109806353606,0.031526083857563815,0.21720137044500015,-0.020396767275736364,0.31030402634718807,0.03638724482025631,0.1549407645331581,0.1860704530748963,0.39150524673953696,0.39100617941876625,0.03380307367601256,0.35819856689694873,0.6186964513414943,0.08334068880027556,0.0954029118058846,0.587252343820312,0.6411372303046233,0.02729749168731064,0.38793612457915544,0.05179269153966173,0.28709026029083834,0.05816067252338472,0.06431509036643462,0.32853747612429635,0.361627647583933,0.5888783176031102,-0.03053780015347706,0.40379014270684216,0.23161720514229214,0.5020046565252364,0.27214342537208963,0.1754768231938927,0.24775931333604087,0.29864271559245126,0.3079017884616966,0.026633906621877965
Occipital_Inf_R,-0.3649639382845607,0.16054514070217318,1.0,0.5496917766938332,-0.14214908975098878,0.33780507597425646,-0.15347218159938175,0.3071252603470134,0.567687879151462,0.23086328736784262,-0.282272240635053,0.2417213823910104,-0.1154764791664079,0.589692976558752,-0.4584492720982033,-0.18376363865196682,0.06839740713529266,0.13535200092757865,0.21300652721971053,0.1840882721670439,0.0928182418712799,-0.06218249643507368,0.2502054870411367,0.20049796169652162,-0.07675494002667234,0.3009644732528755,-0.3016721092923019,0.49355987363466125,0.16354837060598348,0.5715695461014261,0.4067102155015312,-0.3497324800805723,0.0678122571387093,-0.28374460989640715,0.1887084323292205,0.2567065408824169,0.28010430202811326,-0.06402900788053177,0.4389105633189209,-0.2428394775640902,-0.16144880256110744,0.163881112460103,0.49013781933857764,0.010556708395881024,0.7421650865064109,0.3201791605460491,0.35274194228410005,0.21280478889048435,-0.02098677262517379,0.07933580251025238,0.2858043856511397,-0.24254976322270905,0.5809571115538747,-0.48298040865172565,-0.2879613648532856,-0.020623326668800568,-0.584774204495621,0.1841507111367466,0.39034904351935057,0.23299736608083355,-0.22333716105143792,0.5181480209946236,0.06950116391634058,0.14725682793739153,-0.0619793110845038,0.15106623663154306,-0.5419423024998967,-0.3842298639188144,-0.2872514725283717,0.5847840532197939
Temporal_Mid_R,0.06115937564284819,0.2966160691949719,0.5496917766938332,1.0,0.17008773868305735,0.5936992282710022,0.5629730277120241,0.43442082504145474,0.16059418193693972,0.46782270005816795,-0.0697104284389993,0.4680141934084112,-0.1386178976853648,0.22381005052771843,-0.08757026404763797,-0.2709295719647942,0.06614618719700799,0.5652794504204057,0.6229781014367345,0.18728475327986163,0.3392409227054094,-0.027380025559535368,0.357757951284842,0.5852799151923005,0.3425922374218072,0.4251560182180387,0.17618956438219524,0.5369602179212021,0.0838575015189017,0.36659800608051174,0.1450476451197664,0.13964042286939304,0.10980477868780432,0.020369980407776333,0.31713429338465965,0.3167207259403043,0.703990269277664,0.5343048075253453,0.5199060634900361,0.008760359733152477,-0.0848387028976905,0.7632254599332953,0.43853810297589,0.3838735769535679,0.3315872821573056,0.412285977227036,0.33829885267961457,-0.12639145972417348,0.09519768416903998,0.14772847766264158,0.48414439275501875,0.16844048529207933,0.3133178611058535,-0.3255504284664598,0.3796155110846481,0.4197636814471995,-0.10920878193279339,0.6294429606356132,0.4051511909625073,0.16283406282477955,0.17388052242182644,0.5732687315961175,0.1060264492548533,0.3780173042147998,0.2512308854102887,0.2006703344554046,-0.26639706854485906,0.17841207598977363,0.22173904018953292,0.2818230293956434
ACC_sup_R,0.4651748286393658,0.27530871615383395,-0.14214908975098878,0.17008773868305735,1.0,-0.04913240961347076,0.3907584598474736,-0.08261975440664196,0.040127947942615885,0.45489218591811104,0.3336443771040694,0.49955509594701797,0.635136511682076,0.18488549678618077,0.3309760830503427,0.3042976278896133,0.0893639591160922,0.3804655537714398,0.15292282508193794,0.3689003056044294,0.0694390318487055,-0.042287249161168994,-0.05725321984985515,0.4960652997571277,0.6775849622341145,0.411444793637175,0.3171386348021249,0.25535797074995104,-0.047726002032266054,-0.11811281799990331,-0.11850983114334025,0.16357248831796953,-0.027510487724955176,0.33824746337915557,0.3005213093476532,0.19661863750621494,-0.010926814001898408,0.2346676513592815,-0.1858676793944479,0.17818690748547758,0.03481882505318911,0.22158710568018153,-0.07618427020034868,0.4055830514723948,0.08975065261630799,0.1992402481878697,0.28361523278092504,0.08879147471963253,0.6066393740992819,0.4642774152273796,0.5348215358604488,0.18786527001670472,0.31438796900585136,0.47353575703575845,0.29815756191995196,-0.11464451150729452,0.38325893292622076,0.4474373365222049,-0.16370084071461447,0.29052072276724533,0.3436008483018893,0.3684315608298051,0.17026389280597107,0.6129961474682201,0.024718909757624502,-0.10112214886180113,0.2562388768621931,0.5562201513133396,0.341132286378903,0.2036621056362444
Red_N_L,0.1158146025843225,0.05680575620774769,0.33780507597425646,0.5936992282710022,-0.04913240961347076,1.0,0.2719927822000117,0.16853136537197394,0.12363009664294469,0.2732279704779368,-0.532036115752806,0.4167368223058738,-0.046432367340944025,0.03178903545470203,-0.40885821211231604,-0.242233127701871,0.08968365990427031,0.42929267361072965,0.3883399044876049,0.08200163606956004,0.33447270228226533,0.10800940913937165,0.26688094238752286,0.3552230650200543,0.2229738530027881,0.22597451124937556,0.3673698793597999,0.3091038754503139,0.06921268671703687,0.42152269914289225,0.023830661700062396,-0.1085843160117665,0.1540125121027307,0.14160013258406054,0.23145466928960298,0.32549601154249697,0.5789421506043576,0.2879699596612712,0.24489262844252616,-0.04080613415324385,0.0469556923466363,0.4942987248997578,0.23098889472659392,0.15977513085238815,0.30777018971423126,0.39538721465295706,0.1600152036145792,-0.23227868156335915,0.06753564749507747,0.13752315782992725,0.25214926676032373,-0.16091709249974653,0.09557643033524445,-0.19792201429814615,0.255135886704767,0.5473856212057571,-0.22776280086592487,0.47717107185627533,0.248351970404863,0.029945990400210974,0.2811644303641486,0.46576107472690403,0.16734019467009667,0.26859887436024305,0.4181061090350229,0.05403358203854269,-0.42262402205169647,0.04449343219392535,0.035305566480489804,0.23168736552515645
Frontal_Inf_Orb_2_R,0.4680134782107955,0.2939116330265949,-0.15347218159938175,0.5629730277120241,0.3907584598474736,0.2719927822000117,1.0,-0.019749464536650396,-0.14968132530158276,0.1844944139313988,0.4469652340385224,0.3641652648151756,0.07373192453943507,0.02553692431175623,0.5312243986005606,0.0628310187621352,-0.20487152612534998,0.5720550083842021,0.5651582349650336,-0.11972202879684161,0.041470876340262974,0.022620390192811285,-0.08622925723299339,0.35163973249534425,0.4606037421743809,0.20395943342569453,0.40806913680082035,0.06133525541606087,-0.3308057604395019,-0.3428047853990329,-0.37435743953470363,0.585858660528806,-0.2127410967485815,0.20361990322423776,0.31365620540762496,-0.02685577315411732,0.6543838833450403,0.6656095659390351,-0.06129696016400738,0.5074640595900228,0.2988136554666695,0.7611532131173373,-0.18686283708012094,0.5775844285564,-0.03152682533622498,0.057133697964952886,-0.10513936857505782,-0.32305132396321085,0.07960584449281047,0.11701803890856975,0.3230979740312821,0.5549230810235054,0.01218976724698582,0.2099737343341023,0.7862446244992061,0.4411643945465565,0.5714420730283677,0.48606814465837617,-0.07194996077988912,-0.1108894925772895,0.35978085082941186,0.1581851710337238,-0.16664272507102018,0.39814626306730144,0.11032966393708679,-0.05250942649937213,0.38339926386328377,0.575251119265374,0.7248153287923115,0.06653067927436776
Angular_R,-0.3425312823878384,0.35791710405959476,0.3071252603470134,0.43442082504145474,-0.08261975440664196,0.16853136537197394,-0.019749464536650396,1.0,-0.006607112992830489,0.43559139549979964,-0.1244833434239816,0.03514056776903205,-0.23488111737624132,0.15184592428118968,-0.1442618277120061,-0.5394383069410034,0.4258764962824853,0.261772143193611,0.18119582621479138,0.4938535334445217,0.6375209933528839,-0.0008493090449647283,0.834502516003259,0.45493615670344834,0.007562137557116465,0.32689491454025227,-0.08277332723654235,0.6180515865983489,0.5997178479295049,0.4804929641061836,0.621085905109191,0.1654104941579376,0.5198281158748603,-0.19700728533796974,0.09250865537537481,0.39119339518815816,0.1341977807673008,0.13580530185197268,0.930559677337438,-0.5272688556113079,-0.4318050075106872,0.17234545135220347,0.7439982995338686,-0.1259954901137769,-0.20447433110581517,0.2802119573631885,0.638844157097485,0.2251939041013667,-0.1945474103613134,0.145662455607438,0.25800076943851513,0.1533083769635898,0.16642581877000046,-0.3385554784366202,0.08511234334090163,0.04103760634121156,-0.20650598867204872,0.23912483580594862,0.6985705119588678,0.4461968736332079,-0.05632241678568892,0.3414294541139092,0.3822373000081971,0.016443581829564128,0.5054408672948377,0.6821225741166608,-0.0023069390363437818,0.012797576420858577,-0.17161216180760888,-0.3184727499585454
Vermis_8,-0.09326372964471344,0.02695160022082998,0.567687879151462,0.16059418193693972,0.040127947942615885,0.12363009664294469,-0.14968132530158276,-0.006607112992830489,1.0,0.02834947109185619,-0.028757225648560463,0.2690926308379901,0.2701047143679066,0.6842952458041937,-0.2213981527068765,0.32932275355230123,-0.1781805973595039,0.0339758883157802,0.14689255204929796,0.13586672496865984,-0.08353336572907966,-0.13463206277708284,-0.05921263611105908,0.12699611210613132,0.13417652460859192,0.38985642132121734,-0.2558469342656815,0.3011541979601542,-0.10886697407575348,0.34801488304744654,0.10928141033050022,-0.18248094952249866,-0.2827895923266059,-0.16759894601434636,0.15909544896740813,0.30861792442469066,-0.014698239815612354,-0.14638189313554606,0.004206016972287476,0.058846141833497456,0.18378530904058976,-0.062029063760449366,0.0025709136908767033,0.18820069073312262,0.6007419753677427,0.1450556240607472,0.09523419631436666,0.17823592316241682,0.20949488384313308,0.23301592831679738,0.20210239402626204,-0.17766738492587428,0.712071492142049,0.08155466449336239,-0.1355238893704931,-0.3349343199234688,-0.17912837786963706,0.1860974734494469,-0.0531360617601141,0.0800558912547689,-0.1589161678283482,0.46556470911744896,-0.19082454380932073,0.1316208053520024,-0.318881014561249,-0.08080179811559458,-0.143652025519257,-0.36660457235535454,0.03340887010740786,0.7882778806829166
Thal_MDl_L,0.3650076161204085,0.5638668389934194,0.23086328736784262,0.46782270005816795,0.45489218591811104,0.2732279704779368,0.1844944139313988,0.43559139549979964,0.02834947109185619,1.0,-0.13242365285496727,0.38891404490322323,0.28597273880018464,0.17276828181854986,-0.12244525269165517,-0.08651413863697689,0.27637331412525773,0.5968028702392457,0.32950893547764415,0.6837384556696344,0.4341550100056633,0.37136893891603334,0.4567147359475346,0.5497226616573847,0.5981211799029521,0.44592068846655336,0.22415092509639203,0.5469897935250956,0.3411972527136935,0.29243571055824025,0.3087278926809487,-0.06431539115453294,0.34992255489220053,0.11798990650022123,0.26140030640603923,0.4669718643150224,0.19439277687227266,0.15796089487684223,0.3954879635403334,-0.23392851729021982,-0.2547482423731529,0.277254563755961,0.46933832819902455,0.2901461992325032,0.07858960783695539,0.5421579075500293,0.7229526395637845,0.08587865825580669,0.4738574908163799,0.7354626642680512,0.8527994099033969,-0.07197559718307617,0.2967796663014411,0.10066268853545343,0.1963060932826388,0.015863189684425835,-0.04556021841051404,0.5119939759907327,0.24470942143528887,0.5345864868437589,0.30844100929631435,0.5113117333837603,0.3691553489967677,0.5110428701257622,0.22196746417432947,0.21882975829679388,-0.11564079322330252,0.21351138917542495,0.08086167484999228,0.030979205559633825
