,Temporal_Pole_Mid_L,Cingulate_Mid_R,Angular_L,Occipital_Sup_L,ACC_pre_R,Cuneus_L,Cerebellum_Crus2_L,Amygdala_L,Frontal_Inf_Orb_2_R,Insula_L,Calcarine_L,ParaHippocampal_L,Cerebellum_4_5_R,Frontal_Inf_Oper_L,Lingual_R,Putamen_L,OFCmed_L,Frontal_Mid_2_R,Supp_Motor_Area_L,Thal_LP_R,Cerebellum_3_R,Thal_PuM_L,Frontal_Med_Orb_L,Frontal_Inf_Tri_R,Thal_PuA_L,Occipital_Sup_R,Rectus_R,LC_L,SN_pr_R,Fusiform_L,VTA_R,Thal_VPL_L,Cerebellum_6_L,Parietal_Inf_L,ParaHippocampal_R,VTA_L,Thal_MDl_L,Olfactory_L,Cingulate_Mid_L,Rolandic_Oper_R,Temporal_Pole_Sup_L,Thal_IL_R,OFCmed_R,Rolandic_Oper_L,Cerebellum_Crus2_R,Precuneus_R,Lingual_L,Thal_PuI_L,ACC_sub_L,OFCant_R,Thal_MGN_R,Postcentral_R,Olfactory_R,Caudate_R,Precentral_L,ACC_sup_R,Fusiform_R,SupraMarginal_L,Thal_MDm_R,Rectus_L,Frontal_Inf_Tri_L,N_Acc_L,Vermis_10,Frontal_Sup_2_R,Precuneus_L,Precentral_R,Thal_PuA_R,Vermis_1_2,Cerebellum_3_L,Caudate_L,Postcentral_L,Cerebellum_9_L,Thal_LGN_L,Thal_LGN_R,Angular_R,Temporal_Inf_R,Heschl_R,Frontal_Sup_Medial_R,Raphe_D,Thal_VA_R,Frontal_Med_Orb_R,Cerebellum_9_R,Cuneus_R,Temporal_Pole_Sup_R,Cerebellum_6_R,Thal_AV_L,Frontal_Sup_Medial_L,SN_pr_L,Raphe_M,Temporal_Sup_L,Occipital_Mid_L,N_Acc_R,Paracentral_Lobule_L,Thal_PuL_L,OFClat_L,OFCpost_R,Thal_LP_L,Vermis_4_5,Cerebellum_8_R,Calcarine_R,Thal_MDm_L,Thal_PuM_R,Pallidum_L,Cingulate_Post_L,Cerebellum_10_R,Heschl_L,Insula_R,Vermis_8,Thal_VL_L,Thal_PuL_R,Cerebellum_Crus1_R,ACC_sup_L,SN_pc_R,Thal_VL_R,LC_R,Vermis_9,Occipital_Inf_R,Parietal_Inf_R,Temporal_Sup_R,Supp_Motor_Area_R,Cerebellum_7b_R,Parietal_Sup_R,Pallidum_R,Red_N_R,Thal_VPL_R,Cerebellum_Crus1_L,Occipital_Inf_L,Cerebellum_10_L,Thal_IL_L,Frontal_Sup_2_L,Vermis_6,Cerebellum_8_L,Thal_MGN_L,Paracentral_Lobule_R,Frontal_Mid_2_L,Thal_VA_L,ACC_sub_R,Vermis_3,OFCpost_L,Frontal_Inf_Orb_2_L,Cerebellum_7b_L,OFClat_R,Occipital_Mid_R,Vermis_7,Temporal_Inf_L
Temporal_Pole_Mid_L,1.0,0.06233504819987051,-0.2639912872602677,-0.1324133642909402,0.07800648614978076,-0.014361064579987154,-0.12141259573468481,-0.1441935337937333,0.1847175475373212,-0.015162114866213263,-0.10092278580054895,0.7827802248228813,0.37550215644343105,0.13155475608939243,-0.03183370117906488,0.2670139217795957,0.4097398023825352,0.3315659542272922,-0.1488784649862007,0.24785704254190014,0.2154020738157182,-0.07568323220656763,0.1343070429346928,0.09182814312570958,-0.3489852454072002,-0.10580879238393726,0.39324072048189085,-0.18083877250914138,0.1641482458532544,0.4078777408937321,-0.30178537905720315,-0.20350737473639685,-0.020388782723225297,-0.2989339117627307,0.5133597694047461,-0.2793908328368055,0.03703637538911303,0.12365172658690565,0.12973392072087342,0.3487988288207942,0.7328004894097718,0.1381500045941633,0.4519470858664211,0.1687671765467627,-0.4792108116807383,-0.11973787693506456,0.029181559323113435,-0.2490659645832286,0.46041290500753235,0.6790757856147828,0.00272004605070398,0.22756955527346523,0.38092883293966384,-0.00904077313274397,-0.34403262824963016,0.24437765461291708,0.2075960213017364,-0.33828861856681564,-0.22920664051209694,0.40508818945905734,0.2035983692455594,0.412046300572731,-0.08241454436281047,0.21928661561144386,-0.0924054993885064,0.24520600484898278,-0.3335751430624625,0.4998154456938916,0.37627920337309023,0.22208670710141284,-0.3406568160727539,0.14679531493448167,0.06270944465256104,-0.04821469607225159,0.010019957435171659,-0.2760960426798488,0.35235492336526797,0.008514867038256322,-0.1360267731064049,0.39145805557513164,0.028033596366565276,0.07288033656241853,-0.12797817716443924,-0.07595164766396491,-0.13129677149002397,0.05608189308939987,-0.09538455142239086,0.2658577439411077,0.11034711829690619,0.048075814654876606,-0.07412402756088748,-0.13154706889610573,-0.1853134109014831,-0.037017414088938515,0.5857817461119131,0.4647938170560927,-0.36114055667106515,0.15207388349178041,-0.11273877073717335,-0.1355024953812817,0.040622591506812356,0.34604373410410316,0.651003078241673,0.36311507035711277,0.06266834732566605,0.4387133761764654,0.15879403835120448,0.05714369641968316,0.27359810258906037,0.23957709792854184,-0.42404022093754334,-0.06265209613881194,0.14232289470312998,-0.017762275843634115,0.25573999486444426,0.46331724975590577,-0.4406442483468866,0.06782672256667091,0.11892352570052499,0.012299148892945979,-0.49236312769806667,-0.04661793036144156,0.20072098916934816,0.17192711005051484,-0.1512429471180716,0.042532795668038276,0.05578855614480316,0.15249321348831535,0.0013230000330424073,-0.04268248536498885,0.028079466853188826,0.24120088318517824,0.07938503425511154,-0.07873717306863343,-0.11295595763023346,0.38218070370098484,0.43699957100902936,0.2551060279052419,0.5597730728953284,0.34341162785838486,0.17111087357927238,0.3220771538027599,-0.15310981456322054,-0.12672285029644068,0.5993560703592182
Cingulate_Mid_R,0.06233504819987051,1.0,0.36987983598458773,0.4389252595953944,0.34370802445629317,0.4737576118080483,0.04073337436154999,0.2912206926594245,0.35163973249534425,0.5192451375552561,0.7230980517172921,0.2435639766728981,0.583043146612284,0.3641265864603341,0.7057122691994907,0.24018343228894753,-0.003936611264603389,0.5501840811181412,0.7554154794694775,0.10940949609183431,0.35742548088091614,0.5086304008773879,-0.1564945820908293,0.39391975957150194,0.46305709085297014,0.4732212419300477,-0.06713950387737892,0.20752672410781767,0.1710621563317038,0.49651248495127265,0.27363120839746063,0.5407014097054984,0.4296742459199995,0.38574428712462494,0.23790693652126085,0.1991828240742627,0.5497226616573847,0.27981055203896715,0.8111540078980107,0.5172542878882425,0.04471290264697157,0.4780282446156544,-0.11562557840608408,0.6375616780799384,0.05867229735236061,0.6564564893911068,0.6000284902983746,0.34365105247028016,-0.07780721469251073,-0.06765099867054872,0.4930302932007294,0.4609970693881449,0.3337595294720694,0.6716825988756435,0.5236339618247959,0.4960652997571277,0.7008686399503402,0.46671353907776725,0.5910344805105733,-0.11550261338527461,0.39493370449330617,0.22142982493119978,0.29573787767368637,0.6467045028279577,0.6693506485693658,0.4410239028939215,0.4053963522353943,-0.12274141475925444,0.36475176281505506,0.1989766857007384,0.508935248383297,0.4127679358953214,0.2428296753574219,0.4568758475815962,0.45493615670344834,0.3073591457755092,0.08124088781525543,0.5673147673873934,0.4659546040483447,0.054066177942237684,-0.05573312622330588,0.5189580444273265,0.5851194406331252,0.3501675263907758,0.39623522052202603,-0.08408386705692858,0.6270648526943196,-0.03208442343692493,0.086635909527024,0.5326045392998018,0.1547187722638234,0.24853429096891091,0.6257716894701864,0.3722094883387282,-0.014183024753490273,0.020654191770966078,0.46379515511591834,0.5521437345035856,0.13790708071302965,0.7695440294228911,0.5438409506004088,-0.05412562448985834,0.05310460314507315,0.43959676498652056,0.3459492379572536,-0.06646151736172944,0.5745719959416112,0.12699611210613132,0.3309106255951037,0.12908527499884873,0.1763588925401692,0.6714922878819813,0.08386882838384056,0.6958941716979694,0.32341946208395,0.2172767762136357,0.20049796169652162,0.40097136480585444,0.5366561998506372,0.7225996605606549,0.01804957492491501,0.30610714692876356,0.33988375140731025,0.11525382274505497,0.6251549918769695,0.056973230996811654,0.0026585661626241687,0.21514902802537278,0.5780751879601191,0.7078613336267187,0.18778574811585358,0.04050559650964827,0.44906999010888526,0.6132229715531854,0.5525172721945295,-0.0742035210996679,0.037612608854662236,0.4095471381182222,0.02616013332026543,0.261070623954423,-0.04510358362964913,0.14355885905117113,0.44061883057012907,0.24559210743980614,0.35045850003236534
Angular_L,-0.2639912872602677,0.36987983598458773,1.0,0.8463458883612394,0.11359320141141172,0.689085185146533,0.185516851904928,0.16689515657719767,-0.2226981989692101,0.32446274932492597,0.6506748824539754,-0.3207613340164184,-0.016845846310690832,0.23627971190835725,0.34138277309688536,-0.2875861088271574,-0.050028481447494375,-0.066338645155268,0.5364424767486881,-0.2981013331286823,-0.21175845897997722,0.2874078339483054,0.13230020725062078,-0.22183490151138233,0.7028718211475968,0.704842861775355,-0.027630614484007433,-0.04834640723451889,-0.40301507562104194,0.2853011127074253,0.44933132608817683,0.673470883561841,0.2438187225083531,0.8399919059131652,-0.30593713488482727,0.1482064423613665,0.2879473921826969,0.27757446181270773,0.19052451262049533,-0.17547683643340442,-0.11670990150711326,0.20048727028898788,0.036604759405692654,0.29410034919731687,-0.060707742249200586,0.7185178682968144,0.49853238088774166,0.43711007707602373,-0.32811784141584127,-0.14879047628222478,0.5491098379938132,0.24684415459586453,-0.23518415825930028,0.0007200445616376583,0.7042690135120916,0.03454196724625917,0.06468254978343452,0.831978651198611,0.5693248991757064,-0.09436131486273208,0.1809007716908619,0.08263550157745805,0.1481496818092014,0.12797505345105312,0.7844463722284873,0.11118047608132237,0.7131205954358255,-0.6163951081697392,0.1156300477236719,0.10014915583027517,0.8206303933471142,-0.13614600891228834,0.39513390471142157,0.2582460547148729,0.6028125125665786,-0.22981581417678898,-0.4171672624321304,0.08334607421386066,0.5389506982683241,-0.4264411376313349,0.18256816482045696,0.08750359808112329,0.7433589905185776,-0.07399644663303974,-0.04286444437601111,-0.019845960755366616,0.37832605728667323,-0.5542252266369875,-0.11215499344998414,0.5951761097949052,0.6606634998505981,-0.29168690425271127,0.7806566848999897,0.1262702535243426,-0.0858326746926715,0.012247291320612341,0.643319987987426,0.17458517543483157,-0.2504170198164296,0.5489415576621224,0.23876278254809286,-0.6623123917530161,-0.21416124205506618,-0.07698259518533056,-0.11617630365453598,-0.5502258088789254,0.12242737744198293,-0.0858225713272225,-0.08391560386481808,-0.07282681995417865,0.09924578008281913,0.05677824330852513,-0.29753677931463113,0.3930731511948296,-0.06612703630017477,-0.4124547414680818,0.168521997066758,0.592116424011193,-0.1657635991696694,0.4543239781176491,-0.0941979017921157,0.6973626370625398,-0.2042416165143864,-0.2368837975405729,0.6347190898887132,0.04199417095274653,0.31228164215202964,-0.09435791616389316,0.18009906429324576,0.4794987056836735,0.07281138073032511,-0.31564811122092545,0.11783641517803695,0.6300418583837325,0.3176582876313616,-0.35740940184449044,-0.24043396511779155,-0.08086203920293701,-0.2004406441483119,0.07718975075579138,-0.2064887401304387,-0.3951047999110917,0.5651497224783982,0.1538280713377228,0.2452780110179226
Occipital_Sup_L,-0.1324133642909402,0.4389252595953944,0.8463458883612394,1.0,0.01427396162265665,0.8148148361953378,0.047366352391703975,0.11015607110620568,-0.3308057604395019,0.2685667385342841,0.7139104125241185,-0.2400871602060682,0.022636378972749855,0.21699845376488644,0.39731454820310547,-0.3051680303345515,-0.2578593558639656,-0.020514194742779688,0.5671985907879644,-0.282625310408221,-0.20140158129701016,0.4435034155252762,-0.1344034437653706,-0.306839947099605,0.745913641065433,0.7085813463170264,-0.2389806735220113,0.0365975939852683,-0.33819273126578314,0.3711195920143046,0.518059162180009,0.656664521398591,0.21676094928645076,0.8829105714656534,-0.26915151785122193,0.24032959675853155,0.3411972527136935,0.430400700014902,0.19717484611080693,-0.21163199417708728,-0.15703660900914085,0.26245701102400065,-0.12429866530691705,0.2664480954888322,-0.16846286841945382,0.7929411704788196,0.5297100725104652,0.5727410693513159,-0.4802500253703115,-0.1354055477210895,0.5173073469206485,0.2768933794213398,-0.2772387304285658,0.030861023607684418,0.7315249803230377,-0.047726002032266054,0.20830716616164857,0.8360175507394348,0.6413724772879543,-0.2899593082057215,0.20535779001588306,0.1963640947370444,0.0655579459796111,0.0967398188984863,0.8211532175679938,0.14930308160523453,0.8039851802479556,-0.48797651456319086,0.07681786724477863,0.09419323724889928,0.8173894841217061,-0.04996411249148808,0.36048740487288844,0.23332419744256258,0.5997178479295049,-0.22369203190541245,-0.401283590658049,0.004354842719152737,0.551980103109297,-0.4345815375699789,-0.09844860936755827,0.06033164559267861,0.8209157639744049,-0.19709981510753163,-0.03819075921378371,0.08513450225118811,0.32238634589359955,-0.49520269160524505,-0.11487468944662889,0.6542677006307247,0.5864176732820822,-0.30759826721056693,0.7492717559974198,-0.022916906604817214,-0.2031354956595859,-0.12271445486258284,0.6480681926929286,0.28315489291012047,-0.2791471466152696,0.6031192171233197,0.3231176941106569,-0.6119569694185304,-0.21090581635036973,0.13421461229983225,-0.1630043515013203,-0.4151098875313096,0.2812056024005669,-0.10886697407575348,-0.14800032083069595,-0.04751466278603068,-0.08489587399058532,0.05177073145242185,-0.22967871721590438,0.45772632149649717,0.03796210726063578,-0.2333422346746576,0.16354837060598348,0.5635485337353484,-0.13071035603241288,0.5710030430686651,-0.18803801304141357,0.5955496603523466,-0.18335981679084382,-0.07584197962370834,0.6722235673437048,9.570838458174945e-05,0.2217021596788683,-0.006740154718505369,0.16451342886435877,0.37980260028048385,0.027018674508323036,-0.24871391909677015,0.09105691789176135,0.6466623828422877,0.379534745779955,-0.4256680150945146,-0.3883899130497072,0.04995286609934027,-0.32977729120181776,0.00042497415437492344,-0.19486476894910224,-0.36200320378990586,0.6003974865509262,-0.007206090278984979,0.30959220280880156
ACC_pre_R,0.07800648614978076,0.34370802445629317,0.11359320141141172,0.01427396162265665,1.0,-0.053655203205199446,-0.3020169936356265,-0.06362961218710754,0.575251119265374,0.26845032433603944,0.202331215169835,0.22499929295091414,0.43389558133245315,0.3485921252534173,0.15640196946034068,0.035318758720665,0.393116571080543,-0.15662147278998895,-0.05049854069267845,0.29626470894266776,0.311050073169642,0.04682660269199452,0.3665454971469178,0.25048409839817687,-0.09253011458076929,0.0899222213282455,0.552014943291168,0.2219134618653841,0.40434670809358964,-0.008264308100065603,-0.2670756376969811,0.2113603657346868,-0.033553315873357845,0.16249990272745393,0.5530380862432952,-0.12399123134898561,0.21351138917542495,-0.1916138888458927,0.48325301868491366,0.4706142059779525,0.36821252448721953,0.32337110993284024,0.33222002833264197,0.3295542362838923,-0.2117448133296527,0.26119500574761456,0.05876134365241773,-0.16819238517308222,0.5371514748935414,0.22985946095778165,0.15070117233750302,-0.19402957265907145,0.4984759452158119,0.4465635203159623,0.14109238755837536,0.5562201513133396,0.33104589913213334,0.2458406343328798,-0.005955705748493954,0.29177007778361297,0.33181629048242045,0.1117210912670916,0.2122225871029597,-0.03696353533159083,0.21660675464701118,-0.38575072130332283,-0.09907700895707916,0.19889664590208797,0.2568206550954554,0.45269428856196137,0.23954423552823698,0.033073824626233476,0.1901474670529967,0.29864271559245126,0.012797576420858577,0.19071666848484434,0.4209710375832293,0.19811144799994615,0.3210429644427516,0.4343293519882666,0.5233917149149208,0.11115801399639114,0.1366569603914338,0.42764512031918817,-0.10833422630707419,0.0195930820475526,0.5403354166658445,0.2998051628006237,-0.06576465134864112,0.2892898564809653,-0.1254701538428479,0.15881007124214713,0.12811448328430564,0.12413360861421557,0.48279372599273995,0.5210069836590039,-0.07414781814652881,0.2634872753289025,-0.22013427849749045,0.20988810867354055,0.15361429547912614,0.27878072517200203,0.2578242605591631,0.13357646258729916,0.08635108833293408,0.016312100174890327,0.028966971150841517,-0.36660457235535454,0.48381011440285043,0.2342165145046312,-0.1314881726374391,0.24267195937162162,0.3007822873156781,0.2496722101207252,0.05328220782232369,-0.08497149775737382,-0.3842298639188144,0.026401526419584452,0.19588476703095725,-0.16925231411608177,-0.1935055330172339,0.0040005943345563415,0.42081959580017214,0.21578363317572138,0.10293418115679925,-0.32996642014722105,-0.26486087736797426,-0.18323615376679525,0.3124503401270021,0.547707750242195,-0.23218163163497063,-0.30973243542462164,0.24281479758110858,0.18052441172803219,0.0852389674979898,0.4671748713439814,0.6496785566346863,0.4781674020915595,0.4176340895157906,0.2634656900136852,-0.3832843354775909,0.2714099168827647,-0.03762610864408107,-0.11346055480038764,0.12056286346328839
Cuneus_L,-0.014361064579987154,0.4737576118080483,0.689085185146533,0.8148148361953378,-0.053655203205199446,1.0,0.15699326072006942,0.11709075398834533,-0.2215082557209976,0.12193189286607962,0.7576515054025056,-0.06882553613197875,0.1391217094036636,0.03972780918320287,0.4979561128755488,-0.06324684819611878,-0.15366272292334845,0.1345883052930303,0.500643051512319,-0.10649026125972433,-0.1301022040136227,0.45107898730648527,-0.2166478347970281,-0.09126655190258469,0.7101696181684911,0.8253577115130953,-0.2784001388861887,0.048183268243584196,-0.26395176408867005,0.4373698300469217,0.6149875611895671,0.5632118605197108,0.25852046811518314,0.725421989678101,-0.14938995406279149,0.3919327762963971,0.5000829097078915,0.37374223324662625,0.1776523252380919,-0.11513196348343954,-0.03723774455460705,0.40420490368784756,-0.2552676460396446,0.17440322950121276,-0.08710593358641251,0.7924530864672742,0.578814590533364,0.6667452445846596,-0.3702624029950316,-0.17546114107172608,0.5985918435250827,0.4853927591965441,-0.04425754541253262,0.22048439160094271,0.524316699281485,-0.15796505651031173,0.3266507323371453,0.6333727913430862,0.6772349928574417,-0.3905457729716685,0.07860838775568668,0.13787424535452913,0.04111840473131139,0.2330434263908214,0.8534546490410688,0.35212859981070016,0.6779858568295832,-0.530164518420851,0.12184848139275373,-0.006524805894205118,0.6349467395582155,0.039529111855206835,0.4296874484762188,0.28988876207197445,0.744821597968291,-0.10111523536710182,-0.3764765805412396,0.10217592766996786,0.5259540667660935,-0.23124460078313597,-0.2036185666428483,0.14052732607211604,0.8901368673088426,0.004674014521958139,0.10738069204750338,0.1401653632931665,0.2876314889415318,-0.5090715667280773,0.013700583360169865,0.44439939661693534,0.35150419449574705,-0.07934799499962916,0.7440567560974576,0.0245605131077621,-0.1683917540101226,-0.1512653667673085,0.5708337092033162,0.3131212751461603,-0.17977613809160917,0.6730971891749133,0.5310747568174976,-0.5472011489468697,-0.17375483094487057,0.10477661789503043,-0.02101247711544076,-0.4268035162619093,0.25608841577369057,0.07985069576283994,-0.14114909246524499,-0.16320083271540622,0.04457957638480518,0.0007940175709366669,-0.22359498836255848,0.4895495183578716,0.0945074324380038,-0.18684742777069022,0.2885487791359287,0.6615585285782148,0.049455888373611846,0.5998643445778171,-0.10626163840038481,0.5437607742121287,0.04120450907772173,-0.0381037463745126,0.6945022079407265,0.06126192259663712,0.0841584069153951,0.02189275775230976,0.3193303735086473,0.34382758559917914,0.055776155401280766,-0.16196308302832185,0.2492192261635785,0.6142779048613435,0.1944134842289727,-0.42838996056372725,-0.2878901235539552,0.0831995078615705,-0.14544936486598453,-0.1490832484026548,-0.10333228839089303,-0.28582377615229987,0.7258299505840559,0.12829216131080562,0.3253825787332027
Cerebellum_Crus2_L,-0.12141259573468481,0.04073337436154999,0.185516851904928,0.047366352391703975,-0.3020169936356265,0.15699326072006942,1.0,0.1521329487912567,-0.345058872912868,0.16206686058044353,0.29185128885646133,-0.12282837689843486,-0.006307681459653894,0.30074471529919733,0.382083488808628,-0.08139814335860603,-0.13362915396983113,0.36811102299498105,0.20443021398983263,-0.25213202185485034,-0.10465468094195143,0.10331716507195952,0.07619223626305838,-0.17247886785255104,0.1486661104523908,0.10447565080375566,-0.156751090189095,-0.5247060150978428,-0.2363204070469389,0.4949530658087026,0.3500192700910902,0.26871577592824847,0.6825045756932054,-0.13776500507735787,-0.26215186100160504,0.3202992256389337,0.09338467378174277,0.1270813180432059,0.10213984771329306,0.08097137775841695,0.1478204766816075,0.27938897855835065,-0.04654240432158338,0.210149576544276,0.6284745507018885,-0.08924769030876056,0.5486323084929025,0.1839771132289383,-0.39587505011612073,-0.07400773873169969,0.33297915567764497,0.2190866213974577,-0.33533645152478986,-0.03536987356914236,0.004820340871266725,0.06304932079921803,-0.114887871847888,-0.028827398212986285,0.3349823964919632,-0.0021982606779832837,0.2596040574336334,0.19515526885474085,0.3519622417989267,0.3174326715705109,-0.059974161890211534,0.41346430037840837,0.29025914345549786,-0.43183610710350434,0.07867600079355619,0.15563799598838554,-0.053678830940066785,0.28509029568664424,0.05045457296313759,0.1685225084063918,0.13126619857801056,-0.10631741238197794,-0.21542844593295096,0.18185416153385608,-0.2565206893515409,-0.20543614296571278,-0.0491311508259471,0.4102251296751924,0.056160039653177556,-0.2492201855627653,0.6422117282085419,-0.11782180613856959,-0.015113473897799616,-0.19134438388124966,0.2828100859914187,0.22875269305702653,0.4001178805316292,-0.23230140031926497,0.01569609124203626,0.1669094459837223,-0.06695378054713952,-0.2594289203254951,0.03179545870822899,0.06161676739059548,0.6136186708343718,0.3296389798216901,0.1756727646967284,-0.32537610217014945,0.008260474744525749,0.07994077879195569,0.37903701582305344,0.1866349974809772,0.24013364058520073,0.7417064778076857,0.10864583219804864,-0.2665783316446348,0.7620766878581123,0.09382860924895264,-0.025782640169520248,0.27532600352681535,0.08799266309673005,0.06968006240089858,0.5873660296254849,0.0651672855735859,-0.1146256384523766,0.16535201924916318,0.6141601553616007,0.1063566733284349,-0.2984198257691556,0.03058794159655147,0.2717647606462844,0.9042706016803901,0.6179943702703213,0.4937876688565935,0.24785043776625507,0.04877309575941131,0.5959127157957242,0.6655921967051576,0.14545373310742943,-0.014224364072658343,0.1272716719307987,0.013784039755142367,-0.2418361445723457,-0.4120751561454119,-0.2275206203077851,0.1235082755945,0.820627218506682,-0.669577925527518,0.09764264231444295,0.7833891525293852,0.2694968879102863
Amygdala_L,-0.1441935337937333,0.2912206926594245,0.16689515657719767,0.11015607110620568,-0.06362961218710754,0.11709075398834533,0.1521329487912567,1.0,0.3702649633470045,0.5912738134709628,0.323006265116449,0.10554742591445619,0.11762317673265912,-0.033560425435566,0.3393835510974098,0.44003204611154256,-0.009750701785295676,0.3220693747409948,0.2732186921080414,-0.23009012853238786,0.36623535328079154,0.3704150067720758,-0.10433183260830056,0.42384210761073404,0.4466876730042047,0.18863917096713,-0.05141505746919207,0.25998353635145915,0.16967584317729337,0.24961211940766925,0.05675156547188326,0.3648453308825237,0.43883897860216264,0.05670684592055655,0.2508040271476544,-0.06382268429889212,0.21418658333937748,0.07832502839719638,0.10323850612318719,0.05948265099169677,-0.23791376270594472,0.09655869713726811,0.017966232869849868,0.1938143391295673,0.25091024603256484,0.1766166302770114,0.35114064915743326,0.2618662378784741,-0.22496161279690655,-0.35943759532986636,0.058214310892263,0.3195290257058833,0.12993185537778465,0.42133416206207636,0.10680826764901734,-0.0003630293101926665,0.3087545197831733,0.0999951397161385,0.4145432111926212,0.20890911739544102,-0.027511392548960643,-0.2763653565494317,0.3138165207934624,0.21516722498735577,0.23862669751199175,0.2927668878992711,0.35015840977436996,-0.21588884298874972,0.4046380417533232,-0.21508097334832227,0.04171785247410345,0.28530091942514035,0.202275158007961,0.4991383647039305,0.24130953395199098,0.4131840168013,-0.27730342749532594,0.12692144648341516,0.05981657813143082,-0.28789783684567255,0.003783615926564636,0.2213675650131692,0.17176769717928198,0.29780621659652945,0.3879198910644674,0.036952143264551235,-0.03570407711968792,0.09984548177617847,0.19619538308399662,0.21571545132975628,0.14730701607017913,0.43862168599243906,0.234874344624431,0.2551596467132068,-0.06396168793947006,0.048171966031126556,0.5054442793211877,0.1471642828676486,0.2708462667162301,0.4010906959870896,0.235458494945367,-0.1471206772035607,-0.25417607247743484,-0.1107345517751497,0.1758760133831976,-0.1809580837197622,0.4726747231097554,0.31512134578328177,0.10799509587987827,-0.06405813610991849,0.3752356703168532,0.3981720900884013,0.1166292379845002,0.3780079675586749,-0.23684669842915054,0.0935428481271136,0.4510890932592365,0.1999874638673367,0.5091458081668222,0.2688218302263864,0.21606833720026072,0.2437602466111557,0.1616417348382001,-0.2821297022406708,0.3291164062844263,0.18286403242594604,0.1761170217822802,0.18805517663935045,0.3718757914860197,0.06537849325676447,0.5173687155902552,0.18071639150083796,0.3786529798477218,0.186424165635979,0.17138932353196787,-0.2757297777270498,-0.18667586129213107,-0.10322512411089559,-0.07343183378554165,0.25290555831946476,0.04643390336698283,-0.002928099154344532,0.29022453601350695,0.3383242723016175,0.030657958345909016
Frontal_Inf_Orb_2_R,0.1847175475373212,0.35163973249534425,-0.2226981989692101,-0.3308057604395019,0.575251119265374,-0.2215082557209976,-0.345058872912868,0.3702649633470045,1.0,0.38388602129239197,-0.012831612994773511,0.4870617396891867,0.4606037421743809,0.06092717648741661,0.1581851710337238,0.5651582349650336,0.5549230810235054,0.2309567396042053,-0.05449663946415223,0.35978085082941186,0.5775844285564,0.057133697964952886,0.290999970556959,0.760460845437151,-0.18686283708012094,-0.07233870148891787,0.5312243986005606,0.4411643945465565,0.6331725323137266,-0.033589325606882055,-0.3428047853990329,-0.1108894925772895,0.01218976724698582,-0.2127410967485815,0.7248153287923115,-0.2843628289861947,0.1844944139313988,-0.2683492611712643,0.33171075375445697,0.5223695783273978,0.22901907275196684,0.11701803890856975,0.3169735955743371,0.2707941497564585,-0.03152682533622498,0.041470876340262974,-0.00948067943477006,-0.21416936569793119,0.6191272146933441,0.11356235254014856,-0.11972202879684161,0.07477511853196185,0.7862446244992061,0.5720550083842021,-0.15981295308529622,0.3907584598474736,0.48606814465837617,-0.20487152612534998,-0.129297389033552,0.4469652340385224,0.07373192453943507,-0.17672829611307855,0.2167223065503021,0.20395943342569453,0.04626850690728034,-0.035130016679173176,-0.37435743953470363,0.35062895505485553,0.3792440214117047,0.006847809514572194,-0.16664272507102018,0.263044812357551,0.10039493630281823,0.2939116330265949,-0.019749464536650396,0.5799799213173681,0.3851138201204878,0.3641652648151756,0.11032966393708679,0.4680134782107955,0.42911300005374053,0.23391662038652983,-0.08622925723299339,0.7611532131173373,0.12907149605651477,0.022620390192811285,0.29675667383108023,0.5074640595900228,0.036101998490588656,-0.043893518336631875,-0.32305132396321085,0.6543838833450403,0.032730733936533876,0.31365620540762496,0.38339926386328377,0.5270275240576703,-0.07194996077988912,0.23246567167851653,0.06653067927436776,0.06133525541606087,0.15965417509046448,0.5017546058729279,0.2099737343341023,0.07960584449281047,0.22785753475761666,0.0628310187621352,0.1618129720431241,-0.14968132530158276,0.3468256186315713,0.20361990322423776,0.02525666018006934,0.39814626306730144,0.2988136554666695,0.12699963238915252,0.10263401642715585,0.18776578094709992,-0.15347218159938175,-0.025281213959822024,0.6986339092043969,-0.04347738770004466,-0.05163428100371374,-0.05250942649937213,0.6566209876656789,-0.02164925213255624,-0.10513936857505782,-0.3177917461484361,-0.29395346643734016,-0.06254023286678762,0.3230979740312821,0.3539313609421637,0.026788638087808275,-0.10413653339109835,0.3571372921198373,0.07627391868113921,0.0034198116693301126,0.2942841834613073,0.5714420730283677,0.40806913680082035,0.585858660528806,0.3246972448885062,-0.3014758117344247,0.6503639702889751,-0.06129696016400738,0.02553692431175623,-0.004470807386526533
