,Frontal_Sup_2_R,VTA_L,Cerebellum_4_5_R,Thal_LP_R,LC_R,ParaHippocampal_R,Rectus_L,Thal_PuM_L,Thal_LGN_R,Rolandic_Oper_L,Red_N_R,Precentral_R,Thal_PuA_L,OFCpost_L,Frontal_Med_Orb_R,ACC_sub_L,Cerebellum_Crus2_L,Thal_VL_R,ACC_sup_R,Vermis_8,Cingulate_Mid_L,Thal_PuL_L,Rectus_R,Thal_AV_L,Frontal_Inf_Tri_L,Thal_MGN_L,Thal_MDl_R,Putamen_R,Cerebellum_8_L,Frontal_Inf_Oper_R,Cerebellum_9_R,Occipital_Sup_L,Rolandic_Oper_R,OFCant_R,Parietal_Inf_L,Cerebellum_3_L,Supp_Motor_Area_L,Thal_VA_R,Fusiform_R,ACC_pre_R,Calcarine_R,Thal_PuM_R,Thal_PuA_R,N_Acc_R,Paracentral_Lobule_R,Heschl_L,Frontal_Inf_Orb_2_R,Cingulate_Mid_R,SN_pr_R,Cerebellum_6_R,N_Acc_L,Thal_MGN_R,Thal_PuI_R,Cerebellum_Crus1_R,Cerebellum_Crus2_R,Vermis_1_2,Hippocampus_R,Cerebellum_4_5_L,Thal_PuI_L,Caudate_L
Frontal_Sup_2_R,1.0,0.17292418837772114,0.42082479263220895,0.1741453667961361,0.34153203124813314,0.06523658517714441,0.000567003265568402,0.27408279255459783,0.2554023895369516,0.4805912889242283,0.022032361578321294,0.7518095482418143,0.2043657469313598,0.06689085137399824,-0.14928288031904632,-0.02772459535269337,0.3174326715705109,0.4231963294779843,0.411444793637175,0.38985642132121734,0.4582840082440858,0.3819834705626526,-0.07813113307262695,0.011305725977762077,0.1749186174502523,0.4717646622792065,0.34535868214908233,-0.1349929965134051,0.33150763330335586,0.6286746371645248,0.4376356381717483,0.0967398188984863,0.32925227178755406,-0.0013979162219206137,-0.03393527775527626,0.35154838490902013,0.6063506682955402,0.18778789369337573,0.3598620343641976,-0.03696353533159083,0.38744356961306625,0.07067436554287204,0.09430960181789055,0.2308980673457242,0.24016562639801922,0.10781042590115934,0.20395943342569453,0.6467045028279577,-0.020424262621895676,0.4189339654876061,0.13393038826433462,0.33228966413888894,0.11958040237199558,0.2791691243847888,0.2175477037727526,-0.02896424286326914,0.33646335210033756,0.4677429673890721,0.2829300513053531,-0.058659813227380626
VTA_L,0.17292418837772114,1.0,0.11361111756180398,0.07347372792249915,0.42068141516966806,-0.2523718400002795,-0.6991073898910838,0.26529167676412957,-0.10063508952549938,0.047600817892157164,0.4964564778618689,0.14599359765115763,0.19452627856910315,-0.4197889452781051,-0.37357484937156965,-0.4029549553018006,0.3202992256389337,0.16023709252760968,-0.08070954353912718,0.3873575155796331,0.08199121393692425,0.039596535831448613,-0.5819247219487628,0.05787182782517653,0.177966601927939,0.0367617241448238,0.3214991905193737,-0.14542959523641144,0.2155043247566171,0.16274144093433288,0.3904191876490911,0.24032959675853155,-0.06882212124473173,-0.25603241431957824,0.2291066992529385,-0.17111552453438292,0.39570893739943613,0.0040486964102067645,0.22580971401266497,-0.12399123134898561,0.338135210433086,-0.10412477970051774,0.21756176335279115,0.03770365686322678,0.25439390575909754,-0.07539955232751483,-0.2843628289861947,0.1991828240742627,-0.09428520559138495,0.4653874320672282,0.1702585968504068,0.2252124208863999,0.3615851975625713,0.35778632938933586,0.4605683430686989,-0.2701820781243684,-0.14629402483348117,0.2518091159272088,0.49714791341390746,0.0366685024482275
Cerebellum_4_5_R,0.42082479263220895,0.11361111756180398,1.0,0.37408107279166347,0.5093728658724596,0.5255984007692397,0.1369712156233306,0.3969697837602117,0.38450221878320245,0.6563056326599225,0.3204131408083976,0.11950172511431116,-0.033205362795746124,0.1828777611660845,0.03673318946969801,0.2625084838209645,-0.006307681459653894,0.5789345625543368,0.6775849622341145,0.13417652460859192,0.6478768294395334,0.28026477547425027,0.21315305929109107,0.1183815302832276,0.5883905214350271,0.5914274305656173,0.6245499526558613,0.4525725302840597,0.2016753596882661,0.29918076326798176,0.6515288399016579,0.022636378972749855,0.7120163896337305,0.3851698353313639,0.039125100063794854,0.7037836441312756,0.36354328168307326,0.5969360117122549,0.7973250697387128,0.43389558133245315,0.3941758788595058,0.4196814340133285,-0.08409012328706113,0.17293334638495356,0.24360162905655983,0.332770708431572,0.4606037421743809,0.583043146612284,0.30549581050300356,0.4066463566704699,0.37806015808967136,0.5091421097260531,-0.068797232611621,0.04272699462645016,0.02489230598637671,0.3511812129967876,0.8010121533228989,0.8126428612535631,0.11887310274858091,0.5075680808743187
Thal_LP_R,0.1741453667961361,0.07347372792249915,0.37408107279166347,1.0,0.29920343776356223,0.23844653397425725,0.007347729884116012,0.05207173649037274,-0.03053780015347706,0.1629671768697005,0.10165011985608619,0.025776604112409292,-0.293327353296915,0.32953529134749865,-0.09431466574653756,0.4508250718801321,-0.25213202185485034,0.0010624661336697805,0.3436008483018893,-0.1589161678283482,0.05645787423440521,0.1574378000427494,0.11925012451390271,0.2501823453596592,0.06156665123710644,0.2198608424166021,0.0931343352422553,0.35957749071152356,-0.13732183910091422,0.126802302863639,0.08333290559263282,-0.282625310408221,0.37197687998383183,0.22742043400925616,-0.13168065253503786,0.12057198689334517,-0.14729316996031377,0.6638212374223453,0.2515513934045128,0.29626470894266776,-0.16101032989252517,0.523016768473747,-0.438937745099985,0.2740988659256221,-0.0513175053662344,0.09599998023920055,0.35978085082941186,0.10940949609183431,0.0681693883617089,-0.007308515979201104,0.015769914585736015,0.11154617951077289,-0.2454728257244426,-0.12439864647479441,-0.10731503894192569,0.33083193190077537,0.3661676449352076,0.12162897824252397,0.03492075718873863,0.027865800743604115
LC_R,0.34153203124813314,0.42068141516966806,0.5093728658724596,0.29920343776356223,1.0,0.13644848453917469,-0.19716541769816717,0.2892282351464372,-0.14839177305747664,0.4752684492651523,0.5713067267850825,0.09615486758582964,-0.18899788566288975,-0.00869205167314988,-0.10549168798593048,0.0852235920733949,0.08799266309673005,0.18623296073470455,0.38450440733226304,0.21926150363747124,0.38360293049755206,0.17579075933397503,-0.07276554673211368,-0.048621281475546445,0.5075897189997337,0.10221700230847508,0.34772202441995287,0.19096043234429902,0.3288891278209764,0.1121232156416965,0.596178381669232,0.03796210726063578,0.34036549584308756,0.2989844343856473,-0.025143369971015746,0.11526738336348188,0.36077674665292175,0.40198807392017805,0.3980622556981136,0.05328220782232369,0.14913134126302566,0.3534202887265609,-0.18427044533058867,-0.01817855797110907,0.12872594284107064,0.3710446317080697,0.10263401642715585,0.32341946208395,0.22789913072205262,0.3719715709025292,0.5304630361213547,0.1815216085763256,-0.08539818559814931,0.030136099876533828,0.2436901413414057,0.31563180491901943,0.20229119523998412,0.5191351804163554,0.06951483644061507,0.3282076376260355
ParaHippocampal_R,0.06523658517714441,-0.2523718400002795,0.5255984007692397,0.23844653397425725,0.13644848453917469,1.0,0.5108277971045956,0.0328558429290657,0.3079017884616966,0.23102245305669616,0.3341690412759919,-0.16554578093539246,-0.3562225658843798,0.5914353352878684,0.3233205877821997,0.5949364691422795,-0.26215186100160504,0.1530048268701484,0.341132286378903,0.03340887010740786,0.34041965092567233,0.13985134746491318,0.6043962851610818,0.13067485850498445,0.3119712200593703,0.24974332095718751,0.049329218572245155,0.729397513128538,0.1405170775161871,0.07214340621219847,0.24649706603042928,-0.26915151785122193,0.5863039474247265,0.4360855513218924,-0.23423573492664682,0.4886976735835438,-0.18274519005526552,0.531791683580768,0.4800036770884401,0.5530380862432952,0.06700588746959481,0.5125123060874708,-0.32591573851475086,0.3055259218283196,0.02263624888267159,0.3485999220402389,0.7248153287923115,0.23790693652126085,0.7049343151580129,0.12081406561598919,0.14758104023798307,-0.09902507239877112,-0.5005374057134133,-0.11444114763019486,-0.14731247147267035,0.5547401539371175,0.5963714657301217,0.40181663887916097,-0.3332181887150922,0.36463003119036447
Rectus_L,0.000567003265568402,-0.6991073898910838,0.1369712156233306,0.007347729884116012,-0.19716541769816717,0.5108277971045956,1.0,-0.24613554388098474,0.1413418182666498,0.2219164154482638,-0.27611219853399277,-0.08478557481642647,-0.3221682948684199,0.5747594828895771,0.5778395382952893,0.5465273661620561,-0.0021982606779832837,-0.07012262837033756,0.3336443771040694,-0.028757225648560463,0.06405027146384985,0.1516146536034579,0.8516988018601407,-0.050272519625313095,0.12773228531517683,0.10793439935399736,-0.17698872141145114,0.24222450510553223,0.11910126947936779,-0.15788876428756451,-0.04110349379423368,-0.2899593082057215,0.2960040645239972,0.4735205135534777,-0.3258200668928032,0.43299110963652904,-0.3508867912712667,0.19392587140987266,-0.0647619447443639,0.29177007778361297,-0.2329374259767506,0.23461319934242242,-0.3158837765366552,-0.047033035798479096,-0.22128238285213203,0.2956993057790572,0.4469652340385224,-0.11550261338527461,0.20568180147459394,-0.1012047283718838,-0.04285830225157414,-0.09991401643817495,-0.3840267225641155,-0.04876468168812913,-0.17876433381806592,0.3139770624718223,0.3265796399869998,0.025360172315068413,-0.4792834249694159,0.18445343635341702
Thal_PuM_L,0.27408279255459783,0.26529167676412957,0.3969697837602117,0.05207173649037274,0.2892282351464372,0.0328558429290657,-0.24613554388098474,1.0,0.35819856689694873,0.5101383274051247,0.07811223449721172,0.24712370520746615,0.5630953475552528,-0.24662107552451137,-0.16435586119561357,-0.34915269834586843,0.10331716507195952,0.5767919961371832,0.1992402481878697,0.1450556240607472,0.37059807038472664,0.37049533878537977,-0.2880709198465394,-0.031262215456698814,0.27929232078926014,0.489821089190829,0.5519487904355266,-0.03305182728222654,0.08163423384107832,0.4700240257288714,0.3638145525872256,0.4435034155252762,0.15311649989983095,-0.2056911466846183,0.32783775956985256,0.3288954179079856,0.4646936651777271,-0.05513735211881545,0.5047121101387035,0.04682660269199452,0.5722862133318747,0.003258214851857189,0.4694733855763297,0.16096640119321426,0.26903929587454395,0.016077802529569914,0.057133697964952886,0.5086304008773879,0.04475272495856366,0.337956944143655,0.13522055732748875,0.48801867839771235,0.4171157097434391,0.13822273609703295,0.15367331156651873,-0.17216907733485903,0.34829339024579015,0.5484325747583235,0.6308868662343087,0.10982965263103493
Thal_LGN_R,0.2554023895369516,-0.10063508952549938,0.38450221878320245,-0.03053780015347706,-0.14839177305747664,0.3079017884616966,0.1413418182666498,0.35819856689694873,1.0,0.36308501203926297,-0.0933733397246117,0.2200918835827468,0.39150524673953696,0.05122685230057622,0.07615277928874785,-0.048237883905764355,0.1685225084063918,0.7474542100257703,0.27530871615383395,0.02695160022082998,0.3717608054619515,0.14331109806353606,0.10597263829800828,0.40784770813334287,0.2501611052080066,0.6151887290670566,0.3929134991069846,0.13643092725647846,0.05427227967923561,0.37929287268631473,0.15361860291612667,0.23332419744256258,0.3447574337543323,-0.1313498386325182,0.23244208302674535,0.5426385995876465,0.18594711163253708,0.07242047289907862,0.32853747612429635,0.29864271559245126,0.5612481863764827,-0.19111641345956124,0.4756276101772484,0.21720137044500015,0.1891245641780734,-0.055980795621930445,0.2939116330265949,0.4568758475815962,0.04778192559646905,0.23713525322329937,-0.007543444052632832,0.4486806458097002,0.3175033872699552,0.2397726886363526,0.03380307367601256,-0.12319981876761117,0.45274500053778655,0.3910892032095942,0.19933774578211003,0.23019899490778592
Rolandic_Oper_L,0.4805912889242283,0.047600817892157164,0.6563056326599225,0.1629671768697005,0.4752684492651523,0.23102245305669616,0.2219164154482638,0.5101383274051247,0.36308501203926297,1.0,0.1646893395089051,0.19163323285304135,0.16917397079286492,0.040005482064684704,0.15299423346827443,0.08303433903136696,0.210149576544276,0.6056481285476416,0.7524082226846971,0.20447991455655828,0.6595313556697295,0.4150916740349507,0.22358431218498087,-0.023645032663725325,0.7324805113455108,0.535202089939267,0.621126665910605,0.18342324724060238,0.2937275197598364,0.30667119321707365,0.6269622657828787,0.2664480954888322,0.6109513674349034,0.289221625903907,0.17974004070261992,0.5539193823855574,0.469223368329638,0.2625571676239616,0.5460117256455873,0.3295542362838923,0.5001314180921824,0.20694815132545716,0.1717830136462164,-0.05156392684566755,0.35439503420104496,0.31949531742889087,0.2707941497564585,0.6375616780799384,0.12534429738387676,0.4391875106010879,0.4379853884486463,0.5342355252644487,0.15913873745135176,0.22711713049889945,0.18674065114076924,0.10617961678627738,0.5217367170878828,0.7160262995123216,0.17137496840991492,0.49595701686493315
