,Cerebellum_Crus1_L,Supp_Motor_Area_R,Red_N_L,Angular_R,OFCant_L,Temporal_Inf_R,Cingulate_Mid_R,Parietal_Sup_L,Cerebellum_8_L,Frontal_Mid_2_L,Hippocampus_R,Cerebellum_10_R,Temporal_Pole_Sup_R,Heschl_R,Heschl_L,Cingulate_Post_R,Cingulate_Post_L,Rectus_L,Rectus_R,Cerebellum_6_R,Cerebellum_8_R,Raphe_D,Precuneus_L,Thal_VA_R,Temporal_Mid_R,Amygdala_R,Frontal_Med_Orb_R,SN_pr_R,Thal_LGN_L,Postcentral_R,Occipital_Sup_L,SupraMarginal_L,Occipital_Mid_L,Cerebellum_3_R,Temporal_Inf_L,Cerebellum_Crus2_R,Thal_LGN_R,Thal_PuI_R,VTA_L,Insula_R,Raphe_M,Temporal_Pole_Mid_R,Vermis_3,Olfactory_L,Pallidum_R,Frontal_Med_Orb_L,Thal_MDl_L,Thal_PuA_L,Parietal_Inf_L,SN_pc_R,Vermis_7,ACC_pre_L,OFCmed_R,Occipital_Mid_R,Rolandic_Oper_R,Temporal_Pole_Mid_L,Paracentral_Lobule_R,Insula_L,Calcarine_L,Cerebellum_4_5_R,Frontal_Sup_2_R,Frontal_Sup_Medial_R,Cerebellum_9_L,Thal_LP_L,Frontal_Mid_2_R
Cerebellum_Crus1_L,1.0,0.15782240008944146,-0.17046068759262042,-0.020631587131787327,-0.2086641131962375,-0.10464627837359132,0.056973230996811654,-0.22080804779393687,0.8670285286399307,0.2195195308907305,-0.007165297884819895,0.43239374622773036,-0.32915504820369246,-0.13410704530779075,0.4374209859980734,0.13026155800471395,0.27068370020747395,0.054365327243319356,-0.13016410134220407,0.698842006534767,0.725731095497668,-0.2999051631211175,-0.17257062210642182,-0.17078426570462998,-0.07431696319053264,0.10326173808926972,-0.06566202634848431,-0.04737367224844031,-0.028026610469248626,0.14568236557853526,9.570838458174945e-05,-0.12055878093768305,0.44276132494050763,0.022545031616285006,0.46179837615346336,0.5835018914580279,0.16856037340497876,0.2665227558980141,0.26852063759254147,0.3176816298686552,0.32227199596735573,-0.37296439326599096,-0.24034405489387198,0.16186995633600332,-0.24814013632263468,0.08692702278549336,0.035274266483514505,0.036892858803452104,-0.2612566839923223,0.20481163740720837,0.756788399064454,-0.2563004841955771,0.0073106636008945115,-0.050522816222126024,0.13566858434821802,0.042532795668038276,-0.08524611821671887,0.2215563623349278,0.2753817043438834,0.07654190179709736,0.3264181013007076,0.18048043525583451,0.46803566653640993,-0.06601239720599064,0.45223422171125544
Supp_Motor_Area_R,0.15782240008944146,1.0,0.46812007947997825,0.46161892467405397,-0.16245384045858244,0.1551782275020631,0.7225996605606549,0.3868675988326606,0.12455346321764653,0.5575387127369004,0.19651042177162578,0.3157630329571312,0.09124851368374483,-0.13339001681645934,-0.18172377152032668,0.2917183431637201,0.31111430000147905,-0.38744550458016663,-0.395934276762928,0.3884049982996188,0.20327254378963008,0.44979236452059396,0.6511480122847663,-0.19720099229578036,0.41610188613786225,0.5169763293945078,-0.3710066503243779,-0.09747406863171733,0.16968685253781068,0.4942504244685997,0.5710030430686651,0.4515489385993141,0.29628844945203575,0.15574731703719674,0.30559638318953547,0.11125270099013523,0.13847591117395633,0.4628755750584901,0.4184251584054225,0.47825982778033327,0.1624432158476849,0.03052113060106848,0.20998995017342714,0.5180652001177394,0.1291410912718266,-0.3283443613166941,0.35540344336687846,0.507721623694441,0.47170917850751365,-0.10930120371483079,0.2077525500606756,-0.3968460188998849,-0.3066450050437394,0.45772247584126763,0.17041659621374677,0.012299148892945979,0.7412061100725063,0.28452553005295944,0.5579208954914874,0.31096207212048743,0.6367740634008463,0.547075786660069,0.43252109913681247,0.49424816187397014,0.5308673027615112
Red_N_L,-0.17046068759262042,0.46812007947997825,1.0,0.16853136537197394,0.02036439651700143,0.6036021688935826,0.3552230650200543,0.04813139713399088,-0.05684487772605779,0.22318256961630664,0.16470989660295687,0.2627352366836398,0.4942987248997578,0.0026928002669076036,-0.242233127701871,0.2442767937214682,0.06753564749507747,-0.532036115752806,-0.40885821211231604,0.35343686971230254,0.23168736552515645,0.4181061090350229,0.3013826724403937,0.1158146025843225,0.5936992282710022,0.32549601154249697,-0.27503890168702577,0.19236175363155295,0.05555086593001848,0.15793028047158378,0.06921268671703687,0.08968365990427031,-0.23227868156335915,0.15977513085238815,-0.19528471939879094,0.30777018971423126,0.05680575620774769,0.07904455794501784,0.5627400954449787,0.06887432254178365,0.05407151561587698,0.2879699596612712,0.3673698793597999,0.09956755022526372,0.4388371995145174,-0.32526031030888064,0.2732279704779368,0.23098889472659392,0.1540125121027307,0.0469556923466363,0.03178903545470203,-0.04430572935367245,-0.55987902194563,0.24489262844252616,0.0469702770164019,-0.2074385834741961,0.3293311799680691,0.039904313170247986,0.22702456750876446,0.2229738530027881,0.22597451124937556,0.4167368223058738,0.3758697367466478,0.248351970404863,0.16744613592495602
Angular_R,-0.020631587131787327,0.46161892467405397,0.16853136537197394,1.0,0.18688129774770523,-0.1267357505176775,0.45493615670344834,0.5167028663966471,-0.2831842955764016,-0.17385167748823457,0.061860157088744226,-0.13065109762686258,0.17234545135220347,-0.567139122742694,-0.5394383069410034,-0.03420077141359757,-0.1945474103613134,-0.1244833434239816,-0.1442618277120061,0.008982671723005249,-0.3184727499585454,0.5054408672948377,0.7929845594373969,-0.3425312823878384,0.43442082504145474,0.39119339518815816,-0.11319630432655843,-0.31064421694552263,0.3792357306499725,0.8323423429009803,0.5997178479295049,0.4258764962824853,0.2251939041013667,-0.1259954901137769,0.1302131345527033,-0.20447433110581517,0.35791710405959476,0.6500117631588981,0.0925573007178349,0.21576455955188423,-0.1475955738953162,0.13580530185197268,-0.08277332723654235,0.08272663206251799,0.014843446734238132,-0.23782985336309623,0.43559139549979964,0.7439982995338686,0.5198281158748603,-0.4318050075106872,0.15184592428118968,-0.03528949347212774,-0.13546317308794503,0.930559677337438,-0.10214504944908935,0.010019957435171659,0.5064878802191651,0.19596957260487397,0.6017471300797232,0.007562137557116465,0.32689491454025227,0.03514056776903205,-0.19445275064327483,0.6985705119588678,0.25316222704908314
OFCant_L,-0.2086641131962375,-0.16245384045858244,0.02036439651700143,0.18688129774770523,1.0,0.176326405001732,0.14363796737165152,-0.2166761027932823,-0.06946755880141768,-0.3915868067870016,0.35892840179800023,-0.030136848627466257,0.4742944829643028,0.031266991653368964,0.10485552218359193,0.27757639350706836,-0.11299152152951442,0.48339927290817836,0.481001395124674,-0.13277865027592609,-0.14430992378402246,0.09786708100552971,0.0030230020267038695,0.20805795042854047,0.3332194363147203,-0.12536091825931006,0.338208339691907,0.42622850330897527,-0.04782689887286723,0.34513293321253485,-0.3202231354500576,-0.3560165930417685,-0.19787594340859105,0.3007118173539503,0.1426083813328431,-0.32854001996304333,0.17930892086409442,-0.43974537566165534,-0.43527377096336034,-0.10130148739503436,-0.11159724551420025,0.48965284894488803,0.33546840204527284,-0.4220643591858411,0.42163923416350874,0.18375563826077035,-0.0171406168945814,-0.14691800570809643,-0.3506060249083241,0.1873758744787622,-0.11407335870112559,0.4239483396533844,0.30695306421019275,0.12529660271828452,0.18822527838220168,0.4362191230863328,-0.07284213288028742,0.1387048600278416,-0.05765720955210594,0.18060021704033052,0.1596281099136574,0.055180946212684844,-0.012134923963766819,-0.002963043950827205,0.20002362505593532
Temporal_Inf_R,-0.10464627837359132,0.1551782275020631,0.6036021688935826,-0.1267357505176775,0.176326405001732,1.0,0.3073591457755092,-0.1693946389151396,0.07545358097861438,0.18574454798944526,0.289140060568448,0.36194775727798584,0.7138713960721875,0.20559829656886844,-0.017955804929338397,0.4559615803689552,0.20369014801594792,-0.06492281339504005,-0.04554053559375728,0.5150091915070155,0.47053266144774764,-0.03993447532123423,-0.002603458851890831,0.29728816035669914,0.7783782203981784,0.05953965939463177,-0.031347320018591314,0.44763804933350315,0.0050530663864925204,-0.05786871442113502,-0.22369203190541245,-0.1514820925843406,-0.24624927129725752,0.5004270413059037,-0.3175862102636777,0.5445113651525284,0.15600052762372818,-0.23331239526823805,0.20395781721806666,0.13769333020802715,0.1702308842464526,0.47408492335896313,0.27739143328141136,-5.9559411929328894e-05,0.41226187492897776,-0.09750305841963226,0.2747345215755149,0.054333749331126266,-0.11726622606966493,0.15108374789914075,0.15612060518665305,0.12369407221048913,-0.17963523536905418,0.00531920652733719,0.2062843997358403,-0.2760960426798488,0.029160239025559222,0.32696395676155,0.09611631333064118,0.36395479417672666,0.24706354926311275,0.4990469388306793,0.4730174425338464,0.032489175448594025,0.16495686922039435
Cingulate_Mid_R,0.056973230996811654,0.7225996605606549,0.3552230650200543,0.45493615670344834,0.14363796737165152,0.3073591457755092,1.0,0.278348507218783,0.04050559650964827,0.5525172721945295,0.48682606827928593,0.3459492379572536,0.3501675263907758,0.08124088781525543,-0.06646151736172944,0.7160282798465678,0.43959676498652056,-0.11550261338527461,-0.06713950387737892,0.39623522052202603,0.13790708071302965,0.4659546040483447,0.6693506485693658,0.054066177942237684,0.5852799151923005,0.35798838672791883,-0.05573312622330588,0.1710621563317038,0.2428296753574219,0.4609970693881449,0.4389252595953944,0.46671353907776725,0.1547187722638234,0.35742548088091614,0.35045850003236534,0.05867229735236061,0.4568758475815962,0.29206693069214945,0.1991828240742627,0.5745719959416112,0.086635909527024,0.24013414653382525,0.4095471381182222,0.27981055203896715,0.33988375140731025,-0.1564945820908293,0.5497226616573847,0.46305709085297014,0.38574428712462494,0.08386882838384056,0.24559210743980614,0.04473091298248074,-0.11562557840608408,0.44061883057012907,0.5172542878882425,0.06233504819987051,0.6132229715531854,0.5192451375552561,0.7230980517172921,0.583043146612284,0.6467045028279577,0.5673147673873934,0.4127679358953214,0.46379515511591834,0.5501840811181412
Parietal_Sup_L,-0.22080804779393687,0.3868675988326606,0.04813139713399088,0.5167028663966471,-0.2166761027932823,-0.1693946389151396,0.278348507218783,1.0,-0.5081468901655558,0.24192690632798813,-0.1808776499299112,-0.20566594664120033,0.015233007407775181,-0.2950320885478133,-0.5922174216908982,-0.10225764734255802,-0.13717980100940966,-0.11812303716344975,0.010449326051082255,-0.21067074026958907,-0.4061321666580357,0.5503411650058856,0.7578002316038107,-0.32337042723270637,0.06381985729190194,0.11831883316568272,0.16132559707267535,-0.33498008598769513,0.4051306437344182,0.14287591918514372,0.8174233028703994,0.7989177449706983,0.4914272469474654,-0.14086964128096968,0.10107794619584928,-0.18942757024964282,0.19725223007242618,0.6186302294633175,0.08906179526779838,0.057860695093106464,-0.13891520273788657,0.09939333744479457,-0.013870117798324868,0.25421836534143344,-0.09970885241333,0.09160085944762958,0.23016600720754718,0.6142719779899164,0.8912041911977648,-0.29382511697309566,-0.07021108369476037,0.007116338551989869,0.041970388585494935,0.4963029347769022,-0.19872784614871364,-0.2652946588497814,0.6289398665785251,0.23136866599773298,0.5037812998786129,-0.04304538108416514,0.0013999663707326086,0.015919870650272352,-0.228970801143642,0.5809384964200205,-0.22724334986471553
Cerebellum_8_L,0.8670285286399307,0.12455346321764653,-0.05684487772605779,-0.2831842955764016,-0.06946755880141768,0.07545358097861438,0.04050559650964827,-0.5081468901655558,1.0,0.2566984677526861,0.17253898104085763,0.5417188775257764,-0.24039769764154018,0.14853939364776117,0.6904151585035546,0.2671205399819924,0.43497062833918404,0.11910126947936779,-0.06391557967037631,0.7195517030897973,0.8338769685060476,-0.4130280049088818,-0.40046153770356296,0.07438566233905229,-0.024741129087145874,0.0660201050591551,-0.1358671245194053,0.2135103040276017,-0.13718345514363325,0.026211796512861266,-0.24871391909677015,-0.39126134207226315,0.20287689766619635,0.23592730332684125,0.42283231212898376,0.5350344317021597,0.05427227967923561,-0.11544409387725296,0.2155043247566171,0.35270456635794195,0.37669881648085113,-0.2925777719328773,-0.05516408432520458,0.16062291793281983,-0.0741827600766328,0.06250781104903201,-0.025968294008468715,-0.26336527928779785,-0.5128410325440007,0.3848632203577405,0.5812511022176091,-0.2745845621551206,0.05722710990960686,-0.306486934990811,0.2812722747988618,0.24120088318517824,-0.18852515045711057,0.18300324189944106,0.027788520257641003,0.2016753596882661,0.33150763330335586,0.248568451558796,0.6922186188443036,-0.33294295482566444,0.5207356327036065
Frontal_Mid_2_L,0.2195195308907305,0.5575387127369004,0.22318256961630664,-0.17385167748823457,-0.3915868067870016,0.18574454798944526,0.5525172721945295,0.24192690632798813,0.2566984677526861,1.0,0.2115415678149942,0.38631751809430753,-0.07304017970357897,0.24726553288398234,0.12020401861811812,0.4885083917668848,0.5349216297111739,-0.2015560101469195,-0.20561973942452497,0.4139519701240641,0.3749751986532579,0.20026013689665978,0.26829179209483184,0.030198669088906917,0.05861935794051706,0.18782932363851856,-0.14289388910192583,0.01872411578121572,0.1049521975830451,-0.21940206697996012,0.379534745779955,0.5061001436375125,0.28568141438066097,0.2150593271863884,0.31674784354708746,0.3190085366401692,0.19068361714375084,0.2169759179925125,0.33539465670798296,0.4885857724714454,0.23212231351134086,-0.12907601212985453,0.2614177133091293,0.4834157154975271,0.029874842803056204,-0.005191922965086125,0.28117652978181534,0.16214936595249194,0.38408791322921826,0.22650300332129292,0.21485158028848025,-0.21892277249059902,-0.10626891383298136,-0.13619967594643748,0.33381909154770467,-0.11295595763023346,0.4339459629174226,0.395286256312537,0.42661516587379444,0.41515826507590087,0.33144826370530195,0.4466922335277242,0.5445219807380768,0.1552954058630402,0.2783690666065642
