,Thal_PuA_R,SN_pc_L,Frontal_Inf_Oper_R,Cingulate_Post_L,Pallidum_R,Raphe_D,ACC_sub_R,Cerebellum_3_R,Cerebellum_10_R,Supp_Motor_Area_R,Occipital_Mid_L,Cuneus_R,SN_pr_R,Occipital_Inf_R,Cingulate_Mid_R,Insula_L,Thal_PuA_L,Thal_MDl_L,Vermis_6,Cingulate_Mid_L
Thal_PuA_R,1.0,-0.1484859763289425,0.3240515820922311,-0.07602665431282947,-0.2510875510040265,0.45199709173205765,-0.5032587378460913,-0.18552899460160846,-0.11459621871279231,0.46317176650113623,0.4703188393277883,0.7755074934119697,-0.35565087505646864,0.4067102155015312,0.4053963522353943,0.3232157428934119,0.8543958337260404,0.3087278926809487,0.22240114825200488,0.18149031517590014
SN_pc_L,-0.1484859763289425,1.0,-0.15428070044662837,0.19898817439974828,0.2952113634561661,-0.08311812485422607,0.3206019442115652,0.3597270891195405,0.1989393439132946,-0.2016165610032992,-0.0003375019273901228,-0.3388539294482593,0.7059368481108996,-0.08954092785831957,0.02054957803885254,0.08298823806639671,-0.3934861134055406,-0.22244511834643232,0.16965428036369434,0.33381555975374727
Frontal_Inf_Oper_R,0.3240515820922311,-0.15428070044662837,1.0,0.15280790199617308,0.25910699152286265,0.22157920775503925,-0.24881619937674262,0.27144273793619356,0.22053048458184188,0.5575497810659593,-0.05561831035042871,0.423958353865435,0.08255858282688062,0.5129212404761906,0.6829733516611438,0.4514617339446578,0.5386452667273249,0.5080802170631669,0.2598894531267369,0.32232887587168335
Cingulate_Post_L,-0.07602665431282947,0.19898817439974828,0.15280790199617308,1.0,0.09232047535283706,-0.07900682286443601,0.0749424054455534,0.3618461687342141,0.44919148501113776,0.31111430000147905,0.23399362477223873,-0.050517678067463746,0.2051003043498055,-0.02098677262517379,0.43959676498652056,0.4232249769910048,-0.10095280498916136,0.4738574908163799,0.14272225908007452,0.5385652233484821
Pallidum_R,-0.2510875510040265,0.2952113634561661,0.25910699152286265,0.09232047535283706,1.0,0.2598534139096437,0.48230297641381015,0.5070535307103832,0.397014297053673,0.1291410912718266,-0.4055986313765848,0.09830139136500221,0.6772444735365944,-0.1078562004405706,0.33988375140731025,0.13531588838933123,-0.16948346652113297,0.07517990716801219,0.012192784705890353,0.3188986351042698
Raphe_D,0.45199709173205765,-0.08311812485422607,0.22157920775503925,-0.07900682286443601,0.2598534139096437,1.0,-0.08707105708094544,-0.04199939059771127,-0.09367888213109768,0.44979236452059396,0.10815002372992305,0.6625277085429951,0.010482457184075037,-0.0619793110845038,0.4659546040483447,0.11534217308143846,0.46939364423349017,0.22196746417432947,-0.31783781092732755,0.2725854058962328
ACC_sub_R,-0.5032587378460913,0.3206019442115652,-0.24881619937674262,0.0749424054455534,0.48230297641381015,-0.08707105708094544,1.0,0.38756593528407013,0.17033551191678378,-0.3473373539307091,-0.3165479114154946,-0.20893826776273167,0.489007621218731,-0.584774204495621,0.037612608854662236,0.026581100808244218,-0.5529339188164699,-0.04556021841051404,-0.07074607420530597,0.28921088008463264
Cerebellum_3_R,-0.18552899460160846,0.3597270891195405,0.27144273793619356,0.3618461687342141,0.5070535307103832,-0.04199939059771127,0.38756593528407013,1.0,0.5305397137788853,0.15574731703719674,-0.21312020945727833,-0.08142529783660897,0.4818130013423784,0.010556708395881024,0.35742548088091614,0.43428741496593326,-0.18674978972945974,0.2901461992325032,0.42856680598755487,0.39714893593509715
Cerebellum_10_R,-0.11459621871279231,0.1989393439132946,0.22053048458184188,0.44919148501113776,0.397014297053673,-0.09367888213109768,0.17033551191678378,0.5305397137788853,1.0,0.3157630329571312,-0.05043787295903721,-0.060788613072710565,0.30893156823821366,0.29382363229943453,0.3459492379572536,0.3593875740188119,-0.15192407784274006,0.2316867441880974,0.5428916181599217,0.4139192609989981
Supp_Motor_Area_R,0.46317176650113623,-0.2016165610032992,0.5575497810659593,0.31111430000147905,0.1291410912718266,0.44979236452059396,-0.3473373539307091,0.15574731703719674,0.3157630329571312,1.0,0.29628844945203575,0.5771858728576819,-0.09747406863171733,0.3626107700036314,0.7225996605606549,0.28452553005295944,0.507721623694441,0.35540344336687846,0.28189299926184713,0.4233146061597736
