,Vermis_7,Insula_L,Occipital_Mid_R,Occipital_Mid_L,LC_L,OFCant_R,Thal_PuI_L,OFCpost_R,Thal_VPL_R,Lingual_R,Vermis_6,Cerebellum_4_5_L,Thal_PuL_R,Insula_R,Frontal_Med_Orb_L,Thal_LGN_R,Occipital_Inf_L,Precuneus_L,Temporal_Sup_L,Parietal_Inf_L,Red_N_L,Frontal_Mid_2_L,Vermis_10,Rolandic_Oper_L,Thal_MDm_R
Vermis_7,1.0,0.31056390030458136,0.1203572251138285,0.26096977144934036,-0.30290074320566507,-0.11237466156986345,0.13720898584947716,-0.10280148027457482,0.3185675249496244,0.5455504223500037,0.6664448346819691,0.35357787004815616,-0.18784362336599514,0.34234979206552446,0.16000678892567352,0.34692732368391743,0.43925310636269765,0.03425456606267693,0.2684741933904359,-0.11317731423893627,0.03178903545470203,0.21485158028848025,0.5792918955233701,0.329887308286585,0.36243591776008716
Insula_L,0.31056390030458136,1.0,0.1756587491559029,0.4014133409099256,0.03565546751644547,0.021559281986339846,0.25642158027907097,0.24546382294948704,0.5314188489251368,0.5338270523673679,0.4646274742802556,0.573604269046219,0.21834223975232805,0.6601880672279249,0.10470501774016576,0.4686156565842644,0.36475546213418586,0.29836939823892783,0.6468809414483169,0.19119486508228417,0.039904313170247986,0.395286256312537,0.38056150538239475,0.7987979285137371,0.5483906810237432
Occipital_Mid_R,0.1203572251138285,0.1756587491559029,1.0,0.16451047278661282,0.10205725284654278,-0.530816676876717,0.6208037653976942,-0.11265021742297127,0.6350861495155071,0.3491780643261509,0.08315157826162817,0.020017469332570013,-0.2604151108743673,0.20032813057547613,-0.3878116914857071,0.31030402634718807,-0.07441192320075192,0.7884423137613804,0.1518086394038896,0.5368155328943258,0.24489262844252616,-0.13619967594643748,0.03154310548837412,-0.010742733090607587,0.6523878958661798
Occipital_Mid_L,0.26096977144934036,0.4014133409099256,0.16451047278661282,1.0,-0.16480081065606356,0.058302877690720095,0.2468083867923683,-0.12453609310876816,0.35550223253191854,0.2627972773956016,0.22506790175183233,0.2710400356022836,-0.029595498727667393,0.06404852346438362,0.3284627694967239,0.08334068880027556,0.8713687544378765,0.29036777186700063,0.5393829109179701,0.3283645545674895,-0.23227868156335915,0.28568141438066097,0.16990145578178356,0.3873129764253373,0.37908848037006176
LC_L,-0.30290074320566507,0.03565546751644547,0.10205725284654278,-0.16480081065606356,1.0,-0.27892349216434204,0.11259518035778483,-0.1060919081577872,-0.010382889977091164,0.1297709658560118,-0.34582545098738254,0.24428233564497798,0.10758453371468613,-0.08216468393816571,-0.1245082217832929,0.05816067252338472,-0.3379695639734732,0.21650256567526255,-0.11923889064814208,0.13921063082592505,0.5473856212057571,0.034696247807737245,-0.04438637673400632,-0.09455639519113195,0.027037288541231125
OFCant_R,-0.11237466156986345,0.021559281986339846,-0.530816676876717,0.058302877690720095,-0.27892349216434204,1.0,-0.4225197905075981,0.5550010416340981,-0.25585095603470676,-0.08744980579113996,0.004717538683779714,0.2220296213858129,0.294520420181877,0.09377901474790577,0.5146361044239879,-0.1313498386325182,0.154276444156301,-0.23587311186029777,0.2372190264445752,-0.18176657604423357,-0.3827459954191263,0.16786735101563027,0.004491109526727353,0.289221625903907,-0.37531551454802403
Thal_PuI_L,0.13720898584947716,0.25642158027907097,0.6208037653976942,0.2468083867923683,0.11259518035778483,-0.4225197905075981,1.0,-0.3985599591845715,0.6162159987748884,0.4733904701458219,0.10074740334949052,0.2650855975392357,0.046201620878824956,0.26548946654315114,-0.47044858358950775,0.19933774578211003,0.08027968387608893,0.5709644565609057,0.17381822828930585,0.4987225851975761,0.47383396274708556,0.13422901912229315,-0.12697952766569234,0.17137496840991492,0.6532375179655792
OFCpost_R,-0.10280148027457482,0.24546382294948704,-0.11265021742297127,-0.12453609310876816,-0.1060919081577872,0.5550010416340981,-0.3985599591845715,1.0,-0.15061574679262396,-0.1579311946225396,0.1399838723531729,0.045686314474978895,0.17785780455469077,0.09726390626528669,0.5325797853170426,0.13740753468898198,-0.1381645562166464,0.03104390466051931,0.14567192164084208,-0.03456441616298348,-0.38732299960200384,-0.17831584561516595,0.0936355372052308,0.18528670076525358,-0.28217266753332243
Thal_VPL_R,0.3185675249496244,0.5314188489251368,0.6350861495155071,0.35550223253191854,-0.010382889977091164,-0.25585095603470676,0.6162159987748884,-0.15061574679262396,1.0,0.5968268860237649,0.180020718603076,0.3864391112420102,-0.07428894327368579,0.590739721630077,-0.25575489476500074,0.6186964513414943,0.14964524965790169,0.7135109062471733,0.6455761511489851,0.624227140797332,0.1600152036145792,0.3684974273486839,0.3124555663853479,0.4784565777687222,0.9249821802286361
Lingual_R,0.5455504223500037,0.5338270523673679,0.3491780643261509,0.2627972773956016,0.1297709658560118,-0.08744980579113996,0.4733904701458219,-0.1579311946225396,0.5968268860237649,1.0,0.43473940711807335,0.7561526937208765,0.08298687530355776,0.568193697024165,-0.11623025663526411,0.40379014270684216,0.2445387773756488,0.49496649382187313,0.5843510610952185,0.29972468644322875,0.46576107472690403,0.5214170311631031,0.4971439322704145,0.6267503853217361,0.6346512780171126
Vermis_6,0.6664448346819691,0.4646274742802556,0.08315157826162817,0.22506790175183233,-0.34582545098738254,0.004717538683779714,0.10074740334949052,0.1399838723531729,0.180020718603076,0.43473940711807335,1.0,0.3418680082972619,-0.1040915392963601,0.5542687608057708,0.007603618418074699,0.2474247827588698,0.4247685840132552,-0.006937994154551516,0.2990324842720705,-0.10253532625160952,-0.10447507323165632,0.2099427233322702,0.409845657535034,0.33075148530744247,0.2609859684971305
Cerebellum_4_5_L,0.35357787004815616,0.573604269046219,0.020017469332570013,0.2710400356022836,0.24428233564497798,0.2220296213858129,0.2650855975392357,0.045686314474978895,0.3864391112420102,0.7561526937208765,0.3418680082972619,1.0,0.30530995632821195,0.4901660845272096,0.0903024232585368,0.3910892032095942,0.2784057376728441,0.29290887530981635,0.5536883056630524,0.13319506705117962,0.36473782494472073,0.5271052374307765,0.42637737080127663,0.7160262995123216,0.3809859177658867
