,Olfactory_R,Thal_VA_R,Thal_VL_R,Cerebellum_Crus2_L,OFClat_L,ACC_pre_R,Thal_MGN_L,LC_L,Vermis_8,Cerebellum_7b_R
Olfactory_R,1.0,0.5902371936649111,0.10862340491680404,-0.33533645152478986,0.48362098221115296,0.4984759452158119,0.28193736337361225,0.3838787106231509,-0.1355238893704931,-0.22251083205460512
Thal_VA_R,0.5902371936649111,1.0,0.06544087626784578,-0.20543614296571278,0.285812818527823,0.4343293519882666,0.389500651697504,0.0034280819115071652,-0.09326372964471344,-0.009122037850487253
Thal_VL_R,0.10862340491680404,0.06544087626784578,1.0,0.27532600352681535,0.051118604368947954,0.2496722101207252,0.6349813794555237,-0.02383744651275251,0.17796837313679573,0.09800780868788465
Cerebellum_Crus2_L,-0.33533645152478986,-0.20543614296571278,0.27532600352681535,1.0,-0.06695378054713952,-0.3020169936356265,0.14545373310742943,-0.5247060150978428,0.7417064778076857,0.6141601553616007
OFClat_L,0.48362098221115296,0.285812818527823,0.051118604368947954,-0.06695378054713952,1.0,0.48279372599273995,0.03331139906450576,-0.13973500201898092,-0.143652025519257,-0.4557347424378482
ACC_pre_R,0.4984759452158119,0.4343293519882666,0.2496722101207252,-0.3020169936356265,0.48279372599273995,1.0,0.24281479758110858,0.2219134618653841,-0.36660457235535454,-0.1935055330172339
Thal_MGN_L,0.28193736337361225,0.389500651697504,0.6349813794555237,0.14545373310742943,0.03331139906450576,0.24281479758110858,1.0,0.028963076919928613,0.10691216617745565,0.1594790840114425
LC_L,0.3838787106231509,0.0034280819115071652,-0.02383744651275251,-0.5247060150978428,-0.13973500201898092,0.2219134618653841,0.028963076919928613,1.0,-0.3349343199234688,-0.1116611971018805
Vermis_8,-0.1355238893704931,-0.09326372964471344,0.17796837313679573,0.7417064778076857,-0.143652025519257,-0.36660457235535454,0.10691216617745565,-0.3349343199234688,1.0,0.575628085441298
Cerebellum_7b_R,-0.22251083205460512,-0.009122037850487253,0.09800780868788465,0.6141601553616007,-0.4557347424378482,-0.1935055330172339,0.1594790840114425,-0.1116611971018805,0.575628085441298,1.0
