,Cerebellum_Crus1_L,Temporal_Sup_L,Cuneus_L,N_Acc_L,Temporal_Inf_R,Occipital_Sup_R,Thal_MGN_R,Thal_VPL_L,Temporal_Pole_Mid_R,Parietal_Sup_L,Cerebellum_3_R,ParaHippocampal_L,Cerebellum_7b_R,Thal_PuI_L,Heschl_R
Cerebellum_Crus1_L,1.0,0.3063212021047861,0.06126192259663712,0.34978243587425367,-0.10464627837359132,-0.07922276034566988,0.21008731703877417,0.23054612789839188,-0.37296439326599096,-0.22080804779393687,0.022545031616285006,0.0386145731623272,0.5620817607559558,0.07002791690992785,-0.13410704530779075
Temporal_Sup_L,0.3063212021047861,1.0,0.44439939661693534,0.5520974730107385,-0.1517926042846376,0.3118275508713206,0.5787923053251992,0.7980165137864715,-0.14589066041040225,0.48184351359108707,0.1996936567706704,0.06981198431899156,-0.02316681469988663,0.17381822828930585,0.07394552263424722
Cuneus_L,0.06126192259663712,0.44439939661693534,1.0,0.13787424535452913,-0.10111523536710182,0.8253577115130953,0.5985918435250827,0.5632118605197108,0.03639022218283305,0.619067967704878,-0.1301022040136227,-0.06882553613197875,-0.10626163840038481,0.6667452445846596,-0.3764765805412396
N_Acc_L,0.34978243587425367,0.5520974730107385,0.13787424535452913,1.0,-0.3648386371367839,-0.11350233873772476,0.23878654559252435,0.2825420520102163,-0.222494071363573,-0.0018243735439007992,0.0593352340840384,0.2807561744022735,-0.11535588532521777,-0.16888089251635666,0.34539818340945655
Temporal_Inf_R,-0.10464627837359132,-0.1517926042846376,-0.10111523536710182,-0.3648386371367839,1.0,-0.1483681987299491,-0.06066182781783555,-0.09099918728515213,0.47408492335896313,-0.1693946389151396,0.5004270413059037,0.15132415442678826,0.5402617320650113,0.2627630249860374,0.20559829656886844
Occipital_Sup_R,-0.07922276034566988,0.3118275508713206,0.8253577115130953,-0.11350233873772476,-0.1483681987299491,1.0,0.5527571204170774,0.5599485492418278,0.15702630123924624,0.6396136058045436,-0.18265877640004252,-0.16363185617497011,-0.21566438064621268,0.5642495907071461,-0.5293286375612881
Thal_MGN_R,0.21008731703877417,0.5787923053251992,0.5985918435250827,0.23878654559252435,-0.06066182781783555,0.5527571204170774,1.0,0.6743635516019666,-0.010309139781676678,0.4100420198571806,0.14175878676385606,0.06963025862458433,0.05284343419857573,0.5105253479243185,0.017316982292538675
Thal_VPL_L,0.23054612789839188,0.7980165137864715,0.5632118605197108,0.2825420520102163,-0.09099918728515213,0.5599485492418278,0.6743635516019666,1.0,-0.1665974054251819,0.5321010611911614,0.027613626906573853,-0.11821525216425628,0.008612679739489995,0.3968634117055562,-0.23069065389167231
Temporal_Pole_Mid_R,-0.37296439326599096,-0.14589066041040225,0.03639022218283305,-0.222494071363573,0.47408492335896313,0.15702630123924624,-0.010309139781676678,-0.1665974054251819,1.0,0.09939333744479457,0.36341142204178206,0.42467711702262023,-0.0726557603528525,0.0003105118604195755,0.32576821851971866
Parietal_Sup_L,-0.22080804779393687,0.48184351359108707,0.619067967704878,-0.0018243735439007992,-0.1693946389151396,0.6396136058045436,0.4100420198571806,0.5321010611911614,0.09939333744479457,1.0,-0.14086964128096968,-0.31463199949604503,-0.21069240775789036,0.39996826579453904,-0.2950320885478133
Cerebellum_3_R,0.022545031616285006,0.1996936567706704,-0.1301022040136227,0.0593352340840384,0.5004270413059037,-0.18265877640004252,0.14175878676385606,0.027613626906573853,0.36341142204178206,-0.14086964128096968,1.0,0.5323405237941229,0.10424516950294223,-0.05770032398563229,0.5198878313747409
ParaHippocampal_L,0.0386145731623272,0.06981198431899156,-0.06882553613197875,0.2807561744022735,0.15132415442678826,-0.16363185617497011,0.06963025862458433,-0.11821525216425628,0.42467711702262023,-0.31463199949604503,0.5323405237941229,1.0,-0.23157558685973315,-0.12475120257788926,0.4556738927317201
Cerebellum_7b_R,0.5620817607559558,-0.02316681469988663,-0.10626163840038481,-0.11535588532521777,0.5402617320650113,-0.21566438064621268,0.05284343419857573,0.008612679739489995,-0.0726557603528525,-0.21069240775789036,0.10424516950294223,-0.23157558685973315,1.0,0.22335874252549728,-0.020609464542775166
Thal_PuI_L,0.07002791690992785,0.17381822828930585,0.6667452445846596,-0.16888089251635666,0.2627630249860374,0.5642495907071461,0.5105253479243185,0.3968634117055562,0.0003105118604195755,0.39996826579453904,-0.05770032398563229,-0.12475120257788926,0.22335874252549728,1.0,-0.34748558626241816
Heschl_R,-0.13410704530779075,0.07394552263424722,-0.3764765805412396,0.34539818340945655,0.20559829656886844,-0.5293286375612881,0.017316982292538675,-0.23069065389167231,0.32576821851971866,-0.2950320885478133,0.5198878313747409,0.4556738927317201,-0.020609464542775166,-0.34748558626241816,1.0
