,Thal_VA_R,Temporal_Pole_Sup_R,Cingulate_Post_R,Thal_PuL_R,Vermis_7,Rolandic_Oper_R,OFClat_R,SupraMarginal_R,Temporal_Sup_R,Temporal_Sup_L,Thal_MGN_R,Putamen_R,Vermis_4_5,Temporal_Pole_Sup_L,Thal_IL_L,Fusiform_L,Raphe_D,Angular_R,SN_pr_R,Raphe_M,Insula_L,Frontal_Inf_Orb_2_L,Supp_Motor_Area_L,Frontal_Sup_2_R,Occipital_Sup_R,Cerebellum_8_L,Olfactory_L,Pallidum_R,Parietal_Sup_L,OFCpost_R
Thal_VA_R,1.0,0.3870106039605967,0.4890895890445111,0.40657728494962037,-0.06810171641151766,0.5108278171488809,0.5175030484626728,-0.25372296210310213,0.20078441783571338,-0.13551310754867785,0.07169742399824297,0.5472768066445667,0.38290944872071575,0.47982004816176604,0.3305882572799746,0.09072370922833606,-0.21651994581492828,-0.3425312823878384,0.3525707642887117,0.25499178678826184,-0.0009132039773657804,0.28783013245613354,-0.22507519979615867,0.18778789369337573,-0.37224082269120845,0.07438566233905229,0.08987624216564263,0.38369799396298887,-0.32337042723270637,0.3373436753735095
Temporal_Pole_Sup_R,0.3870106039605967,1.0,0.384338271879541,0.21334484469193912,0.09194053257011375,0.35450254644086254,0.5777540712692582,0.13297296287840227,0.6890054632768097,-0.1530788307689604,0.027901725217766668,0.4526058749396701,0.21463121588116563,-0.03468558751778271,0.30549048055144756,-0.131671624295128,0.20664082649790802,0.17234545135220347,0.43613861649550595,0.15530283313063614,0.27042496953338957,0.061335686074735246,-0.0011495282741406853,0.19674131332721467,0.17146805154341427,-0.24039769764154018,-0.16103809047592263,0.6489229428317527,0.015233007407775181,0.35139490184858874
Cingulate_Post_R,0.4890895890445111,0.384338271879541,1.0,0.30096483383883965,0.2626056184738552,0.7318666644745063,0.31904691546548386,0.0858385379471318,0.5279398061640502,0.4326281022455541,0.3151674614260359,0.43444316630821617,0.6650490858175937,0.31529646394732386,0.6752959965813531,0.4803043851045955,0.11873716103727769,-0.03420077141359757,0.4087337968644875,0.13803657502099245,0.5761340002823062,0.4857292132870847,0.37769555290089407,0.5482319403483356,-0.059368609717266985,0.2671205399819924,0.15510158989907255,0.38875603193531866,-0.10225764734255802,0.20321435473771077
Thal_PuL_R,0.40657728494962037,0.21334484469193912,0.30096483383883965,1.0,-0.18784362336599514,0.19774593753900774,0.3901733989565266,-0.22059490125818712,0.0845412341131716,0.06017607446976609,0.08527061292974465,0.24701003385707182,0.358983177578429,0.14175608396625522,0.04360628781775603,0.09713817622584632,0.035007073782432736,-0.19700728533796974,0.06281939429361812,-0.015129167243446043,0.21834223975232805,0.33396054436273853,0.031236143495638097,0.12836873812990804,-0.2225108994748022,-0.05469365679027884,0.24420872461290857,0.25517974848374314,0.02096883807415006,0.17785780455469077
Vermis_7,-0.06810171641151766,0.09194053257011375,0.2626056184738552,-0.18784362336599514,1.0,0.2726989430604026,-0.4678967249121476,0.24818958736361685,0.14540237956869956,0.2684741933904359,0.3665226860387292,-0.08740973783271955,0.20902917125368853,0.16022944537738257,0.398608125425909,0.472033006964984,-0.1604044815821092,0.15184592428118968,0.029929035339719422,0.2993288834799099,0.31056390030458136,0.198542396687979,0.24361898906349597,0.3909343188496383,0.1289213636399433,0.5812511022176091,0.033729381900258225,0.029868900486162846,-0.07021108369476037,-0.10280148027457482
Rolandic_Oper_R,0.5108278171488809,0.35450254644086254,0.7318666644745063,0.19774593753900774,0.2726989430604026,1.0,0.2648680714477866,0.0833817980060659,0.418741061365385,0.3958523149071413,0.2655954899884854,0.5835762110505753,0.44789478865362164,0.5230001944865481,0.455779706602536,0.3890070731992346,0.06726467157501177,-0.10214504944908935,0.4074053770114509,0.33515233414979745,0.4121646914395026,0.5646270238436043,0.17130346828412418,0.32925227178755406,-0.10270318589933224,0.2812722747988618,0.11391839413312935,0.45734703484360517,-0.19872784614871364,0.40740718039049634
OFClat_R,0.5175030484626728,0.5777540712692582,0.31904691546548386,0.3901733989565266,-0.4678967249121476,0.2648680714477866,1.0,-0.011312905130407756,0.5663400237188884,-0.34735584884812715,-0.18918466698845748,0.3190417946239594,0.14836539975737306,0.07411043205408493,0.08030211735469335,-0.20831111416256187,0.027218759261041187,-0.07717603004730013,0.2997751394964832,-0.0979726298894338,0.07876458895481052,0.12356491189367687,-0.13563813597894447,0.14053464563649137,-0.191105887599977,-0.3373358605005961,-0.034202580764528465,0.39742133078750036,-0.20915808433718017,0.33765361493910934
SupraMarginal_R,-0.25372296210310213,0.13297296287840227,0.0858385379471318,-0.22059490125818712,0.24818958736361685,0.0833817980060659,-0.011312905130407756,1.0,0.4410771493170107,0.16911260798477523,0.4650239976045544,-0.262393108015455,0.015202059516600789,0.14746864073504834,0.3053301102359328,0.3238940618660757,0.35663796899881545,0.932590121388212,-0.2656900249702396,-0.08419648134364513,0.22891945208463968,-0.06373524609287151,0.320549127819592,0.46763407923216127,0.8164071837236097,-0.06994727969288135,0.07582527812647909,0.000921996838947883,0.2958528915538826,0.011120882189839212
Temporal_Sup_R,0.20078441783571338,0.6890054632768097,0.5279398061640502,0.0845412341131716,0.14540237956869956,0.418741061365385,0.5663400237188884,0.4410771493170107,1.0,-0.03702748084338603,0.0852330829790387,0.1587019153048367,0.21539085627555665,-0.019930806259892787,0.4549297180626236,0.14993933429840448,0.07095346210206063,0.3345205784205901,0.3757169275800996,0.0813372964153359,0.5059600453155164,0.19780194035157225,0.166968177997981,0.43809962802198055,0.20612843210642728,0.03494674400410072,-0.014055367618556644,0.44805503170198707,-0.13842861905424494,0.19796836865346665
Temporal_Sup_L,-0.13551310754867785,-0.1530788307689604,0.4326281022455541,0.06017607446976609,0.2684741933904359,0.3958523149071413,-0.34735584884812715,0.16911260798477523,-0.03702748084338603,1.0,0.5787923053251992,0.14853239801903367,0.5235374178573587,0.25712483443296213,0.4760749187707272,0.6489476638884046,0.37113375789310926,0.20300734161955084,0.03252370230355461,0.11944717113018302,0.6468809414483169,0.5372798587968393,0.49501856725367777,0.11921997880824023,0.3118275508713206,0.1639376723789236,0.4151274811628365,0.0005280561699345077,0.48184351359108707,0.14567192164084208
