,Pallidum_L,Occipital_Mid_L,SupraMarginal_L,SN_pr_L,Thal_PuI_L,OFCant_R,Thal_MDm_R,Parietal_Sup_L,OFCmed_L,Raphe_D,Thal_LP_L,Cerebellum_Crus2_R,Cingulate_Mid_R,Frontal_Sup_Medial_L,Cerebellum_Crus1_R,Occipital_Inf_L,LC_R,OFClat_L,Temporal_Mid_R,Parietal_Inf_L,VTA_L,SN_pr_R,Precentral_L,Fusiform_R,Thal_MGN_R,Thal_PuL_R,Cerebellum_10_R,Rolandic_Oper_L,Thal_LGN_R,Cerebellum_7b_L,Thal_VPL_L,Hippocampus_L,Heschl_R,Rectus_L,Paracentral_Lobule_L,Cerebellum_Crus1_L,Calcarine_R,OFCpost_L,Supp_Motor_Area_L,Thal_PuL_L
Pallidum_L,1.0,-0.012994260858452062,-0.20946101808461196,0.39279998550543094,-0.3945333596479263,0.8209164866109211,-0.2656732932316667,-0.22084560906077713,0.2983075255783879,-0.1105018539607129,-0.61174905366649,-0.19209186290865013,0.05310460314507315,0.28646711212143394,-0.21547430888527194,0.13212815076224754,0.4384024842745143,0.5533693676470935,-0.3255504284664598,-0.2546478442871284,-0.14139568818098522,0.2503515853703408,-0.0783499774254099,0.21543295307893195,0.1485164762371499,0.3925555750937437,0.33517570602910507,0.4311496131861862,0.05179269153966173,0.28074568871279965,-0.09514327415528956,0.19992664061748266,0.6564649000463643,0.3863462020454808,-0.23148576595812276,0.14381162598450004,-0.16887948497056648,0.3665858977396904,-0.09842146414171878,0.11815748735932899
Occipital_Mid_L,-0.012994260858452062,1.0,0.3630320465867854,-0.1676742103808366,0.2468083867923683,0.058302877690720095,0.37908848037006176,0.4914272469474654,-0.006130341773237828,0.10815002372992305,0.31916264157410473,0.08133722408020602,0.1547187722638234,0.19557614043418606,0.14973857496849147,0.8713687544378765,0.07465310491230513,-0.017143057154763705,-0.12639145972417348,0.3283645545674895,0.04521503346613009,-0.24540905324478723,0.3475902280946886,-0.09272535790677658,0.2826875963455242,-0.029595498727667393,-0.05043787295903721,0.3873129764253373,0.08334068880027556,0.26353619737635636,0.44079583192804184,0.2628643795515844,-0.38443791598870763,0.09925496164819161,0.2672483705898282,0.44276132494050763,0.2896391725722361,-0.25042019025972645,0.4122078865342041,0.14285890851407615
SupraMarginal_L,-0.20946101808461196,0.3630320465867854,1.0,-0.4622537893963672,0.3681796737720468,-0.1651120139348943,0.6114838993610668,0.7989177449706983,-0.3158851500514116,0.6434748930077496,0.6220313949744236,-0.09576866243972762,0.46671353907776725,0.4776256755474222,-0.012792687970569505,-0.024079535407852615,-0.02108543249655078,-0.165106486237442,0.06614618719700799,0.9262047933718593,0.21452191590152264,-0.26180992091588323,0.8649697702698546,0.24341476348884045,0.5306944694997094,-0.05746521138966546,-0.04890773574697866,0.2858257884585183,0.2736248490705986,-0.3315997127287028,0.7762286847986587,0.22739127204249435,-0.2290147827081617,-0.28480982067220273,0.7446980254851829,-0.12055878093768305,0.6272460945737004,-0.35292358595562867,0.5587404815684683,0.0033617621562966908
SN_pr_L,0.39279998550543094,-0.1676742103808366,-0.4622537893963672,1.0,-0.534294690593905,0.321197644035518,-0.3936744432784688,-0.49752872174129437,0.3078603178334812,-0.22751994399311445,-0.48818610205993646,0.0423839535421842,-0.03208442343692493,0.09889425985921502,-0.04394731533423807,0.04336971442460488,0.1926669098726133,0.4615387621189162,0.008760359733152477,-0.5559085731482383,-0.19492780649962252,0.8251261928980921,-0.38544138537873884,0.1770096180078784,-0.5021877475620397,0.1224317656785106,0.2319362332396114,0.09555378550649316,0.03638724482025631,0.15965899230485864,-0.3209440390950633,0.06261941457456956,0.4201000357977391,0.3601268278395199,-0.5341665140951424,0.06521097551049858,-0.2004685133515814,0.3770976228628058,-0.29054682234481094,0.1041153649863455
Thal_PuI_L,-0.3945333596479263,0.2468083867923683,0.3681796737720468,-0.534294690593905,1.0,-0.4225197905075981,0.6532375179655792,0.39996826579453904,-0.3379198576881793,0.263472887935654,0.5399193493913794,0.218443166288166,0.34365105247028016,0.14113580862878164,0.2323927348956149,0.08027968387608893,0.06951483644061507,-0.5986398332403308,0.4861872368997468,0.4987225851975761,0.49714791341390746,-0.3399723535467102,0.4184341338704324,0.31883589325257994,0.5105253479243185,0.046201620878824956,0.08576420221313241,0.17137496840991492,0.19933774578211003,-0.04478788904790292,0.3968634117055562,0.2661834823289032,-0.34748558626241816,-0.4792834249694159,0.5332786136399985,0.07002791690992785,0.5021855987176161,-0.4019552314725316,0.46514212856538345,0.1285692174424396
OFCant_R,0.8209164866109211,0.058302877690720095,-0.1651120139348943,0.321197644035518,-0.4225197905075981,1.0,-0.37531551454802403,-0.13523546407546752,0.27928215372089543,-0.16243594591248225,-0.6238043585969734,-0.3310790585992088,-0.06765099867054872,0.2359567180425601,-0.3537069753407275,0.154276444156301,0.2989844343856473,0.5566621569793903,-0.4436290073430712,-0.18176657604423357,-0.25603241431957824,0.1533975409841036,-0.050626053253390695,0.09296831098826636,0.0011580307204273662,0.294520420181877,0.19484420406918104,0.289221625903907,-0.1313498386325182,0.19487572158991062,-0.1608825488661524,0.048755124626872134,0.6220920641603583,0.4735205135534777,-0.2180004930279097,0.0634162374556929,-0.29443718023219784,0.3282575754636705,-0.15118241221951917,-0.025091704842030733
Thal_MDm_R,-0.2656732932316667,0.37908848037006176,0.6114838993610668,-0.3936744432784688,0.6532375179655792,-0.37531551454802403,1.0,0.4249102338175811,-0.34443080007841126,0.35649589396255515,0.6900351093451657,0.1862588120475449,0.5910344805105733,0.28394408025164736,0.3228946970216119,0.2099202518034204,0.07363981395411624,-0.26266674966825704,0.40679609061928157,0.5465608630428888,0.31970369246416547,-0.21239216144655543,0.5376369720261955,0.4173649581214305,0.6837693129544895,-0.16774893190280643,0.17071017577586334,0.4249327170414876,0.5162766553774298,0.09036727728058197,0.8578048004877764,0.5596938162332833,-0.37153857991715367,-0.31795577394767116,0.5820910658569518,0.2833369193356959,0.836947978477895,-0.3598030568643679,0.6222655767291025,0.20329603489389772
Parietal_Sup_L,-0.22084560906077713,0.4914272469474654,0.7989177449706983,-0.49752872174129437,0.39996826579453904,-0.13523546407546752,0.4249102338175811,1.0,-0.046266183400685015,0.5503411650058856,0.5809384964200205,-0.18942757024964282,0.278348507218783,0.37406282375900807,-0.09284923006916225,0.08561592057539985,-0.08605445700426399,-0.1124122439449007,0.06381985729190194,0.8912041911977648,0.08906179526779838,-0.33498008598769513,0.694671462338252,0.08568827435459402,0.4100420198571806,0.02096883807415006,-0.20566594664120033,0.16781490052871453,0.19725223007242618,-0.4311840869651816,0.5321010611911614,0.18946877237874898,-0.2950320885478133,-0.11812303716344975,0.7799716871497655,-0.22080804779393687,0.386587582304806,-0.1797269715491489,0.41904129947680274,0.02293075631768746
OFCmed_L,0.2983075255783879,-0.006130341773237828,-0.3158851500514116,0.3078603178334812,-0.3379198576881793,0.27928215372089543,-0.34443080007841126,-0.046266183400685015,1.0,-0.00809708477151756,-0.21607256902600647,-0.23412356182355437,-0.003936611264603389,-0.011160227889605284,-0.048878198151429283,0.0408108727754724,-0.04345561033576798,0.6522482817580056,0.16844048529207933,-0.26890563850862925,-0.4442474923730701,0.28369271355711106,-0.45024707810927256,0.005122006310543201,-0.11279229197995458,0.21776775703371082,-0.059350441980172544,0.13053454928456645,0.02729749168731064,-0.15682372314370074,-0.2725387686323696,0.18677963369983072,0.11867125759887649,0.6607320477856331,-0.0816823593210839,-0.13485611311374499,-0.14798311353022664,0.9173686997674277,-0.3697683942982858,0.19642045578055622
Raphe_D,-0.1105018539607129,0.10815002372992305,0.6434748930077496,-0.22751994399311445,0.263472887935654,-0.16243594591248225,0.35649589396255515,0.5503411650058856,-0.00809708477151756,1.0,0.5088623940414051,-0.2952397570824529,0.4659546040483447,0.36823617945887593,-0.10277982182472065,-0.21762156710241323,0.011850343093188215,0.012036297640822294,0.2512308854102887,0.6284404378896287,0.2052138989069536,0.010482457184075037,0.47680405889577204,0.3778350034175775,0.2994386215015807,0.035007073782432736,-0.09367888213109768,0.16886344484066784,0.27214342537208963,-0.4815788589905437,0.45179208150918426,0.1319199210753546,-0.17602978525796187,-0.38069776395669247,0.6137540839233273,-0.2999051631211175,0.5104740383149824,0.02607859249719864,0.3815628515541107,0.019875175408168303
