,Precuneus_L,OFClat_R,N_Acc_L,Vermis_7,SN_pc_L,Temporal_Mid_L,Cingulate_Mid_L,ParaHippocampal_R,Cingulate_Post_R,Olfactory_R,Cerebellum_7b_L,Raphe_D,Cerebellum_Crus1_L,Cerebellum_6_L,Raphe_M,Cerebellum_Crus1_R,Insula_R,Calcarine_L,SN_pr_L,Temporal_Sup_L,Cerebellum_Crus2_L,Putamen_R,ACC_sub_L,Frontal_Sup_Medial_L,Parietal_Sup_L,Frontal_Mid_2_R,Supp_Motor_Area_L,Cuneus_R,Temporal_Inf_R,Thal_MDm_R,ACC_sup_R,Postcentral_L,Precuneus_R,OFClat_L,Lingual_L,Parietal_Inf_L,Occipital_Sup_R,Thal_LGN_R,OFCpost_R,Cerebellum_6_R,Frontal_Sup_2_L,Parietal_Inf_R,Thal_VL_R,Occipital_Inf_L,Angular_R
Precuneus_L,1.0,-0.08375718012754073,0.02249137193933431,0.03425456606267693,-0.3300968110481908,0.37415001543108034,0.3380660428449382,-0.03581833199234415,0.15440306564293402,0.09978986744772086,-0.38490080594057186,0.6930566802839475,-0.17257062210642182,0.1836224865432588,-0.0499354758287805,-0.020748760805468912,0.30573507412141343,0.7797652639987346,-0.4601467453399852,0.4995272883444182,-0.059974161890211534,0.025969369300568805,-0.22799347824877392,0.4273005231594064,0.7578002316038107,0.12171986401185987,0.6189662632814921,0.9436635772977732,-0.002603458851890831,0.6712261932157672,0.026104202887839986,0.777432597659766,0.9155600390655114,-0.10469949375489339,0.4994042312047393,0.8269388851998141,0.8860255179779459,0.3545439303879737,0.03104390466051931,0.0081556231903134,0.5177683229215134,0.7548170372591033,0.5168337188920785,-0.07872436891358875,0.7929845594373969
OFClat_R,-0.08375718012754073,1.0,-0.2629138089960694,-0.4678967249121476,-0.12048643277941214,-0.48055789557548445,0.06819300205138944,0.3832620180513148,0.31904691546548386,0.6462979371825084,-0.49289009655249366,0.027218759261041187,-0.6291802366215068,-0.411086005755504,-0.0979726298894338,-0.39932919755768165,-0.050307600001935765,-0.2915565908105628,0.30523099952796545,-0.34735584884812715,-0.669577925527518,0.3190417946239594,0.601898415237881,0.03423094482551447,-0.20915808433718017,0.09380418628328742,-0.13563813597894447,-0.2172475769635141,0.4171140475391689,-0.31961887803101835,0.2618434823086552,-0.2661508224199093,-0.09266967786038592,0.14335076980457137,-0.35940376620758246,-0.234340383270103,-0.191105887599977,-0.0746963496494753,0.33765361493910934,-0.23057969233148856,0.0526032653388783,-0.02575611770399127,-0.1597866358170312,-0.4577642963493682,-0.07717603004730013
N_Acc_L,0.02249137193933431,-0.2629138089960694,1.0,0.09253064989725239,0.2429414131768147,0.6806921119088446,0.4063986523707065,0.14758104023798307,0.2745706967338694,-0.03636813754223211,0.368716808558589,0.12734345939538924,0.34978243587425367,0.31204818721848715,0.15559695412048313,-0.11892213282293222,0.3274891776000256,0.2292493637432699,0.16637219883832174,0.5520974730107385,0.19515526885474085,0.2404209972314455,0.010288827179343903,0.3390625175790645,-0.0018243735439007992,0.17336623360467268,0.25499924589322415,0.015019408995770306,-0.3648386371367839,0.11968714070660606,0.37471804640404904,0.21063041944576455,0.15712969938075583,0.2836573906148838,0.38445770150671477,0.07741551609889966,-0.11350233873772476,-0.007543444052632832,0.024253059241563794,0.14772784830088262,0.2963513151355827,-0.17641125690057208,0.3212051296612627,0.28119246055370645,-0.17427339181358298
Vermis_7,0.03425456606267693,-0.4678967249121476,0.09253064989725239,1.0,0.1465986480436806,0.3124388280809194,0.25190852572243166,0.054431698926529874,0.2626056184738552,0.010349131299869486,0.636928131788341,-0.1604044815821092,0.756788399064454,0.7362326304705273,0.2993288834799099,0.7797852005064727,0.34234979206552446,0.3705150689715663,-0.017513870616838345,0.2684741933904359,0.7833891525293852,-0.08740973783271955,-0.22283355237945268,0.18700522556865568,-0.07021108369476037,0.45396217071520945,0.24361898906349597,0.13097041830921777,0.15612060518665305,0.36243591776008716,0.18488549678618077,-0.004603155952250653,0.03340135682194759,0.008627810848048133,0.6196910063276231,-0.11317731423893627,0.1289213636399433,0.34692732368391743,-0.10280148027457482,0.7272214049572531,0.24437747283909803,0.06400890941210798,0.366371550862846,0.43925310636269765,0.15184592428118968
SN_pc_L,-0.3300968110481908,-0.12048643277941214,0.2429414131768147,0.1465986480436806,1.0,0.08978405300455214,0.33381555975374727,0.5411130421100545,0.34376006467073694,0.175279560547886,0.3102480850241142,-0.08311812485422607,0.2913196938178704,0.3260180139386974,0.15575618660759885,0.11917800636741734,0.03720674039953913,-0.018624077323389405,0.81808792250663,0.18763305643514952,0.023555590637667195,0.381999591811948,0.20648540359176656,0.19408869217093058,-0.34979174568462,0.0808506017659859,-0.15614515723795513,-0.3388539294482593,0.17307094351707566,-0.17101635953257527,0.09369007410943443,-0.26812875672861214,-0.25109113843613157,0.3911886196271662,0.1101933038823873,-0.362238864375869,-0.4411487007623701,0.21387234405572575,0.11259568081720693,0.2465807690713237,0.11517519950606842,-0.4917953694608306,0.07258610317275262,0.18325514913087967,-0.44705356800849533
Temporal_Mid_L,0.37415001543108034,-0.48055789557548445,0.6806921119088446,0.3124388280809194,0.08978405300455214,1.0,0.43374535454023555,0.012219888150172366,0.2595722943453735,-0.15797201459868515,0.3816277642655642,0.22517579764879375,0.48393721711857446,0.525480904355097,0.1336321801389791,0.0720198698642875,0.45531002642142043,0.6020754775154685,-0.1454822382843066,0.8556515290383871,0.4240790200001339,0.005535248289490381,-0.22676139438085777,0.41720121056558074,0.3968671684146961,0.1567820279454196,0.4156052375922445,0.400073471534887,-0.39989077074474416,0.4811438686394847,0.3303174274087574,0.5010143259053782,0.45261920576024506,0.24390558264242032,0.7073183566288285,0.42777410571624025,0.27694256363092146,0.2974067791517322,0.09184074838922865,0.2055325201870003,0.4496691284033463,0.162996510488248,0.5689014258535873,0.5365823644534357,0.20631909943352464
Cingulate_Mid_L,0.3380660428449382,0.06819300205138944,0.4063986523707065,0.25190852572243166,0.33381555975374727,0.43374535454023555,1.0,0.34041965092567233,0.7649905032087368,0.31543351231471717,0.14450954924604878,0.2725854058962328,0.19415458154076137,0.4790597010884714,0.11533606964436569,0.14139902296114853,0.4293317000468253,0.5638413220084623,0.2520068390964363,0.5671310178082564,0.10213984771329306,0.4193756788087476,0.09499339394228565,0.658684012586427,0.05878430841533752,0.4200153265012714,0.5805580515117781,0.24990581153967614,0.20043105195554234,0.36916597451734606,0.6014143498549558,0.32193197348400104,0.3663900066130783,0.24314363549246112,0.5151061363620717,0.11600273294788302,0.10855626364231086,0.3717608054619515,0.10707378911271284,0.3776771703074896,0.7137579323374548,0.0442193707423084,0.6115756282103642,0.1622777600470194,0.08080958678209024
ParaHippocampal_R,-0.03581833199234415,0.3832620180513148,0.14758104023798307,0.054431698926529874,0.5411130421100545,0.012219888150172366,0.34041965092567233,1.0,0.524936576500115,0.7141509414807106,-0.04854824277141925,-0.04877214530751112,-0.10348241572691626,0.1174603393209096,0.2995797484719238,-0.11444114763019486,0.2535908599465761,0.02486359454113018,0.6667671429387231,0.14417151719246205,-0.26215186100160504,0.729397513128538,0.5949364691422795,0.28038360904477583,-0.23407183250843272,0.15124990230854526,-0.18274519005526552,-0.10521109853904535,0.3102641225420914,-0.17174564550584212,0.341132286378903,-0.2003964067265904,0.013103416141212064,0.6036211401106436,0.09196037519475043,-0.23423573492664682,-0.17444084133009652,0.3079017884616966,0.6733044536049088,0.12081406561598919,0.26260571945747513,-0.1804918825289218,0.1530048268701484,-0.2253686519457311,-0.17161216180760888
Cingulate_Post_R,0.15440306564293402,0.31904691546548386,0.2745706967338694,0.2626056184738552,0.34376006467073694,0.2595722943453735,0.7649905032087368,0.524936576500115,1.0,0.5033679573966916,0.13722692455176602,0.11873716103727769,0.13026155800471395,0.4176756434004224,0.13803657502099245,0.17476960418412818,0.48974784293122564,0.43071853673675076,0.39217394949444095,0.4326281022455541,0.048776486669834924,0.43444316630821617,0.259743558571291,0.5765617148708194,-0.10225764734255802,0.5169844274853603,0.37769555290089407,0.058797819645656585,0.4559615803689552,0.26388329532949417,0.7043054856797684,0.11048317265005173,0.21260693778523257,0.23661250249499338,0.47016033996393086,-0.06558285154398588,-0.059368609717266985,0.49565232583448987,0.20321435473771077,0.43208754610150507,0.6303930919907453,-0.07251190849264208,0.608242055078027,0.07953498819242924,-0.03420077141359757
Olfactory_R,0.09978986744772086,0.6462979371825084,-0.03636813754223211,0.010349131299869486,0.175279560547886,-0.15797201459868515,0.31543351231471717,0.7141509414807106,0.5033679573966916,1.0,-0.2514315731272587,0.16212503472957082,-0.31638034732908893,-0.08157799754186086,0.11110176568282625,-0.10514597111046844,0.08986291234790857,0.008394870639219171,0.4348037968198987,-0.08015516561479394,-0.33533645152478986,0.6119662055107439,0.6732749281261308,0.3267640142967117,-0.14469070920310956,0.21893921619516699,-0.07532922688306294,0.036710299686441655,0.36952483621999455,-0.17116852759723833,0.29815756191995196,-0.1627140259965964,0.14848560276055892,0.48362098221115296,-0.015329983744739864,-0.16729577804063706,0.03549588056199659,0.28709026029083834,0.4991702500858727,0.03598271123299892,0.36439127135737137,0.0890274440374014,0.10862340491680404,-0.3968756968587209,0.08511234334090163
