,Frontal_Inf_Tri_L,SN_pc_R,Caudate_L,Cerebellum_10_R,Rectus_R,Angular_L,Thal_PuI_R,OFCmed_R,Cerebellum_Crus2_L,Frontal_Mid_2_R,Calcarine_L,Frontal_Med_Orb_R,Pallidum_R,Frontal_Inf_Orb_2_L,Cerebellum_8_L,Cerebellum_6_R,N_Acc_R,SN_pr_R,SupraMarginal_R,Thal_MDm_L
Frontal_Inf_Tri_L,1.0,-0.2625741968133435,0.3633381737584516,-0.4213060342177778,0.22978840080278573,-0.6074449615818589,-0.6834322438893378,0.5055776221019453,-0.5071953153824809,0.5805751357109958,-0.47473474229103224,0.5406369627626711,0.6817165761331826,0.5478126372295491,-0.2898180977095053,-0.5047637289185145,0.3366698430002783,-0.007368604835890757,-0.5006665190935677,0.6167061884169265
SN_pc_R,-0.2625741968133435,1.0,-0.11028862972067002,0.20749488181093964,-0.3617938108186331,0.2843260281978876,0.5255631673709269,-0.33191142523772826,0.4256432397603651,-0.4227220867315139,0.3113640106126181,-0.37588147503369745,-0.36303971091260806,-0.23312924519282605,0.3600770266067416,0.4411794721276241,-0.3775258265297993,0.43584849352493976,0.28859044836083597,-0.22505619502121385
Caudate_L,0.3633381737584516,-0.11028862972067002,1.0,-0.09312091827497736,0.2756179455469501,0.09382204316982648,-0.17979752916025918,0.40618326215247,-0.21739302709211208,-0.0101369909227148,-0.1253229948251322,0.5286404144654027,0.18320467266678037,0.05761885627835657,-0.2530981515693039,-0.258710657046882,0.17398469177984063,0.18944615938827644,-0.19158197129805596,0.4118538868463155
Cerebellum_10_R,-0.4213060342177778,0.20749488181093964,-0.09312091827497736,1.0,-0.24217993429454746,0.5662095658780306,0.5655263785569007,-0.25617800227081333,0.45629618699797203,-0.28491502218346054,0.5373332868872851,-0.3555312650625197,-0.26459892827140785,-0.25132183038770484,0.31656731343615063,0.5056224574420924,-0.2584792343651768,0.08597344746463546,0.4799913155100957,-0.4603664588073458
Rectus_R,0.22978840080278573,-0.3617938108186331,0.2756179455469501,-0.24217993429454746,1.0,-0.14547588805559883,-0.5805886065974701,0.6887994267091789,-0.7070589016789427,0.3434791512249141,-0.5446530835592608,0.671983082104088,0.3268615379262802,0.38231117016438426,-0.7249811839949498,-0.6919967798825533,0.5586998738146561,-0.16605912786512367,-0.028783027522076742,0.38236352098300996
Angular_L,-0.6074449615818589,0.2843260281978876,0.09382204316982648,0.5662095658780306,-0.14547588805559883,1.0,0.7558742030543919,-0.3449892081506436,0.4855827905073916,-0.5825521789953657,0.6842990155781222,-0.3799246437985671,-0.5929350114125522,-0.42682733181720256,0.18458712793542778,0.4349348901832364,-0.334472434059836,0.20913639033620485,0.6195123238430521,-0.5481884816081536
Thal_PuI_R,-0.6834322438893378,0.5255631673709269,-0.17979752916025918,0.5655263785569007,-0.5805886065974701,0.7558742030543919,1.0,-0.6390819346150513,0.8724454011731824,-0.7450438099952014,0.8093069728271715,-0.7495124784080048,-0.7024405561220864,-0.48708076226103997,0.6780030023852622,0.8492283779891143,-0.5611263605543364,0.355227172130567,0.42650621378114567,-0.5741957744209059
OFCmed_R,0.5055776221019453,-0.33191142523772826,0.40618326215247,-0.25617800227081333,0.6887994267091789,-0.3449892081506436,-0.6390819346150513,1.0,-0.6617604881602354,0.4278803379007368,-0.5564203115978329,0.8476061112680483,0.5417567649681105,0.556696080983241,-0.5934112030447984,-0.6324694828293708,0.5925232599044329,-0.18229497307865253,-0.2401309323631221,0.4502607252785337
Cerebellum_Crus2_L,-0.5071953153824809,0.4256432397603651,-0.21739302709211208,0.45629618699797203,-0.7070589016789427,0.4855827905073916,0.8724454011731824,-0.6617604881602354,1.0,-0.6515838850011939,0.7836837088690707,-0.797504035878718,-0.5943040562648543,-0.42424238188593993,0.8868091405005679,0.9354384139324385,-0.5371560216402208,0.3374335832007613,0.14195302673301247,-0.47473408919610277
Frontal_Mid_2_R,0.5805751357109958,-0.4227220867315139,-0.0101369909227148,-0.28491502218346054,0.3434791512249141,-0.5825521789953657,-0.7450438099952014,0.4278803379007368,-0.6515838850011939,1.0,-0.42251532433839395,0.4839431270451281,0.7170316343025024,0.423448652822053,-0.4232361628693778,-0.5959341981381181,0.48994493804202116,-0.20168099697954495,-0.09422954217710162,0.4851827922859129
Calcarine_L,-0.47473474229103224,0.3113640106126181,-0.1253229948251322,0.5373332868872851,-0.5446530835592608,0.6842990155781222,0.8093069728271715,-0.5564203115978329,0.7836837088690707,-0.42251532433839395,1.0,-0.6773120116984352,-0.4304693753298576,-0.3650538543211835,0.7024239981617459,0.7480844895738167,-0.4215709955603065,0.3219903623312397,0.3855108041923686,-0.3998903351352604
Frontal_Med_Orb_R,0.5406369627626711,-0.37588147503369745,0.5286404144654027,-0.3555312650625197,0.671983082104088,-0.3799246437985671,-0.7495124784080048,0.8476061112680483,-0.797504035878718,0.4839431270451281,-0.6773120116984352,1.0,0.5568928287246241,0.5111374663165497,-0.7651064135179603,-0.7746240846830941,0.6390580668462839,-0.1975076079369268,-0.2064578116985638,0.5014681466858437
