,Rolandic_Oper_R,Temporal_Pole_Sup_L,Supp_Motor_Area_L,Cerebellum_7b_L,ACC_sup_L,Cerebellum_3_R,Thal_MGN_L,Thal_MDm_L,Cerebellum_6_R,Supp_Motor_Area_R,Thal_PuI_R,Frontal_Inf_Oper_L,Thal_LGN_L,Insula_R,Red_N_R,Vermis_3,Caudate_R,Thal_MDm_R,Frontal_Sup_2_L,Cerebellum_9_L,Thal_VL_R,Rectus_L,ACC_sub_R,OFCant_R,SupraMarginal_R,Calcarine_L,Paracentral_Lobule_L,LC_L,Occipital_Mid_L,Parietal_Sup_R,Thal_PuA_L,Postcentral_R,Frontal_Sup_2_R,Thal_LP_L,Cingulate_Post_R,Cerebellum_9_R,VTA_L,Frontal_Med_Orb_R,Cerebellum_Crus1_L,OFCmed_L,SN_pc_R,Cerebellum_8_L,Vermis_10,Temporal_Pole_Mid_R,Frontal_Inf_Tri_L,Thal_AV_R,Temporal_Sup_R,VTA_R,Cerebellum_Crus1_R,Thal_PuL_R
Rolandic_Oper_R,1.0,-0.08699201366289566,0.29940791507898834,0.14751821718386543,0.15139630492415174,0.21934162934928364,-0.1739483240796642,0.37291541635014436,0.02856469885166118,0.01647602386818884,-0.2494297647760163,-0.14094299842391456,0.2537241760597355,0.36192050612443544,0.09821396024916718,0.2885361827633181,0.20106233881869565,-0.1772978896396699,0.3706564964805488,0.12783767467358587,0.28555382237437554,0.01987546915323368,0.18541386109695163,0.18887104025695298,-0.24648264257511548,-0.09079416798894165,-0.35137563862174886,0.3831327096812724,-0.42480019041092143,-0.4830414917088064,0.3004421205731779,-0.42270237653520126,0.0829609871741928,0.033703698973353284,0.31904557558519675,0.10359703718884582,-0.03963278747373981,0.10848344229025869,-0.036953027593868606,0.10655636984805089,-0.14871298415688008,0.17591466404680933,-0.008507549146578895,0.2039208362538475,0.24593339492990285,0.09142753810655545,0.2761825817839303,-0.09221693553458482,0.08980057649108944,-0.4608898793206808
Temporal_Pole_Sup_L,-0.08699201366289566,1.0,-0.1940580492970945,0.5163311117413663,-0.5388853159462836,0.1383260008968545,0.5073469202642562,-0.2789734644885123,0.7141985197995468,-0.17312951840541502,0.7404482893467109,0.33645271144156136,-0.6515796537047581,0.14207142729207708,0.42385313305774486,-0.5448023499254913,-0.07558639463305021,0.7770574769063674,-0.3975492848793969,0.6519733491250057,-0.13166967738482882,-0.3654802673554154,-0.35909625004017953,-0.5107077542635197,0.23029149672990748,0.7496561408470914,-0.08656121353359929,-0.5018571573477753,0.6441284367680367,0.12204587999450464,0.036814431738693774,-0.01133857468017775,-0.5415666078303452,-0.08378643793517743,0.0838587213832302,0.657582689783395,-0.24212767370774546,-0.446156988139619,0.8085407671909143,-0.3381445114865262,0.23734884550585902,0.6186913054705171,0.734236599911476,0.6655780536517948,-0.485101205294127,0.06639298595448032,0.5048048458668654,-0.00426420879684976,0.6399547739102058,0.618518793070926
Supp_Motor_Area_L,0.29940791507898834,-0.1940580492970945,1.0,0.2703254410021144,0.6427347209211459,0.4337876110096112,-0.08016531752226923,0.2122660772239891,0.10420075416912983,0.35603749491239,-0.23716362331455187,-0.07923079338045616,0.3605905063245981,0.1038398409190297,-0.03156710732470594,0.2777944931401205,-0.35449506220486543,-0.2998949810002274,0.8105910553158002,0.3440619277865598,0.08305683898092414,-0.15074630982529635,-0.042945482543875604,0.20056133879754037,-0.4374233748492146,-0.049017400288629075,-0.017407198431869494,0.2009279773927514,-0.5367048376048845,-0.6792982806323777,0.2358098054702479,-0.47419541132562965,0.3680832340338874,-0.09836538771246135,0.33175155325204336,0.29345597416231434,0.17594458394242612,-0.20437408572644605,0.013655399586618287,-0.19145302140161136,-0.03308119420460093,0.34319594958180577,0.15649938461666585,0.23360259369465958,0.5232846014582614,0.15141942219750978,-0.09455798474065093,0.0777288736399233,0.2212682807543698,-0.38768657420857394
Cerebellum_7b_L,0.14751821718386543,0.5163311117413663,0.2703254410021144,1.0,0.007810432093597672,0.4259667820803059,0.556938036715543,-0.2638761153153083,0.7074218519908213,0.28102438368185817,0.623493417326043,0.17968544335343106,-0.3141672537190058,0.2789847999107633,0.37104668151385123,-0.4794339508137569,-0.18982357364564162,0.5221631363424855,-0.028729026324856907,0.7964332810398002,-0.12967672422131923,-0.48714617146443223,-0.38759762587230834,-0.5190683297071205,0.16298049309628798,0.69163372958113,0.026088558167369005,-0.47512613323375597,0.3639394656042894,-0.23744340342991305,0.06804657999516084,-0.11803183778476704,-0.2658175931649489,-0.015970524012981584,0.25403720454239553,0.8319686054863824,0.18804851265523803,-0.6011531858138486,0.7191004331101701,-0.5204433229507934,0.3897858318899238,0.8197132750646356,0.7657658015574492,0.6688567071204007,-0.26478176791756886,0.015500192244181194,0.6041662525870509,0.247852958796237,0.7285399047029538,0.4326923820210513
ACC_sup_L,0.15139630492415174,-0.5388853159462836,0.6427347209211459,0.007810432093597672,1.0,0.24713667710316226,-0.14828681513590922,0.19038346663798383,-0.10796661304900716,0.4824168363371319,-0.33140748569365636,-0.35024149921651326,0.37640364351878647,0.023384498997170308,-0.20447951080309978,0.3382983814535509,-0.21319973301326703,-0.4535289664198993,0.5945509503567595,0.04215787451809693,0.15293357432938454,0.024066659696526414,-0.01838881139260544,0.2444807241873301,-0.1793301695631711,-0.2350711240510423,0.14326985423529495,0.25761243374484494,-0.5246432436486378,-0.43747480047749904,0.24825899342552038,-0.08883908058885184,0.44390575543476446,-0.027031741550200883,0.1398333394488208,0.013589800207759057,0.16401437499147944,-0.12672719225476525,-0.22581888550554335,-0.04064605835747827,-0.10634154344532884,0.045483792153842066,-0.11326543168955149,-0.09864353539371368,0.402305059967222,0.006040312471395453,-0.05408342864459433,-0.013560383779603141,0.000966628961153722,-0.33034720123894223
Cerebellum_3_R,0.21934162934928364,0.1383260008968545,0.4337876110096112,0.4259667820803059,0.24713667710316226,1.0,0.10731278406306896,0.08953007365885086,0.2072436367796335,0.3506504894968482,0.030953834073412224,0.1104071361446615,0.15716992869390337,0.3315870446810766,0.4870231613409116,0.20363411753057017,-0.038697168936267255,0.009106642790774038,0.3992858783959478,0.3968756773732156,0.1398423299171942,-0.032256088336444215,0.019449276457133596,-0.01579783898046328,-0.08850338880644808,0.285753507042646,0.004580389446142461,0.1043604367355262,-0.09988528338212231,-0.3236897675878453,0.325712022173437,-0.24310138585999028,0.20590570417607537,0.30120968513392593,0.604730057769558,0.3610557513690006,0.3601940874313716,-0.11041021500011151,0.19927397398195135,0.13209000556579695,0.010836352501009313,0.43041150142180773,0.24892536553965325,0.28567138283456595,0.22308502903710445,0.14181497347845218,0.1840490394950533,0.1372959276171757,0.2548499116640275,-0.07680764604997725
Thal_MGN_L,-0.1739483240796642,0.5073469202642562,-0.08016531752226923,0.556938036715543,-0.14828681513590922,0.10731278406306896,1.0,-0.2650524793349419,0.6278145123272855,0.13984783743237117,0.7382399503193047,0.3438728617389155,-0.30149466141481623,0.18421179084691827,0.2308384128659389,-0.6636302726825255,-0.10751132853499094,0.7382502962179767,-0.3486959355202547,0.5259965763011614,-0.09593377156396782,-0.5799961652829163,-0.37736714567492846,-0.6316152398050222,0.4006730568519665,0.709086688161441,0.2699675536570273,-0.5821644467572503,0.6156053349520494,0.12951201521433026,0.07123432808954606,0.21100323564208,-0.3798811568641673,0.0907902848974788,0.020844376450746105,0.5686889516911583,0.17629563874304524,-0.5932696299473655,0.5997517188630186,-0.5490041535244151,0.4362669299371259,0.4996778123509876,0.6473541175336853,0.476315534034293,-0.41206934077696505,0.01324620317436522,0.56367285504137,0.3524670945910018,0.5677609752952905,0.6815372040381346
Thal_MDm_L,0.37291541635014436,-0.2789734644885123,0.2122660772239891,-0.2638761153153083,0.19038346663798383,0.08953007365885086,-0.2650524793349419,1.0,-0.46151003068097496,-0.13897282492455298,-0.5741957744209059,-0.08389414670279213,0.615700871287381,0.16675279380963953,-0.19664347175064942,0.64737803983359,0.45952353758505715,-0.18829881468860032,0.44738731699035195,-0.3087952080256235,0.8334068188860341,0.40250383687412106,0.5356112996317064,0.5431926767909201,-0.44073705816066927,-0.3998903351352604,-0.31398380862220926,0.75070773933081,-0.5752116489310086,-0.2710794124395385,0.5695101184772218,-0.32662200727734503,0.35692807685017724,0.389116600858953,0.1840734001823041,-0.35423342666655533,0.12085134530611494,0.5014681466858437,-0.4361462643701361,0.45686927982964404,-0.22505619502121385,-0.27804235795446475,-0.4513305213781248,-0.2292810293690085,0.6167061884169265,0.5388254792136357,-0.36353702524675785,-0.01530383075998944,-0.4176801556966166,-0.6485529296308358
Cerebellum_6_R,0.02856469885166118,0.7141985197995468,0.10420075416912983,0.7074218519908213,-0.10796661304900716,0.2072436367796335,0.6278145123272855,-0.46151003068097496,1.0,0.01179735263323754,0.8492283779891143,0.13863229890494477,-0.5348235829572857,0.11734446160776182,0.29513288597723064,-0.7089122637049294,-0.3099515788610536,0.679295875909582,-0.23472032868268336,0.8736819257997516,-0.37983722572429884,-0.6732501870886781,-0.5077653290179146,-0.744087931128436,0.19557391468100066,0.7480844895738167,-0.04180024567979387,-0.649281599220875,0.49600608280119146,-0.21676144598324273,-0.05035760209323356,-0.13412806060164503,-0.5504445115596014,-0.2691163530560402,0.03580389842202094,0.9042984560582847,0.0021994484432787927,-0.7746240846830941,0.9074909963938348,-0.664529586939989,0.4411794721276241,0.8669820452187047,0.9480339400358,0.8334858479658129,-0.5047637289185145,-0.16662086442950194,0.7468288020906536,0.20811877531581918,0.9620607890456745,0.6175394661492929
Supp_Motor_Area_R,0.01647602386818884,-0.17312951840541502,0.35603749491239,0.28102438368185817,0.4824168363371319,0.3506504894968482,0.13984783743237117,-0.13897282492455298,0.01179735263323754,1.0,0.03339848068687832,0.06640914558108017,-0.02306646449114954,0.09904004507528416,0.2019926706769197,0.013626050475272383,-0.029563962223028713,-0.0947066699451858,0.1975674412396717,0.15468883398742886,-0.04224086349853053,-0.08893523134511554,-0.18708848617601528,-0.042671182686153476,0.3664909840993523,0.26567274164977006,0.5756673696317812,-0.1536823373069985,0.09487458174418101,0.07730664324643428,-0.015420513120654858,0.4245677527375105,0.47147067431698075,-0.01115381291676671,0.3647335397240936,0.16442350588091606,0.22687607726621306,-0.23409946873659046,0.025634915249286894,-0.09049110414577455,0.09290627328386636,0.12678789958303463,0.08552364171505382,-0.06719316947470597,0.0774110772362298,-0.13126206054982037,0.18666817979652064,0.2093808191285184,0.032926137378225556,0.16643391941265434
