,Thal_MDl_R,Thal_LGN_R,Parietal_Sup_L,Red_N_R,Frontal_Inf_Oper_L,Thal_PuI_R,Cerebellum_6_R,Raphe_M,OFCant_R,Lingual_R,Frontal_Sup_Medial_L,Occipital_Inf_R,OFClat_L,Frontal_Med_Orb_R,ACC_sup_R,Rectus_R,Cerebellum_10_R,Insula_R,Occipital_Sup_R,Vermis_4_5,Thal_PuL_R,Cerebellum_4_5_R,ACC_pre_R,Rectus_L,Supp_Motor_Area_R,SN_pr_L,Postcentral_R,SupraMarginal_L,Thal_MDm_R,Thal_PuA_L,Thal_MGN_R,Temporal_Pole_Sup_R,N_Acc_R,VTA_L,Parietal_Inf_L,Paracentral_Lobule_R,Insula_L,Temporal_Pole_Sup_L,Thal_IL_L,Frontal_Mid_2_R,Angular_R,Temporal_Pole_Mid_L,Precuneus_R,Precentral_L,Thal_VL_L,SN_pc_L,Thal_LP_R,Temporal_Mid_L,Vermis_8,Thal_IL_R,Frontal_Sup_2_L,Olfactory_L,Temporal_Pole_Mid_R,ParaHippocampal_L,Heschl_R,Postcentral_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Caudate_R,Thal_PuA_R,Olfactory_R,SN_pr_R,Thal_PuI_L,OFCpost_L,Vermis_3,Thal_PuM_L,Thal_MGN_L,Occipital_Mid_L,Vermis_9,Vermis_1_2,Hippocampus_L,Thal_LP_L,Paracentral_Lobule_L,ACC_sup_L,Occipital_Inf_L,OFCmed_R,Temporal_Inf_L,Caudate_L,Precuneus_L,Frontal_Inf_Tri_R,Thal_MDl_L,Thal_AV_R,Frontal_Inf_Orb_2_R,Cerebellum_4_5_L,Rolandic_Oper_R,Occipital_Mid_R,SupraMarginal_R,Thal_VL_R,Precentral_R,Cerebellum_10_L,Cerebellum_9_L,OFClat_R,Cerebellum_Crus1_L,Cerebellum_Crus2_R,Thal_PuL_L,Cerebellum_8_L,Cerebellum_8_R,Vermis_10,OFCant_L,Temporal_Mid_R,Pallidum_R,Parietal_Sup_R,Calcarine_R,Amygdala_L,N_Acc_L,Cingulate_Post_R,Vermis_7,Cerebellum_9_R,ACC_pre_L,Frontal_Inf_Tri_L,Pallidum_L,Putamen_L,Cerebellum_3_L,Thal_AV_L,Cingulate_Mid_L,Parietal_Inf_R,Cuneus_R,OFCpost_R,VTA_R,Supp_Motor_Area_L
Thal_MDl_R,1.0,0.40653926577076566,0.21639579241984747,0.07303217782987516,0.35016550317111644,0.40143577042678813,0.24463491573172644,0.23238455677550063,-0.22373513137533255,0.38367819677276555,-0.006632289919516803,0.145234161319487,-0.04042448213751234,-0.2717649721455175,0.10500240074610705,-0.2138047285067851,0.1604500036985551,0.3108052698842938,0.3197315719198699,-0.003884740372475156,0.3715305328875181,-0.04145273045135731,-0.15718610841258387,-0.23770435902132214,0.1503434127450007,0.25127426447430984,0.19881613941698092,0.3409359200014523,0.6343689346892287,0.29650560286734057,0.298595765932025,0.06841574594990021,-0.2685012895130905,0.243734797799761,0.2405343502126835,0.3106339901769626,0.36866243957745043,0.3271138352211661,0.1107921304496089,-0.16203904975768435,0.2886577663630121,0.263987832175782,0.24475808891060027,0.1368400440991294,-0.20480090948033808,0.19281123012128235,0.27741787026065506,0.4178881792657108,0.21725441869257556,0.5783628955745932,-0.1146845078343749,0.19456678997179327,0.20692414233143158,-0.18542001148448048,-0.1703874609897412,0.04281275055130991,-0.0649082042446944,-0.0853345219304348,0.10512380562340501,0.4124541545018079,0.14650239277661758,0.344328190358831,0.322916233793388,-0.0813291433586768,-0.26261791657945255,0.508491932839445,0.6331409807675455,0.34020673431134907,-0.0259842254132137,0.3575712012124074,0.20545901563628466,0.2471416979966684,0.21097190362855392,0.0022188940684395447,0.31041270913614705,-0.2469505759092861,0.17749937301844113,0.08446530430761966,0.2429745204064108,-0.18295248755504495,0.21111495245322098,0.38172961087573093,-0.1854468027013414,0.10020050182456787,-0.10721036937044649,0.1378992931672146,0.28690462897796654,0.4339842290474153,0.1507777482488109,0.16760677912571068,0.2494954192446367,-0.2673884177697843,0.29126805279417134,0.24490642651996308,0.32117920711937153,0.2530489633134274,0.25730137312661217,0.30228421799951377,-0.2919984611652559,0.253619574965583,-0.10303201736988654,0.05499661957630799,0.38142869629962406,-0.1911054740006616,-0.059793983428319764,0.055963391562179714,0.29589698071382164,0.2638812624486851,-0.20658658740251223,-0.05327338266454176,-0.18374042417972833,-0.07483946753563617,0.1022508474754354,0.3072477965542904,-0.161124615949654,0.20199124204365046,0.3586316368708764,-0.06808744190050069,0.3198285684988634,-0.029662248831541147
Thal_LGN_R,0.40653926577076566,1.0,0.3594390371581345,0.3028000882112197,0.2847776887704815,0.9687664905429072,0.8692369431645378,0.5331718556675558,-0.7891438456224023,0.9122825385884066,-0.29888696664051273,0.6150706210729385,-0.7602712610350725,-0.763774215887771,-0.3063193229529819,-0.5378577086336312,0.5563562608591661,0.12576367139023942,0.7643692684481389,-0.3934683282664075,0.8436736347134509,-0.37382092378724163,-0.7590607418734235,-0.6054971779634483,0.02803110859303351,-0.053296288641447594,0.1107508943413845,0.4912853766141033,0.877540197448269,-0.07047684296788805,0.9343650444059911,0.5181161330211722,-0.5058949544600236,-0.059716486306341875,0.30338118356663796,0.3705992805540599,0.17767957143059718,0.7977617103183606,-0.37548776992085714,-0.7071032789018188,0.594715761347583,0.7287921542600139,0.38107603816330904,-0.0715501856210975,-0.8196371084630713,0.2564258033342266,0.8204151617443395,0.7965074028012364,0.5980262049771192,0.7413369293151381,-0.5336032740198289,0.1273256325387032,0.6990900944353728,-0.5399424069228593,-0.6696366656126526,-0.3379016653887067,-0.6516459468670563,-0.394019499901759,-0.23247109433199928,0.9153360803313937,0.03939535758456906,0.3727912399138578,0.1906289518771662,-0.41894500534953816,-0.8199657783667981,0.8652805875446069,0.724297197946428,0.7701574825514764,0.16419895324167336,0.8594244624719932,-0.36852860745291743,-0.1886577301447766,0.07230876998174587,-0.3119404620023322,0.9197246329237143,-0.6396681289314625,0.21568649650576174,-0.17861151821440563,0.4047990016936008,-0.5519061771821274,-0.5278863702881562,-0.11127016348276304,-0.7602137139348492,-0.05810546515440598,-0.1616249828599908,0.7670236852562897,0.35910032830436234,-0.3148642686181305,0.04145971087638911,0.47763287925190784,0.740279169345275,-0.5435232417158946,0.9090434688364861,0.7535602670105255,0.28338668482874807,0.7199381372676772,0.8162100590727623,0.8809994461382737,-0.7659493723601565,0.8632673278743256,-0.6680625868969542,0.12338041092426275,0.8925078903824292,-0.566264716382191,-0.4096220310123188,-0.05880782006095088,0.84758931758236,0.7857363526838411,-0.8294306844408827,-0.6683072240235255,-0.7607271315370806,-0.5105040415627318,-0.055821872686140084,-0.09912699539501965,-0.40744545594735565,0.3303033099091067,0.8822307911281009,-0.3699871888213468,0.2063176537549678,-0.1911010404172771
Parietal_Sup_L,0.21639579241984747,0.3594390371581345,1.0,0.1697464670309607,0.4422200138623606,0.41959727709476097,0.012673732697266215,-0.040938615516418725,-0.2544326006250212,0.17589991511880218,0.40830529011919287,-0.19101634766915834,-0.26181731196696373,0.010917031542927677,-0.5308578608773485,0.1738337238738942,0.4153638530723671,-0.0067796269577966575,0.8305954892697247,-0.38274574478582213,0.6866195203497191,-0.5018355037589871,-0.6047740232117319,0.03680275862139903,0.11478236223302671,-0.03932706602647911,0.7410823477502478,0.8220358836267065,0.4551601395416194,-0.344687828781159,0.1942549963499834,-0.10974365918682993,-0.06690944458626746,-0.08137272064547088,0.8978198705381056,0.7374179364823069,0.13091725179466054,0.2890605503295667,-0.16565247787617574,-0.3401923096256116,0.9141456050606679,-0.10273386650676875,0.9163867893131088,-0.07911032519812461,-0.5160650610355968,0.03613668179282769,0.7070370813657134,0.4984138745218787,-0.2902275758267655,0.08467770078381315,-0.7336399172740297,0.12616226642120318,-0.22333816701588727,0.07219240665174811,-0.422890971891359,0.17659756270053384,-0.22246494513516937,-0.7941094409583418,0.21796379627797283,0.6502860136159839,0.07890955941582581,0.08011011502603257,-0.4095415662345812,0.07126930847503767,-0.43665347121979864,0.6568649436070886,0.34645104125904735,0.823877141009059,-0.5507473083335617,0.17328890124634,-0.15550794715125174,0.05516454523311193,0.5323752401769949,-0.5302938633440992,0.31494748025771374,-0.04293579036703712,0.19878672457466268,0.20887242313832727,0.9722869339213168,-0.4824375859826286,-0.301006229798115,-0.10338057105729363,-0.3197584241525113,-0.2912015622864613,-0.47663444723663234,0.4724482743123646,0.6694562643750868,-0.19386582447998257,0.4696980342214936,-0.21111131892830057,-0.2141477155399248,-0.19348770068126378,0.10498815099273406,-0.1209041353260738,0.5274606901687906,-0.25875306183755087,-0.10927948048846292,-0.004890787084072454,-0.23369781713327414,0.11304466761967723,-0.36011181702158707,0.9140471024880327,0.33670736849477007,-0.08807730282656956,0.0868979274497549,-0.2969160984667404,0.02361062165836855,-0.12980980209298706,-0.4143758338896999,-0.4635432251928202,-0.372187040952399,-0.3295721820353073,-0.19974014044468058,-0.06368334380814872,-0.7634909755941135,0.9534342877425489,0.6899157206530399,0.11386111672252788,0.11018529573419948,-0.6861090635448368
Red_N_R,0.07303217782987516,0.3028000882112197,0.1697464670309607,1.0,0.29050936807264344,0.2878000300262966,0.29513288597723064,0.39948077932979154,-0.17518215118417493,0.42034940586548486,0.12216676363919213,0.2690845131583923,-0.2231837977194221,-0.12489387104773185,-0.2715103928262388,-0.1808435036867093,0.322638718206972,0.12091012212437237,0.2843989332453519,0.3111360224414973,0.24771837071329375,0.16965666611201907,-0.15342588830962708,-0.265842453180225,0.2019926706769197,-0.002318292328618679,0.04363868113853966,0.22560004601055716,0.2533831780203391,-0.03987201781954518,0.27990695871276094,0.29269804563772467,-0.0010671558707582706,-0.016001959270875676,0.19535860161608115,0.34646753553387805,0.1930541273677572,0.42385313305774486,-0.12797944465362535,0.0037939419496096855,0.2307431779693363,0.32338947933441714,0.26757434381814654,0.05306495817638127,-0.18558592611118524,-0.15729542214526848,0.21972025332423656,0.5000607198262701,0.3737325906545379,0.36668662255905304,-0.046957683463374124,-0.04649132766519692,0.33810588105424444,-0.041354727840410034,-0.11925320028925912,-0.11531911156190475,-0.016713259870458658,-0.028136717014656386,0.054216934171420525,0.2711671797994466,0.06977319694982151,0.3238570848427371,0.06974317763636526,-0.24308601166172975,-0.07124918987802245,0.2602189119776378,0.2308384128659389,0.3277747449759547,0.35592932134783817,0.37998628638919046,0.030546313195516202,0.10467631974530295,0.10729628003536361,-0.20447951080309978,0.36022177808272965,-0.10925797866231753,0.3864252897711454,0.1730106983367689,0.23033038718637128,-0.08721566599990711,-0.1405897814822267,-0.08058525074559397,-0.1146019532276964,0.4634195824699318,0.09821396024916718,0.1899948078904381,0.2462338865470326,-0.12750131838140386,0.114800411116799,0.42882335986770764,0.3576758848471138,-0.07884943234897265,0.35444317350615034,0.3594172074610659,0.13789725419861304,0.33901514178483394,0.3407311691450779,0.3273857251750683,-0.19384395530499984,0.3132464811966824,-0.0020201508914536094,0.10330655617687294,0.4485309156162201,0.06620415711980941,0.1795766245304971,0.5141658507085648,0.28055265428041143,0.37314475030824945,-0.2235848254774552,-0.07783719761977942,-0.08506431223368759,0.05088472679561553,0.29758065022619895,0.0009567744906224583,-0.0030086313930842404,0.1605385375225888,0.29493939847762946,-0.02486039414561629,0.19432612535100666,-0.03156710732470594
Frontal_Inf_Oper_L,0.35016550317111644,0.2847776887704815,0.4422200138623606,0.29050936807264344,1.0,0.33100843346411774,0.13863229890494477,0.16497854836735262,-0.07083025874143092,0.23815204550276717,0.4612869367942097,0.08587673008034831,-0.13808565251414598,-0.0014495699312890183,-0.19876800970792435,-0.1761340664072388,0.2844339841511877,0.3619449461671148,0.369743486142797,-0.06949755821834319,0.34579622364984414,-0.12876161796593044,-0.13362166527543068,-0.20508779043021141,0.06640914558108017,0.06440085222369984,0.07805913656517498,0.6830845695517969,0.4196584346429213,-0.05211105416463554,0.23441765055587077,0.07340116984411263,-0.17348298411489974,0.13283120954354405,0.5338768520492402,0.3269725066994691,0.35175022703816244,0.33645271144156136,-0.12536375362503713,-0.30224872967691646,0.32704608331479956,0.22684001437413923,0.4064188747717882,0.4387640380553572,-0.1336884328596564,-0.07914483931779168,0.3210199879067833,0.5651732331049413,0.10681483400726698,0.3390791484509103,-0.08964349154643855,0.20943437220288352,0.06284555060123034,-0.01645295440576961,-0.07482616431546582,0.38806397154580735,-0.11855257756616773,-0.052627124436996575,0.13813207825096702,0.3771679544615687,0.17595409375131985,0.27349897846767324,-0.03543105716326236,-0.08941210233092863,-0.24149773787348633,0.406149770347594,0.3438728617389155,0.449936152826115,-0.028005643368718105,0.26399545106500166,0.15534811009955019,0.23497280755107816,0.3290783469091392,-0.35024149921651326,0.2358820222028514,0.016624471566744233,0.35630115653078714,0.5125039921288511,0.43450522339344555,-0.45274358493857336,-0.07503135316719665,0.1759844549141393,-0.1016178312343173,0.11845804762717159,-0.14094299842391456,0.26790275794876744,0.1358700371380292,0.013836631762949638,-0.09738341932598728,0.10427584312025932,0.07662902028169202,-0.33835945875870826,0.2095739943144872,0.1506877805561818,0.5051834416443161,0.10661626975424839,0.09584662305765243,0.15406949889502855,-0.2791119010486167,0.033928046909474555,-0.042419871340646245,0.2895616635260001,0.2949922724785978,-0.058783039338281995,0.3380224723376672,0.07117371957459022,0.21715304104616043,0.10511626588307672,-0.19110318259868142,0.10430980030215596,-0.04707389948580111,-0.07513856201816382,0.08710428945495922,0.046125353336947006,-0.1263923715698893,0.2754223912296328,0.3401097715051698,0.11142109363590917,0.23594852622387033,-0.07923079338045616
Thal_PuI_R,0.40143577042678813,0.9687664905429072,0.41959727709476097,0.2878000300262966,0.33100843346411774,1.0,0.8492283779891143,0.4670881002109416,-0.8169522731659241,0.8835388610666368,-0.28045064159630495,0.5944623988569638,-0.7443856342301076,-0.7495124784080048,-0.2878007124263133,-0.5805886065974701,0.5655263785569007,0.11341202629375687,0.8011647213749387,-0.4622923655765706,0.8845221920910891,-0.4444178284125962,-0.7941893768945223,-0.6155179745027974,0.03339848068687832,-0.046693349530322864,0.17212830458950848,0.558188978353168,0.8585233895411174,-0.18106845467678162,0.8930620651946456,0.46185370407514126,-0.5611263605543364,-0.0019965940482421104,0.35855392069167774,0.39546658989131867,0.17980144772066511,0.7404482893467109,-0.48625026963773565,-0.7450438099952014,0.6568367436084598,0.7056826144294644,0.4283180008075597,-0.047378069425165266,-0.8574202212879692,0.24860475472021812,0.8306420017259878,0.7747902894412327,0.5615380761352815,0.7040432246387497,-0.5693785622111507,0.15022427000582925,0.6471098711047294,-0.5711342007975412,-0.6572676307244929,-0.29245083482614437,-0.6363063018113109,-0.42604432732022174,-0.24606670919777623,0.9342621941511063,0.06823369728385965,0.355227172130567,0.0984035759869934,-0.4192631550944861,-0.8634902431528789,0.8938064674831595,0.7382399503193047,0.8043700756624313,0.1066755329102323,0.8707141055856692,-0.401578397241679,-0.19412192477887733,0.131776624536925,-0.33140748569365636,0.8890852277776674,-0.6390819346150513,0.15238496795176026,-0.17979752916025918,0.45756114184678154,-0.6076257300725011,-0.6185223252443572,-0.18539325875820759,-0.7799582497863575,-0.11646503348526566,-0.2494297647760163,0.7768667556457353,0.42650621378114567,-0.4031323626400522,0.08636159715313717,0.3888175331877205,0.685773099123001,-0.6171118609572782,0.8738128198400836,0.7413527738999692,0.33612994375401145,0.6780030023852622,0.7751780019579145,0.8504171522428423,-0.8125700977102596,0.8327363648346263,-0.7024405561220864,0.16417721303461366,0.8887634195457524,-0.5914963043238898,-0.44805524190959933,-0.12552299698548855,0.8272135036576497,0.7457801897261948,-0.8663131344293903,-0.6834322438893378,-0.7946414167947018,-0.5590205711458158,-0.11746283589178015,-0.191637650006714,-0.45910137332405093,0.39325046194664093,0.9028198631737587,-0.3847968089984662,0.2579030189895834,-0.23716362331455187
Cerebellum_6_R,0.24463491573172644,0.8692369431645378,0.012673732697266215,0.29513288597723064,0.13863229890494477,0.8492283779891143,1.0,0.5411433903163544,-0.744087931128436,0.8945261185871703,-0.4223078239890151,0.7549857720416128,-0.6950334488078109,-0.7746240846830941,-0.10498206824516411,-0.6919967798825533,0.5056224574420924,0.11734446160776182,0.49043191921618523,-0.30505682481365975,0.6175394661492929,-0.20626939026967056,-0.5487027432348337,-0.6732501870886781,0.01179735263323754,-0.004568754605424106,-0.13412806060164503,0.22702941309144178,0.679295875909582,-0.05035760209323356,0.8714990129025589,0.6551714755498859,-0.4836350336705953,0.0021994484432787927,0.008298209308079004,0.15650954353514931,0.13447889986454828,0.7141985197995468,-0.4556220386653134,-0.5959341981381181,0.30286484862928476,0.81814062184683,0.07477148390704438,0.010341955515882564,-0.6872922111934385,0.2083116239603257,0.5788403774927515,0.5982877262801901,0.7642568879416185,0.6846872685682469,-0.23472032868268336,0.06488577942034973,0.8334858479658129,-0.6238176905740794,-0.5135594690407994,-0.3762687773971057,-0.5504445115596014,-0.06675693719305127,-0.3099515788610536,0.6852594250306521,0.023705838720873028,0.37404672876143624,0.288160945586228,-0.481336437662596,-0.7089122637049294,0.6484398239341252,0.6278145123272855,0.49600608280119146,0.41178789911260977,0.8562804427082621,-0.3472408326334765,-0.2691163530560402,-0.04180024567979387,-0.10796661304900716,0.8386584343805739,-0.6324694828293708,0.043020641308633326,-0.258710657046882,0.0734266389381381,-0.36548627053100424,-0.5607631019497191,-0.16662086442950194,-0.64511734924441,0.04448034968063161,0.02856469885166118,0.68032530602018,0.19557391468100066,-0.37983722572429884,-0.10778997885257433,0.5815103971114213,0.8736819257997516,-0.47337357472731706,0.9074909963938348,0.8726759750787341,0.0941294634056751,0.8669820452187047,0.9149503491798202,0.9480339400358,-0.7239566622240101,0.9227798699069623,-0.5210924307147493,-0.21676144598324273,0.8446781622197641,-0.5452512938603961,-0.47463017852385686,0.03580389842202094,0.9140222417465108,0.9042984560582847,-0.7119022685033405,-0.5047637289185145,-0.644530020672156,-0.3755596485621551,-0.021013790186397832,-0.1700229367008923,-0.10638973355540023,-0.0029170386398877568,0.6685035389237539,-0.46094790894417975,0.20811877531581918,0.10420075416912983
Raphe_M,0.23238455677550063,0.5331718556675558,-0.040938615516418725,0.39948077932979154,0.16497854836735262,0.4670881002109416,0.5411433903163544,1.0,-0.3333662653942506,0.5969777719243331,-0.1535906500733393,0.5030408763128689,-0.4290393319398096,-0.3919728845488475,-0.13722045570374616,-0.37745411019803665,0.1797019135661871,0.11003564207431056,0.26034073842926675,0.00867026785202504,0.3300705219835184,0.008315849461142716,-0.2295483944230162,-0.4090267219206727,0.030960431051960238,0.04590630139893294,-0.19408950402041178,0.10400295570883729,0.44846079190274585,0.1782851113893103,0.5469511766723958,0.4304183770269395,-0.12682492773276094,-0.08742435929929669,-0.021803572110988496,0.12683447016321092,0.21106202274583957,0.5240694452105058,-0.030955269215359044,-0.29623228994108275,0.09228175569603499,0.5608778757332551,0.008768674110076155,-0.010551594301587322,-0.31142220834566836,0.3485079174281302,0.3345929789875103,0.4710183409680923,0.49985985673495875,0.5090247731675387,-0.09259928925566473,0.10407909815051271,0.5667741172841516,-0.3251225112949902,-0.27582076550764556,-0.2815543345285587,-0.33566013823777546,0.012099134075376978,-0.07692129022738305,0.39016590816038055,0.07418910758860951,0.3177638210401736,0.28193806119427733,-0.32691393381969613,-0.3261725093595633,0.3368201894095567,0.33892682036067523,0.29087254930119444,0.33185386563808333,0.5806535445188632,-0.1046944779035721,-0.08647704308769459,-0.0747184526553655,-0.08026392146554177,0.5719103487676986,-0.33418256535169066,0.20490062482802643,-0.03222160233053494,0.014362429706993023,-0.11973604850356316,-0.143226385955487,0.05910268074038303,-0.3334147841334826,0.19623861369883613,0.1654080257459028,0.3661562505265256,-0.028349599564671077,0.0042642680900591215,-0.1719474567463183,0.4925487278374824,0.5984372852147948,-0.1612595269871328,0.5952190467315981,0.5337711000089052,0.006649044370727058,0.587739493801631,0.5944220684356061,0.5595298845868051,-0.35099050874281695,0.5153955848304372,-0.22462448221342318,-0.16537406641328062,0.5180670497460965,-0.26793262907366716,-0.07774971125125213,0.2449311323068037,0.6007910480702466,0.5782287876116612,-0.338336813403112,-0.12766789267469072,-0.30589984887739463,-0.08977597367694032,0.1630163824682242,0.04778990124633031,0.005729602029765294,-0.07734809440871733,0.3625310525352528,-0.3093653225423707,0.14220618835157228,0.07387184686264257
OFCant_R,-0.22373513137533255,-0.7891438456224023,-0.2544326006250212,-0.17518215118417493,-0.07083025874143092,-0.8169522731659241,-0.744087931128436,-0.3333662653942506,1.0,-0.7429842896044232,0.40417125373343665,-0.5335234174786472,0.6989621173031314,0.7162380773992999,0.26669107250744795,0.6574080488471216,-0.3966587362611432,0.18266413537329776,-0.6285247780181606,0.40050810217414917,-0.6999678559147982,0.37814415313011346,0.7346487876648778,0.7027710706457652,-0.042671182686153476,0.003972770524128118,-0.1210904056053119,-0.36674420440076383,-0.6338233552854949,0.24595349474477388,-0.7341586590241009,-0.4320331988528855,0.474356201686026,-0.10028779446254346,-0.1887060518299467,-0.27294941342983164,-0.016187441374888287,-0.5107077542635197,0.553959771688905,0.6085342377236213,-0.5034918155504172,-0.606335633866712,-0.23279744754174084,0.11235024219412244,0.8019618724022578,-0.09112752237338716,-0.6398894398904917,-0.5099111538002163,-0.5436317676123479,-0.6230230028953252,0.48800833173142516,0.04841609100852035,-0.631784699203101,0.7240156081806848,0.633695491553462,0.36546106948732177,0.5925754833754558,0.35225623722023197,0.2089136805834152,-0.7392073893563345,0.05386535868832186,-0.28432461235781115,-0.021697757847425534,0.5564381895313132,0.7958587664069993,-0.7166107097981163,-0.6316152398050222,-0.6060042525179543,-0.17104321669530365,-0.7701165828980298,0.4867174161021666,0.2584098748696653,-0.02184478419384654,0.2444807241873301,-0.7287110885492761,0.7345819288178407,0.11462423790705185,0.30798197237857017,-0.28203570550645884,0.47031810027165344,0.6340194371655979,0.3523325793648197,0.7719630572403989,0.13115209135474457,0.18887104025695298,-0.6378650224757816,-0.35243867193748024,0.4957435633786511,-0.11007180436841131,-0.3137101813713613,-0.639725827513499,0.6254263697175549,-0.7177285931388953,-0.7145674505359284,-0.17610342479252003,-0.6140956169060604,-0.7013880589081338,-0.7701005250029126,0.8032484262369416,-0.7653428830609282,0.5859045313576338,-0.021100736041267262,-0.7121297350910081,0.6742207324286743,0.5732916848673643,0.04878024995263307,-0.7341268820943224,-0.692258693060667,0.7653591804202974,0.6833314995678469,0.750860407862151,0.4838262442760482,0.2153649012665821,0.2998377523900062,0.3656327630459669,-0.26646889204455193,-0.7103161705424219,0.6038984995026526,-0.3347642706945709,0.20056133879754037
Lingual_R,0.38367819677276555,0.9122825385884066,0.17589991511880218,0.42034940586548486,0.23815204550276717,0.8835388610666368,0.8945261185871703,0.5969777719243331,-0.7429842896044232,1.0,-0.3881857011567961,0.7060804981027932,-0.7264710842308277,-0.7953631346784326,-0.18310539514026977,-0.614953482997117,0.5519614261766566,0.19240496325627665,0.6324797230557366,-0.1399165795284666,0.7365082364666753,-0.1286339152692417,-0.6563368181103181,-0.6543145885147605,0.14641536106827352,-0.053115305034994446,0.010421795469152017,0.36231551737508166,0.7631515011265162,-0.01157848831331506,0.850234315185377,0.5696548989465214,-0.49156881522091617,-0.011953636705969727,0.16923418238059157,0.3297823442127364,0.20865945455293816,0.7689776148371812,-0.36989682951644454,-0.5632576937632232,0.4428187514439339,0.7941327436589861,0.2598298896917481,0.007903980874766433,-0.7490493600644657,0.19935986512505216,0.6988493399795452,0.7540200509379648,0.7320508595272838,0.7113930037741625,-0.3448977429593741,0.05921105389509929,0.7542087835000163,-0.5647904036509782,-0.5697559910915193,-0.37221521250841083,-0.5225983106803345,-0.1832243469110212,-0.2973640654608024,0.7973712207421848,0.03650195030271717,0.36192647821159485,0.22440550815629084,-0.48455622122924935,-0.7027674052676989,0.7626665035449874,0.6851606704286953,0.6528400792523752,0.36075838695978213,0.9099161111065568,-0.34402677235659346,-0.18263741189369392,0.048979183454385906,-0.1820260616653217,0.9168920212129591,-0.6436257678234942,0.17704718647942116,-0.23843493671795238,0.24980888167826318,-0.3950513194221698,-0.5083156511614009,-0.09466159424959525,-0.6671106152246785,0.18259237547794696,-0.05119866649353149,0.6811312393675943,0.3175947564314315,-0.30682642722035197,0.056024544535386335,0.6124330656137451,0.8698636638343281,-0.5008789952321746,0.9195125692157124,0.8550858527493306,0.16317486731414174,0.8444376813057923,0.8892751829232327,0.9236465100537223,-0.7415762444622376,0.8971646630119895,-0.524427496803785,-0.0697544516379883,0.9131300906448009,-0.5162962850382964,-0.4223788853468562,0.1784493200016891,0.9181351604333899,0.8757026822554574,-0.7833767577716442,-0.5518596100572142,-0.6685523778406606,-0.40383499705129483,0.11968908189583724,-0.10528367509398695,-0.23842385586826229,0.15906853745223998,0.7805709566181566,-0.39013226922083677,0.22562192683274232,0.008764939566165775
