,Cerebellum_Crus1_L,VTA_L,SN_pc_L,OFCpost_R,VTA_R,Fusiform_L,Parietal_Sup_R,Calcarine_R,Putamen_L,OFCmed_R,Rolandic_Oper_L,Pallidum_L,Parietal_Inf_R,Cerebellum_6_L,Thal_MDl_R,Cerebellum_7b_R,Thal_PuL_L,Thal_MDm_R,Cerebellum_Crus2_R,Precuneus_R,Temporal_Sup_R,Temporal_Pole_Mid_L,Thal_IL_L,SN_pr_L,Cerebellum_Crus1_R,Cuneus_R,Raphe_D,Paracentral_Lobule_L,Occipital_Inf_R,Cerebellum_7b_L,Vermis_10,Frontal_Mid_2_R,Frontal_Sup_2_L,Occipital_Sup_L,Vermis_4_5,Thal_VL_L,Frontal_Sup_2_R,SN_pr_R,Cerebellum_8_R,Thal_VL_R,ParaHippocampal_L,Vermis_9,LC_L,SupraMarginal_R,Postcentral_R,N_Acc_L,Thal_LGN_R,Precentral_R,Heschl_L,OFCpost_L,Thal_PuM_R,Postcentral_L,Cingulate_Mid_R,Vermis_6,Precuneus_L,Hippocampus_R,ACC_pre_R,Cerebellum_3_R,Thal_VPL_L,ACC_sup_R
Cerebellum_Crus1_L,1.0,-0.10357461890179957,0.24971892554229697,-0.4264029467074224,0.17139336232080563,0.40123083856640224,-0.1330505142651208,0.8638248146152995,-0.4582234548606124,-0.6439497191259103,-0.4072020400190808,-0.6547448857441166,0.07192703324739032,0.9184388219416092,0.29126805279417134,0.4577905535130757,0.17920074305379158,0.7683490693104942,0.8523018341504027,0.1686650748127834,0.6587332194921763,0.7980841731492601,-0.3828164186105661,-0.04810695857157425,0.896424643114194,0.7367041432069945,-0.7970814304081504,-0.08775818693253178,0.6882386508419669,0.7191004331101701,0.9487277591534741,-0.6359419511962409,-0.34407024928573693,0.5443975116609971,-0.253331079953065,-0.6931126067680978,-0.5946181546943906,0.3673176189245476,0.9208070546748538,-0.3370674345799108,-0.558216445998284,0.417412315270713,-0.6326712801643004,0.1734587500743376,-0.11537934177853541,-0.3995534168199816,0.9090434688364861,-0.079790255579034,-0.45179150599636525,-0.4724527395837348,0.8229143624944707,-0.44945369300240656,-0.2897263287084058,0.9245010638822377,0.1669601398259043,0.106131888186627,-0.6258389269239294,0.19927397398195135,-0.6693126210937009,-0.18961580139563328
VTA_L,-0.10357461890179957,1.0,-0.036972145008229436,0.02755649495604644,0.7004311495012406,-0.10426292331309266,-0.14279127431756666,-0.02769827935072828,0.23974129588238494,0.04887645527076332,0.23260240501484591,0.03775779323875632,-0.08731534146941482,-0.004659832690076267,0.243734797799761,-0.15496051899051144,-0.023941047095768126,-0.006666725235009418,0.13377908506215738,-0.0451765301697208,-0.029585562208093222,0.07980454166848945,-0.01782599610686184,0.6232764815757081,0.016287008160307984,-0.0719488691302218,0.08496536195738208,0.22448693073889078,0.03332585180718705,0.18804851265523803,-0.008496798444915573,0.056528355346012506,0.20519425487834736,-0.07072255245774375,0.1341185556892657,0.06788076914941811,0.2438190144212662,0.2141844354524386,-0.015832406195824444,0.05916321705358468,-0.1617524700450942,0.07396297325358027,0.049562346207635756,0.0642476281045437,0.013661636134677538,0.01231799631594561,-0.059716486306341875,0.07639547586842665,-0.10984803865115608,0.008943401789274358,-0.04943146952200027,0.18974794964673028,0.005814704477746546,-0.01852506841018552,-0.06829782724258206,0.2640141046583662,0.19149377642453166,0.3601940874313716,0.17599094089609046,0.2556677417121529
SN_pc_L,0.24971892554229697,-0.036972145008229436,1.0,-0.1288324561993759,0.0019744507178495753,-0.05809657078224296,-0.036746542174762434,0.193334639897029,-0.07563440197615558,-0.11900423256991648,-0.08362986055235859,-0.2237316194335139,0.032375712921106234,0.22477031267621836,0.19281123012128235,0.2619596944127541,-0.025443797608844625,0.2856993595706405,0.07821212885819404,0.06302601133170577,0.13606177383490378,0.13970215325327087,0.057618298549951416,0.41363672259833817,0.2313242406451419,0.2069519411270023,-0.16477449400379884,-0.06610003349115227,0.21146322366453196,0.2501961816392318,0.23878882097561493,-0.23744729962566236,-0.12473666171210027,0.1164843380907967,-0.12971681130295373,-0.19033831617120642,-0.1713463001845213,0.24984803765555,0.2552546717165055,0.09364011227707915,-0.04249376077028889,-0.06832293806883638,-0.27331999579816846,0.041407883297142116,0.026035422472500024,-0.11959278052249034,0.2564258033342266,0.020506634034915833,0.09991540982491669,0.26784680762158036,0.23761715472664946,-0.04967173163990857,-0.3287868193224887,0.16926076606634,0.019232212851683302,0.08729964530175728,-0.19470502478708043,-0.18805943007217066,-0.19913541273134652,0.03428612727782684
OFCpost_R,-0.4264029467074224,0.02755649495604644,-0.1288324561993759,1.0,-0.3153960574135833,0.11992455845555798,0.23812905655778313,-0.35443358906188294,0.3471906553768373,0.8082355692287626,0.2400243580799772,0.41546771817674827,0.08135584104683694,-0.37895691218838246,-0.06808744190050069,0.15636456074545485,-0.08488535310274771,-0.23479837159548297,-0.4654485437923432,0.12064517575033079,-0.2789394414933991,-0.3435816127252604,0.4350720172789474,-0.10304548888707343,-0.4876834945561375,-0.2391200650453919,0.38682960238988884,0.06357416910748448,-0.3432126168434422,-0.2927462931992905,-0.5156216351123074,0.22410128973160945,0.050788951691398854,-0.13335675242416573,0.2399877698223491,0.44190615153162055,0.2514920036980364,-0.09174170716414078,-0.46880703669276896,0.38867605744756367,0.7339447921233052,-0.25155294255999583,0.4480852304826117,-0.02297781432031881,0.07504290600100873,0.5349422379457008,-0.3699871888213468,-0.011123665553916627,0.3810327115413957,0.6639024501562283,-0.29904993210413916,0.22154942675634878,0.1766502356568332,-0.4420332656889298,0.0871025096197047,0.09465294107182404,0.38574714142007643,0.1859046307208444,0.40497286636291074,-0.09591902983515725
VTA_R,0.17139336232080563,0.7004311495012406,0.0019744507178495753,-0.3153960574135833,1.0,-0.044960890001201945,-0.046608678801976326,0.2270821185287598,-0.08938854541776903,-0.30615375022226293,0.06344764437962787,-0.19052956020709116,0.09674935955143138,0.2098050045600242,0.3198285684988634,-0.17924853064978943,0.2653679956923263,0.26136579945096516,0.3189120387765618,0.10073922356458088,0.16435741446206154,0.23154841422965233,-0.18583390668344446,0.5829367766670733,0.18598042347676566,0.18735862469998088,-0.25835279289571367,0.2756329251577902,0.14980422061505635,0.247852958796237,0.24280639190177616,-0.11980825297400453,-0.019979505591053114,0.21455913409851554,-0.07751974319681765,-0.1886355156702191,0.020002222799262385,0.358723906481765,0.19025287403057756,-0.12607423357035782,-0.390099726227959,0.05389584255460747,-0.15378123488545217,0.2092854173706973,0.09161135762104188,-0.0697592544481646,0.2063176537549678,0.1353146732679471,-0.1641067830375983,-0.3527062201270932,0.1937629000857866,0.11948984824367598,0.06804911754481682,0.2574331268268779,0.13199200487859641,0.07297277626871453,-0.08319463309302627,0.1372959276171757,-0.05837433139036289,0.06899665109738565
Fusiform_L,0.40123083856640224,-0.10426292331309266,-0.05809657078224296,0.11992455845555798,-0.044960890001201945,1.0,0.059513998625721244,0.4447402237098458,0.10763947088252587,0.11501494623001617,-0.040229112956018206,0.11135931651966673,0.014047174619711148,0.4682900920167017,0.22577173523715027,0.0880440021293592,0.2711767564769917,0.3993638983565319,0.2763835291514545,0.2547915882408567,0.1675142466690475,0.15502190763848805,0.09046841846997321,0.005319836275498416,0.18050037914335537,0.28905852661740244,-0.07087812762191756,-0.05896362638243652,0.1776568994677819,0.2881611849059058,0.2453855833131665,-0.04254209867303327,-0.07958787291936277,0.20346579946633514,0.2929400362702415,0.051939015923513,-0.04940355888056431,0.09433721384768054,0.24182786373847773,0.22186290697446095,0.2594811650775262,0.439658303313598,0.048352427040636387,-0.0911980829841591,-0.17110536614098384,0.23586901016718254,0.29345487157162703,-0.11442202111424173,-0.10176547532518847,0.06792270953398505,0.22254249561819545,-0.20337323869376212,0.19110721892115054,0.3356017519335894,0.19466396123473853,0.202471042273808,-0.04298557540366647,0.37770297360931787,0.033787686251956106,-0.16010058450374545
Parietal_Sup_R,-0.1330505142651208,-0.14279127431756666,-0.036746542174762434,0.23812905655778313,-0.046608678801976326,0.059513998625721244,1.0,0.09983965239400383,-0.18000664104387912,0.14070855966726437,-0.18545935757005513,-0.1765122643949883,0.9115128519871091,-0.11894045167922426,0.05499661957630799,0.2543998204153723,0.4069947084838923,0.20874512777537477,-0.36307503428333054,0.8508187357298201,-0.05761376690062598,-0.31936712456802413,0.00017196110237921688,-0.09905769506949075,-0.37669653661817176,0.4789468709910223,-0.09214824271514388,0.5321184305725319,-0.3608699915513578,-0.23744340342991305,-0.25653011652732116,-0.1591359041538584,-0.6358993259479685,0.6638784753997723,-0.28119418991593403,-0.30729734556702215,-0.031428351029018885,-0.09699462398648417,-0.33931430616976455,-0.10070629410460098,0.28205340497933334,-0.6224476437794297,-0.27129737549639693,0.5715467499378475,0.7499415542734321,0.21722980464261044,0.12338041092426275,0.46889394778474847,-0.0026212861059273034,0.22590796629176177,0.2454999875792055,0.19491721205526422,-0.0010353931802554845,-0.03318369607098495,0.8997085785180582,-0.42225992112238325,-0.4121859683434021,-0.3236897675878453,-0.2609434911065914,-0.4898907629104878
Calcarine_R,0.8638248146152995,-0.02769827935072828,0.193334639897029,-0.35443358906188294,0.2270821185287598,0.4447402237098458,0.09983965239400383,1.0,-0.4042707613461366,-0.5500055674547608,-0.3287395112593455,-0.6234112654880284,0.30051198590886524,0.8834988133419344,0.38142869629962406,0.45594602675687174,0.3251689752147373,0.7957123095703191,0.749562883256245,0.4414339864532817,0.7161008641188685,0.6978074531348137,-0.3990682397759946,-0.01996593573831736,0.7707697409831481,0.8544908085763085,-0.7122432056274881,0.14717320370295103,0.6377287231159098,0.6975329564405076,0.8481531849452211,-0.5380294092331617,-0.4378435659609477,0.7036678331929657,-0.20863227753139937,-0.7265855224231774,-0.4672720046873776,0.29882436157086234,0.7813670308938856,-0.3098347301399947,-0.4499345411288633,0.27593917722528055,-0.6793737064760942,0.4005807881416278,0.11699833492450633,-0.35485004212935767,0.8925078903824292,0.11346947928679064,-0.42344679479724284,-0.378833166879045,0.8454123801489596,-0.27212043575097805,-0.19103920785268372,0.8924496822808777,0.4074976203114084,0.0879956936988596,-0.6674350462166287,0.24237598829051968,-0.6651025708311694,-0.27719349323647946
Putamen_L,-0.4582234548606124,0.23974129588238494,-0.07563440197615558,0.3471906553768373,-0.08938854541776903,0.10763947088252587,-0.18000664104387912,-0.4042707613461366,1.0,0.557130575748704,0.5129218089453488,0.6830924654641076,-0.2968923112623408,-0.29364586906586365,-0.07483946753563617,-0.1775181226335733,-0.4140963457622297,-0.4187444377796639,-0.3022628409887207,-0.20471051835623427,-0.1605792090597713,-0.2860265585875052,0.4751374672641261,0.265151662283651,-0.3664163471970791,-0.5172941174054775,0.5203810207937754,-0.12899885263753103,-0.2210595706150684,-0.15373124544050296,-0.43034082735842233,0.5778924856974776,0.45989737218649906,-0.536122008108841,0.5443065902539042,0.6316449298624376,0.4819609928803307,0.051866420439082114,-0.35742101268664705,0.5116549543303368,0.5081911013231397,0.19278311369090378,0.537710322802655,-0.20901785965725464,-0.1670208808443041,0.4664212426597769,-0.5105040415627318,-0.05442351532762191,0.4521840618148681,0.39380471113785315,-0.5223892391085283,0.05216556261468185,0.4516893671668598,-0.41055930335606877,-0.3003155551620582,0.39147325094961866,0.6348664851700433,0.29142105093861403,0.5346675244363512,0.11450125388429692
OFCmed_R,-0.6439497191259103,0.04887645527076332,-0.11900423256991648,0.8082355692287626,-0.30615375022226293,0.11501494623001617,0.14070855966726437,-0.5500055674547608,0.557130575748704,1.0,0.31468725753750876,0.6479029941020515,-0.09184569465890899,-0.5750098727412897,-0.2469505759092861,-0.08333184967579438,-0.16480354212846748,-0.475458728631198,-0.6043140792000941,-0.001357050408992405,-0.5139015594455772,-0.5232427496040007,0.46626304566301324,0.04492790280532324,-0.6553537709312645,-0.49135138290315405,0.6790051206906109,-0.03624920698516905,-0.4644406620481025,-0.4564482593069453,-0.7089366427664117,0.4278803379007368,0.25501249000007253,-0.3779443298033208,0.34947135470779794,0.69419296144219,0.42272517513965824,-0.18229497307865253,-0.6650024112607407,0.43917830603888036,0.8147986967600763,-0.2166379838285871,0.6031530885986232,-0.2401309323631221,-0.07401574152445212,0.644539521113992,-0.6396681289314625,-0.16159220141400618,0.404191621733433,0.752003581800433,-0.578798894066273,0.27661998902571355,0.3702839099639393,-0.6374477229646927,-0.06801149273836425,0.13550272975733718,0.6230051217609122,0.11760743045794875,0.5967668467661476,-0.05782612562132284
