,Thal_MDm_L,Frontal_Mid_2_R,Frontal_Mid_2_L,Frontal_Inf_Oper_R,OFClat_L,Cuneus_R,Cerebellum_7b_R,Temporal_Sup_R,Cerebellum_3_L,Rectus_R,Cerebellum_Crus1_L,Supp_Motor_Area_R,Temporal_Mid_R,Precentral_L,Thal_LGN_R,Frontal_Inf_Oper_L,Thal_PuI_R,Vermis_6,Thal_IL_R,ParaHippocampal_L,Cerebellum_9_R,Red_N_R,Cerebellum_6_L,Thal_MGN_R,Thal_VL_L,Olfactory_R,Cingulate_Post_L,Thal_VL_R,Hippocampus_L,Cerebellum_Crus2_R,Temporal_Sup_L,Occipital_Mid_R,Thal_LP_L,Cerebellum_Crus2_L,Cerebellum_3_R,Insula_R,Precentral_R,ACC_sub_R,Thal_VPL_R,Thal_PuM_R,OFCant_L,SN_pr_L,Frontal_Med_Orb_R,Rolandic_Oper_L,Lingual_R,Temporal_Inf_R,Parietal_Sup_L,Postcentral_R,ACC_pre_R,Cerebellum_10_R,Temporal_Pole_Mid_R,Thal_LGN_L,ParaHippocampal_R,Cingulate_Mid_L,Putamen_L
Thal_MDm_L,1.0,0.4851827922859129,0.36933896067192973,0.13237194799761348,0.6346229618655922,-0.5894446297325294,-0.2855881546160107,-0.36353702524675785,0.26991330100427147,0.38236352098300996,-0.4361462643701361,-0.13897282492455298,-0.49070682967118623,-0.029337534362123996,-0.48561857248514584,-0.08389414670279213,-0.5741957744209059,-0.5043470549477815,-0.03008551075831237,0.4798990433083959,-0.35423342666655533,-0.19664347175064942,-0.35440833416099604,-0.3785586788288614,0.7788932168684688,0.028162591447887228,0.360008475968447,0.8334068188860341,0.6230226642164821,-0.37418906704806804,0.08926897545347913,-0.5868292501129644,0.389116600858953,-0.47473408919610277,0.08953007365885086,0.16675279380963953,-0.282556246056175,0.5356112996317064,-0.2676386653395625,-0.5613776675768792,0.5783653304129445,0.29218632276504364,0.5014681466858437,0.41089000890634264,-0.46640944745634216,-0.38039850264095165,-0.38789449336992887,-0.32662200727734503,0.7255336224101774,-0.4603664588073458,-0.2292810293690085,0.615700871287381,0.36122961777422313,0.5033854110599298,0.5603018617230494
Frontal_Mid_2_R,0.4851827922859129,1.0,0.44392842369146746,0.47832998247391495,0.6134208199218927,-0.6398762867982819,-0.3930776950091104,-0.3140917286101379,0.2558466278132492,0.3434791512249141,-0.6359419511962409,0.41024774718282264,-0.5217994397906968,0.14154529096156834,-0.7071032789018188,-0.30224872967691646,-0.7450438099952014,-0.5925021468846879,-0.4793866366453631,0.44977606347647925,-0.4628466525426424,0.0037939419496096855,-0.4732187133623967,-0.7261705822711593,0.6318314949202662,-0.0197215013716172,0.4202389902398403,0.4048510234326581,0.4076156677522748,-0.43697928787825974,-0.24426522100743203,-0.6608453746047622,0.20172610508788982,-0.6515838850011939,0.19025806403342832,0.002276212038450714,0.28922410335551985,0.37849555661330164,-0.49681253938660136,-0.6853598944161573,0.6911595057775171,0.11309143574742224,0.4839431270451281,0.4869484363879531,-0.5632576937632232,-0.4899008383575665,-0.3401923096256116,0.06565791860896254,0.6205619831287619,-0.28491502218346054,-0.4669698792443239,0.5749666953654599,0.2990938066023956,0.4539765756222478,0.5778924856974776
Frontal_Mid_2_L,0.36933896067192973,0.44392842369146746,1.0,0.4524416810016161,0.38741718800796426,-0.645294436669493,-0.3627846618851359,-0.24016307687712746,0.33985155420508883,-0.215928062084463,-0.1645580479451747,0.17650356057445685,-0.20151276302578586,0.5604152457286747,-0.394019499901759,-0.052627124436996575,-0.42604432732022174,-0.18950932923431063,-0.08572035775828654,-0.0057942708600043046,0.11835151589436244,-0.028136717014656386,-0.04601486559449139,-0.3085287123776177,0.538646187271993,0.014676721003541622,0.45001105341680364,0.2182507904476909,0.3282866661939017,0.12144541383423423,-0.07748210033722933,-0.46257654903816936,0.04415923545729381,-0.1063102323579721,0.44197038614639567,0.13596239012463152,-0.3518983822440878,0.18117936551916958,-0.5647846966691642,-0.46613546962560115,0.2455693278075568,0.1821226546384328,0.03993580566080565,0.543649825762524,-0.1832243469110212,0.04630359095914231,-0.7941094409583418,-0.6193544889579102,0.6614753576693673,-0.278907603552927,0.1484907357418096,0.5722042663086246,0.08828505106248916,0.7082147055201691,0.3373478212855543
Frontal_Inf_Oper_R,0.13237194799761348,0.47832998247391495,0.4524416810016161,1.0,0.13385180774799926,-0.31050586354187165,-0.15921585807655209,0.28689553017689756,0.2545690218425009,-0.1546867272920847,-0.04860430581253096,0.4278380617747276,0.09646220995159793,0.21364560310879002,-0.16819455145723633,-0.2332563430608953,-0.208299381637472,-0.029826952188216616,-0.05942361200761839,-0.04054890771145072,0.17657885924054614,0.15927387292258915,0.09868041010506239,-0.18210270243083715,0.1609286824205392,0.05290025577597264,0.28573200996781095,0.07166206554012391,0.09929968915079158,0.12466273601935178,-0.13629889057578287,-0.27932639810832943,0.03044509661121351,-0.055938690985585605,0.3850933643603917,0.23415854792084814,0.24876990867933166,-0.014422824547773896,-0.27412599789965597,-0.23047978683590079,0.20297606080625183,0.03327068438123392,-0.1013961287152435,0.40293939554898256,0.008038564612590289,0.1625501080304512,-0.4726047031103779,-0.10588348940372759,0.2424231371927241,-0.04975752036498099,0.1343549553533689,0.20765362876493051,0.010355507345093738,0.4413210148580593,0.38252128385761786
OFClat_L,0.6346229618655922,0.6134208199218927,0.38741718800796426,0.13385180774799926,1.0,-0.6924116409719172,-0.46056912315297416,-0.5504911160268083,0.18637911877973157,0.48941197273360315,-0.7435965006729062,0.034723815518915235,-0.6997596270040916,0.11309965027876205,-0.7602712610350725,-0.13808565251414598,-0.7443856342301076,-0.7443080565498901,-0.3982782438781615,0.6330899410519011,-0.6305198541595782,-0.2231837977194221,-0.6329695175253264,-0.7307096603669757,0.7846593479304859,0.01711787394290606,0.34899066772634296,0.555907300972164,0.6540028152483148,-0.5950249000865272,-0.15449798346718072,-0.6451833568873306,0.4097407593677928,-0.7291284741342494,0.08427290747223604,0.07755185001665817,-0.0835361587774819,0.5335810805288191,-0.5534917167863614,-0.7417420968495961,0.7626751470602599,0.221546894351804,0.7130489891239751,0.48138427835774095,-0.7264710842308277,-0.6264490139525504,-0.26181731196696373,-0.13695905200906627,0.733580504790422,-0.500293125995905,-0.5670724979790873,0.7399829132051687,0.3895799398336314,0.39526376135467045,0.5843175547923954
Cuneus_R,-0.5894446297325294,-0.6398762867982819,-0.645294436669493,-0.31050586354187165,-0.6924116409719172,1.0,0.5613410645997097,0.614237840350479,-0.09516947949431004,-0.3430675101410879,0.7367041432069945,0.11663769104222159,0.7182086317259405,-0.13343108138125462,0.8822307911281009,0.3401097715051698,0.9028198631737587,0.7874713517777995,0.547907063459284,-0.37012751605960237,0.5473495986553749,0.29493939847762946,0.7026127443635972,0.7539506866601041,-0.8608449777880376,0.04555229605448686,-0.2611290314392376,-0.36919607206303184,-0.38100643544570517,0.5275079575895273,0.34412123898181624,0.773799468845318,-0.1438277659744978,0.6994095912674276,-0.03270493944211424,0.06203045906417601,0.29746713153952786,-0.5150740327902724,0.8281924854760729,0.9033533638589702,-0.6766885789184787,-0.06197717031030545,-0.579511314835538,-0.4395356858496332,0.7805709566181566,0.5219444280115425,0.6899157206530399,0.4343077411912595,-0.8522572399001905,0.6285806113357459,0.40759692130816433,-0.7521608771776817,-0.20282740939794638,-0.6332799031268516,-0.5172941174054775
Cerebellum_7b_R,-0.2855881546160107,-0.3930776950091104,-0.3627846618851359,-0.15921585807655209,-0.46056912315297416,0.5613410645997097,1.0,0.4066022886888126,0.11565268834267878,0.07133254721172795,0.4577905535130757,0.025350657079060205,0.49394363008485775,-0.1396362297821186,0.5473724593454106,0.10777475733407146,0.4990793537282185,0.4627371278168782,0.18721176624274694,-0.010707290022028346,0.31538968303902887,0.16236551003781163,0.43833662806779256,0.5177024438536053,-0.44799642115889315,0.06063781650857896,-0.28302068301565475,-0.046522084558980555,-0.07868864596169058,0.31047811851264373,0.24000990785987814,0.4634521180906303,-0.05532023527512457,0.393569280489408,0.11824347292628795,0.20520206802055085,0.04484623632000025,-0.4201822871802673,0.5152140702992756,0.5954746963565805,-0.2146635874689411,-0.20234675358880613,-0.28012398550233275,-0.2360818703876991,0.5180658991515827,0.41898536037707956,0.3157356353644465,0.15488397307139862,-0.4192979391132513,0.5166611741432705,0.3184731461128996,-0.6570981661188571,0.2755958385260981,-0.37009660158970625,-0.1775181226335733
Temporal_Sup_R,-0.36353702524675785,-0.3140917286101379,-0.24016307687712746,0.28689553017689756,-0.5504911160268083,0.614237840350479,0.4066022886888126,1.0,-0.0136538648683069,-0.46014406075167147,0.6587332194921763,0.18666817979652064,0.8642213899949865,-0.14725703519062075,0.707312101003625,-0.0028523954078754194,0.6790757499418943,0.7147123914919711,0.5546749193363063,-0.435208493343454,0.6884155633453941,0.30637886354482563,0.6568185263514814,0.6643111815497564,-0.6414280998093765,0.09259925883442938,-0.07888076381878066,-0.23267626650927228,-0.2951968466954327,0.6702620410381522,0.1756934412732041,0.5642894320775416,-0.15025251015375002,0.6521606042310203,0.1840490394950533,0.2577003550435184,0.20989769569159614,-0.3730752315610642,0.4977258388434386,0.6449119674559878,-0.4965158891192072,-0.05268643036184011,-0.6128163358914608,-0.17894891880236205,0.7743474533516667,0.7877416833284409,0.13116199367497836,0.11219825969373799,-0.5472053065066843,0.3510913819916279,0.6031133419462797,-0.46451022107497375,-0.1026187000361425,-0.15270149854370438,-0.1605792090597713
Cerebellum_3_L,0.26991330100427147,0.2558466278132492,0.33985155420508883,0.2545690218425009,0.18637911877973157,-0.09516947949431004,0.11565268834267878,-0.0136538648683069,1.0,0.1035935008435308,0.10298898492420266,0.3025339142274737,-0.004662596509357915,0.16741031447618238,-0.055821872686140084,0.08710428945495922,-0.11746283589178015,0.043901807978419735,0.04562364819844409,0.35173283917319514,0.19964198275612619,0.29758065022619895,0.25293387545440904,0.0005797101943700444,0.23797114278182818,0.2075837512339896,0.5179951792890305,0.36106815446229484,0.34875942027165663,0.10327637245846735,0.22635946819531144,-0.19903826167730052,0.14127321635975607,0.0046498297668746205,0.5534698156348519,0.29553992759666087,-0.026149369199906028,0.15051472021239926,-0.13496355031296528,-0.1107143492394092,0.2795239726785262,0.15517923582571916,0.06122467922508484,0.2644521303930988,0.11968908189583724,0.04276195247464852,-0.19974014044468058,-0.22653242377662317,0.19848061228594138,0.015303550790118456,0.13950397432312167,0.03729065615506801,0.3789247415701215,0.27798075380902604,0.3424344665092681
Rectus_R,0.38236352098300996,0.3434791512249141,-0.215928062084463,-0.1546867272920847,0.48941197273360315,-0.3430675101410879,0.07133254721172795,-0.46014406075167147,0.1035935008435308,1.0,-0.6164279463347656,-0.13566505799850487,-0.5896207742290343,-0.21917886467618078,-0.5378577086336312,-0.1761340664072388,-0.5805886065974701,-0.6317057648885706,-0.5581358912931886,0.7702256337180594,-0.7218347581842341,-0.1808435036867093,-0.6081786067312321,-0.5310943551315487,0.4654028595466692,0.09216451741205665,-0.06738887753900219,0.3760636929019198,0.3587396946121951,-0.7479646005510707,-0.05678085141248041,-0.3612458807676013,0.21365818701270214,-0.7070589016789427,-0.1770027790084816,0.04416137558143726,0.11084289206471878,0.4078180469281947,-0.18692697986776052,-0.46280497352445543,0.7221690387219014,-0.041062440303743716,0.671983082104088,0.11180874835215741,-0.614953482997117,-0.6604998517108843,0.1738337238738942,0.22730745759871657,0.3451577565017975,-0.24217993429454746,-0.6490121585667136,0.15209714704380664,0.5575260188776465,-0.09092014499072144,0.3170324978152284
