,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_VA_L,Caudate_L,Parietal_Inf_R,Thal_IL_L
SN_pr_L,1.0,0.25127426447430984,-0.10304548888707343,-0.05268643036184011,0.221546894351804,0.08516785347543977,-0.006000179469479968,0.007234018245725637,-0.042543052926680536,0.0005560754938379709,0.0683326349576771,0.14442311335185948,0.13832536569323606,0.017671238220122384,0.04721275039065949,0.0807603671162988,0.028465128231363622,0.19025307216719095,0.29218632276504364,0.22607529187280564,0.02743316078454645,0.059123470870419,0.3695292372369112,0.17417411956966117,-0.10370138050201924,0.2624744092307649,-0.07672623303470472,-0.03932706602647911,-0.036956516137457505,0.030639508008615417,-0.005363493844560844,-0.09834930844079838,-0.09932130202476296,0.010185878648875255,0.1834254358702008,0.5649516254881102,-0.012133155548617174,0.08809631479220977,0.1999947630531391,0.11309143574742224,0.19454935798865833,0.11728300579918721,-0.06429082230625736,-0.048103364110531704,0.02952648730219515,-0.06997462675909974,0.2119035869560555,0.23595775051881432,-0.05149669292930181,0.11944861428877405
Thal_MDl_R,0.25127426447430984,1.0,-0.06808744190050069,0.2507880214032715,-0.04042448213751234,-0.1703874609897412,0.4196153207843217,0.145234161319487,0.1413026151249171,0.2964778836602619,0.21725441869257556,0.3072477965542904,0.6331409807675455,0.3106339901769626,-0.0259842254132137,-0.1700905316933225,0.3141763706259571,0.10500240074610705,0.2561446886628553,0.1368400440991294,-0.29213764140146764,-0.1854468027013414,0.36866243957745043,0.04281275055130991,0.29589698071382164,0.16494758604101808,0.1604500036985551,0.21639579241984747,0.2429745204064108,0.28690462897796654,0.3033257648983578,0.3715305328875181,0.3197315719198699,-0.18542001148448048,-0.029662248831541147,0.3735024747730168,0.2071786866395475,0.38172961087573093,-0.1911054740006616,-0.16203904975768435,-0.1146845078343749,-0.20480090948033808,0.17749937301844113,0.3575712012124074,-0.10721036937044649,0.3326093353001591,-0.0355555979919446,0.08446530430761966,0.20199124204365046,0.1107921304496089
OFCpost_R,-0.10304548888707343,-0.06808744190050069,1.0,-0.2789394414933991,0.46891822658224286,0.35624824497017726,-0.2080093118720375,-0.3432126168434422,-0.4258601146589104,-0.36389417645793787,-0.4276367554173654,0.2442839391701145,-0.35083205436804044,-0.1280779030383368,-0.25155294255999583,0.4056209094171868,0.2013635134912425,-0.09591902983515725,0.3157261963424774,-0.03729528061757503,0.38682960238988884,0.5962322318238354,0.2371171224568512,0.22154942675634878,-0.47936145316525525,0.09465294107182404,-0.13263094906612471,0.11386111672252788,0.0871025096197047,-0.02297781432031881,-0.4420332656889298,-0.2920496707830155,-0.18531784027404202,0.7339447921233052,-0.17566191032943643,-0.24719604648227544,-0.4876834945561375,0.2687228684006477,0.6376407883819755,0.22410128973160945,0.050788951691398854,0.44190615153162055,0.23450244643053555,-0.5058503554996774,0.1034350066191932,-0.13335675242416573,0.374189452498378,0.2926040719439456,0.08135584104683694,0.4350720172789474
Temporal_Sup_R,-0.05268643036184011,0.2507880214032715,-0.2789394414933991,1.0,-0.5504911160268083,-0.29640369518673104,0.5344312308325074,0.5542561365443713,0.7877416833284409,0.7053895346008494,0.6087087144998875,-0.13223888525134847,0.56367285504137,0.3466543696606574,0.34127258899150814,-0.20853473555678398,0.1756934412732041,-0.14697036444267528,-0.36353702524675785,-0.14725703519062075,-0.6193535753593002,-0.36646957269161295,0.25435012510812266,-0.4089706765460558,0.6730158311454773,0.2375505778501826,0.3510913819916279,0.13116199367497836,0.1921724700714732,0.46385927054486836,0.7147123914919711,0.5462596560599516,0.49236021436538097,-0.435208493343454,-0.09455798474065093,0.34921054773142224,0.7154253447689435,-0.1912534512854875,-0.44530533507241293,-0.3140917286101379,-0.3442687764752783,-0.6414280998093765,-0.04416436575910718,0.6544936714303059,0.2761825817839303,0.44759017074041635,-0.49155020964122653,-0.37422998234048727,0.19151456304596215,-0.3084021503777158
OFClat_L,0.221546894351804,-0.04042448213751234,0.46891822658224286,-0.5504911160268083,1.0,0.6116645140471095,-0.5964595211641888,-0.4995915506709212,-0.6264490139525504,-0.7322204860114142,-0.4432944927818775,0.2881443835641228,-0.43273888588020426,-0.2637323996502764,-0.051541193114112184,0.45153961625306827,-0.15449798346718072,0.34301012475097886,0.6346229618655922,0.11309965027876205,0.8195578450150454,0.7667051719856954,0.04334775642955408,0.35720107079782265,-0.7191665901935899,0.22202792998496523,-0.500293125995905,-0.26181731196696373,-0.28845999026716784,-0.31394530534757925,-0.7443080565498901,-0.6982511355919356,-0.646062928658126,0.6330899410519011,0.2059488755064491,-0.261506860629008,-0.668339143331423,0.31191996689599616,0.6392966482324295,0.6134208199218927,0.5025661697917689,0.7846593479304859,-0.03455097993978978,-0.71784567199904,0.17860737435767168,-0.5984909379838982,0.6929751130463256,0.2358626537217134,-0.2841463469333973,0.4437180655860859
Heschl_R,0.08516785347543977,-0.1703874609897412,0.35624824497017726,-0.29640369518673104,0.6116645140471095,1.0,-0.6680807982089534,-0.2921038920013679,-0.4215570299689706,-0.657880336162911,-0.21076163000327844,0.19362564282641348,-0.4816143302325735,-0.31177323253847755,0.11259689382758854,0.3565851355264635,-0.08636198088639423,0.29477771960335036,0.5329689872505259,0.12670810163287452,0.5945944142143263,0.7577472324150127,-0.0005295153289531991,0.26416322748064913,-0.5291306771032249,0.2563503111853333,-0.4652297444402945,-0.422890971891359,-0.45736018069419143,-0.33738116220039693,-0.6113899719314148,-0.7277249269785947,-0.7147572679558005,0.3920810517535428,0.26402416355360536,-0.2650542618427174,-0.4723347810582854,0.2215656570779328,0.36720542031004233,0.5748818495552327,0.5124833269817491,0.742401149246275,-0.0563561178523942,-0.6215683141612072,0.5725867980506321,-0.6300204739323556,0.6171453598300671,0.28400889474611846,-0.4423237231977983,0.3362304503217013
Cuneus_L,-0.006000179469479968,0.4196153207843217,-0.2080093118720375,0.5344312308325074,-0.5964595211641888,-0.6680807982089534,1.0,0.34337276284213686,0.4086403428841955,0.7637853660816474,0.27467275080435266,-0.10603618868879006,0.6726705326860453,0.6910029323200245,-0.12490129729946547,-0.2387202564402422,0.3429021291129678,-0.41633616750413177,-0.5491689325056401,-0.033129126774522996,-0.6695505370711076,-0.651910591768664,0.15188668528512395,-0.12499072461094592,0.5899655885965205,-0.22096194153892817,0.631380001683246,0.7318072840172473,0.7770993362504505,0.6407840753723478,0.7302471084648241,0.9073768443949783,0.9278896412441415,-0.30969466263472495,-0.3862083825043145,0.4111381120836229,0.45750268644418784,-0.1235408754032482,-0.3923682371199986,-0.5374300050594225,-0.6666611681177543,-0.8098284185561718,0.2501402309190651,0.7209654250876875,-0.3942144941062132,0.9305126832427698,-0.5542913019704435,-0.05431710679139778,0.6986487507964505,-0.3859837489030433
Occipital_Inf_R,0.007234018245725637,0.145234161319487,-0.3432126168434422,0.5542561365443713,-0.4995915506709212,-0.2921038920013679,0.34337276284213686,1.0,0.7413144448681634,0.5633365181209916,0.6500546835514612,-0.06897320762723728,0.4647987123161727,-0.008377083494385132,0.42734545277176966,-0.19048409446101,0.23117563111549058,0.024795620293773687,-0.298057943667178,0.15183076178810032,-0.4864182749710123,-0.4025079976050386,0.12706869235526397,-0.2081612125367181,0.738696225537252,0.25296374122567,0.33165320883315036,-0.19101634766915834,-0.12292802807691208,-0.01875685003241026,0.6958107632359277,0.3671730381133648,0.23052799099416887,-0.45827117636731707,0.3116291944570177,0.3130614039923991,0.7914173884701292,-0.08560495045997833,-0.4144304642741204,-0.3782840579995704,-0.012557267780676434,-0.4269525625166584,0.011444257219404987,0.7188830978246796,0.11963887908303548,0.20890617119622817,-0.2889843834931987,-0.2326723084598336,-0.2118406767805429,-0.3307455648923917
Temporal_Inf_R,-0.042543052926680536,0.1413026151249171,-0.4258601146589104,0.7877416833284409,-0.6264490139525504,-0.4215570299689706,0.4086403428841955,0.7413144448681634,1.0,0.7285665485070559,0.7992409002480262,-0.17230613929613403,0.5296959629636145,0.02138371398987114,0.5306082396607527,-0.26049565428841037,0.17001848864677488,-0.05540195077521659,-0.38039850264095165,-0.0104340735923651,-0.6724186724789594,-0.5244617257689839,0.14458205321746295,-0.4441464576999503,0.8628586158567535,0.3974653020518868,0.35718558423839736,-0.1477270799970567,-0.09266946411917802,0.07526376564068832,0.8347713818228275,0.4581506826130844,0.33323979478663407,-0.6032167829300705,0.17944973580911597,0.3594173370880183,0.9586516214361952,-0.1869042107667095,-0.49425358247641704,-0.4899008383575665,-0.1242972721371569,-0.5996908500610197,-0.048302479963428194,0.7610860244554185,0.211009187896187,0.29122301482142937,-0.4483794662543115,-0.3461475502411527,-0.16060951961638792,-0.366653897907748
Red_N_L,0.0005560754938379709,0.2964778836602619,-0.36389417645793787,0.7053895346008494,-0.7322204860114142,-0.657880336162911,0.7637853660816474,0.5633365181209916,0.7285665485070559,1.0,0.5625152948086332,-0.1109753046327496,0.6255599046955166,0.46661374353528046,0.19222037045664062,-0.15697119227881598,0.2898164655444703,-0.22784358446542058,-0.5365751039116253,0.06606330505457052,-0.7764864740246671,-0.6786817687083657,0.21929551638028089,-0.26268107304491084,0.7613921289269558,0.05030640406146472,0.6330871157832477,0.35604526802607367,0.3968621617283336,0.48450569367989293,0.8734387018119857,0.7950281819503031,0.7271604222425553,-0.4616310854211661,-0.04723453742165431,0.41725076961987745,0.7433774552450965,-0.188530120445771,-0.37219823133281194,-0.5028270746027776,-0.39613821530238896,-0.8203797350963578,0.12521140023329214,0.8087531627605193,-0.10914559408586517,0.6664627656585279,-0.6002331229601192,-0.2821604813711678,0.3659045767711013,-0.308285684147392
