,ACC_sub_R,Cerebellum_8_L,Cerebellum_6_R,Thal_VL_R,Cerebellum_7b_L,Frontal_Sup_Medial_R,LC_L,Rolandic_Oper_R,Thal_LP_R,Occipital_Sup_R,Thal_MGN_L,Temporal_Sup_L,Thal_LGN_R,Rectus_R,Frontal_Med_Orb_R,Cerebellum_8_R,Postcentral_L,ACC_sup_L,Pallidum_R,Temporal_Inf_L,VTA_R,Vermis_10,Temporal_Pole_Sup_R,Thal_PuA_L,Thal_MDl_L,Frontal_Mid_2_L,Frontal_Inf_Orb_2_L,ACC_sup_R,Occipital_Sup_L,Hippocampus_L,Putamen_L,Cerebellum_9_R,OFCant_L,Cingulate_Mid_R,Temporal_Inf_R,Vermis_9,Thal_VL_L,Cerebellum_7b_R,ACC_pre_R,Cerebellum_3_L,Cerebellum_6_L,OFClat_L,Thal_PuL_R,Cuneus_R,Thal_LP_L
ACC_sub_R,1.0,-0.4529113504660487,-0.5077653290179146,0.35414067110853137,-0.38759762587230834,0.34739017287885327,0.5379644044885709,0.18541386109695163,-0.5327755270416776,-0.417374769945838,-0.37736714567492846,0.11909736668193671,-0.5743137184762629,0.4078180469281947,0.7302131365662162,-0.5100401366635962,0.20904046529591647,-0.01838881139260544,0.5624970030960006,0.02879186962127708,0.05078250060990621,-0.559268231676686,-0.13245534386398472,0.0780410181920595,0.4963346106584499,0.18117936551916958,0.43635392276632223,-0.0007435709463532764,-0.38053556737120764,0.5190637200470248,0.6117555196567258,-0.48012419704491754,0.5365382630123522,0.44267455547258144,-0.4530952301725994,-0.04645060479979269,0.6276355417181556,-0.4201822871802673,0.6463547594276042,0.15051472021239926,-0.5218409283305856,0.5335810805288191,-0.5567928290690213,-0.5150740327902724,0.3088533554259068
Cerebellum_8_L,-0.4529113504660487,1.0,0.8669820452187047,-0.22306950892080346,0.8197132750646356,-0.38715117660463033,-0.45080424338439934,0.17591466404680933,0.32326996597986724,0.2190818160697939,0.4996778123509876,0.2902337359168503,0.7199381372676772,-0.7249811839949498,-0.7651064135179603,0.9521161881745104,-0.4203853371546421,0.045483792153842066,-0.325488892623209,0.15303062826534194,0.1950966037934208,0.9167310474825437,0.6093930873751653,0.06943624861087608,-0.37532700452593537,0.2195117280765759,-0.267252187695017,0.0815607643367815,0.19846383368200957,-0.2606721250728392,-0.24321975873076182,0.9603573901589323,-0.6206116349180193,-0.26197597605729683,0.8711380137823211,0.7031796171413096,-0.4720185363742391,0.2908050598956009,-0.36264497383500494,0.2580944700030922,0.8549838543115623,-0.5614466770775822,0.38894393928401433,0.4457951610922741,-0.187793235709925
Cerebellum_6_R,-0.5077653290179146,0.8669820452187047,1.0,-0.37983722572429884,0.7074218519908213,-0.2372107658238712,-0.649281599220875,0.02856469885166118,0.5788403774927515,0.49043191921618523,0.6278145123272855,0.2466387392066326,0.8692369431645378,-0.6919967798825533,-0.7746240846830941,0.9149503491798202,-0.3762687773971057,-0.10796661304900716,-0.5210924307147493,0.043020641308633326,0.20811877531581918,0.9480339400358,0.6551714755498859,-0.05035760209323356,-0.5607631019497191,-0.06675693719305127,-0.3980545373629423,-0.10498206824516411,0.4582768554220067,-0.3472408326334765,-0.3755596485621551,0.9042984560582847,-0.7239566622240101,-0.24215346678308003,0.9402942716707312,0.41178789911260977,-0.6872922111934385,0.427475618248321,-0.5487027432348337,-0.021013790186397832,0.8603936765761581,-0.6950334488078109,0.6175394661492929,0.6685035389237539,-0.2691163530560402
Thal_VL_R,0.35414067110853137,-0.22306950892080346,-0.37983722572429884,1.0,-0.12967672422131923,0.13826420678487636,0.588923287564016,0.28555382237437554,-0.4172291304418966,-0.38541387054437526,-0.09593377156396782,0.16901561138970242,-0.3148642686181305,0.3760636929019198,0.4358651224466107,-0.3035564212896001,0.08728978708348437,0.15293357432938454,0.5188113576740925,0.28049921504818925,-0.12607423357035782,-0.3599958904938674,-0.026823157764214196,0.7056407668587269,0.8422942698454244,0.2182507904476909,0.3101336972995214,0.16769919726816115,-0.3615331646735714,0.6342695402610362,0.5116549543303368,-0.2896410774296384,0.5249209448827211,0.21548876670393066,-0.32532472794151635,0.019358116523985315,0.6102021816214828,-0.046522084558980555,0.552676522789966,0.36106815446229484,-0.2158274437025336,0.555907300972164,-0.41135493651818833,-0.36919607206303184,0.5492498199851544
Cerebellum_7b_L,-0.38759762587230834,0.8197132750646356,0.7074218519908213,-0.12967672422131923,1.0,-0.2030664809270908,-0.47512613323375597,0.14751821718386543,0.3460839248975008,0.30441104785243644,0.556938036715543,0.3480143181226713,0.6447870107050411,-0.5945096249772042,-0.6011531858138486,0.7875679174126108,-0.1547185983222092,0.007810432093597672,-0.22256603541527842,0.14253409119813917,0.247852958796237,0.7657658015574492,0.5235303834788302,0.06804657999516084,-0.31253175633722996,0.1306341591661032,-0.2177796715083824,0.027879860144363385,0.3027091746341684,-0.18490238314868554,-0.15373124544050296,0.8319686054863824,-0.5033848257897889,-0.2465145224012034,0.6756619201710776,0.5472341552209807,-0.4490991614765446,0.298152899801401,-0.37838453926739485,0.2608371949937811,0.7845884842429824,-0.40066563118213916,0.4326923820210513,0.48572257662646334,-0.015970524012981584
Frontal_Sup_Medial_R,0.34739017287885327,-0.38715117660463033,-0.2372107658238712,0.13826420678487636,-0.2030664809270908,1.0,-0.0008116570924786371,-0.1364425655353774,0.24470550356624776,0.41470229814662873,0.024314836762247615,0.20285207650940665,-0.004943547793306744,0.3722569887944047,0.3845111221169176,-0.3084537905449535,0.01394982147739582,-0.2997296674417229,0.11091323203037483,0.2243677144731842,0.07147272159375805,-0.28591803441947283,-0.04397148684930276,-0.09499322667742899,0.09792182166423238,-0.5593942572857157,0.05495693763668277,-0.44605344625526744,0.4177342986019121,0.17862419683641165,0.224083790834697,-0.3081616881593424,0.23338052459849692,0.37652514460689274,-0.2647491160043426,-0.31413266692260233,-0.08098784188529594,0.11989733743081589,-0.12313596779593204,0.03599908024578478,-0.13762578545067483,0.050474738785183916,0.2140699327196138,0.27924802175490293,0.24700695549410137
LC_L,0.5379644044885709,-0.45080424338439934,-0.649281599220875,0.588923287564016,-0.47512613323375597,-0.0008116570924786371,1.0,0.3831327096812724,-0.7910491897454489,-0.7496653086904284,-0.5821644467572503,-0.08061471521933584,-0.7166309340134517,0.5370678710434684,0.6230335615929087,-0.5598217698844419,0.11143753520883119,0.25761243374484494,0.6020794195409591,0.14655392541802809,-0.15378123488545217,-0.6685486229853048,-0.23565375142033723,0.35739399178076886,0.7609660581150899,0.40926905042934514,0.4706305032999951,0.25833733487342425,-0.721066996829902,0.5475926814518215,0.537710322802655,-0.5482596282812162,0.7360860204816458,0.32295235460966815,-0.52151082436917,0.11471889405800818,0.8584258027140891,-0.35666409259559667,0.7710261126201081,0.21219965265565222,-0.5961062940607978,0.6966026962312325,-0.8074207594818044,-0.7720748781097494,0.3119496978044082
Rolandic_Oper_R,0.18541386109695163,0.17591466404680933,0.02856469885166118,0.28555382237437554,0.14751821718386543,-0.1364425655353774,0.3831327096812724,1.0,-0.43870709921672685,-0.47315658765230695,-0.1739483240796642,0.06396769428154606,-0.1616249828599908,-0.022140469970630523,0.10848344229025869,0.0705975314015966,-0.07213580966072905,0.15139630492415174,0.35214886968341164,0.009837038055465618,-0.09221693553458482,-0.008507549146578895,0.44847458723104106,0.3004421205731779,0.24626180944854192,0.3937660324225346,0.16375089310408533,0.0784544721841741,-0.4465873099036768,0.18636592671009952,0.45811959692054766,0.10359703718884582,0.27523595511742177,0.34698766116828444,0.211009187896187,0.4679699631766696,0.3554684428904862,-0.06350222750151499,0.3584405146528942,0.25074577056253033,0.026239057489045127,0.17860737435767168,-0.4608898793206808,-0.35273629968693104,0.033703698973353284
Thal_LP_R,-0.5327755270416776,0.32326996597986724,0.5788403774927515,-0.4172291304418966,0.3460839248975008,0.24470550356624776,-0.7910491897454489,-0.43870709921672685,1.0,0.9452035847189455,0.6041741176823969,0.2897304659499519,0.8204151617443395,-0.26085048492754376,-0.5822659542426477,0.48174275192108273,-0.1356761871896697,-0.3712847047868714,-0.6753475351879137,0.16479824153803635,0.12840300696119294,0.5882554284009421,0.16601268107810838,-0.21953699484872888,-0.5841112547642197,-0.6650328543657259,-0.45036877400726827,-0.4007009957416256,0.9063353809305855,-0.43386695120629454,-0.5850217443137731,0.4499989079652081,-0.6420261547947994,-0.3055807128849865,0.42627632974829754,-0.23206581882119426,-0.8732796218310549,0.5558412834940961,-0.845015922810817,-0.208616562530878,0.6084144969060323,-0.7322155458680977,0.9499026195944851,0.9230677026686022,-0.19917668466858232
Occipital_Sup_R,-0.417374769945838,0.2190818160697939,0.49043191921618523,-0.38541387054437526,0.30441104785243644,0.41470229814662873,-0.7496653086904284,-0.47315658765230695,0.9452035847189455,1.0,0.6094287694790435,0.29777775717678995,0.7643692684481389,-0.19437754048000047,-0.4520299286418986,0.3833919865792038,-0.11817842576859658,-0.4785121399175492,-0.6254617690313734,0.18767188131368928,0.17591771544702856,0.4911671014640252,0.15764242230668923,-0.28720308311139575,-0.5522455674914463,-0.7573968419040786,-0.4489696600997664,-0.5013385711962792,0.9770522086179692,-0.38896301871586797,-0.5233772858664096,0.354330264587452,-0.599728416161729,-0.21067905811168203,0.33323979478663407,-0.29643730239555044,-0.8469526969022325,0.5003852411620151,-0.8410804599991725,-0.1994414438115631,0.5392631245982742,-0.646062928658126,0.942111403620378,0.9439830421499963,-0.13230736482908767
