,Fusiform_R,Vermis_7,N_Acc_R,Thal_PuA_R,Parietal_Inf_R,ACC_pre_R,Occipital_Sup_L,Angular_L,Caudate_R,Amygdala_L,ACC_sub_R,OFClat_L,Vermis_6,Supp_Motor_Area_L,Caudate_L,Supp_Motor_Area_R,Heschl_R,SN_pr_L,Pallidum_R,OFCpost_R,Thal_LP_R,ACC_sub_L,ACC_sup_R,Vermis_1_2,SN_pc_L
Fusiform_R,1.0,-0.0738717516326006,0.2648985941979925,-0.325036271484692,-0.3309439019986741,0.3112060782747515,-0.3080274605207947,-0.3158645899697131,0.19760280104088396,0.34125300453873786,0.2312084982164695,0.34332906149045445,-0.10768697751577577,0.15512067772275628,0.01550896841807719,-0.0659664671765593,0.35382546862463804,0.017171226857647805,0.3471808776870126,0.29665658245553433,-0.3513710097532242,0.01796271530285985,0.16904313733186838,-0.1950192031818017,-0.18796473691467988
Vermis_7,-0.0738717516326006,1.0,-0.49117020067449896,0.6948770876443912,-0.006375903353957371,-0.5629281531957312,0.46553568288122466,0.45037957692176656,-0.3602286240411645,-0.628664668038164,-0.5365254003507222,-0.7191665901935899,0.9121800855697054,0.11409217786774091,-0.24238653238304692,0.06810032446453648,-0.5291306771032249,-0.10370138050201924,-0.5022383201242732,-0.47936145316525525,0.5957004745709151,-0.4967089656104565,-0.12151073771225368,0.9092326099136714,0.17562413093936532
N_Acc_R,0.2648985941979925,-0.49117020067449896,1.0,-0.5068234921108368,-0.027444417354355943,0.45709873214319147,-0.35926860781487807,-0.334472434059836,0.5309552705760595,0.5158829615175995,0.5659458591932702,0.46408255523935543,-0.46749156190778296,-0.07212119946618642,0.17398469177984063,0.057993096265722154,0.32891223580964474,0.0440001751541498,0.6086640858967783,0.4540366990261763,-0.424915104726557,0.4174157394211613,-0.05134086624519086,-0.5186398160724011,-0.12171673376836296
Thal_PuA_R,-0.325036271484692,0.6948770876443912,-0.5068234921108368,1.0,0.6258345528545268,-0.8661731305729609,0.9196861287835563,0.9067795072891803,-0.205883453249572,-0.5214790552499876,-0.5514200978058172,-0.7462260361438858,0.8082589073715613,-0.4011299804534329,-0.11298657075315661,0.060351725870904385,-0.7218781899355416,-0.07591333599794599,-0.7200301259977807,-0.30953391654280626,0.9513783718984951,-0.36975607095562174,-0.3933669604348952,0.773547116202424,0.2229934913766596
Parietal_Inf_R,-0.3309439019986741,-0.006375903353957371,-0.027444417354355943,0.6258345528545268,1.0,-0.6156796090774123,0.8228211507292255,0.8032147141806701,0.20231227757798062,-0.08856431803161417,-0.13319089834251022,-0.2841463469333973,0.1861489863383779,-0.7152023241462974,0.06650153882358927,0.17862380289339516,-0.4423237231977983,-0.05149669292930181,-0.3545523672550304,0.08135584104683694,0.7054161251138872,-0.0020433140961504752,-0.472303130193128,0.16713545480471012,0.032375712921106234
ACC_pre_R,0.3112060782747515,-0.5629281531957312,0.45709873214319147,-0.8661731305729609,-0.6156796090774123,1.0,-0.8213604469145167,-0.788459841423921,0.2713835446763819,0.5844002929694698,0.6463547594276042,0.733580504790422,-0.639514357609659,0.4281882358455116,0.3019503529970256,-0.1144809039563895,0.6598147974309255,0.1991940830363244,0.691745867870793,0.38574714142007643,-0.845015922810817,0.5132724710316292,0.3987541793215456,-0.6341628631593119,-0.19470502478708043
Occipital_Sup_L,-0.3080274605207947,0.46553568288122466,-0.35926860781487807,0.9196861287835563,0.8228211507292255,-0.8213604469145167,1.0,0.9725543846950516,-0.0028856893609346995,-0.3918345709571916,-0.38053556737120764,-0.5984909379838982,0.6286119502150603,-0.5810549261078061,0.05304730697037735,0.08435239918760722,-0.6300204739323556,-0.06997462675909974,-0.6172710044826806,-0.13335675242416573,0.9063353809305855,-0.21127060834750241,-0.5213454478413689,0.5857463435509171,0.1164843380907967
Angular_L,-0.3158645899697131,0.45037957692176656,-0.334472434059836,0.9067795072891803,0.8032147141806701,-0.788459841423921,0.9725543846950516,1.0,-0.02273371923410431,-0.32753156723099236,-0.3688467441146847,-0.5874438842917844,0.618329361564297,-0.5323946365798953,0.09382204316982648,0.07397136813810458,-0.645477634258357,-0.08070557035860748,-0.5929350114125522,-0.1110761757082316,0.9141620435633133,-0.17377487917806922,-0.5329421692043189,0.5624355577988813,0.1255177320714723
Caudate_R,0.19760280104088396,-0.3602286240411645,0.5309552705760595,-0.205883453249572,0.20231227757798062,0.2713835446763819,-0.0028856893609346995,-0.02273371923410431,1.0,0.27900163029925373,0.5753721629332035,0.3457624451573009,-0.29200206523949085,-0.35449506220486543,0.5543437103797538,-0.029563962223028713,0.26133929344168216,0.30808184126256377,0.37247200417548826,0.33528351841780074,-0.22955155545065706,0.5265755832000626,-0.23131544481561953,-0.3802425928445992,-0.023268661684744847
Amygdala_L,0.34125300453873786,-0.628664668038164,0.5158829615175995,-0.5214790552499876,-0.08856431803161417,0.5844002929694698,-0.3918345709571916,-0.32753156723099236,0.27900163029925373,1.0,0.47334728145656985,0.6392966482324295,-0.5114701788263102,0.16336855579660492,0.1919500673233378,0.1700162737110529,0.36720542031004233,0.1999947630531391,0.6108363940987036,0.6376407883819755,-0.4304082585893062,0.4358172972634381,0.2223730586891386,-0.5855116923120233,-0.11291843975548446
ACC_sub_R,0.2312084982164695,-0.5365254003507222,0.5659458591932702,-0.5514200978058172,-0.13319089834251022,0.6463547594276042,-0.38053556737120764,-0.3688467441146847,0.5753721629332035,0.47334728145656985,1.0,0.5335810805288191,-0.5141938693229836,-0.042945482543875604,0.5479027925150616,-0.18708848617601528,0.48753892178500624,0.3167315929702345,0.5624970030960006,0.38712801659511514,-0.5327755270416776,0.7379680632581569,-0.0007435709463532764,-0.553986682088499,-0.2169905693677222
OFClat_L,0.34332906149045445,-0.7191665901935899,0.46408255523935543,-0.7462260361438858,-0.2841463469333973,0.733580504790422,-0.5984909379838982,-0.5874438842917844,0.3457624451573009,0.6392966482324295,0.5335810805288191,1.0,-0.7443080565498901,0.2059488755064491,0.2358626537217134,0.034723815518915235,0.6116645140471095,0.221546894351804,0.6771494822555135,0.46891822658224286,-0.7322155458680977,0.37737363685153413,0.34301012475097886,-0.71784567199904,-0.1324051972731214
Vermis_6,-0.10768697751577577,0.9121800855697054,-0.46749156190778296,0.8082589073715613,0.1861489863383779,-0.639514357609659,0.6286119502150603,0.618329361564297,-0.29200206523949085,-0.5114701788263102,-0.5141938693229836,-0.7443080565498901,1.0,0.0025478879543110876,-0.2055898397950266,0.1282455021006983,-0.6113899719314148,-0.005363493844560844,-0.522091951247682,-0.4420332656889298,0.7305253349079287,-0.4374787781185118,-0.21532524873068146,0.913861094458459,0.16926076606634
