,Raphe_D,Vermis_4_5,Cerebellum_9_R,N_Acc_R,Precentral_R,Occipital_Inf_R,Thal_PuI_R,Cerebellum_7b_L,Thal_MDl_R,Thal_LGN_R,Cerebellum_3_R,Hippocampus_L,Temporal_Mid_L,Frontal_Mid_2_R,ACC_sup_L,Pallidum_L,Frontal_Med_Orb_R,Thal_VPL_R,Rolandic_Oper_L,SN_pr_L,Occipital_Mid_L,Calcarine_R,Temporal_Sup_R,OFCant_L,Thal_LGN_L,Cerebellum_10_L,Insula_R,Putamen_R,Frontal_Inf_Oper_R,Heschl_L,OFCmed_R,Vermis_9,Red_N_L,ACC_sup_R,VTA_L,Olfactory_L,Thal_PuI_L,Temporal_Pole_Mid_R,Cerebellum_Crus1_R,Thal_VL_L,Thal_PuM_L,Cerebellum_8_L,Thal_MGN_R,Parietal_Inf_L,Thal_MDm_R,Cerebellum_7b_R,Thal_IL_L,Cerebellum_9_L,Precuneus_L,Vermis_10,SN_pc_L,Caudate_L,Thal_PuA_L,Temporal_Sup_L,ACC_pre_R,Fusiform_R,Postcentral_L,Thal_IL_R,OFCpost_L,ParaHippocampal_L,Frontal_Sup_2_R,Cerebellum_6_R,Thal_MDl_L,Occipital_Sup_R,Vermis_8
Raphe_D,1.0,0.44075181281367576,-0.6519445649048266,0.48702812674537926,-0.052035428346111016,-0.4864182749710123,-0.826635077140905,-0.44598237221321396,-0.29213764140146764,-0.8479448804892609,0.02778905915343631,0.4623398832825483,-0.6494803813684747,0.6706522807131495,0.40638875097077326,0.7225927599790135,0.7194837283039207,-0.6936504053102744,0.42063561594409626,0.02743316078454645,-0.696054698818861,-0.7122432056274881,-0.6193535753593002,0.7369689862411238,0.6990430698860579,-0.5148003946709172,-0.022625916943836373,0.5649845707332795,0.1845191178997576,0.40152086409826726,0.6790051206906109,-0.06045316020058033,-0.7764864740246671,0.37663902803081545,0.08496536195738208,-0.046303655755340206,-0.051221941687417234,-0.6214305798673965,-0.7027870112261977,0.7884013924514441,-0.7553713738315738,-0.589053903636289,-0.8307617215120355,-0.2544447072011997,-0.7604806564963413,-0.47170853039757055,0.3156208501290652,-0.6374896208911519,-0.3582915843898599,-0.7653448564358986,-0.16477449400379884,0.08151627365325315,0.20052298368798394,-0.2708094447158839,0.727137909974715,0.32213983334030033,0.36383710175479805,-0.6070853566272582,0.5401707108968662,0.5939034606940594,0.6770957232470746,-0.732914997566712,0.5315776278049666,-0.705015895976396,-0.5044770915207575
Vermis_4_5,0.44075181281367576,1.0,-0.05241315301238955,0.36529480267253217,0.006365628594358823,-0.08444769871162705,-0.4622923655765706,0.07713101475458112,-0.003884740372475156,-0.3934683282664075,0.6685017513307221,0.4925763257348835,-0.13099454820788614,0.5654476235242726,0.30904558665742016,0.5875074381882622,0.28151429297007774,-0.3440676677620429,0.4331001599846551,0.14993667583528397,-0.4511678882687053,-0.20863227753139937,-0.17346118127980623,0.46402041539581,0.4263937789044308,0.24493509652340684,0.16481415294353893,0.4942770363320969,0.44204040414282786,0.21833134974557683,0.34947135470779794,0.4735954464229511,-0.18202714359083777,0.25112240329232854,0.1341185556892657,0.0024922964329186087,0.20942228542395902,-0.09580378844572783,-0.2365253333886253,0.5302381640403926,-0.4525358323695817,0.023204731085292824,-0.3788104235808827,-0.29629633634800634,-0.34459479207088584,-0.14096942303135743,0.414880902681203,0.004606491608355564,-0.3581636668342108,-0.22550917357301536,-0.12971681130295373,0.08479340730277249,0.4034117306113879,0.10014744822628584,0.5061945998357978,0.22002022924656447,0.06796912878163598,-0.11319204620646955,0.23000270498052142,0.4104979112993667,0.5185324230209002,-0.30505682481365975,0.52527395933963,-0.4813263389976248,0.11054502172419169
Cerebellum_9_R,-0.6519445649048266,-0.05241315301238955,1.0,-0.4366303922013517,-0.080830955620318,0.7814680883371191,0.7457801897261948,0.8319686054863824,0.2638812624486851,0.7857363526838411,0.3610557513690006,-0.33715602485622376,0.6030422854597568,-0.4628466525426424,0.013589800207759057,-0.5259287486756845,-0.8108944847931256,0.4053299372754937,-0.2102109999828298,0.037850151917391044,0.3754443727997136,0.7940559765136166,0.6884155633453941,-0.6659088808483482,-0.4560487513879614,0.7305249623833968,0.12708524241096852,-0.44004076001931863,0.17657885924054614,-0.351143229360198,-0.6585322718267741,0.6169965515264104,0.779485235993074,0.016737702073827795,0.0033361080171001724,0.08689257947086937,0.2826735379332165,0.8552993402376867,0.9368157714273673,-0.5860275378524682,0.5078403591794607,0.9603573901589323,0.7933562377200577,-0.10531780916393123,0.6001751013867346,0.31538968303902887,-0.3944171380628054,0.9770579497780832,-0.06739366219587216,0.954776587068802,0.23218620143550253,-0.2887861050679607,0.007271047521116114,0.2802479372106673,-0.46643448089273415,-0.010316613674860626,-0.366636089337884,0.6920823852949362,-0.5146950519602089,-0.5917675041119174,-0.46297307778646685,0.9042984560582847,-0.4475521513836009,0.354330264587452,0.8779613261132851
N_Acc_R,0.48702812674537926,0.36529480267253217,-0.4366303922013517,1.0,0.04688920369222641,-0.36752595960196366,-0.5611263605543364,-0.3482304445810581,-0.2685012895130905,-0.5058949544600236,0.05854870205481867,0.38625935335846745,-0.38012321455668235,0.48994493804202116,0.08250769876810546,0.5151161498347673,0.6390580668462839,-0.37460025362695154,0.29430734163774763,0.0440001751541498,-0.3585803824775046,-0.470551096536114,-0.19115758475513933,0.6594936236597102,0.28155614293294173,-0.19883722215075478,0.03675417962750289,0.5748732384055767,0.2040105413417951,0.4502998997407274,0.5925232599044329,-0.05759613227642635,-0.33509713322493734,-0.05134086624519086,-0.08877778425675335,0.004918780318999738,-0.048189032467460195,-0.35259892198043524,-0.47962280401383184,0.48729064100147984,-0.4914951167447665,-0.4343109490433571,-0.4679582296611966,-0.10674925030238935,-0.46189216190946136,-0.08079296764634025,0.4221731339206834,-0.41025296612719936,-0.07153908537380664,-0.5324445794180933,-0.12171673376836296,0.17398469177984063,0.1900302815424351,0.0015303610027630227,0.45709873214319147,0.2648985941979925,0.03908260780361643,-0.36219046823315004,0.41423111389737566,0.5867595364276365,0.32032184211438025,-0.4836350336705953,0.45239390489647713,-0.3363553381840594,-0.31840456221778135
Precentral_R,-0.052035428346111016,0.006365628594358823,-0.080830955620318,0.04688920369222641,1.0,-0.15543754923765443,0.08636159715313717,0.04323034910417021,0.1507777482488109,0.04145971087638911,-0.007210985310326607,-0.11670659764566979,-0.00010942179422060902,0.28922410335551985,0.19331211728106748,-0.1639443423831499,-0.13016289535553682,0.3210501365537636,0.048555835195537,0.08047702222206292,0.3520531096739056,0.11346947928679064,0.20989769569159614,0.010575540964001175,-0.21180895099196728,-0.07847224383356291,-0.008641447654759521,-0.3323261894921317,0.24876990867933166,0.05286544260352781,-0.16159220141400618,-0.29160325618034455,0.2650169856755592,0.10019906116438021,0.07639547586842665,-0.04575411509039573,-0.3623360474219708,-0.306562215582422,-0.17672180355362546,-0.36010267054825074,0.29210547655589814,-0.1856483949112454,-0.19753547833576438,0.48350757794614985,-0.0323495242004094,0.04484623632000025,-0.08646615133345081,-0.11978817875239184,0.4909332976385339,-0.06780960932195788,0.020506634034915833,-0.36770587035116165,-0.1745019771437273,-0.2008589392510122,-0.3487288483966136,-0.24698065727205232,0.1618169912734687,-0.19980222597110292,-0.02511802535846439,0.028854882891554634,0.32180017627039686,-0.10778997885257433,-0.19644158474155052,0.4027848211802187,-0.18537692735889977
Occipital_Inf_R,-0.4864182749710123,-0.08444769871162705,0.7814680883371191,-0.36752595960196366,-0.15543754923765443,1.0,0.5944623988569638,0.6912827801231926,0.145234161319487,0.6150706210729385,0.3174790894617594,-0.27097094230697294,0.43294003080309745,-0.3782840579995704,0.00779414844290389,-0.4153009403344382,-0.6142998530529306,0.2840668757254374,-0.1417370764781485,0.007234018245725637,0.2660776959889164,0.6377287231159098,0.5542561365443713,-0.5509472677568114,-0.32684516363738964,0.4973617575698653,0.17628921061129738,-0.3135553130225853,0.1401147745995672,-0.22567379580326777,-0.4644406620481025,0.42734545277176966,0.5633365181209916,0.024795620293773687,0.03332585180718705,0.08224627777005813,0.30925928540621805,0.7125062208582382,0.7914173884701292,-0.4269525625166584,0.37137756972526265,0.7638705315060567,0.6137740231700332,-0.12034045451595966,0.4412123620418581,0.2756235136128407,-0.3307455648923917,0.782239929555642,-0.12292802807691208,0.7644431406979326,0.21146322366453196,-0.2326723084598336,0.06000377803711204,0.23117563111549058,-0.30409575181631254,0.0672407231070885,-0.2081612125367181,0.5175154418361261,-0.40733710069944323,-0.45827117636731707,-0.3221392805214531,0.7549857720416128,-0.3900966038136869,0.23052799099416887,0.6500546835514612
Thal_PuI_R,-0.826635077140905,-0.4622923655765706,0.7457801897261948,-0.5611263605543364,0.08636159715313717,0.5944623988569638,1.0,0.623493417326043,0.40143577042678813,0.9687664905429072,0.030953834073412224,-0.401578397241679,0.7747902894412327,-0.7450438099952014,-0.33140748569365636,-0.7946414167947018,-0.7495124784080048,0.7549100894284708,-0.4053006702729449,-0.046693349530322864,0.8043700756624313,0.8887634195457524,0.6790757499418943,-0.8125700977102596,-0.6901270687713182,0.3888175331877205,0.11341202629375687,-0.6317380076177863,-0.208299381637472,-0.4984427144620536,-0.6390819346150513,0.1066755329102323,0.826369378589911,-0.2878007124263133,-0.0019965940482421104,0.15022427000582925,0.0984035759869934,0.6471098711047294,0.786514100263008,-0.8574202212879692,0.8938064674831595,0.6780030023852622,0.8930620651946456,0.35855392069167774,0.8585233895411174,0.4990793537282185,-0.48625026963773565,0.685773099123001,0.45756114184678154,0.8504171522428423,0.24860475472021812,-0.17979752916025918,-0.18106845467678162,0.3220679659476899,-0.7941893768945223,-0.1811171182505861,-0.29245083482614437,0.7040432246387497,-0.4192631550944861,-0.5711342007975412,-0.6363063018113109,0.8492283779891143,-0.6185223252443572,0.8011647213749387,0.5615380761352815
Cerebellum_7b_L,-0.44598237221321396,0.07713101475458112,0.8319686054863824,-0.3482304445810581,0.04323034910417021,0.6912827801231926,0.623493417326043,1.0,0.33910157946997116,0.6447870107050411,0.4259667820803059,-0.18490238314868554,0.5784535554484016,-0.3209308082620407,0.007810432093597672,-0.3909692652539959,-0.6011531858138486,0.3543432362580324,-0.029479650857092515,0.12017758346727643,0.3639394656042894,0.6975329564405076,0.6041662525870509,-0.5033848257897889,-0.3141672537190058,0.5327269661743496,0.2789847999107633,-0.2931775674790554,0.24475967604429705,-0.27419964182284906,-0.4564482593069453,0.5472341552209807,0.6520461696202663,0.027879860144363385,0.18804851265523803,0.16011428846383208,0.31082487768085804,0.6688567071204007,0.7285399047029538,-0.4490991614765446,0.45809711706279316,0.8197132750646356,0.6036195490745041,0.04672414973594217,0.5221631363424855,0.298152899801401,-0.295959482728721,0.7964332810398002,0.009301948260505705,0.7657658015574492,0.2501961816392318,-0.2177810042315211,0.06804657999516084,0.3480143181226713,-0.37838453926739485,0.02359342380845856,-0.1547185983222092,0.6055786720501124,-0.29989653471856065,-0.41370622249522493,-0.2658175931649489,0.7074218519908213,-0.31253175633722996,0.30441104785243644,0.7280123515102229
Thal_MDl_R,-0.29213764140146764,-0.003884740372475156,0.2638812624486851,-0.2685012895130905,0.1507777482488109,0.145234161319487,0.40143577042678813,0.33910157946997116,1.0,0.40653926577076566,0.10379903266933573,0.20545901563628466,0.4178881792657108,-0.16203904975768435,0.0022188940684395447,-0.18374042417972833,-0.2717649721455175,0.6349290351134695,0.17695203484193783,0.25127426447430984,0.34020673431134907,0.38142869629962406,0.2507880214032715,-0.2919984611652559,-0.03148861037117773,0.16760677912571068,0.3108052698842938,-0.08750284413992303,-0.08489088898388583,0.008278860099503243,-0.2469505759092861,-0.0259842254132137,0.2964778836602619,0.10500240074610705,0.243734797799761,0.19456678997179327,0.322916233793388,0.20692414233143158,0.2071786866395475,-0.20480090948033808,0.508491932839445,0.2530489633134274,0.298595765932025,0.2405343502126835,0.6343689346892287,0.1194839180024802,0.1107921304496089,0.2494954192446367,0.2429745204064108,0.30228421799951377,0.19281123012128235,0.08446530430761966,0.29650560286734057,0.3141763706259571,-0.15718610841258387,-0.19491129489578743,0.04281275055130991,0.5783628955745932,-0.0813291433586768,-0.18542001148448048,-0.0649082042446944,0.24463491573172644,0.21111495245322098,0.3197315719198699,0.21725441869257556
Thal_LGN_R,-0.8479448804892609,-0.3934683282664075,0.7857363526838411,-0.5058949544600236,0.04145971087638911,0.6150706210729385,0.9687664905429072,0.6447870107050411,0.40653926577076566,1.0,0.0744999433461117,-0.36852860745291743,0.7965074028012364,-0.7071032789018188,-0.3119404620023322,-0.7607271315370806,-0.763774215887771,0.7858393554207833,-0.39966397156752315,-0.053296288641447594,0.7701574825514764,0.8925078903824292,0.707312101003625,-0.7659493723601565,-0.7019358230920575,0.47763287925190784,0.12576367139023942,-0.5733627532924442,-0.16819455145723633,-0.45017349861264255,-0.6396681289314625,0.16419895324167336,0.8600549367861974,-0.3063193229529819,-0.059716486306341875,0.1273256325387032,0.1906289518771662,0.6990900944353728,0.8144784763512465,-0.8196371084630713,0.8652805875446069,0.7199381372676772,0.9343650444059911,0.30338118356663796,0.877540197448269,0.5473724593454106,-0.37548776992085714,0.740279169345275,0.4047990016936008,0.8809994461382737,0.2564258033342266,-0.17861151821440563,-0.07047684296788805,0.3775384283279657,-0.7590607418734235,-0.16047399455595013,-0.3379016653887067,0.7413369293151381,-0.41894500534953816,-0.5399424069228593,-0.6516459468670563,0.8692369431645378,-0.5278863702881562,0.7643692684481389,0.5980262049771192
