,Precentral_L,Thal_PuI_R,Cerebellum_Crus1_R,Cerebellum_4_5_R,Lingual_R,Insula_L,Red_N_R,OFCmed_L,Paracentral_Lobule_R,Lingual_L
Precentral_L,1.0,-0.047378069425165266,0.04742142861663226,0.23038888997495538,0.007903980874766433,0.24038153912079327,0.05306495817638127,-0.15074771743537646,-0.03978736235002196,0.06801338409363683
Thal_PuI_R,-0.047378069425165266,1.0,0.786514100263008,-0.4444178284125962,0.8835388610666368,0.17980144772066511,0.2878000300262966,-0.6442223887908288,0.39546658989131867,0.8864493911505753
Cerebellum_Crus1_R,0.04742142861663226,0.786514100263008,1.0,-0.12192352459822674,0.8709650988214179,0.12724798754124816,0.2562052690621334,-0.7001201020152236,0.028248060867317668,0.8461158621161289
Cerebellum_4_5_R,0.23038888997495538,-0.4444178284125962,-0.12192352459822674,1.0,-0.1286339152692417,0.05760445409685224,0.16965666611201907,0.28185927894145346,-0.22803391210350737,-0.14457202759301874
Lingual_R,0.007903980874766433,0.8835388610666368,0.8709650988214179,-0.1286339152692417,1.0,0.20865945455293816,0.42034940586548486,-0.6299989597868236,0.3297823442127364,0.9714135036397273
Insula_L,0.24038153912079327,0.17980144772066511,0.12724798754124816,0.05760445409685224,0.20865945455293816,1.0,0.1930541273677572,0.07105523863103713,0.16836942009987557,0.23694930199601888
Red_N_R,0.05306495817638127,0.2878000300262966,0.2562052690621334,0.16965666611201907,0.42034940586548486,0.1930541273677572,1.0,-0.017617544264261646,0.34646753553387805,0.40960709462432493
OFCmed_L,-0.15074771743537646,-0.6442223887908288,-0.7001201020152236,0.28185927894145346,-0.6299989597868236,0.07105523863103713,-0.017617544264261646,1.0,-0.18026814865975915,-0.6126654404373191
Paracentral_Lobule_R,-0.03978736235002196,0.39546658989131867,0.028248060867317668,-0.22803391210350737,0.3297823442127364,0.16836942009987557,0.34646753553387805,-0.18026814865975915,1.0,0.358065770735691
Lingual_L,0.06801338409363683,0.8864493911505753,0.8461158621161289,-0.14457202759301874,0.9714135036397273,0.23694930199601888,0.40960709462432493,-0.6126654404373191,0.358065770735691,1.0
