,Cerebellum_Crus1_R,Cerebellum_6_L,ParaHippocampal_R,Parietal_Sup_R,Cerebellum_Crus2_L,SN_pc_L,Pallidum_R,Lingual_L,Calcarine_R,Frontal_Sup_Medial_R,Parietal_Inf_L,Thal_MDm_L,Cerebellum_9_L,Cerebellum_3_L,Hippocampus_L,Temporal_Sup_L,Thal_VPL_R,Frontal_Sup_2_L,Thal_LP_R,Raphe_D
Cerebellum_Crus1_R,1.0,0.5035533179714125,0.15455679222572713,-0.26156187219373894,0.40139971012059417,0.2684216886411309,-0.028587245156038193,0.5151792824659593,0.44114084748975485,0.11479373620877766,0.11223380120669797,0.1446425730123538,0.4764278271580192,0.25241406048420273,0.047799454410661975,0.5706797454931806,0.09475171397581285,0.4011947213786397,0.06309236846949964,0.25231175296370284
Cerebellum_6_L,0.5035533179714125,1.0,0.46669437767554717,-0.13173573821266077,0.6552977745124269,0.5319309237940995,-0.020091882276700054,0.7980557016092572,0.5728258015637522,0.07984448814722854,-0.09693561170206723,0.06847478894058792,0.5947717997003217,0.6947935335421962,0.2899350896314745,0.6233034325386848,0.3341581047126254,0.3951690736500101,0.16875951063804107,0.2361623136981042
ParaHippocampal_R,0.15455679222572713,0.46669437767554717,1.0,-0.23621535209127872,0.25696605479232437,0.6263140001995198,0.5404059001710384,0.12359074907906145,0.09458510417032005,0.26904518784051534,-0.36008401710784094,-0.3252169208849466,0.42854101387845916,0.5872354945752264,0.5904836421944339,0.34257144330580197,-0.36264706880879344,0.4592002480441477,0.4018922316870266,0.436329655890766
Parietal_Sup_R,-0.26156187219373894,-0.13173573821266077,-0.23621535209127872,1.0,-0.3502962876181491,-0.31697113033118757,-0.023510078974767607,0.16046073905207833,0.18312392935217142,0.08946836808928092,0.6116797693339983,0.5111617417438745,0.006083763680941959,-0.2046951321434889,0.030330129316758134,-0.08684651353302295,0.32924562738188534,-0.009284246495488863,-0.11836830148588977,-0.1974048281578481
Cerebellum_Crus2_L,0.40139971012059417,0.6552977745124269,0.25696605479232437,-0.3502962876181491,1.0,0.37791002659406586,-0.13562729112521568,0.4296628838726598,0.31864098665967455,-0.04063872687762974,-0.3487044829190024,0.11717016240001103,0.4072214876165452,0.4219903406256992,0.05237282896007937,0.2444933243611845,0.22047250706442761,0.059392083252377555,0.0035719132278056844,-0.06815486395918732
SN_pc_L,0.2684216886411309,0.5319309237940995,0.6263140001995198,-0.31697113033118757,0.37791002659406586,1.0,0.25437035901156385,0.2605751185837208,0.1406306513002499,0.26625118781401624,-0.33388091126106084,-0.11088342079838855,0.4408031108400695,0.4149220341268534,0.40833234948245395,0.3236968662644097,0.03256178297093246,0.4819410495287285,0.44037291040665927,0.45302692578231013
Pallidum_R,-0.028587245156038193,-0.020091882276700054,0.5404059001710384,-0.023510078974767607,-0.13562729112521568,0.25437035901156385,1.0,-0.27278073808356296,-0.14154873656321254,0.6886810786494953,-0.2239325769957185,-0.035300297022805724,0.5117278999771413,-0.16835708550107567,0.8076496750209902,-0.009676440062310023,-0.2952564743159353,0.4303090422384157,0.5658424399611536,0.49331354225452445
Lingual_L,0.5151792824659593,0.7980557016092572,0.12359074907906145,0.16046073905207833,0.4296628838726598,0.2605751185837208,-0.27278073808356296,1.0,0.8096907450017643,0.009955390873777111,0.40224028123680056,0.3992868529393871,0.43681218864748933,0.5304138260348105,0.01336857344361288,0.6600952242651256,0.6099759655496396,0.3083805387168177,-0.031315524064094324,0.027052027376811474
Calcarine_R,0.44114084748975485,0.5728258015637522,0.09458510417032005,0.18312392935217142,0.31864098665967455,0.1406306513002499,-0.14154873656321254,0.8096907450017643,1.0,0.1596328831567708,0.537900245925361,0.5293763460197741,0.4716935227063301,0.3553933659973782,0.08164141802734855,0.6133646460173368,0.6172022612725476,0.3030717276152376,-0.17584796329319613,-0.18333393051004043
Frontal_Sup_Medial_R,0.11479373620877766,0.07984448814722854,0.26904518784051534,0.08946836808928092,-0.04063872687762974,0.26625118781401624,0.6886810786494953,0.009955390873777111,0.1596328831567708,1.0,-0.023210546538098595,0.33863150124635055,0.6207435637970797,-0.24807120431529642,0.6557067649868809,0.15874784523169322,0.14536259470568821,0.6456781221776033,0.4579287280831285,0.31084990074330715
Parietal_Inf_L,0.11223380120669797,-0.09693561170206723,-0.36008401710784094,0.6116797693339983,-0.3487044829190024,-0.33388091126106084,-0.2239325769957185,0.40224028123680056,0.537900245925361,-0.023210546538098595,1.0,0.6186105119437276,0.02635513049152975,-0.09323858335206779,-0.16544334027021382,0.3370026213171525,0.4940497554674357,0.11285927625501153,-0.29319930409457534,-0.2914270212044741
Thal_MDm_L,0.1446425730123538,0.06847478894058792,-0.3252169208849466,0.5111617417438745,0.11717016240001103,-0.11088342079838855,-0.035300297022805724,0.3992868529393871,0.5293763460197741,0.33863150124635055,0.6186105119437276,1.0,0.39969893701101256,-0.24170407023606677,0.12815074421587486,0.10831352800457689,0.7482197395469088,0.13047457235826243,-0.08096652702286261,-0.29617197398622186
Cerebellum_9_L,0.4764278271580192,0.5947717997003217,0.42854101387845916,0.006083763680941959,0.4072214876165452,0.4408031108400695,0.5117278999771413,0.43681218864748933,0.4716935227063301,0.6207435637970797,0.02635513049152975,0.39969893701101256,1.0,0.16548478216870274,0.7058264660942196,0.46707313396924255,0.31557685435833693,0.6331407035795221,0.32618685467933023,0.27717158425637783
Cerebellum_3_L,0.25241406048420273,0.6947935335421962,0.5872354945752264,-0.2046951321434889,0.4219903406256992,0.4149220341268534,-0.16835708550107567,0.5304138260348105,0.3553933659973782,-0.24807120431529642,-0.09323858335206779,-0.24170407023606677,0.16548478216870274,1.0,0.056608718309536385,0.5527132003435302,-0.006690515126459862,0.2876776433378035,-0.01239225152379906,0.131160940357507
Hippocampus_L,0.047799454410661975,0.2899350896314745,0.5904836421944339,0.030330129316758134,0.05237282896007937,0.40833234948245395,0.8076496750209902,0.01336857344361288,0.08164141802734855,0.6557067649868809,-0.16544334027021382,0.12815074421587486,0.7058264660942196,0.056608718309536385,1.0,0.1750844855699257,0.020800479019879005,0.4418057900343726,0.5302736633232318,0.5208284496565659
Temporal_Sup_L,0.5706797454931806,0.6233034325386848,0.34257144330580197,-0.08684651353302295,0.2444933243611845,0.3236968662644097,-0.009676440062310023,0.6600952242651256,0.6133646460173368,0.15874784523169322,0.3370026213171525,0.10831352800457689,0.46707313396924255,0.5527132003435302,0.1750844855699257,1.0,0.2899545991296165,0.6393896856571322,0.06666244155977456,0.13545385636187282
Thal_VPL_R,0.09475171397581285,0.3341581047126254,-0.36264706880879344,0.32924562738188534,0.22047250706442761,0.03256178297093246,-0.2952564743159353,0.6099759655496396,0.6172022612725476,0.14536259470568821,0.4940497554674357,0.7482197395469088,0.31557685435833693,-0.006690515126459862,0.020800479019879005,0.2899545991296165,1.0,0.10324435150977836,-0.12205389841934959,-0.22071837486256482
Frontal_Sup_2_L,0.4011947213786397,0.3951690736500101,0.4592002480441477,-0.009284246495488863,0.059392083252377555,0.4819410495287285,0.4303090422384157,0.3083805387168177,0.3030717276152376,0.6456781221776033,0.11285927625501153,0.13047457235826243,0.6331407035795221,0.2876776433378035,0.4418057900343726,0.6393896856571322,0.10324435150977836,1.0,0.37322223575326124,0.32492509752773896
Thal_LP_R,0.06309236846949964,0.16875951063804107,0.4018922316870266,-0.11836830148588977,0.0035719132278056844,0.44037291040665927,0.5658424399611536,-0.031315524064094324,-0.17584796329319613,0.4579287280831285,-0.29319930409457534,-0.08096652702286261,0.32618685467933023,-0.01239225152379906,0.5302736633232318,0.06666244155977456,-0.12205389841934959,0.37322223575326124,1.0,0.62303654905001
Raphe_D,0.25231175296370284,0.2361623136981042,0.436329655890766,-0.1974048281578481,-0.06815486395918732,0.45302692578231013,0.49331354225452445,0.027052027376811474,-0.18333393051004043,0.31084990074330715,-0.2914270212044741,-0.29617197398622186,0.27717158425637783,0.131160940357507,0.5208284496565659,0.13545385636187282,-0.22071837486256482,0.32492509752773896,0.62303654905001,1.0
