,Angular_R,OFCmed_L,Temporal_Sup_L,VTA_R,Thal_MDl_L,Thal_VA_R,SN_pc_R,Thal_MDm_R,ACC_sup_L,Cerebellum_4_5_R,Cerebellum_Crus2_L,Thal_LGN_R,Precentral_L,Thal_LP_L,Thal_PuL_R,Cerebellum_Crus1_L,Temporal_Inf_R,Occipital_Inf_R,OFClat_R,Cerebellum_4_5_L,Cerebellum_6_R,Thal_VL_R,Raphe_D,Thal_MGN_L,Cingulate_Mid_R,Cerebellum_7b_R,Frontal_Sup_2_R,Precentral_R,Parietal_Inf_R,Cerebellum_8_L,Temporal_Pole_Mid_R,Vermis_3,Amygdala_L,Frontal_Inf_Oper_L,Fusiform_L,Vermis_8,Supp_Motor_Area_L,Occipital_Mid_L,Thal_LP_R,Thal_PuL_L,Red_N_L,Thal_PuI_R,Caudate_R,Vermis_9,Frontal_Mid_2_L,Amygdala_R,Cerebellum_3_L,Occipital_Sup_R,Vermis_1_2,Frontal_Inf_Tri_R
Angular_R,1.0,-0.2510183590082473,0.2821394119675553,-0.24895497058906446,0.5697349719461837,-0.4745862551686578,0.30057762827849493,0.5309801580101552,0.027993682402139113,-0.1827348803660798,-0.2139372511211532,0.4076937031450712,0.48635358091410463,-0.468996790046235,-0.6047530100477342,0.1352250032885259,-0.37258575175680936,0.734409724286648,-0.4330741306179987,-0.14785626450452308,0.02535525780684282,0.47592191479207374,0.07154548540537195,0.38740014395653094,0.17758651449315727,0.5495016293803157,0.5128925134551411,0.5658021638431,0.760181684307174,0.22697363537478327,-0.1484555248490764,0.41314774752223066,0.1754139990570832,0.2249145046446779,0.3366722036137224,-0.5324722963828908,0.3645451421050667,0.209895271963098,0.023552462236170194,-0.07867374512999603,0.5393521276920221,-0.508186053492914,-0.03640949945087606,0.43427319853947427,0.2867616441350468,0.1675933405930013,-0.15284883845707653,-0.1642893418525805,-0.19575281024752297,-0.09812820027372332
OFCmed_L,-0.2510183590082473,1.0,-0.08203966767816492,0.5209101007798221,-0.19297023677847502,0.7133246177183118,0.18158446972597142,-0.3062064675171351,0.2911629296619873,-0.040514138450792034,-0.34242689946745647,-0.4754341586708429,-0.38690903378186525,0.5440523231692415,0.5862056902880376,-0.4043652123866775,0.2595760644312239,-0.4197277459617723,0.5560567930369054,0.15250563653096003,-0.1719952007276793,-0.06601251712704698,0.44518149123128054,-0.2312194663552858,0.09760684117277657,-0.5011345524544103,-0.14583164483942096,-0.3849219736903787,-0.3532963545237225,-0.2923234414694024,-0.20585338928877409,-0.21534221007071516,-0.060232048911105146,-0.033238386131459956,-0.1343818480762605,0.17393275926436627,-0.3333644913588924,-0.5467612703467064,0.37739057026210926,0.02112815997056956,-0.07004164121643798,0.5324020125986166,0.49448364922014737,-0.44914340970804756,-0.2246717030875802,0.4712184526922474,0.04406622257720292,0.072883713713483,0.31591456748883306,0.3592088451560537
Temporal_Sup_L,0.2821394119675553,-0.08203966767816492,1.0,0.13812330972990383,0.1179872742137645,-0.10469820392578005,0.3273871728642758,0.25504357760050983,0.4577197930496728,0.6677663130294315,0.2444933243611845,0.21359079197493816,0.5192626644728634,-0.06763068317802276,-0.12110666586998628,0.48849267262640317,0.23343327512623366,0.13612481620785188,0.031201069102947093,0.6401094270851301,0.6558686173807198,0.3723063612937209,0.13545385636187282,0.1222425429011488,0.7920204455251378,0.3188362500071384,0.6678926859184218,0.5253573504609356,0.04476116191125855,0.37701885577522554,0.21340564606120913,0.7790634271361233,0.35106508845012796,0.8370605220503303,0.6912821610729044,0.3885782536525269,0.5968472450618665,0.153479204775648,0.06666244155977456,-0.08448828568879625,0.39378310297969266,-0.17320408524067396,0.014731388555915182,0.3831911049899619,0.6980736645991155,0.2953048412654633,0.5527132003435302,0.07996646721183004,0.213103671811306,0.331271208081363
VTA_R,-0.24895497058906446,0.5209101007798221,0.13812330972990383,1.0,-0.1094541938276642,0.7179902703896244,0.4997076237305459,-0.13655556443861938,0.5643733592063098,0.2629963203068734,0.10396170024920778,-0.32165737765898644,-0.37615897087655764,0.5891519317364582,0.5829949464586655,0.05874567935844052,0.23023484251914458,-0.39458388688619783,0.3340618818904479,0.3834065079931755,0.04885115898956823,0.07782313368877267,0.4664289972245392,-0.06356854032445174,0.21615307634774666,-0.3884815243317353,0.08336698004749017,-0.08677965592443647,-0.35823309952048177,0.2428983329435803,-0.20731455563674203,-0.009327260838074381,0.18784097810364314,0.2278411377465851,0.2192571795003177,0.3534330913358922,-0.2204414829817785,-0.35494350808621405,0.4095351424145687,0.10481986847153202,-0.11673016974480474,0.5784915452416182,0.5794700416964925,-0.12538033734888768,-0.061664446262979095,0.4803597480105903,0.2769380072352895,0.13044137748274826,0.5607645956470856,0.5757372710709499
Thal_MDl_L,0.5697349719461837,-0.19297023677847502,0.1179872742137645,-0.1094541938276642,1.0,-0.08450743936045821,0.14620335657725098,0.6215801579346957,0.1672886661014135,-0.1435362669116667,0.14209468657250618,0.5613862978217486,0.3129660773494181,-0.27814647211088767,-0.3553488175616452,0.1729787602775731,-0.07970019989422857,0.47952665598411925,-0.4236949051007826,-0.09165895249170017,0.07560357364028829,0.7960313111945336,0.021294876972822157,0.699870740205806,0.12581371809408806,0.47893824403067425,0.41190807632388404,0.43837802907324286,0.4762312749652992,0.4046086868052769,0.04819261821987278,0.2683278165771301,0.20820063795990915,0.08990294356198043,0.2872260407375407,-0.334507426750167,0.292553348491927,0.16221481210468877,0.20937690203762147,0.03047113750798003,0.5023739699779848,-0.21295108789801356,0.2586747902171782,0.4668862972769749,0.2722127986642314,0.21718938857443004,-0.09663060845453149,-0.12173357001429874,0.2526405206955582,0.2074059306546586
Thal_VA_R,-0.4745862551686578,0.7133246177183118,-0.10469820392578005,0.7179902703896244,-0.08450743936045821,1.0,0.09817083612004207,-0.18118965605155488,0.47592741710564984,0.10867954414918424,0.09726181188125478,-0.36939235021865285,-0.550958994642233,0.7632142603617751,0.8247208765081195,-0.07568065648003114,0.4595950957571146,-0.5554124221034216,0.3994623800032,0.23529506583268572,0.0026066162034015378,0.06536302518834576,0.45217675337732854,0.010517614039667594,0.18082894259386148,-0.4595319129512267,-0.1131615916300925,-0.36531501332128435,-0.5809392763020962,0.11272726177757435,-0.007806183464209668,-0.20541201294564151,0.13315431922567303,-0.04413273215553118,-0.0325217762804053,0.4160983256098316,-0.37150420895783837,-0.46969037473616027,0.5419321116680103,0.18666206440566005,-0.09415554526986115,0.7527642782116715,0.7579237168025413,-0.18871807873050844,-0.21101586695710267,0.5048648089687212,0.11065812636346896,0.09516728281150717,0.5922094559742057,0.6324075040574143
SN_pc_R,0.30057762827849493,0.18158446972597142,0.3273871728642758,0.4997076237305459,0.14620335657725098,0.09817083612004207,1.0,0.2710035092062478,0.26382361176656344,0.12298274612519798,-0.07464249420842742,0.05401586902502048,0.26349284057679634,-0.00819770440432602,0.0091845560615392,0.06514110596544564,0.05751752568684457,0.145246406188694,0.14883449822728292,0.20148832728335803,0.16527254157578666,0.167982311385745,0.5507608323913004,-0.08744015119462552,0.33511552618602236,0.18170571414081196,0.4416221527157936,0.3148578654827175,0.11949112689213844,0.31834422144109537,-0.1162010413182731,0.36430293221259713,0.2751331677642973,0.3129875875791127,0.2220914451270843,-0.00291616355837596,0.3680515210636564,-0.113478623721761,0.23836822558888662,0.05442593390982754,0.5006730326102227,0.0993970679595957,0.23562352813958473,0.23417248125338694,0.3823853991425767,0.48294844838354506,0.1333172199822452,0.07114465099584935,0.11727810024740083,0.3596095734562866
Thal_MDm_R,0.5309801580101552,-0.3062064675171351,0.25504357760050983,-0.13655556443861938,0.6215801579346957,-0.18118965605155488,0.2710035092062478,1.0,0.2397183682063028,-0.17754827525894043,0.11599256698247642,0.7403065156555363,0.35704577051093345,-0.4588406390411342,-0.20680076139010894,0.33793896010289537,0.15444985582570117,0.3095434004945291,-0.24383795021074164,-0.23710736278058236,0.3671454376702994,0.6451907810809369,-0.07137430562981496,0.5581188198897903,0.27808560556696654,0.4582987769409917,0.5676985898514747,0.4858141255494056,0.505231959863026,0.5232581247227142,0.25925608487004476,0.29302357151518993,0.6415670667969716,0.08422953379010366,0.2754878935909612,-0.13989747954634163,0.5353108724977551,0.2615562394099804,0.03519420880376955,0.17410126293728495,0.5645436557640986,-0.07969391073420154,0.26812371727072265,0.6383532189493778,0.4357181715682868,0.16588711322839095,-0.28929939345637606,-0.15961406060352873,-0.02727140129143573,0.23562785047178056
ACC_sup_L,0.027993682402139113,0.2911629296619873,0.4577197930496728,0.5643733592063098,0.1672886661014135,0.47592741710564984,0.26382361176656344,0.2397183682063028,1.0,0.2850343798268221,0.12452272163304536,0.08819102955867661,0.03674665459736094,0.34313347865921795,0.36386782156244035,0.17438548925972078,0.23600768504244404,-0.08686672494797418,0.18444841041588447,0.3269112287823683,0.2238991922680229,0.38386901638609017,0.2744674883727653,0.21725977727280982,0.5348979907802928,-0.027769448923366986,0.49989338129522504,0.23090405293428448,-0.13024859797832383,0.39092657356095906,0.06456125109970967,0.22218490525645507,0.3926315465114886,0.5744614535710733,0.3588080927971506,0.25790075966726916,0.0946111428193294,-0.119875361731994,0.38827412869533534,0.22563589768211112,0.0452668056503923,0.3719778784590597,0.6169037625218097,0.14358873886100051,0.31570128184533236,0.3606629635993981,0.2198831817386561,-0.023045235283876368,0.40496877168267,0.6731874681607746
Cerebellum_4_5_R,-0.1827348803660798,-0.040514138450792034,0.6677663130294315,0.2629963203068734,-0.1435362669116667,0.10867954414918424,0.12298274612519798,-0.17754827525894043,0.2850343798268221,1.0,0.518191350053335,-0.0517253083012313,0.17307326759148245,0.2227285787490465,0.08056756932141065,0.5679039706212845,0.328130761677692,-0.12932404989274768,0.10639946005448116,0.9403029022681249,0.6916427315852133,0.06257950060309493,0.1603809744061535,-0.045099039298989285,0.6126454826994173,0.13698435199173697,0.296118141515296,0.27992361329062887,-0.32430565770657754,0.33320268525919555,0.1883269945984879,0.6557797576361224,0.106147859763013,0.6080564414159317,0.6419969576009927,0.7126878264692885,0.2515717581715968,0.03254643613381193,0.027256295971318394,-0.0008296173480272399,0.10289635274489073,-0.05976494781577481,-0.06774630760180604,0.24373719188054926,0.3529184085537643,0.12722180919416698,0.8974385907813528,0.1410064118974422,0.44474095135803055,0.2387253907587252
