,ACC_pre_L,Frontal_Mid_2_R,OFCpost_L,Vermis_6,Cingulate_Mid_L,Temporal_Mid_L,Insula_R,Vermis_7,ACC_pre_R,Thal_MDm_L,Paracentral_Lobule_R,Raphe_D,Olfactory_L,Thal_PuM_R,Occipital_Inf_R,Olfactory_R,Supp_Motor_Area_L,Temporal_Sup_R,Thal_VA_L,Cerebellum_Crus1_L,Thal_IL_R,Heschl_R,Amygdala_L,Frontal_Inf_Oper_L,Thal_PuL_L,Angular_L,Thal_IL_L,Frontal_Med_Orb_R,Red_N_L,N_Acc_L,Parietal_Sup_L,Cerebellum_3_R,Angular_R,Thal_LGN_R,Supp_Motor_Area_R,Occipital_Mid_L,Temporal_Inf_L,Thal_AV_L,Vermis_4_5,Rectus_R,OFClat_L,Rolandic_Oper_L,Cerebellum_9_R,N_Acc_R,Thal_AV_R,Frontal_Inf_Oper_R,Thal_MDl_L,Cerebellum_9_L,Thal_VL_R,Hippocampus_R,Vermis_1_2,SupraMarginal_L,Cerebellum_7b_L,Insula_L,Precuneus_L,Parietal_Inf_R,ParaHippocampal_R,Vermis_9,Thal_VA_R,Thal_PuA_R,Cerebellum_Crus1_R,OFClat_R,Thal_PuI_L,Cingulate_Post_L,Cerebellum_8_R,Cerebellum_4_5_L,Temporal_Pole_Sup_R,ACC_sup_R,Putamen_L,Heschl_L,Cuneus_L,Cingulate_Mid_R,ACC_sub_L,Cerebellum_6_R,OFCant_L,Temporal_Inf_R,Precentral_R,ParaHippocampal_L,Vermis_8,Parietal_Sup_R,Frontal_Sup_2_R,SN_pc_R,Cerebellum_Crus2_R,Frontal_Inf_Tri_L,Rolandic_Oper_R,ACC_sub_R,Calcarine_R,SupraMarginal_R,Thal_Re_L,Occipital_Sup_L
ACC_pre_L,1.0,0.29817643659416854,0.3410320770372425,-0.18065721019472375,0.05289275885138492,-0.005489145581825034,0.5277278160289679,-0.19839073387214345,0.7742953414850481,-0.3244578023138218,-0.26633660556633343,0.27741471350358804,0.22859381417409946,0.5970828293088647,-0.3493737599574797,0.37253648141018325,-0.1309128573255381,0.37416409924857197,0.694891076551276,-0.041956670377353615,-0.3313535223279984,0.3577177851287986,0.33389935311467517,0.15914386323835325,0.31936361162625504,-0.539373823924786,0.20406057558688553,0.6711257490490924,-0.058474292217806575,0.5383074914327258,-0.42214737081789994,-0.03828626816556683,-0.3787395129503027,-0.07635639888901134,-0.09201300646369726,-0.35718869134871034,0.27295246961146596,0.319084368944856,0.22456361624943233,0.36254288085498565,0.5376917293799404,0.5612192775918079,0.23687474822706944,0.6522880061038039,0.2905832272244449,0.3097860345096506,-0.13947789033613325,0.35384420626705315,0.16810522443874018,0.6684755602629981,0.48664499280214374,-0.3701320277734949,-0.1956951908624966,0.3393044931805889,-0.3184918112420323,-0.3700495605883639,0.5359680564278473,-0.10181374820028351,0.7725414968752783,0.5343684612582494,0.0759036289556875,0.529869441450705,-0.2318673402246765,0.1886735620487981,0.2053417691778314,0.26404614642995455,0.6937817337884599,0.31648010810805394,0.5769160698922602,0.4554457215326471,-0.5216643962525069,0.32723604460808414,0.5983731843930893,0.11888757218053976,0.7211958105332466,0.3716038722022856,-0.10055538183134352,0.6104102001123285,0.3249347173315068,-0.2488302362438485,0.16682813171658523,0.20416551217165743,0.08637653652189485,0.4126698982357719,0.3554113060542246,0.7111381106136258,-0.24275484023378374,-0.1894869054414701,0.412783006650753,0.11278545086518572
Frontal_Mid_2_R,0.29817643659416854,1.0,0.503893671991293,0.2780590474846376,0.7401279238551828,0.5734194681542901,0.6589857908955425,0.22035866343201183,0.6325474381246662,0.37761894555179437,0.36814873628791056,0.2468772023845238,0.6888097228201442,0.318378902349761,0.16311809203205843,0.4746921051245586,0.6017629415757944,0.742303866645345,0.16746155883847416,0.3640284463987703,0.274908418298658,0.3976699083289269,0.6330766619699622,0.5625559736451027,0.1094075475539671,0.22877269143335413,0.404834095412146,-0.1346020764742278,0.5453271043635739,0.42503731159347974,0.14156249014851904,0.4536809123719809,0.48020250694190797,0.3496914664335616,0.5898207663873689,0.021737123819099122,0.47208353628306826,0.4739760286779898,0.34871185029331997,0.47108549662614346,0.10714691138702352,0.4795208959595526,0.5138683837262543,0.26780431008302674,0.3545174642048043,0.7793159886537484,0.4762124637587809,0.7614820500593563,0.6251948789441412,0.485456971330478,0.3246189685445069,0.42861222859228726,0.40121723866112596,0.7428882984175293,0.4904901589465753,0.33039252863279184,0.3736628277497522,0.46099397337148074,0.12630039697972592,0.25955234275178446,0.27561701648487935,0.018863439032032216,0.2647354608082296,0.557038077687225,0.3848951349074851,0.24022807460075296,0.15589896469464387,0.6706350295825776,0.5416160912095348,0.17822896843933755,0.3943089134650165,0.6675968648165787,0.2064818371618755,0.43778509586013353,0.05325497034483238,0.09675812885158523,0.7445888101977904,0.5381045078319961,0.06813635573726536,0.1449237921434725,0.8803167717908492,0.47990602484176786,0.08826418801620184,0.7790813343372649,0.8165163181838365,0.016817881181477125,0.4590805466284673,0.653267113554171,0.3907685627803576,0.09782684907809186
OFCpost_L,0.3410320770372425,0.503893671991293,1.0,-0.2216828909554766,0.11781410567014435,0.22518476984632188,0.5073229745320215,-0.12413775417309719,0.4411824057109912,0.2801074937016709,0.14504277839239144,0.12559866852921006,0.4644413033120143,0.4728835537161818,0.04857733162360473,0.5544770362778388,0.13053745921040777,0.3664593417937694,0.22587209195512667,0.030902119034597268,0.0750954181413638,0.043762170862125825,0.414217624658973,0.10236177459678779,0.03156143841115919,0.06818595917348337,0.34263593686826743,-0.04852863536194893,0.255531114064084,0.49952133633167517,0.07815112845443263,0.2870055918234174,0.1660876817631416,0.18717658499871923,0.0427482116776258,-0.2062742725588203,0.2251016186208787,0.50524648838372,-0.07368169258755239,0.5250098198939642,0.04765114172590864,0.2179767014858702,0.22089639827642837,0.40436496509197695,0.12144016427706926,0.3695317129971419,0.41783833244380575,0.48757251160692205,0.4964960592431264,0.45297577881177614,0.32766909100366076,-0.015281272484275604,0.09304589071228657,0.739979443190199,0.151959320313514,0.1917203095477292,0.3924105914342679,0.1234451735492725,0.26596563315482086,0.34254860329183234,-0.17635536191885853,0.09492788600860491,0.2554915023490042,-0.009456573028930115,0.1139423588362293,-0.04932401471572257,0.1973819775765993,0.3866845714669705,0.617289272853471,-0.044035769274056315,0.14618453104529738,0.06631725513917108,0.19473360035315507,-0.040935880516679166,0.12228513119548837,-0.022913782212949717,0.24426739597951805,0.6332298673772377,-0.19127127766018254,0.17542454518794884,0.31449389850894627,0.3135471170196521,-0.14678871868373836,0.44344660289948773,0.38086277655059203,0.06453708653460041,0.07181834458998068,0.2797135618344605,0.4077466336150475,0.10194974153011895
Vermis_6,-0.18065721019472375,0.2780590474846376,-0.2216828909554766,1.0,0.6941046131465604,0.4403131732326753,0.08565490726881246,0.8746577214114134,-0.05386279844921642,0.2271483966218537,0.23330988684820017,0.059090605523252404,0.11908175948812075,-0.33135040586590875,0.43162183677873794,-0.15067890396256736,0.47293680561846707,0.28286745781244527,-0.2780215378108357,0.4980605862423561,0.37035617786589964,0.27725912645035417,0.1531943276950595,0.5225629491126856,0.01908817105645808,0.32290229076953825,0.10232613654719701,-0.20500229966314285,0.4130327447881433,-0.2675986762745863,0.15247995309175025,0.6381086401795563,0.3598211516972455,0.30570224093178716,0.5755992588715448,0.2550428624446753,0.20462317803420996,-0.11091286860191726,0.7268408083042909,-0.21726819321615753,-0.09154897248922603,0.2271798524348664,0.43546951339258566,-0.35697598308906925,0.04086478569792107,0.2742994208017349,0.09084722454900744,0.28711414937220175,0.19074166758865227,-0.025922884111328894,0.052272133088754565,0.638307985065708,0.4395121506366605,0.12063645304623646,0.4539592459617251,0.175581519013882,0.12854292163330935,0.49532629413735196,-0.381353290537712,-0.26608088511480366,0.5902907850042545,-0.18177035975087152,0.10339367540251351,0.7165681973795203,0.3867226919940238,0.5929673451298626,-0.04951280588583972,0.1273590877817301,-0.23711164546099878,0.10563042747995159,0.4253873336795512,0.5781560276470809,-0.10506223666327169,0.6401154029464873,-0.14262798260786735,0.09792896971688465,0.5028881725513761,-0.09894265250805345,0.2201725814295591,0.11781885583258637,0.46459164004190684,0.20045712766270593,0.400816180088683,0.3154740404029731,0.3644469031416014,-0.28291498991717595,0.679468113182805,0.28943333297771695,-0.2988528736934711,0.10509522377211333
Cingulate_Mid_L,0.05289275885138492,0.7401279238551828,0.11781410567014435,0.6941046131465604,1.0,0.590279309864683,0.47971854033730943,0.497116108063261,0.37579766838403916,0.33295712852179704,0.4107943634699111,0.19451081003732087,0.5293126498254347,0.016762999038545712,0.2546392306520198,0.21700632667169226,0.7093193493351367,0.6371885553187416,-0.050197389227613076,0.3641730216116792,0.37381363019710506,0.45215624744079697,0.4618361909268176,0.7667225016182057,0.020241125579112892,0.37042575591771804,0.27589843177153706,-0.15329567561933796,0.5699915267979182,0.12004910406252185,0.21249603441320725,0.5631823877413551,0.5247810006824336,0.3156186457233191,0.7829877335266778,0.10901917590956581,0.33493367305964195,0.22512958210543793,0.6001247926867388,0.22530179110561147,0.05587609544293053,0.45327497933218935,0.4192735131962509,-0.028702940060007513,0.2804610895779253,0.6251225848620745,0.3184529940193802,0.5153597314181986,0.4861410624112663,0.3039466447953884,0.16077436238691425,0.7428213602054914,0.42008789935044205,0.5427597222112989,0.6400632270245121,0.2852609186967486,0.26655323294737726,0.438925963144925,-0.13036470359969604,0.07835726492895005,0.5550505972690903,-0.05876554045999519,0.12100179203899926,0.8258549618672936,0.3417829500351494,0.439784744806243,0.05601322415769439,0.519121894283528,0.17350050987785107,0.18523137194277753,0.4752895297625369,0.8591979775189776,0.09641453133476868,0.5948377989984708,0.012325712924447414,0.17432378646268212,0.7115689130323847,0.21996616244302775,0.1825209770858145,0.1531984548025984,0.8525857840493593,0.38300629826416116,0.23873561700576507,0.6978399468702735,0.7402105640831437,-0.15511510217148963,0.6352020455263886,0.5583749076411162,0.0882965269391553,-0.067012379401745
Temporal_Mid_L,-0.005489145581825034,0.5734194681542901,0.22518476984632188,0.4403131732326753,0.590279309864683,1.0,0.4557228915229598,0.42818412538737655,0.21321928868710371,0.29589009637572505,0.3976273891752855,-0.0853778743744464,0.4722870281813507,-0.11862120355714738,0.3106743889983394,0.15026357434013252,0.32523288327643096,0.39017673408592024,0.0780236468537171,0.5921279067742634,0.4744860313902092,0.31375579426101746,0.3329921108953633,0.6015486240017169,-0.1012391341280161,0.3782979947602874,0.49215226841677495,-0.10932150461443212,0.3870109356569693,0.3462788019942418,0.1960572660477082,0.47090248644681443,0.4800038378428253,0.31289868965573103,0.43902226559371993,0.1354748454356615,0.7836524185852586,0.17635046625395745,0.510968234747388,0.08883523979787065,0.12403741795144167,0.5816360355978474,0.4278759680198385,-0.24888161781178905,0.4207551591149682,0.40533622862430996,0.36704493369525854,0.505159109450064,0.6475529395363673,0.270714244137496,0.3586413313474399,0.6210850241732245,0.3186600521420334,0.3457530614913239,0.4923139131629646,0.3801577534433639,0.2996759677974596,0.4012647395203382,-0.10588569341529337,-0.18739422681692322,0.1747766705795284,-0.34888519505243054,0.12733842365387077,0.5468669467016217,0.2602957394096733,0.4752010097433365,-0.13524528011695616,0.271210190393509,0.07636786571577724,0.4000585606003098,0.5598464053552292,0.3943614709328453,0.25494875513315896,0.4111001600037859,-0.03585139543673298,-0.13238124603476484,0.5611640461185117,0.4371549175857017,0.10964802372985163,0.10246766952780595,0.5832971315004593,0.20293925913322952,0.01616931135044873,0.6112001003808573,0.47684141913074823,-0.15925717778839166,0.6741822769494266,0.5206002630012301,0.051160711220594915,0.09891551375090521
Insula_R,0.5277278160289679,0.6589857908955425,0.5073229745320215,0.08565490726881246,0.47971854033730943,0.4557228915229598,1.0,0.09259546743054295,0.5448337164446525,0.016346266766962037,-0.1944275602827257,0.5030851050016105,0.697978044566994,0.6083676438805372,-0.06654195178633651,0.600336314343531,0.11374474199599317,0.7686722876850357,0.6592315019423084,0.3205510991265844,0.01985403913097365,0.7754836673884974,0.3270332774235199,0.48097189459880746,0.058042916919028555,-0.20497629217563484,0.38059410300744495,0.3583841944863811,0.3234608241758488,0.6670405471449922,-0.31710529491343875,0.23067438773876248,0.1326934178511887,-0.010208627941318844,0.09207802878285731,-0.17575314869948766,0.5009113906330325,0.15159549602060157,0.46347966994128315,0.31406098689382206,0.43032971823327454,0.6709256803235465,0.5204687950269141,0.5617786832202735,0.19518838066047697,0.7525538777785105,0.33739291258356874,0.6486446443453537,0.45992997297651794,0.7901067950859928,0.4889321231676725,0.08775435606502288,0.06530512409439053,0.7422553774755597,0.02595295241528177,-0.22078831956682207,0.6010325655208595,0.3004613170503001,0.555581775518849,0.29318818135116226,0.264701458729216,0.041836127918047666,0.28105289649771886,0.4573127949309062,0.4745873322639643,0.42263008418626324,0.5299190645889074,0.2950685106947537,0.7472374550968113,0.23873380798438604,0.0044326753548655645,0.6112816516831988,0.6203225663247856,0.32575883625999247,0.41296377458384764,0.3888603905030949,0.17087292000869866,0.7084950581115357,0.2840105265436909,-0.1730296958031997,0.428142332890357,0.39685957818969114,0.33801583126432877,0.6714591466744224,0.7510916757295744,0.5054256520294823,0.2171446728382444,0.12429215333874742,0.153762161447061,0.07628215372519428
Vermis_7,-0.19839073387214345,0.22035866343201183,-0.12413775417309719,0.8746577214114134,0.497116108063261,0.42818412538737655,0.09259546743054295,1.0,-0.11676415381828469,0.2877178498356909,0.09447539777004668,0.005930596454099781,0.08252995471942345,-0.31532838257978657,0.5654862024253746,-0.08806950594303313,0.30589640282538266,0.14859469064179934,-0.23096507885506706,0.6120894204722782,0.40751434728988234,0.24367373959941763,0.022929126023583116,0.42409712756706336,0.06249189370891153,0.2918751755194618,0.22875586245001225,-0.23650827627629717,0.3686539448342786,-0.28741452946866947,0.09913398546257761,0.7069838744419565,0.31349951622832484,0.35048953595693183,0.38885575167050884,0.27681190030276925,0.25178014641959073,-0.12451620022166157,0.6432399043775309,-0.3952600480616673,-0.16788296052930418,0.19217841300007474,0.5576055665642372,-0.3954025214618637,0.06827828185170655,0.20635113625987844,0.21579592328614997,0.3212212648814753,0.25034429930486296,-0.04581044307219327,0.13481910462543212,0.5673203413251201,0.48383073679263006,0.13737765272711505,0.31273038524056157,0.13344456018895798,0.10537274689938321,0.6103756272360991,-0.36468061669472396,-0.35943417002972894,0.416380575104777,-0.35548966896959533,0.29786462276468423,0.5066726671866043,0.481878423434817,0.5752756211093419,-0.08545035176278523,0.04356641856125436,-0.2351124216512055,0.05870754364238555,0.40580206547853037,0.3934135097516074,-0.11097244306875854,0.5481421596958997,-0.25917195288329165,-0.019883340901471893,0.45114566470319484,-0.07826712374722745,0.13299218689549816,0.17228608212822252,0.3300344800925605,0.1240318083790987,0.48515345739578886,0.27021411369469217,0.2811795948502239,-0.2776577772466285,0.5816874101333596,0.22802610367177514,-0.3719890147140832,0.25826862794186917
ACC_pre_R,0.7742953414850481,0.6325474381246662,0.4411824057109912,-0.05386279844921642,0.37579766838403916,0.21321928868710371,0.5448337164446525,-0.11676415381828469,1.0,0.06729007536713938,0.1384553229172213,0.12048905814839286,0.47533496732583935,0.46592628903532174,-0.262397351555169,0.44912451539632325,0.33109504602055495,0.5480121657770439,0.41634535587599913,0.055353093157902176,-0.00993228638128716,0.30043748261035313,0.6218038925761763,0.4243754026586614,0.2139226602920585,-0.21946680661088805,0.4159755141496789,0.22935941666106646,0.13947031752785996,0.46388285801305146,-0.20666198609449457,0.15082933092047365,-0.11379628716401788,0.21431326217418598,0.3414096174593147,-0.18288398242879397,0.3164138053989172,0.6348531704519061,0.2357781698094429,0.5060398738047848,0.24466587727571418,0.5877715397588841,0.3528289825103406,0.5092568990648201,0.5023280277033043,0.53640251544811,0.17444981689496752,0.5215364495446162,0.448947602265178,0.630375755371732,0.4541469450808997,0.005725265490608865,0.10349120746012444,0.5695821100845818,0.04594158256215865,-0.04194646956054515,0.4598939636832462,0.05732639539545807,0.5126086834329244,0.5923977435632769,0.13519636622905842,0.3935216508235874,-0.11892795866571743,0.3870970030981176,0.22055817853166682,0.18823483948268177,0.4687400684552084,0.7562663638070374,0.5634527577876446,0.47853440282024307,-0.1680184283933941,0.502021656194275,0.3720394498079364,0.27820755415485254,0.3525063928750079,0.30530690784537057,0.32230853370433554,0.579598889112888,0.2848903819600785,-0.06319860919532697,0.5741379113543706,0.27101490161395136,0.023625852684183622,0.6675528566015553,0.6168006922630419,0.32873818949017697,0.07634701535649523,0.22876401203917598,0.563042682508249,0.09300074491970611
Thal_MDm_L,-0.3244578023138218,0.37761894555179437,0.2801074937016709,0.2271483966218537,0.33295712852179704,0.29589009637572505,0.016346266766962037,0.2877178498356909,0.06729007536713938,1.0,0.6327538084308524,-0.29617197398622186,0.26553567094973474,-0.22980841284459835,0.5558139133073009,0.39428160259603307,0.49178963457189534,0.31748276145034854,-0.4987196014929782,0.2565316082871017,0.8288945578274874,-0.038327997733833025,0.415720968743667,0.0073710917665056235,0.06384775565513763,0.6590646030951152,0.6163760661360712,-0.5144954370081842,0.5323817005440021,-0.20047757859114063,0.4556405735179386,0.5939647474929655,0.6144992467154073,0.7960593661678885,0.426742134750632,0.3131228548604379,-0.06524607947051934,0.5140838868632123,-0.15331418223362012,-0.01912387187646629,-0.7464692268477295,-0.20805739647173782,0.30026606459261057,-0.11045223396962267,0.2262055000687575,0.2685853228683382,0.8064284458472255,0.39969893701101256,0.6608568431044113,0.01584062959692724,-0.059048735485410016,0.5233406122026727,0.57423740464113,0.46623300432482395,0.6425281671709073,0.658744010051062,-0.3252169208849466,0.572324546733614,-0.4374118747074271,0.03208598948454611,0.1446425730123538,-0.4748631717449255,0.6270060318196747,0.12349998754367313,0.2579263033714468,-0.289363586025513,-0.22253736920707076,0.39384940443369393,0.029842903039432014,-0.20200589294882798,0.695998128272227,0.0696126168284473,-0.4906205815087607,0.20814142374607766,-0.5820045040410577,-0.06080664787894771,0.5261484777429828,-0.006978568029946389,-0.37256558468467005,0.5111617417438745,0.45791371866289654,0.06177778535976861,0.06865715053646766,0.050150826956582926,0.20368814297840404,-0.5074146154331078,0.5293763460197741,0.7402964906091132,0.0940756384342131,0.13030751611362304
