,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
Amygdala_R,0.48294844838354506,0.21718938857443004,0.7266440010819941,0.5920796435070655,0.4039256419493709,0.3929060225309861,-0.0004634578853568842,-0.08227326942008727,0.2466368715598104,0.4329065072725349,0.14033307832093778,0.16184121966871645,-0.14067426672470296,-0.11210174212858813,0.15840151030444843,1.0,0.2953048412654633,0.3606629635993981,0.30745553288545147,-0.06329343258404241,0.6080733616621342,0.6329423006178293,0.6097895706730215,-0.08384019954990488,-0.040071104505439055,0.6998433349765604,0.5799619275431035,-0.16673182287011512,0.05359177861030623,0.09511414585331397
Temporal_Sup_L,0.3273871728642758,0.1179872742137645,0.1533523651591219,0.5736813384818501,0.22434570339381024,0.532333639559986,0.26578353572437075,0.13612481620785188,0.23343327512623366,0.22600807522984862,0.3885782536525269,0.06759593175573392,0.21359079197493816,0.19562739697665696,0.3831911049899619,0.2953048412654633,1.0,0.4577197930496728,-0.10238178102591133,0.5192626644728634,0.13545385636187282,0.03970452753269619,0.4530541270003582,0.4757798504413125,0.5313154248077876,0.34822626971440795,0.02810853394479249,-0.027953002410244943,0.3719346728251106,0.3361353706898465
ACC_sup_L,0.26382361176656344,0.1672886661014135,0.30657125933681695,0.5667535328007275,0.42628480616736414,0.5238039724962794,-0.05321779704834075,-0.08686672494797418,0.23600768504244404,0.2982635781794181,0.25790075966726916,0.2776348055682623,0.08819102955867661,-0.053238210105436244,0.14358873886100051,0.3606629635993981,0.4577197930496728,1.0,0.2799600081613057,0.03674665459736094,0.2744674883727653,0.5948556734497045,0.5405895924512525,0.05871254880834729,0.03695055666973689,0.5742034920454647,0.46945422939001336,-0.22683272360314105,0.06621457456392299,0.16863416427094247
Thal_Re_L,0.02490213746548271,0.08077157809297716,0.5064091672797116,0.1948500371938137,0.0766860399646689,-0.24352376817521185,0.0020573090834514695,-0.19057689077913464,-0.07295043723553515,0.6786232026453557,-0.11364347870542674,0.7159963714258291,0.1496333298516939,0.3265494032817487,-0.17048144180613903,0.30745553288545147,-0.10238178102591133,0.2799600081613057,1.0,0.021040340503172987,-0.07089290616260384,0.386210952801699,0.32213277445849925,0.09966888737964268,-0.3719890147140832,0.33555055637210346,0.6956135983301621,0.12796848201419964,0.1658447978482884,0.28968946994763484
Precentral_L,0.26349284057679634,0.3129660773494181,-0.03386721435686349,0.21523483251133188,-0.3495887200299662,-0.05132044129321177,0.5164131409574749,0.434687939309223,-0.14163656105500486,0.1994097564623442,-0.1943585767324348,0.2671036319121863,0.44820219229876995,0.6167608207466136,0.2568619773268977,-0.06329343258404241,0.5192626644728634,0.03674665459736094,0.021040340503172987,1.0,-0.046438046956454176,-0.31216585184537293,0.3175356018052383,0.9367179750333493,0.4460275836577955,-0.19875553443095006,-0.21083172414793142,0.48767605838588224,0.6800774361467139,0.5457153429296896
Raphe_D,0.5507608323913004,0.021294876972822157,0.14388675654494615,0.4165432048345769,0.5174836081223995,0.4781507593899718,-0.19083772015916686,-0.06660325388179457,0.2595648250666824,-0.06869474411769799,0.1530265715633527,-0.24972650005602748,-0.3843520707579439,-0.39664212692441286,0.0980422491242383,0.6080733616621342,0.13545385636187282,0.2744674883727653,-0.07089290616260384,-0.046438046956454176,1.0,0.4324997643904377,0.266545563848404,-0.16795561226135994,0.005930596454099781,0.3697765479978222,0.24746036778022631,-0.30488708790784147,-0.12564828175849013,-0.22237259236532747
Frontal_Inf_Orb_2_R,0.33740654170449424,0.0713355899143455,0.5817868638898007,0.523560948168659,0.4521539823048563,0.40581804074232475,-0.33103849991495266,-0.261946424803222,0.4057201343346778,0.39557880868778805,0.1431167847020128,0.2797177341904766,-0.14192841010760376,-0.293285804837396,0.002276732731800512,0.6329423006178293,0.03970452753269619,0.5948556734497045,0.386210952801699,-0.31216585184537293,0.4324997643904377,1.0,0.5575112347975364,-0.30225100637587565,-0.26505671447108153,0.7660763284195611,0.6810660565859489,-0.3442522850269868,-0.20568916500791318,-0.09101713869547406
Insula_L,0.41781007154640043,0.6176186629558228,0.5748067318852981,0.7624091557447719,-0.04127117120062547,0.4495114550782295,0.2166001850012862,0.08927908419692289,0.2937743330490562,0.41451724317076694,0.03935829568862064,0.5541032850205962,0.35499096711416445,0.18879230084580834,0.3906132784189243,0.6097895706730215,0.4530541270003582,0.5405895924512525,0.32213277445849925,0.3175356018052383,0.266545563848404,0.5575112347975364,1.0,0.32766630376669315,0.13737765272711505,0.6681948115860954,0.5240492761202251,-0.023390496401324793,0.30524820639728545,0.4465909154172121
Postcentral_L,0.23217016347159972,0.44166224321170117,0.050715553549024336,0.19772537774042803,-0.3913235356470684,-0.11498125302283797,0.6706041297763049,0.5509241833931066,-0.2909500929315929,0.2374753903496585,-0.36266009075069605,0.37992837649877687,0.5374665206185237,0.7848862043275397,0.2422497804153937,-0.08384019954990488,0.4757798504413125,0.05871254880834729,0.09966888737964268,0.9367179750333493,-0.16795561226135994,-0.30225100637587565,0.32766630376669315,1.0,0.37664828987143806,-0.2126879915714787,-0.16895900871046354,0.6297164146284614,0.8244298119751503,0.6962581314970747
Vermis_7,0.1240318083790987,0.21579592328614997,-0.19635724576123437,0.14859469064179934,-0.16788296052930418,0.24367373959941763,0.40580206547853037,0.5654862024253746,-0.019883340901471893,-0.1597481153621778,0.13299218689549816,-0.12451620022166157,0.35048953595693183,0.09447539777004668,0.6103756272360991,-0.040071104505439055,0.5313154248077876,0.03695055666973689,-0.3719890147140832,0.4460275836577955,0.005930596454099781,-0.26505671447108153,0.13737765272711505,0.37664828987143806,1.0,-0.04581044307219327,-0.4023039674025577,0.09913398546257761,0.31273038524056157,0.22802610367177514
Hippocampus_R,0.24175624756377642,0.24907663977027614,0.5063791951162177,0.7298490416649503,0.3350654976001682,0.6237067987168483,-0.25061365621136467,-0.33726659980927515,0.6500932637542621,0.39164171825522803,0.47885357042504567,0.3602440859643028,0.06801764689279591,-0.24548764349392777,0.24133240959800076,0.6998433349765604,0.34822626971440795,0.5742034920454647,0.33555055637210346,-0.19875553443095006,0.3697765479978222,0.7660763284195611,0.6681948115860954,-0.2126879915714787,-0.04581044307219327,1.0,0.6884179283092423,-0.46678316648594925,-0.1682567519386687,-0.010199915416209005
Cerebellum_10_R,0.2541345826390045,0.12514319716516728,0.6420385172387801,0.4991753200625424,0.322445044834076,0.13237425396827573,-0.1593881126090504,-0.44612082351097293,0.326766044446045,0.6198737818357547,0.2261348298888374,0.574214524640829,-0.02479488003098782,0.020495986060324878,-0.038648763657293035,0.5799619275431035,0.02810853394479249,0.46945422939001336,0.6956135983301621,-0.21083172414793142,0.24746036778022631,0.6810660565859489,0.5240492761202251,-0.16895900871046354,-0.4023039674025577,0.6884179283092423,1.0,-0.20191697149179488,-0.002244797886989838,0.16536785780600305
Parietal_Sup_L,0.10389712792318995,0.31259830393956456,0.07222378269527559,-0.1621990311737577,-0.3524246944829428,-0.4311491488131004,0.6724692915596818,0.5920021566105517,-0.6122117993997851,0.17128898042532928,-0.677077872623244,0.2197221834274022,0.30005314262366706,0.6969475112779908,0.0042911372204832675,-0.16673182287011512,-0.027953002410244943,-0.22683272360314105,0.12796848201419964,0.48767605838588224,-0.30488708790784147,-0.3442522850269868,-0.023390496401324793,0.6297164146284614,0.09913398546257761,-0.46678316648594925,-0.20191697149179488,1.0,0.7416557817488831,0.6191506210434565
Precuneus_L,0.25042227345794793,0.5107480791044716,0.1853523142176519,0.27798353259138614,-0.29014974755757034,-0.09666008508998533,0.860576410739669,0.6193764103761233,-0.36784680897517374,0.29579705187801075,-0.45328133263101555,0.3677096453820401,0.49435392554081375,0.8432270849531233,0.2824178836464901,0.05359177861030623,0.3719346728251106,0.06621457456392299,0.1658447978482884,0.6800774361467139,-0.12564828175849013,-0.20568916500791318,0.30524820639728545,0.8244298119751503,0.31273038524056157,-0.1682567519386687,-0.002244797886989838,0.7416557817488831,1.0,0.8703664947732345
SupraMarginal_R,0.2475496688102657,0.6031797240235977,0.2320227427062667,0.4197752752142402,-0.3698699135479606,-0.03274704109258228,0.7782393878696363,0.49888847003395664,-0.2547573493657903,0.40370765016123716,-0.35200573215985786,0.5587482187673924,0.6211326502712862,0.8322525124968041,0.41475490765007805,0.09511414585331397,0.3361353706898465,0.16863416427094247,0.28968946994763484,0.5457153429296896,-0.22237259236532747,-0.09101713869547406,0.4465909154172121,0.6962581314970747,0.22802610367177514,-0.010199915416209005,0.16536785780600305,0.6191506210434565,0.8703664947732345,1.0
