,Thal_Re_L,Frontal_Inf_Orb_2_L,Temporal_Mid_L,OFCmed_L,Frontal_Mid_2_R,Frontal_Sup_2_R,ACC_pre_R,Vermis_1_2,Caudate_L,Thal_VPL_L,Olfactory_R,Temporal_Sup_L,Postcentral_R,ACC_sup_R,Cerebellum_4_5_R,Raphe_D,Hippocampus_R,Red_N_R,Cerebellum_4_5_L,Thal_LP_L,SN_pr_L,Thal_VPL_R,Thal_PuA_R,Rolandic_Oper_R,Vermis_8,Frontal_Med_Orb_R,Postcentral_L,Frontal_Sup_Medial_R,Thal_VA_R,Cerebellum_Crus1_R,Pallidum_R,Cingulate_Mid_L,ParaHippocampal_R,Thal_PuL_R,ACC_sub_L,Thal_AV_R,Precentral_L,Thal_IL_R,Frontal_Med_Orb_L,Heschl_R,Cerebellum_3_R,VTA_R,Raphe_M,Parietal_Sup_L,Cerebellum_Crus1_L,SN_pc_L,Insula_R,SN_pr_R,Cingulate_Post_L,OFCpost_R,Rectus_L,Frontal_Inf_Tri_L,Supp_Motor_Area_R,Vermis_6,Caudate_R,Cerebellum_Crus2_R,Cuneus_L,Cerebellum_7b_R,N_Acc_L,Olfactory_L,ACC_pre_L,Occipital_Sup_L,Red_N_L,Thal_IL_L,Cerebellum_3_L,Frontal_Inf_Tri_R,Parietal_Inf_R,Frontal_Sup_2_L,OFCant_L,Cuneus_R
Thal_Re_L,1.0,0.3576083167647602,0.051160711220594915,0.21548509451504563,0.3907685627803576,0.3157568024629778,0.563042682508249,0.20608071186978222,0.47995216193987184,-0.12443621722291334,0.23688790506697377,-0.10238178102591133,0.3244774246625683,0.5037898050243148,-0.24161230446866674,-0.07089290616260384,0.33555055637210346,-0.21905928123162693,-0.22651869673893354,-0.07491141313124448,0.3190796796173425,-0.24585171987368787,0.5824597168994223,0.2071568731116716,-0.11364347870542674,-0.011814453814168785,0.09966888737964268,0.41420568780175293,0.3552309222928182,-0.23483398255188506,0.6523572850114036,0.0882965269391553,0.3029695717700104,0.3157565884374948,0.07273140473189138,0.38527541395621007,0.021040340503172987,-0.09569366530683791,-0.15851132401310356,-0.24352376817521185,-0.05179019602179389,0.17831907102223504,0.07131950448750922,0.12796848201419964,-0.1921453530806252,-0.007662109274839914,0.153762161447061,0.6786232026453557,-0.003014305759443855,0.5064091672797116,0.647464512604184,0.323061621293398,0.14345936107793117,-0.2988528736934711,0.35477683434366974,-0.4681176600719399,0.0020573090834514695,-0.2578947443821962,0.46805764603180333,0.21944807575887973,0.412783006650753,-0.04320637022847675,0.06120390172682699,0.22270241553888948,-0.22116102335117813,0.3613640366339954,0.2697369306319018,0.2895122111844422,0.13636249884065182,0.061773351513227555
Frontal_Inf_Orb_2_L,0.3576083167647602,1.0,0.41161520200558316,0.5313921563314076,0.5523490010006146,0.35370967074505416,0.5706498704461546,0.5850815904911557,0.690065881210357,0.08650348115601422,0.39493937629920084,0.34924208344056346,0.15376869072573465,0.29959160216803027,0.2713162514420918,0.39093610758244784,0.626469286359395,0.01847589498600977,0.41249722982402054,0.4477692972691668,0.6527028700512835,-0.12953440951720085,0.2801073005982834,0.5265402288562046,0.21026714227537896,0.40525478670875303,-0.10972653990515359,0.4818925212390524,0.6184958699760601,-0.05781567931715634,0.5942677190224166,0.30911319573488527,0.7011183808639622,0.4164503132171654,0.6598473672600826,0.2629024503091305,-0.1367655861262303,-0.2846250597484798,0.3660827175732399,0.4280567391691004,0.09318145095191549,0.6972176694251685,0.396896080769418,-0.21483243337717808,0.09854184296034418,0.5433860993472046,0.7591545157841415,0.4427418066575419,0.29331190370704363,0.5861054092807445,0.33934961216996795,0.6864659884956424,0.0256021463345709,-0.06427952261976215,0.5362753690546925,-0.06550861009079353,-0.09232237454777638,-0.21750975239270284,0.7809730118983526,0.5338814121348614,0.6167333514315325,-0.03012805492344077,0.11128368788026033,0.1717552739434132,0.30345682783016387,0.6284911024063428,-0.13171027718303613,0.5921981216051733,0.5447328378057551,-0.15435690494581464
Temporal_Mid_L,0.051160711220594915,0.41161520200558316,1.0,-0.16373486410098687,0.5734194681542901,0.5832971315004593,0.21321928868710371,0.3586413313474399,0.6113414940538978,0.3969653912777293,0.15026357434013252,0.6810419499364435,0.532787676983597,0.271210190393509,0.4441042084935707,-0.0853778743744464,0.270714244137496,0.3564945845531647,0.4752010097433365,-0.16277529218019665,0.331587187649437,0.5603364038031488,-0.18739422681692322,0.47684141913074823,0.10964802372985163,-0.10932150461443212,0.3620587074923181,0.1677488555708433,-0.10588569341529337,0.1747766705795284,-0.03606774471410688,0.590279309864683,0.2996759677974596,-0.25310715247916277,0.25494875513315896,0.4207551591149682,0.23246618013520504,0.4744860313902092,0.01088524932031326,0.31375579426101746,0.47090248644681443,0.16127872988614533,0.16185056848910565,0.1960572660477082,0.5921279067742634,0.38828783222745844,0.4557228915229598,0.2656652286288216,0.5468669467016217,0.2998764030349961,-0.10361400274235763,0.6112001003808573,0.43902226559371993,0.4403131732326753,0.0029470594850728934,0.01616931135044873,0.5598464053552292,0.3089153551884935,0.3462788019942418,0.4722870281813507,-0.005489145581825034,0.09891551375090521,0.3870109356569693,0.49215226841677495,0.4463272320102187,0.11420413100802575,0.3801577534433639,0.47488645938255586,-0.03585139543673298,0.4347990713973211
OFCmed_L,0.21548509451504563,0.5313921563314076,-0.16373486410098687,1.0,-0.0037621543370518974,-0.14583164483942096,0.27539159473047264,0.31591456748883306,0.23162158222030274,-0.3122490851588681,0.2676788695062591,-0.08203966767816492,-0.3315912920722205,-0.07463625282371586,-0.040514138450792034,0.44518149123128054,0.48350646891621085,-0.19619131167178092,0.15250563653096003,0.5440523231692415,0.5159766516280662,-0.4875375129578812,0.3523801709944061,0.04228916266092994,0.17393275926436627,0.7031548319852478,-0.3831242874130396,0.2704719315478866,0.7133246177183118,-0.052087321890609564,0.45644605292099416,-0.09013308589557394,0.4961894607135488,0.5862056902880376,0.5385490541548354,-0.05771767883383208,-0.38690903378186525,-0.5345121029040325,0.5560875388215286,0.26708718173094037,-0.26683090035323276,0.5209101007798221,0.366584220555961,-0.2517015670719538,-0.4043652123866775,0.3080257748527903,0.3541564086103647,0.21426144588434756,-0.014269799006851757,0.44271378742127293,0.5643251888846468,0.12289410318867013,-0.32334200476242664,-0.31082445346854454,0.49448364922014737,-0.14031542893482093,-0.4751030631732869,-0.5011345524544103,0.49319453961101656,0.09689797669028513,0.62624914753028,-0.2929148568629262,-0.07004164121643798,-0.11730301633672494,0.04406622257720292,0.3592088451560537,-0.3532963545237225,0.22987316086486617,0.8409294943672831,-0.5333032487748822
Frontal_Mid_2_R,0.3907685627803576,0.5523490010006146,0.5734194681542901,-0.0037621543370518974,1.0,0.8803167717908492,0.6325474381246662,0.3246189685445069,0.717777640710238,0.42073222233563007,0.4746921051245586,0.5709396388644714,0.7434417702194235,0.6706350295825776,0.2420444746805987,0.2468772023845238,0.485456971330478,0.3510173720559177,0.24022807460075296,-0.06453194649734022,0.43411155827168285,0.32514768435830155,0.25955234275178446,0.8165163181838365,0.06813635573726536,-0.1346020764742278,0.41240102815810226,0.7105524267572227,0.12630039697972592,0.27561701648487935,0.5007112083557086,0.7401279238551828,0.3736628277497522,-0.010777105514012127,0.2064818371618755,0.3545174642048043,0.4164272961188604,0.274908418298658,-0.11548653384326969,0.3976699083289269,0.4536809123719809,0.30701100109552204,0.22233501178024975,0.14156249014851904,0.3640284463987703,0.3314318131384082,0.6589857908955425,0.48995460856056133,0.557038077687225,0.43260241783619796,0.18640023959963098,0.7790813343372649,0.5898207663873689,0.2780590474846376,0.46317929227290683,0.08826418801620184,0.3943089134650165,0.2954891494042737,0.42503731159347974,0.6888097228201442,0.29817643659416854,0.09782684907809186,0.5453271043635739,0.404834095412146,0.15885199323453997,0.6746585323916513,0.33039252863279184,0.7733091355434571,0.05325497034483238,0.40973015703859317
Frontal_Sup_2_R,0.3157568024629778,0.35370967074505416,0.5832971315004593,-0.14583164483942096,0.8803167717908492,1.0,0.5741379113543706,0.22282523484417832,0.6195084854567077,0.3523135587523896,0.3349034267273638,0.6678926859184218,0.7783478400943823,0.7181276843556376,0.296118141515296,0.06902942237317482,0.3010271524197623,0.360687266239554,0.24242783275297625,-0.33388881806056314,0.27359445188525927,0.37707104544029835,0.17849897965844064,0.7293140985994688,0.05814394898101333,-0.24323867706673638,0.6687796826316923,0.5051930154918617,-0.1131615916300925,0.3819637279406398,0.2494480833012136,0.8525857840493593,0.19682038643345606,-0.20409573523670502,0.036403061356297256,0.4096314887162429,0.669091950467581,0.41399314802436776,-0.18315044823061344,0.26561722097384066,0.5718859102302347,0.08336698004749017,0.08803485477919397,0.29869515084128323,0.31085378810911624,0.22179328848863822,0.428142332890357,0.5052253487697836,0.6503723887496361,0.2898792946055884,0.15564582441625435,0.7423466015892234,0.8395338692765987,0.46459164004190684,0.17958025733669905,0.06382699542435173,0.47441723210552567,0.39200015121654724,0.2079143766414667,0.5894685830892095,0.16682813171658523,0.01851035218032238,0.5823163613016915,0.39504740736056543,0.21821962665035644,0.40962411158730794,0.45551423907826527,0.7895197413625741,-0.07215857762994758,0.47330676561942653
ACC_pre_R,0.563042682508249,0.5706498704461546,0.21321928868710371,0.27539159473047264,0.6325474381246662,0.5741379113543706,1.0,0.4541469450808997,0.6660000711795703,-0.03760875937695188,0.44912451539632325,0.3571613162192413,0.2926011582406454,0.7562663638070374,0.1965876571939116,0.12048905814839286,0.630375755371732,-0.2143515095709982,0.18823483948268177,0.14516755590850575,0.33683807975398766,-0.1361288954993075,0.5923977435632769,0.6168006922630419,0.2848903819600785,0.22935941666106646,0.13321976292119853,0.6014089435660763,0.5126086834329244,0.13519636622905842,0.5883555926493822,0.37579766838403916,0.4598939636832462,0.4036968540524505,0.3720394498079364,0.5023280277033043,0.1366312327156706,-0.00993228638128716,0.13517406367931104,0.30043748261035313,0.15082933092047365,0.4657322873584057,0.3385527106106891,-0.20666198609449457,0.055353093157902176,0.2672219428556875,0.5448337164446525,0.5655764287790918,0.3870970030981176,0.39548146682943136,0.5557127583859087,0.6675528566015553,0.3414096174593147,-0.05386279844921642,0.5752223793613437,0.023625852684183622,-0.1680184283933941,-0.09883282666090525,0.46388285801305146,0.47533496732583935,0.7742953414850481,0.09300074491970611,0.13947031752785996,0.4159755141496789,0.11325329356357274,0.6948156389750438,-0.04194646956054515,0.7428660145688958,0.3525063928750079,-0.010319851408709137
Vermis_1_2,0.20608071186978222,0.5850815904911557,0.3586413313474399,0.31591456748883306,0.3246189685445069,0.22282523484417832,0.4541469450808997,1.0,0.5442557831393824,0.03275128147391512,0.31410845297685874,0.213103671811306,0.09520648352508056,0.30514217410320404,0.44474095135803055,0.11216770523864339,0.6394957642445527,-0.03979782166972282,0.5243856890609314,0.3301384367494831,0.4881033584676538,0.008086206826983999,0.23667917341810718,0.32724754410699913,0.3917814937464014,0.3093861536876828,-0.19277564396526126,0.25408968692148254,0.5922094559742057,0.012052910700791687,0.2986771931022968,0.16077436238691425,0.6172818040786459,0.3556491008930885,0.4570893173187235,0.5516707518498908,-0.20642185738685395,-0.029631676067425547,0.24748833162451647,0.3504462541482541,0.24561490542286052,0.5607645956470856,0.6552286134112435,-0.26561477462789895,0.3383108147891742,0.6808493163110614,0.4889321231676725,0.26510393117674713,0.26058264773306206,0.24276259062527253,0.2872937187067152,0.39750411729020874,0.0015812862989975274,0.052272133088754565,0.42131037643363695,0.0763702124895163,-0.15594479062178548,-0.046087086934321245,0.43380222720426975,0.2787529953177777,0.48664499280214374,0.24656003642670007,0.10870924351439806,0.4687006227560167,0.4660032352809133,0.43998544106547804,-0.20236881860910813,0.3891392441542191,0.3195540651524833,-0.08454549874955415
Caudate_L,0.47995216193987184,0.690065881210357,0.6113414940538978,0.23162158222030274,0.717777640710238,0.6195084854567077,0.6660000711795703,0.5442557831393824,1.0,0.38353057191402035,0.5362108664523377,0.4104297401037903,0.49567617452672974,0.45732839237153877,0.14097376862865668,0.16320790432202653,0.6365261297448961,0.15098001602729924,0.22172840607061706,0.1432432356136987,0.5213338386900104,0.2775119028849744,0.34279655972695516,0.5654052765890802,0.04987108089593626,0.24108299703920452,0.19290708412339844,0.624948607348746,0.4324700792185112,0.015336434898833413,0.5734939954623463,0.49026759444645307,0.46044975848009617,0.22436057459936434,0.5116616943374726,0.5558159581363376,0.06482675155354595,0.21342817427813535,0.26614007257967404,0.36792041662062425,0.3339705399066869,0.4682653062919986,0.43946549272251817,0.031051841795551444,0.2285628075927767,0.4664419778423612,0.7022414000084353,0.4406569093629334,0.40583320128463674,0.5173009956278414,0.39983881347183736,0.7219319177649693,0.23288363102333184,0.0417698856293218,0.6206292059747602,-0.07534076518184536,0.23094944686951335,0.0869499970554288,0.7096294944745147,0.6512931350187556,0.5070635282990337,-0.003771448091205334,0.34327594888987367,0.6379692900619607,0.15079399129422197,0.5620449320671776,0.20864385585413292,0.7367847860802904,0.2763814188741769,0.20985844127551853
Thal_VPL_L,-0.12443621722291334,0.08650348115601422,0.3969653912777293,-0.3122490851588681,0.42073222233563007,0.3523135587523896,-0.03760875937695188,0.03275128147391512,0.38353057191402035,1.0,0.3246482028568891,0.23811629668930476,0.5803074712007449,0.07737627330658568,-0.06112224824528648,0.1666037639642523,0.0017135736734464806,0.7150455564763879,0.00797240725603259,-0.21346930276232262,0.08272069358042433,0.8068700224662246,-0.2866317757682083,0.27760859343040384,-0.4449377665324599,-0.2959999854007212,0.47799025669073214,0.2809167204847081,-0.2842270979070747,-0.050449178656809375,0.06325941240294126,0.35085039163523396,-0.16347308233842872,-0.44924804159725523,-0.022350713621411836,0.029135132876302414,0.3739012781451488,0.4728973498466583,-0.13376728109430502,0.23368678287207809,0.6159062873929639,-0.0934217965681406,-0.005804549489343052,0.332800043498315,0.1763127913675272,0.08513781690490917,0.3293990556491439,-0.2294274295850138,0.15722214920189947,-0.001207772737028509,-0.38323631493930194,0.23364773201150058,0.15964714721301987,0.2773302250130693,0.12765146769614943,0.11085751412497556,0.6512087822171634,0.598855748208026,0.014251154680219627,0.4639481341682209,-0.2406415853454856,0.0006383052053076121,0.3802216546126912,0.40696404510397,-0.028681337560982317,0.10690951642781776,0.43974518202936586,0.16476586739438287,-0.3519988712928974,0.5143499443186023
