,Rolandic_Oper_L,Thal_MDm_L,Thal_IL_R,Occipital_Inf_L,Frontal_Inf_Oper_L,Thal_MGN_L,Thal_VPL_L,Parietal_Sup_L,Frontal_Sup_2_L,OFCmed_R,Thal_PuA_R,Temporal_Pole_Mid_R,Heschl_L,Cerebellum_8_L,OFCant_L,Thal_MDl_L,Postcentral_L,Vermis_1_2,ACC_sup_R,Cerebellum_Crus2_R,Thal_PuM_R,Cingulate_Mid_R,Cerebellum_Crus1_L,Vermis_3,Caudate_R,Lingual_L,Cerebellum_10_R,Frontal_Med_Orb_L,N_Acc_L,Temporal_Pole_Sup_R,Thal_VA_R,SN_pc_R,Thal_IL_L,Vermis_4_5,Thal_LP_R,OFCpost_R,OFClat_L,Frontal_Sup_Medial_R,Cerebellum_6_L,Temporal_Pole_Sup_L,Olfactory_R,Frontal_Sup_Medial_L,Cerebellum_9_L,Vermis_8,Cuneus_L
Rolandic_Oper_L,1.0,-0.20805739647173782,-0.030843833376879643,0.26033404933426607,0.6838647860420887,0.15445874951847777,-0.037260170797803235,-0.3171367685723302,0.6346269909989851,0.29125277284542367,0.19269313171952662,0.05501572682454305,0.7873535084665362,0.3795194015372328,0.4206514945517231,-0.02357786337140639,-0.06292540350324421,0.6088336361111514,0.3569934019623556,0.20589004335208821,0.285502853000384,0.5780152036281594,0.45122199099466365,0.3402485450545261,0.3649946951562246,0.303525171019974,0.3773570850466712,0.38620583546677734,0.5392136424789357,0.3490577585739868,0.4745648608402005,0.1692527047637538,0.3359906488493262,0.6525936058125337,0.175342032001428,0.27067702815967326,0.5381484997142717,0.23381031654396744,0.6223715823649644,0.6937296514401009,0.16766178884863658,0.5162061420877434,0.4511673831191697,0.5888086091268901,-0.1195477402998823
Thal_MDm_L,-0.20805739647173782,1.0,0.8288945578274874,0.2999807197217486,0.0073710917665056235,0.6276909727550041,0.592911720811305,0.4556405735179386,0.13047457235826243,-0.5256859479147469,0.03208598948454611,0.23989229231147402,-0.20200589294882798,0.3688269461781836,-0.5820045040410577,0.8064284458472255,0.5954199914565489,-0.059048735485410016,0.39384940443369393,0.06865715053646766,-0.22980841284459835,0.0696126168284473,0.2565316082871017,0.26723915478540783,0.007551324147812445,0.3992868529393871,0.0030015699143924523,-0.45520508230302037,-0.20047757859114063,-0.22253736920707076,-0.4374118747074271,0.06177778535976861,0.6163760661360712,-0.15331418223362012,-0.08096652702286261,0.05161641764044834,-0.7464692268477295,0.33863150124635055,0.06847478894058792,-0.18698205871714804,0.39428160259603307,0.30802691697397006,0.39969893701101256,-0.37256558468467005,0.695998128272227
Thal_IL_R,-0.030843833376879643,0.8288945578274874,1.0,0.4309259330753095,0.1364227536495634,0.5634976423753035,0.4728973498466583,0.34748430521307583,0.1515649577787943,-0.5808655404312512,-0.10385446245379736,0.4043714755012507,0.04780819607157452,0.41025784097551327,-0.5092507173434963,0.6014625393121705,0.5056945918936864,-0.029631676067425547,0.22630990237821408,0.22219763109403176,-0.416906852737214,0.15699664960465148,0.4895899332551855,0.38326537343932515,-0.09214480270519333,0.5566917323128048,-0.18077168032613605,-0.2722967324359971,-0.25296592062046785,-0.22242452512104238,-0.47628112807354694,-0.06986026198303845,0.6686342240672991,-0.0003619547577717009,-0.24565256806967523,-0.11629222051459544,-0.6539588991976488,0.1534355046698359,0.2484863446249839,-0.13928068255189,0.24826860888229066,0.2531453177370907,0.3592585631430761,-0.15202567862554445,0.6447264670486822
Occipital_Inf_L,0.26033404933426607,0.2999807197217486,0.4309259330753095,1.0,0.2453091477044618,0.3024310887742168,0.4115086472441718,-0.12413303724059795,0.1170256257338825,-0.46146390298118184,-0.31869319618755837,0.2962965896481183,0.16466449075038986,0.49117242618809537,-0.291951339115203,0.384918731971065,0.017227656384986346,0.2660157545591718,-0.006476277180787211,0.445760601989706,-0.15092100234310793,0.22279366726690178,0.5695300973437722,0.3645436194569571,0.024010770726318693,0.47802700347572075,-0.2464204739736451,0.021817925336987943,-0.09508378806364372,-0.10455583347053683,-0.14160955840344855,-0.05613230603031474,0.3929042042721134,0.29677733152322877,0.00865017116716899,-0.27783292421789674,-0.2336213115263756,0.05277642398240639,0.5239391343904269,0.06743416725185905,0.17937642168289258,0.21275096155216133,0.2590187328036542,0.17171744263014985,0.22235264929065116
Frontal_Inf_Oper_L,0.6838647860420887,0.0073710917665056235,0.1364227536495634,0.2453091477044618,1.0,0.08111031632456789,0.22353768062277704,0.07094083529137758,0.6651784843996731,0.11835076706663311,-0.030718034993423134,-0.03700010249861911,0.4110281231067177,0.2342745138299744,0.1020048008598915,0.08990294356198043,0.515439796631007,0.2340443197945714,0.46744807469857,0.21330354283845615,0.009496260029140027,0.6792755314308873,0.2947113162092513,0.6102527673831941,-0.01718504396839729,0.49042537376834505,0.054717791437380404,0.054884276668591025,0.20039775467170443,0.0016405976228542533,-0.04413273215553118,0.3129875875791127,0.17304940378789596,0.6727012168986455,0.09061483620985211,0.15751553317614447,0.30406850132227714,0.1061676932803391,0.48714647605601485,0.3362527111778911,0.07709292118752827,0.7059925906877457,0.3258950026761106,0.312668770211887,0.23675118883011162
Thal_MGN_L,0.15445874951847777,0.6276909727550041,0.5634976423753035,0.3024310887742168,0.08111031632456789,1.0,0.6008920660245631,0.208855466932622,0.26827104372922894,-0.25002819656311753,0.1311824031176491,0.15224739957243646,0.021502468174480923,0.344502008945779,-0.23636623053239625,0.699870740205806,0.3138995972975857,0.37259799343601696,0.28227560701933285,-0.030825274397675,0.030281329155072843,0.15593592139408535,0.24911548950754486,0.2670702928587833,0.289843172845368,0.3203587931358276,0.2163714855525323,-0.05325860815874226,0.1755555633107052,-0.023778574286293246,0.010517614039667594,-0.08744015119462552,0.7445736564409212,0.05771026743846798,0.15197117355274128,0.00931328751545293,-0.343555760520561,0.34589534476640466,0.2596621404689839,0.12837916337805902,0.3820436128181046,0.29099755601951377,0.4569017160066364,-0.20209084400629346,0.45001721454415405
Thal_VPL_L,-0.037260170797803235,0.592911720811305,0.4728973498466583,0.4115086472441718,0.22353768062277704,0.6008920660245631,1.0,0.332800043498315,0.16476586739438287,-0.16808029185169449,-0.2866317757682083,-0.036576458359835994,-0.38668690503482267,0.41141758160418423,-0.3519988712928974,0.768303790873798,0.47799025669073214,0.03275128147391512,0.07737627330658568,0.11085751412497556,0.0364971605831219,0.14927510743569558,0.1763127913675272,0.41629670597376217,0.12765146769614943,0.488708705687788,-0.11748587373819021,-0.13376728109430502,0.014251154680219627,-0.2519527981645048,-0.2842270979070747,0.2210262300058737,0.40696404510397,0.14748236542137166,0.20407944254135485,-0.001207772737028509,-0.24730978757156916,0.2809167204847081,0.31732827820306614,0.013788587641259592,0.3246482028568891,0.3287794281033088,0.3694683222148075,-0.4449377665324599,0.6512087822171634
Parietal_Sup_L,-0.3171367685723302,0.4556405735179386,0.34748430521307583,-0.12413303724059795,0.07094083529137758,0.208855466932622,0.332800043498315,1.0,-0.0798503388948207,-0.17059717093117274,-0.3091430632788432,-0.2598744168991545,-0.3451750999126487,-0.19930808236570682,-0.320370031226054,0.31259830393956456,0.6297164146284614,-0.26561477462789895,0.07046867520740566,-0.475331665228332,-0.4164422119523477,-0.1999685074859643,-0.18701756422052204,0.03419716458733287,-0.3546341084927894,0.19318819666104825,-0.20191697149179488,-0.298772371171438,-0.17886794120393384,-0.5966617282849812,-0.5841417518375802,0.10389712792318995,0.04479074834121973,-0.2567514041489656,-0.21980191345490416,0.07222378269527559,-0.3524246944829428,-0.014372255438384147,-0.21833066223973469,-0.18968169832102144,-0.09150742620818927,0.017139763683098677,-0.10952898049374571,-0.677077872623244,0.6724692915596818
Frontal_Sup_2_L,0.6346269909989851,0.13047457235826243,0.1515649577787943,0.1170256257338825,0.6651784843996731,0.26827104372922894,0.16476586739438287,-0.0798503388948207,1.0,0.14937542672170126,0.36457973007675093,0.20085663716008426,0.37510044785682356,0.3987994423818936,0.3970521484593165,0.23431264443614022,0.316811105485321,0.3891392441542191,0.5568121584612752,0.24103445215260116,0.3762904959330274,0.759570277481653,0.24298380209142542,0.528029781380274,0.5438391835047164,0.3083805387168177,0.4250074117815641,0.31185093624298493,0.48636267435488256,0.4218245784691868,0.35010179524163937,0.4193728579427557,0.39154249859176116,0.5054844221653741,0.37322223575326124,0.32315522680064346,0.29737235807805346,0.6456781221776033,0.3951690736500101,0.4843755968965892,0.5095354888514524,0.855945288809526,0.6331407035795221,0.25717176213539217,0.08182568013357748
OFCmed_R,0.29125277284542367,-0.5256859479147469,-0.5808655404312512,-0.46146390298118184,0.11835076706663311,-0.25002819656311753,-0.16808029185169449,-0.17059717093117274,0.14937542672170126,1.0,0.26630254175009266,-0.43717448864273534,0.11283807857753864,-0.08130690728387102,0.4843036398105249,-0.3683253645554035,-0.23366795414194813,-0.02686596695002031,-0.011783821246139612,-0.25547045804582996,0.4811453926866288,0.05785403612247827,-0.24902453827437593,-0.1924918269937801,0.2941391904422281,-0.24482474976368915,0.47120352234317237,0.25192784273157043,0.5727813896821354,0.25611560422975904,0.4336524025481445,0.28436625003604116,-0.3170631482267347,0.090649712824451,0.29109790346282854,0.39131038155950176,0.7303378224157868,0.13220316785421432,-0.026640544117019063,0.41077223069721513,-0.14478689385600535,0.11932352053240614,0.08401343548915916,0.1244433472664539,-0.20506020823816898
