,Precuneus_R,Frontal_Inf_Orb_2_R,Caudate_L,Thal_LGN_R,ACC_pre_R,Supp_Motor_Area_L,ParaHippocampal_L,N_Acc_R,Putamen_R,Parietal_Inf_L,Cingulate_Mid_L,Calcarine_L,Thal_AV_R,Amygdala_R,Thal_PuA_L
Precuneus_R,1.0,-0.20272398642366898,0.28162140534474445,0.4948755767150311,0.0680555532692191,0.5866423106252127,-0.027936458594658764,-0.2689790020867469,0.05975940421486865,0.8179182798280906,0.742792817365406,0.8243416907382706,0.14816711399663465,0.054831927463221374,0.5930694877815071
Frontal_Inf_Orb_2_R,-0.20272398642366898,1.0,0.5636450323661077,-0.14192841010760376,0.5820505262791171,-0.13944942588063278,0.7284178064799053,0.8181889356295047,0.6632957643321307,-0.4284898021752574,0.0764729658544212,-0.21439291058796037,0.12879626611785808,0.6329423006178293,-0.3488213583130765
Caudate_L,0.28162140534474445,0.5636450323661077,1.0,0.24781156515485664,0.6660000711795703,0.15770794728419257,0.760770214404273,0.34994360077666836,0.6769422163016917,0.0322684462961351,0.49026759444645307,0.3241121498078964,0.5558159581363376,0.5249157352748222,0.10940892767270491
Thal_LGN_R,0.4948755767150311,-0.14192841010760376,0.24781156515485664,1.0,0.21431326217418598,0.44568859517073156,0.006616565061762794,-0.1248216121362724,-0.11605422851109698,0.5166093713360668,0.3156186457233191,0.5513376385661004,0.3771596287143722,-0.14067426672470296,0.7343991987889567
ACC_pre_R,0.0680555532692191,0.5820505262791171,0.6660000711795703,0.21431326217418598,1.0,0.33109504602055495,0.579598889112888,0.5092568990648201,0.6148124222716682,-0.04129204244189503,0.37579766838403916,-0.03175192141808115,0.5023280277033043,0.3744578159647802,-0.15582497219124247
Supp_Motor_Area_L,0.5866423106252127,-0.13944942588063278,0.15770794728419257,0.44568859517073156,0.33109504602055495,1.0,-0.03672956478354658,-0.08601331694471018,0.19268820536817474,0.6671083643316639,0.7093193493351367,0.5456237904659775,0.10735738148436508,0.21057272669796423,0.43985200956037895
ParaHippocampal_L,-0.027936458594658764,0.7284178064799053,0.760770214404273,0.006616565061762794,0.579598889112888,-0.03672956478354658,1.0,0.5568452392099614,0.74406127351889,-0.2951142916528374,0.21996616244302775,0.027116174713612492,0.38330828393429994,0.7041606562370556,-0.20036354480380386
N_Acc_R,-0.2689790020867469,0.8181889356295047,0.34994360077666836,-0.1248216121362724,0.5092568990648201,-0.08601331694471018,0.5568452392099614,1.0,0.5236352544414707,-0.44761515297255805,-0.028702940060007513,-0.3172211097015435,0.01652020811763738,0.5379308198349954,-0.3338967475872121
Putamen_R,0.05975940421486865,0.6632957643321307,0.6769422163016917,-0.11605422851109698,0.6148124222716682,0.19268820536817474,0.74406127351889,0.5236352544414707,1.0,-0.16819879365966817,0.43212561940149735,0.05009513200065544,0.22305873554267658,0.6751767591774444,-0.2548096819348309
Parietal_Inf_L,0.8179182798280906,-0.4284898021752574,0.0322684462961351,0.5166093713360668,-0.04129204244189503,0.6671083643316639,-0.2951142916528374,-0.44761515297255805,-0.16819879365966817,1.0,0.5084467509628477,0.7335388668316937,0.043087829555214674,-0.168970539493206,0.7159103376715946
Cingulate_Mid_L,0.742792817365406,0.0764729658544212,0.49026759444645307,0.3156186457233191,0.37579766838403916,0.7093193493351367,0.21996616244302775,-0.028702940060007513,0.43212561940149735,0.5084467509628477,1.0,0.6599972027769011,0.2804610895779253,0.3231568104358498,0.2948683953885854
Calcarine_L,0.8243416907382706,-0.21439291058796037,0.3241121498078964,0.5513376385661004,-0.03175192141808115,0.5456237904659775,0.027116174713612492,-0.3172211097015435,0.05009513200065544,0.7335388668316937,0.6599972027769011,1.0,0.07524380486975717,0.11671401475965398,0.770565375819498
Thal_AV_R,0.14816711399663465,0.12879626611785808,0.5558159581363376,0.3771596287143722,0.5023280277033043,0.10735738148436508,0.38330828393429994,0.01652020811763738,0.22305873554267658,0.043087829555214674,0.2804610895779253,0.07524380486975717,1.0,0.02041687238529718,0.06570062988213356
Amygdala_R,0.054831927463221374,0.6329423006178293,0.5249157352748222,-0.14067426672470296,0.3744578159647802,0.21057272669796423,0.7041606562370556,0.5379308198349954,0.6751767591774444,-0.168970539493206,0.3231568104358498,0.11671401475965398,0.02041687238529718,1.0,-0.13464293439275682
Thal_PuA_L,0.5930694877815071,-0.3488213583130765,0.10940892767270491,0.7343991987889567,-0.15582497219124247,0.43985200956037895,-0.20036354480380386,-0.3338967475872121,-0.2548096819348309,0.7159103376715946,0.2948683953885854,0.770565375819498,0.06570062988213356,-0.13464293439275682,1.0
