,ParaHippocampal_R,Thal_MGN_L,Occipital_Sup_L,Paracentral_Lobule_R,Thal_PuI_L,Putamen_R,Frontal_Sup_Medial_R,Temporal_Mid_L,SN_pc_R,Vermis_1_2,Thal_PuM_L,Supp_Motor_Area_L,Cerebellum_Crus1_R,Temporal_Pole_Mid_R,Precuneus_R,ACC_pre_R,Vermis_9,Postcentral_R,Thal_PuI_R,Cerebellum_10_R,Cerebellum_Crus2_L,Fusiform_R,Rolandic_Oper_L,Raphe_D,Rolandic_Oper_R,Precuneus_L,ACC_sup_L,Hippocampus_L,Thal_VL_R,Insula_L,OFClat_L,Cerebellum_6_L,Red_N_R,ACC_sup_R,OFClat_R,Frontal_Med_Orb_L,Thal_MDl_R,Cerebellum_7b_R,Olfactory_L,SN_pr_R,Cerebellum_8_R,Thal_LP_R,Parietal_Inf_R,Cerebellum_10_L,Temporal_Pole_Sup_L,Cingulate_Post_L,Temporal_Sup_R,Thal_MDm_L,Precentral_L,Angular_L,Thal_VPL_L,Occipital_Mid_L,Cerebellum_3_R,Occipital_Inf_L,Caudate_L
ParaHippocampal_R,1.0,-0.027738643612398937,0.053756906392906006,-0.2743447816161586,-0.2409802296553806,0.6925024834288055,0.26904518784051534,0.2996759677974596,0.2561865542328144,0.6172818040786459,0.27872663441369894,0.061344234717421765,0.15455679222572713,-0.09361399768633626,-0.1487459198496643,0.4598939636832462,-0.027138073225191475,-0.03951845584636117,0.4780725917606432,0.5721332282544904,0.25696605479232437,0.43129180220462426,0.6062475577970592,0.436329655890766,0.456617698693134,-0.1934948961225783,0.4316359854328354,0.5904836421944339,0.16396732829631544,0.41816713302265085,0.5925654316285727,0.46669437767554717,-0.13467802893425668,0.2674626241181515,0.40221167997794754,0.20810660124212485,-0.33276170303937297,-0.24043070281287504,0.3380368241431844,0.42213194170346385,0.29745150724582986,0.4018922316870266,-0.3395857975846919,0.5757853920745658,0.7567782577689933,0.3938655543750353,0.4282804298523673,-0.3252169208849466,-0.16028894862405382,-0.43218345759868326,-0.16347308233842872,-0.34670379883910396,0.05545617050728125,-0.07680071934677235,0.46044975848009617
Thal_MGN_L,-0.027738643612398937,1.0,0.11807752607458451,0.3701157455726098,0.5073257146224294,0.12492108168155634,0.34589534476640466,0.415175262481541,-0.08744015119462552,0.37259799343601696,0.40657052222243256,0.09579796396106949,-0.022830410524290447,0.15224739957243646,0.3569427330700342,0.26061332122802205,0.4465498763478839,0.5112799740745912,-0.0681863446928684,0.2163714855525323,0.11965958217524132,0.4397209915328183,0.15445874951847777,-0.16606215510057634,0.19842881984729668,0.4166376587809182,0.21725977727280982,0.3385971308873693,0.7978190275068212,0.3944507432797997,-0.343555760520561,0.2596621404689839,0.26651958491167427,0.28227560701933285,-0.37209849761448854,-0.05325860815874226,0.3626087586182165,0.39249214155424866,0.35965043928172563,0.06224221609830331,0.2402322554088601,0.15197117355274128,0.4070698170115929,0.22737962480018986,0.12837916337805902,0.2062943554068307,0.31064813735110414,0.6276909727550041,0.15915530186478577,0.3543864022653381,0.6008920660245631,0.14368529621659515,0.4853878826789005,0.3024310887742168,0.5753794079646323
Occipital_Sup_L,0.053756906392906006,0.11807752607458451,1.0,-0.2083721400118866,0.07302859760011038,-0.06881440788144853,0.016748491618115473,0.09891551375090521,-0.06997529893084507,0.24656003642670007,0.10759733758131033,0.02801051276053615,0.18788925790274633,0.5237275564554984,-0.228422128156677,0.09300074491970611,0.36810615677837827,0.011338245340734037,0.021032103584762166,-0.04733527224436888,0.6391056273090363,-0.06700790029607707,0.14522670503784413,-0.2160950092143789,0.11530314025410199,-0.2962207010532096,0.07005325954222012,-0.010685223244621381,0.10683719847435964,0.12305537507711659,-0.2047870895433032,0.30420076212127983,-0.06368370956244589,0.1160225645820306,-0.13691147762070363,-0.08444552173849024,-0.005098468405650351,0.2858742747698607,-0.10994366417028158,0.021568581872329358,0.43311003733648956,-0.07332085306041995,-0.1971724760204272,-0.05689720853373189,0.19018938948038105,0.014668556069526788,0.026441780450467578,0.13030751611362304,-0.12226927344503657,-0.21152044990433364,0.0006383052053076121,0.3208577522264085,0.1766354001560647,0.41918546177923804,-0.003771448091205334
Paracentral_Lobule_R,-0.2743447816161586,0.3701157455726098,-0.2083721400118866,1.0,0.10696965808321628,-0.05624336989774068,0.12394305832629686,0.3976273891752855,0.11492820294773592,-0.15558671250691533,0.14864542564088878,0.5818439610319283,-0.04623728369059198,-0.17298116206043743,0.7765947093871555,0.1384553229172213,0.12090780796411756,0.7623323760902551,-0.3686643500612698,0.020495986060324878,-0.3347359102945536,0.42499326192985093,-0.1155559545631658,-0.39664212692441286,0.13795698231454462,0.8432270849531233,-0.053238210105436244,-0.019550917752382404,0.4857280740983977,0.18879230084580834,-0.43613713135444443,-0.125824285456272,0.3001768669091261,0.48694674704743385,-0.15761516641906076,-0.5053511455988616,0.4217830744283206,0.2772201221943815,0.21073685138202006,0.42133433336772785,-0.23700650705595575,-0.31144864233731057,0.9044010494282911,-0.011769144836982534,-0.1305296841233622,0.1826744894205838,0.10601709980310865,0.6327538084308524,0.6167608207466136,0.7914288352521954,0.277170690583101,0.20641038356826713,0.40136715513485044,-0.15408175848886174,0.21691340215155336
Thal_PuI_L,-0.2409802296553806,0.5073257146224294,0.07302859760011038,0.10696965808321628,1.0,0.006558953702201729,0.35236835987807985,0.12733842365387077,0.22719216742016968,-0.025728736129710012,0.3633331846377519,0.038066075794078315,0.04836059533606893,0.11061583393667207,0.22887041796675733,-0.11892795866571743,0.5986034361560361,0.3846174990794974,-0.18817991864099623,-0.06797600424562304,0.1827242680838135,0.3240515589591048,-0.20924041887920472,0.24441499758514668,0.1554959058158542,0.3143592009996271,0.09030237370269055,0.32341373355632597,0.42330180740308376,0.3980882231396734,-0.39216366268439495,0.24127029709595596,0.6349455906159707,-0.04766785036216122,-0.5437752683724894,-0.0865632620598145,0.6410759576007866,0.5706534598249283,0.43194408052852445,-0.2950812436113146,0.3757456274757066,0.2553672976747005,0.2755378793754085,0.1037441899211965,-0.10814252488865209,-0.041934059913667394,0.3320942131279212,0.6270060318196747,0.13882759987487447,0.37828711253613473,0.8199775785435172,0.22262147653797756,0.4340303990342669,0.4199295837282456,0.21804170997624886
Putamen_R,0.6925024834288055,0.12492108168155634,-0.06881440788144853,-0.05624336989774068,0.006558953702201729,1.0,0.5859334979072637,0.36708423833779097,0.3810875657248413,0.39665305167274445,0.4718256114035043,0.19268820536817474,0.12847929960080118,-0.21336809143444568,0.05975940421486865,0.6148124222716682,0.057201174987273416,0.22693451407916285,0.5537492408581899,0.6878087773760856,0.05306466743374396,0.4819268128802931,0.6370566981990505,0.44389499453387804,0.7187940969232502,0.0573484689348933,0.6888643422440179,0.7329570660033509,0.31950459451055113,0.6497078472527866,0.514150443374826,0.33123520182285704,-0.02395507803805176,0.4309888953723965,0.30516621020142864,0.14851022058340854,-0.1732367634252433,-0.23693642281181782,0.6321443080772923,0.4903174636588184,0.20462689567980547,0.4824733716532618,-0.12268802189059116,0.7143196208894498,0.654275056459504,0.44832741395894615,0.6708162811974311,-0.1371284435468637,-0.02268997733464975,-0.21112438105127448,0.1082455379897599,-0.2716417268060003,0.045325377111999014,-0.04539478316484197,0.6769422163016917
Frontal_Sup_Medial_R,0.26904518784051534,0.34589534476640466,0.016748491618115473,0.12394305832629686,0.35236835987807985,0.5859334979072637,1.0,0.1677488555708433,0.32739377509030093,0.25408968692148254,0.5528017192841173,0.25399436261199504,0.11479373620877766,0.09769511527570304,0.17539202775359536,0.6014089435660763,0.2741485083410589,0.4186636870122055,0.32464140421131427,0.6101035127975301,-0.04063872687762974,0.3659478476609241,0.23381031654396744,0.31084990074330715,0.5624119541822897,0.21559410100872614,0.5765526569145867,0.6557067649868809,0.4922896325801243,0.7371120732132715,0.034389041873063034,0.07984448814722854,0.135847843761238,0.4382695902948592,0.08313625781832562,0.14900409021194613,0.03083253918906294,0.0790897592453659,0.613298501136389,0.3741029537206791,0.3170202189701783,0.4579287280831285,0.11754371479763438,0.7178858138779379,0.3420221850848507,0.22727259095337146,0.7403673549156613,0.33863150124635055,0.04720247934684067,0.010562083364014659,0.2809167204847081,-0.12160385754647347,0.1686422654412293,0.05277642398240639,0.624948607348746
Temporal_Mid_L,0.2996759677974596,0.415175262481541,0.09891551375090521,0.3976273891752855,0.12733842365387077,0.36708423833779097,0.1677488555708433,1.0,0.20293925913322952,0.3586413313474399,0.01253950144505604,0.32523288327643096,0.1747766705795284,0.00731721902053495,0.4970824070501294,0.21321928868710371,0.4012647395203382,0.532787676983597,-0.28475949605446393,0.11837411707622214,0.2863148310248278,0.5060722124046956,0.5816360355978474,-0.0853778743744464,0.47684141913074823,0.4923139131629646,0.36208486135768886,0.24969028254994174,0.6475529395363673,0.3457530614913239,0.12403741795144167,0.6020567842390536,0.3564945845531647,0.271210190393509,-0.34888519505243054,0.01088524932031326,0.5036936279760249,0.3089153551884935,0.4722870281813507,0.2656652286288216,0.2602957394096733,-0.062398504978921576,0.3801577534433639,0.16492959252386175,0.561038612203127,0.5468669467016217,0.39017673408592024,0.29589009637572505,0.23246618013520504,0.3782979947602874,0.3969653912777293,0.1354748454356615,0.47090248644681443,0.35216664738109177,0.6113414940538978
SN_pc_R,0.2561865542328144,-0.08744015119462552,-0.06997529893084507,0.11492820294773592,0.22719216742016968,0.3810875657248413,0.32739377509030093,0.20293925913322952,1.0,0.11727810024740083,0.2028957947987524,0.3680515210636564,0.24947407359984927,-0.1162010413182731,0.3110631879719467,0.27101490161395136,0.23417248125338694,0.3102854515408222,0.0993970679595957,0.2541345826390045,-0.07464249420842742,0.4033556966829783,0.1692527047637538,0.5507608323913004,0.4362828856221173,0.25042227345794793,0.26382361176656344,0.5071782650835802,0.167982311385745,0.41781007154640043,0.24061689840769662,0.24068929416785362,0.49579194645680075,0.2703588496116037,0.14883449822728292,0.03699652477369972,0.16504052140776473,0.18170571414081196,0.5954599996754945,0.40409067972689167,0.2442155762922836,0.23836822558888662,0.11949112689213844,0.388810176435434,0.23999186193223368,0.257650692698627,0.43953071267125027,0.06177778535976861,0.26349284057679634,0.09773372022868163,0.2210262300058737,-0.113478623721761,0.3458571550455287,-0.05613230603031474,0.2731282702114807
Vermis_1_2,0.6172818040786459,0.37259799343601696,0.24656003642670007,-0.15558671250691533,-0.025728736129710012,0.39665305167274445,0.25408968692148254,0.3586413313474399,0.11727810024740083,1.0,0.32547348910150187,-0.09918681306894893,0.012052910700791687,0.08606688133988234,-0.10437265733354975,0.4541469450808997,0.11980562319678216,0.09520648352508056,0.3114478314773154,0.41296728058781373,0.369681715735338,0.22878476740056775,0.6088336361111514,0.11216770523864339,0.32724754410699913,-0.16148037281979435,0.40496877168267,0.4872271627414606,0.48512752324436864,0.3951884795843662,0.2528766406686944,0.506049713921291,-0.03979782166972282,0.30514217410320404,0.031568489327030325,0.24748833162451647,-0.0832300670579605,-0.046087086934321245,0.2787529953177777,0.26510393117674713,0.3660172327830602,0.28513026498533295,-0.20236881860910813,0.4392487445674432,0.5680010549807291,0.26058264773306206,0.2928846248764911,-0.059048735485410016,-0.20642185738685395,-0.34421926184994256,0.03275128147391512,-0.20095859538523556,0.24561490542286052,0.2660157545591718,0.5442557831393824
