,Thal_MDm_L,Precentral_R,Cerebellum_Crus2_L,OFCmed_L,Hippocampus_R,Thal_MDl_L,Occipital_Sup_L,Thal_VL_L,Thal_PuM_R,Frontal_Inf_Tri_L,Precuneus_R,Frontal_Sup_Medial_R,Temporal_Sup_L,Vermis_8,Frontal_Inf_Oper_R,Temporal_Pole_Sup_L,Paracentral_Lobule_L,Rectus_L,Insula_R,VTA_L,Temporal_Mid_R,Rectus_R,Supp_Motor_Area_R,Lingual_R,SN_pc_R,OFClat_L,Precentral_L,Cerebellum_10_L,Thal_IL_R,Thal_LP_L,Thal_VA_R,Raphe_M,Supp_Motor_Area_L,Cingulate_Mid_L,Parietal_Inf_R,Rolandic_Oper_L,Precuneus_L,Thal_LGN_L,Occipital_Sup_R,Thal_MDm_R
Thal_MDm_L,1.0,0.5261484777429828,0.11717016240001103,-0.48571963757130215,0.01584062959692724,0.8064284458472255,0.13030751611362304,0.5657818825743426,-0.22980841284459835,0.050150826956582926,0.52271816949199,0.33863150124635055,0.10831352800457689,-0.37256558468467005,0.2685853228683382,-0.18698205871714804,0.6967065735956794,-0.04680677729308969,0.016346266766962037,0.330384708663682,0.4017901632198394,-0.01912387187646629,0.426742134750632,0.4126581597067542,0.06177778535976861,-0.7464692268477295,0.47437336140600295,0.05633790256549449,0.8288945578274874,-0.6278794740164751,-0.4374118747074271,-0.0339460358260977,0.49178963457189534,0.33295712852179704,0.658744010051062,-0.20805739647173782,0.6425281671709073,0.7946875073610135,-0.19612413040362495,0.8026391510822658
Precentral_R,0.5261484777429828,1.0,0.042166260979848755,-0.3849219736903787,0.011743039111038484,0.43837802907324286,0.07608527891866262,0.5360323142967208,-0.15226602221304913,0.5817115561103536,0.7057461287497827,0.25994083334553725,0.5253573504609356,-0.121020578495465,0.49107306631539255,0.18516826936851694,0.7611510854959996,-0.06957009857478219,0.17087292000869866,0.2973885512568275,0.12705791542795308,0.2568237692335973,0.778013749529139,0.5919482244175627,0.3148578654827175,-0.2333084346922647,0.6926867258316628,0.16789400738003257,0.4168970535947719,-0.5181577767734915,-0.36531501332128435,-0.1223927454351825,0.7283632550777311,0.7115689130323847,0.651936776842098,0.2362370972415977,0.7125469863864785,0.5455556598979562,-0.1665676950243675,0.4858141255494056
Cerebellum_Crus2_L,0.11717016240001103,0.042166260979848755,1.0,-0.34242689946745647,0.30486618372017327,0.14209468657250618,0.6391056273090363,-0.09592272300216369,-0.007355726089837018,0.11408098609812606,-0.29808085084115915,-0.04063872687762974,0.2444933243611845,0.5656323076048019,0.35285870881257236,0.2891432261948596,-0.22083919543887703,-0.396136621552569,0.2760490309271526,0.17717477869460277,0.2633362164549731,-0.3970208202224872,0.02568819710870751,0.4309101361440649,-0.07464249420842742,-0.11816426237851387,-0.1703822028157967,-0.013959192660798682,0.2869961734571567,0.21288213404429973,0.09726181188125478,0.32162421911739775,0.057184752804491965,0.053169382844852286,-0.36217525476341533,0.35872678396012525,-0.3373639914743745,0.05034167860526082,0.09955111469525219,0.11599256698247642
OFCmed_L,-0.48571963757130215,-0.3849219736903787,-0.34242689946745647,1.0,0.48350646891621085,-0.19297023677847502,-0.2929148568629262,-0.11271231316712862,0.5709264177809946,0.12289410318867013,-0.20074210531074513,0.2704719315478866,-0.08203966767816492,0.17393275926436627,0.08360579849246105,0.36516613344991683,-0.2647251184651212,0.5643251888846468,0.3541564086103647,0.013934491990564218,0.10992523622221333,0.34028448716948123,-0.32334200476242664,-0.4710611182666282,0.18158446972597142,0.6718783983297086,-0.38690903378186525,0.47377304215999,-0.5345121029040325,0.5440523231692415,0.7133246177183118,0.366584220555961,-0.3333644913588924,-0.09013308589557394,-0.3532963545237225,0.24562990270577179,-0.26389933175570834,-0.597600460615159,0.072883713713483,-0.3062064675171351
Hippocampus_R,0.01584062959692724,0.011743039111038484,0.30486618372017327,0.48350646891621085,1.0,0.24907663977027614,0.1506456713176824,0.19546552534331796,0.663741294784091,0.49303163606076106,-0.11667901462538917,0.6157786019454303,0.34822626971440795,0.47885357042504567,0.6186155158096742,0.6118666871455087,-0.013692143958576528,0.46517434828467935,0.7901067950859928,0.1961789152356642,0.6151256748907139,0.35814141928045823,0.054844640502611695,0.007556865614452882,0.24175624756377642,0.3350654976001682,-0.19875553443095006,0.7606430549761174,-0.009497059171988842,0.47461884749312605,0.7463340994323466,0.7114820851409699,0.10350915566616446,0.3039466447953884,-0.3454190730434768,0.5821585019773371,-0.1682567519386687,-0.16674049605481897,0.06890289744651164,0.2516363909863692
Thal_MDl_L,0.8064284458472255,0.43837802907324286,0.14209468657250618,-0.19297023677847502,0.24907663977027614,1.0,0.05818503727848299,0.7499428943798577,0.07927070089626642,0.20422926664620303,0.36300448264179985,0.4707534260506765,0.1179872742137645,-0.334507426750167,0.4080196449171323,0.00632988592900828,0.5535438459017359,-0.058497403907673606,0.33739291258356874,0.417287465786356,0.40637386024465744,-0.018203397710845677,0.23400669253815343,0.41223291809795837,0.14620335657725098,-0.43496420232647093,0.3129660773494181,0.20807238117374366,0.6014625393121705,-0.27814647211088767,-0.08450743936045821,0.23928228308165017,0.292553348491927,0.3184529940193802,0.4762312749652992,-0.02357786337140639,0.5107480791044716,0.5293827897388377,-0.12173357001429874,0.6215801579346957
Occipital_Sup_L,0.13030751611362304,0.07608527891866262,0.6391056273090363,-0.2929148568629262,0.1506456713176824,0.05818503727848299,1.0,-0.053636746269330515,-0.05469980581829779,0.00113855359334408,-0.228422128156677,0.016748491618115473,0.05711470478828623,0.22882518786939846,0.15309837259163733,0.19018938948038105,-0.17867078762570685,-0.17262983401251467,0.07628215372519428,0.09681522726273675,0.045550390290865286,-0.24074562481001618,-0.007923437158505416,0.24927349704745144,-0.06997529893084507,-0.2047870895433032,-0.12226927344503657,-0.05689720853373189,0.19239488946938021,0.033775461102049896,0.025984666181230565,0.11602188546601427,0.02801051276053615,-0.067012379401745,-0.1971724760204272,0.14522670503784413,-0.2962207010532096,0.1230139503362529,0.015577496550791494,0.13818343179194928
Thal_VL_L,0.5657818825743426,0.5360323142967208,-0.09592272300216369,-0.11271231316712862,0.19546552534331796,0.7499428943798577,-0.053636746269330515,1.0,0.2386461943849582,0.4274260844328335,0.44554718859799,0.4903862227863961,0.2025540908906066,-0.4198596953806313,0.3334324644741916,0.21418272463583463,0.5406664829566363,0.005994338456482934,0.37605897629736695,0.22611081345511072,0.1741236418892705,0.2943945564433632,0.2307218222058501,0.3891381195731114,0.2187343076379291,-0.15618954117972547,0.3555043104207288,0.3121957118708254,0.31729637747144257,-0.250451434335935,-0.06371818089754089,0.07092617718425046,0.24015026149567892,0.35187845740288115,0.5414027705617189,0.09263892266342559,0.5755966093651069,0.5461985962439867,-0.19639281261318212,0.5213082131709464
Thal_PuM_R,-0.22980841284459835,-0.15226602221304913,-0.007355726089837018,0.5709264177809946,0.663741294784091,0.07927070089626642,-0.05469980581829779,0.2386461943849582,1.0,0.32328191718855004,-0.29498719094303355,0.5725410737722293,-0.028258784211191042,0.17344259058623,0.34736544796231267,0.4032120208042789,-0.133649102641061,0.3901982661377118,0.6083676438805372,0.010793094055937038,0.2954760746377046,0.45234917927298324,-0.2165714225493874,-0.29853960780028344,0.32984022923135115,0.4469596169316637,-0.30388177508977976,0.6928444445281717,-0.416906852737214,0.6032137340790346,0.7571273673596367,0.5069873323746965,-0.1364154585153262,0.016762999038545712,-0.3990088696093601,0.285502853000384,-0.2951974823613711,-0.45070401085258177,0.07844287360473169,0.043762610508910976
Frontal_Inf_Tri_L,0.050150826956582926,0.5817115561103536,0.11408098609812606,0.12289410318867013,0.49303163606076106,0.20422926664620303,0.00113855359334408,0.4274260844328335,0.32328191718855004,1.0,0.3335721286464074,0.41584366949255314,0.7367627678715392,0.25094810298471426,0.5971612793688743,0.6060050113460744,0.37189700846227025,0.14687059965746468,0.6714591466744224,0.23924238697895706,0.2512231880948457,0.43926477219815124,0.5519205932965087,0.3402149807631387,0.4716066504493783,0.37936207610686995,0.4093219780858539,0.5283071372945772,0.01894162798379608,0.07676093464403912,0.2332066011052808,0.22015251513816628,0.5127510788858205,0.6978399468702735,0.09429535409585378,0.708081313775366,0.32215011593374776,0.09846461640135977,0.01210486083371367,0.22101711928456166
