,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L
Precentral_L,1.0,0.8078386704354064,0.8466883785870215,0.8517010740911642,0.8473273441781418,0.8421782081571405,0.8339978208851505,0.7606237769727986,0.8542384261107699,0.826813625546705,0.5590292913598456,0.34447286873383787,0.7217809335973993,0.7179753946826215,0.9239272014428815
Precentral_R,0.8078386704354064,1.0,0.7163857928537393,0.826837713985553,0.6167528663483854,0.792026316898887,0.7532055524140386,0.7745121280336353,0.7512323992922708,0.7385439123712373,0.47427225249682214,0.277034405530863,0.6559373619594944,0.6665970715806069,0.8399710056380407
Frontal_Sup_2_L,0.8466883785870215,0.7163857928537393,1.0,0.8973000142483621,0.9136335812285313,0.9316545790886511,0.8552039022670944,0.7989356092370482,0.87479471712163,0.8357975628119669,0.6495802258856604,0.4847160707289774,0.8452516589288869,0.8276134541903761,0.8876888841114124
Frontal_Sup_2_R,0.8517010740911642,0.826837713985553,0.8973000142483621,1.0,0.752384926970845,0.8845403539901984,0.8161183880172402,0.7823140709639502,0.842859479406144,0.811744413072074,0.5965442379066743,0.43609840970232205,0.7507393800456946,0.7612449199993324,0.8976329373902837
Frontal_Mid_2_L,0.8473273441781418,0.6167528663483854,0.9136335812285313,0.752384926970845,1.0,0.8860316168866332,0.8216782772324882,0.7622224138385735,0.8854874575985288,0.830503143348427,0.6619137091552793,0.5013837267026996,0.8387328567777013,0.7988828235804434,0.8595128158362354
Frontal_Mid_2_R,0.8421782081571405,0.792026316898887,0.9316545790886511,0.8845403539901984,0.8860316168866332,1.0,0.896253423461168,0.8612382306822596,0.9023602760239288,0.8652712148153472,0.6601653928263198,0.5116265210621371,0.8311093997051865,0.866629602280431,0.8730537247568946
Frontal_Inf_Oper_L,0.8339978208851505,0.7532055524140386,0.8552039022670944,0.8161183880172402,0.8216782772324882,0.896253423461168,1.0,0.915915637536898,0.9152177083122992,0.906611458194864,0.6304652311342184,0.4990166624559868,0.8918353084236729,0.9120024724693443,0.8612470361138782
Frontal_Inf_Oper_R,0.7606237769727986,0.7745121280336353,0.7989356092370482,0.7823140709639502,0.7622224138385735,0.8612382306822596,0.915915637536898,1.0,0.9057485774285193,0.9143574989428915,0.6427940499207243,0.49562708383894016,0.8989075892542211,0.901398685112516,0.8106202486006683
Frontal_Inf_Tri_L,0.8542384261107699,0.7512323992922708,0.87479471712163,0.842859479406144,0.8854874575985288,0.9023602760239288,0.9152177083122992,0.9057485774285193,1.0,0.9688698469311433,0.7537594871981814,0.5730333485786755,0.8854068952616712,0.8616951385733752,0.9139136844109585
Frontal_Inf_Tri_R,0.826813625546705,0.7385439123712373,0.8357975628119669,0.811744413072074,0.830503143348427,0.8652712148153472,0.906611458194864,0.9143574989428915,0.9688698469311433,1.0,0.7169638162869204,0.5512390863404468,0.8833769686823276,0.8732619647673635,0.8712436578501619
Frontal_Inf_Orb_2_L,0.5590292913598456,0.47427225249682214,0.6495802258856604,0.5965442379066743,0.6619137091552793,0.6601653928263198,0.6304652311342184,0.6427940499207243,0.7537594871981814,0.7169638162869204,1.0,0.8802919736856544,0.589754656378068,0.5435982383505511,0.6771940599250367
Frontal_Inf_Orb_2_R,0.34447286873383787,0.277034405530863,0.4847160707289774,0.43609840970232205,0.5013837267026996,0.5116265210621371,0.4990166624559868,0.49562708383894016,0.5730333485786755,0.5512390863404468,0.8802919736856544,1.0,0.4524656960655619,0.43073159082622725,0.4963143056821769
Rolandic_Oper_L,0.7217809335973993,0.6559373619594944,0.8452516589288869,0.7507393800456946,0.8387328567777013,0.8311093997051865,0.8918353084236729,0.8989075892542211,0.8854068952616712,0.8833769686823276,0.589754656378068,0.4524656960655619,1.0,0.9370346297757077,0.8077883050761849
Rolandic_Oper_R,0.7179753946826215,0.6665970715806069,0.8276134541903761,0.7612449199993324,0.7988828235804434,0.866629602280431,0.9120024724693443,0.901398685112516,0.8616951385733752,0.8732619647673635,0.5435982383505511,0.43073159082622725,0.9370346297757077,1.0,0.7703819549640577
Supp_Motor_Area_L,0.9239272014428815,0.8399710056380407,0.8876888841114124,0.8976329373902837,0.8595128158362354,0.8730537247568946,0.8612470361138782,0.8106202486006683,0.9139136844109585,0.8712436578501619,0.6771940599250367,0.4963143056821769,0.8077883050761849,0.7703819549640577,1.0
